9267a1c726d212ea05e9f95ba0e8218742e9cab15c510e59dfac2700e5285ccc,8b089da3c6f9e31f2b2fa685b2a70114f093ab325f92626f132f72e1d6e28551,25dff254285d2fca10a8528569ae72bc60bf2e11e7c34b530d0a537e20b53575,4ad65a12f1ced3a65945cd930770fb337fa7480d11074bc928c1ffd1cd3ef87c,6c03b9ad76f32e56f902144913c4dc52e7d74b1562000fdcf822f25fdf8bb689,17fe3246715e3c172509aab807575b5fc3031730a6e3205220ceee54e7a258e1
"20010003","20010","1","2","0","20010112"
"20010004","20010","1","3","0","20010115"
"20010005","20010","1","4","0","20010103"
"20010006","20010","1","5","0","20010105"
"20010007","20010","1","6","0","20010107"
"20010008","20010","1","7","0","20010109"
"20010201","20010","211","101","0","20010112"
"20010202","20010","211","0","0","20010115"
"20010501","20010","501","101461","101471","20010110"
"20010502","20010","501","101462","101472","20010110"
"20010503","20010","501","101463","101473","20010110"
"20010531","20010","3","211","0","2001004"
"20012001","20012","4","1","0","2001201"
"20012002","20012","4","2","0","2001202"
"20012003","20012","4","3","0","2001203"
"20012004","20012","4","4","0","2001204"
"20012301","20012","5","101","0","2001201"
"20012302","20012","5","101","0","2001202"
"20012303","20012","5","101","0","2001203"
"20012401","20012","6","501","0","0"
"20012531","20012","3","211","0","2001204"
"20014531","20014","3","211","0","2001404"
"20016001","20016","501","101921","101931","20016112"
"20016002","20016","501","101922","101932","20016112"
"20016003","20016","501","101923","101933","20016112"
"20016004","20016","501","100011","100351","20016112"
"20016005","20016","501","100012","100352","20016112"
"20016006","20016","501","100013","100353","20016112"
"20016007","20016","501","100014","100354","20016112"
"20016008","20016","501","100015","100355","20016112"
"20016009","20016","501","100016","100356","20016112"
"20016010","20016","501","100017","100357","20016112"
"20016011","20016","501","100018","100358","20016112"
"20016012","20016","501","100019","100359","20016112"
"20046001","20046","1","1","0","20046102"
"20046002","20046","1","2","0","20046112"
"20046003","20046","1","3","0","20046115"
"20047001","20047","1","1","0","20047102"
"20047002","20047","1","2","0","20047108"
"20047003","20047","1","3","0","20047115"
