a7f50810d0d5174ca17324597e11dfadf87b7a16968d4218eeaa634cf86435f8,2e24c6faa8198af0931e431a43ccc3d739edeb7912477d78e8c9964692ef4d1a,afe9f2976e83013af6833e6c7cc65fd2a15d6b5d2e48c1be5bc91c6da1cd492e,eb10dd2b90eeebc75032f765a2e200c37827d0dadec9feff11ae99848ad1bf62,55b38e8bc638c95a2265a953b8a15a9ba22d662b39c15c4d8bdac48eda7aaa07,32718fd860f2b46de45473d4ce5dd6d082f8aadd3c9df14bca0b26a766e8ff02,365959ffffa009d1d943e9f0149dd19ff2123a5d7d9355217d9d454220646ec3,51b7ba63d6129246d0c77b905e2546b1ea5e7fbec422be154ef94a8e621ce617,06dc69754340129d9909ae83351346edd3efff24fcef885b99dcfc84f351c9b6,31c169219bb5c4f1ce129517cb9f2270d51bd9cc949316cb5b70c6b5937a0720,3d3143fd30be2b08f91f5717a337fc5fea5df9d92e97a86759c09874f9aad111
"112611","3","","","11","1","そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！","","10","1","1030043"
"6","3","","","93","","1","","","","1030044"
"112611","3","0.2","","3","","omp_talk_joy2","","1","","1030045"
"1030043","3","","","91","","","","","","1030046"
"112611","3","0","","3","","omp_idle_joy2","","1","","1030047"
"112411","3","0","","3","","omp_talk_joy2","","1","","1030048"
"vo_omp_7003","3","","","21","0","vo_omp_7003_008","","0","","1030049"
"112411","3","","","11","1","はい！\n一緒に頑張りましょう！","","10","1","1030050"
"0","3","","","91","","","","","","1030051"
"0.4","3","","","93","","","","","","1030052"
"1","4","1.8","omp_talk_normal","1","-180","105831","0","1600","-195","1040001"
"1","4","1.8","omp_idle_normal","1","20","105931","1","1500","-190","1040002"
"1","4","1.8","omp_idle_normal","1","220","106031","1","1600","-205","1040003"
"1","4","1","","31","0","1","","0","1","1040004"
"1","4","","","93","","","","","","1040005"
"vo_omp_7004","4","","","21","0","vo_omp_7004_000","","0","","1040006"
"105831","4","","","11","1","せっかくですから\nわたしたちもアイドルを\nしてみませんか？","","10","1","1040007"
"0","4","","","91","","","","","","1040008"
"105831","4","0","","3","","omp_idle_normal","","1","","1040009"
"105931","4","0","","3","","omp_talk_normal","","1","","1040010"
"vo_omp_7004","4","","","21","0","vo_omp_7004_001","","0","","1040011"
"105931","4","","","11","1","アイドルユニット\n【美食殿】でございますね\nとても楽しそうです","","10","1","1040012"
"0","4","","","91","","","","","","1040013"
"105931","4","","","4","","0","","","","1040014"
"105931","4","0","","3","","omp_idle_normal","","1","","1040015"
"106031","4","0","","3","omp_idle_surprise1","omp_surprise","","0","1","1040016"
"vo_omp_7004","4","","","21","0","vo_omp_7004_002","","0","","1040017"
"106031","4","","","11","1","えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？","","10","1","1040018"
"2","4","","","93","","1","","","","1040019"
"106031","4","0.1","","3","","omp_talk_tsun","","1","","1040020"
"1040018","4","","","91","","","","","","1040021"
"106031","4","0","","3","","omp_talk_tsun","","1","","1040022"
"vo_omp_7004","4","","","21","0","vo_omp_7004_003","","0","","1040023"
"106031","4","","","11","1","あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？","","10","1","1040024"
"0","4","","","91","","","","","","1040025"
"106031","4","0","","3","","omp_idle_tsun","","1","","1040026"
"105931","4","0","","3","","omp_talk_worry","","1","","1040027"
"vo_omp_7004","4","","","21","0","vo_omp_7004_004","","0","","1040028"
"105931","4","","","11","1","それはそうでございますが…\n好奇心が勝ってしまいまして","","10","1","1040029"
"0","4","","","91","","","","","","1040030"
"105931","4","","","4","","1","","","","1040031"
"105931","4","0","","3","","omp_idle_worry","","1","","1040032"
"105831","4","0","","3","","omp_talk_joy1","","1","","1040033"
"vo_omp_7004","4","","","21","0","vo_omp_7004_005","","0","","1040034"
"105831","4","","","11","1","コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！","","10","1","1040035"
"5.5","4","","","93","","1","","","","1040036"
"105831","4","0.2","","3","","omp_psn_11","","0","","1040037"
"1040035","4","","","91","","","","","","1040038"
"105931","4","0","","3","","omp_talk_normal","","1","","1040039"
"vo_omp_7004","4","","","21","0","vo_omp_7004_006","","0","","1040040"
"105931","4","","","11","1","はい♪\nいえーい、でございます…！","","10","1","1040041"
"1.5","4","","","93","","1","","","","1040042"
"105931","4","0.2","","3","","omp_psn_11","","0","1","1040043"
"1040041","4","","","91","","","","","","1040044"
"105931","4","","","4","","0","","","","1040045"
"105931","4","0","","3","","omp_idle_normal","","1","","1040046"
"105831","4","0.2","","3","","omp_idle_joy1","","1","","1040047"
"106031","4","0","","3","","omp_idle_tsun","","1","","1040048"
"vo_omp_7004","4","","","21","0","vo_omp_7004_007","","0","","1040049"
"106031","4","","","11","1","いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪","","10","1","1040050"
"7","4","","","93","","1","","","","1040051"
"106031","4","0.1","","3","","omp_psn_12","","0","","1040052"
"1.5","4","","","93","","","","","","1040053"
"1040050","4","","","91","","","","","","1040054"
"106031","4","0.2","","3","","omp_idle_normal","","1","","1040055"
"105831","4","0","","3","","omp_idle_surprise1","","1","","1040056"
"vo_omp_7004","4","","","21","0","vo_omp_7004_008","","0","","1040057"
"105831","4","","","11","1","キャ、キャルちゃん…","","10","1","1040058"
"0","4","","","91","","","","","","1040059"
"105831","4","0","","3","","omp_idle_surprise1","","1","","1040060"
"105931","4","0","","3","","omp_talk_sad","","1","","1040061"
"vo_omp_7004","4","","","21","0","vo_omp_7004_009","","0","","1040062"
"105931","4","","","11","1","ものすごく、本気でございますね","","10","1","1040063"
"0","4","","","91","","","","","","1040064"
"105931","4","0","","3","","omp_idle_sad","","1","","1040065"
"106031","4","0","","3","omp_talk_surprise2","omp_surprise","0.1","0","1","1040066"
"vo_omp_7004","4","","","21","0","vo_omp_7004_010","","0","","1040067"
"106031","4","","","11","1","はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！","","10","1","1040068"
"6.5","4","","","93","","1","","","","1040069"
"106031","4","0.2","","3","","omp_talk_tsun","","1","","1040070"
"1040068","4","","","91","","","","","","1040071"
"0.4","4","","","93","","","","","","1040072"
"1","5","1.8","omp_talk_joy1","1","-140","112611","0","1500","-190","1050001"
"1","5","1.8","omp_idle_normal","1","140","112511","1","1500","-190","1050002"
"1","5","1","","31","0","1","","0","1","1050003"
"1","5","","","93","","","","","","1050004"
"vo_omp_7005","5","","","21","0","vo_omp_7005_000","","0","","1050005"
"112611","5","","","11","1","冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！","","10","1","1050006"
"0","5","","","91","","","","","","1050007"
"112611","5","0","","3","","omp_idle_joy1","","1","","1050008"
"112511","5","0","","3","","omp_talk_normal","","1","","1050009"
"vo_omp_7005","5","","","21","0","vo_omp_7005_001","","0","","1050010"
"112511","5","","","11","1","そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな","","10","1","1050011"
"0","5","","","91","","","","","","1050012"
"112511","5","0","","3","","omp_idle_normal","","1","","1050013"
"112611","5","0","","3","","omp_talk_joy1","","1","","1050014"
"vo_omp_7005","5","","","21","0","vo_omp_7005_002","","0","","1050015"
"112611","5","","","11","1","私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…","","10","1","1050016"
"6.2","5","","","93","","1","","","","1050017"
"112611","5","0.2","","3","","omp_talk_thinking","","1","","1050018"
"1050016","5","","","91","","","","","","1050019"
"112611","5","0","","3","","omp_idle_thinking","","1","","1050020"
"112511","5","0","","3","","omp_talk_normal2","","1","","1050021"
"vo_omp_7005","5","","","21","0","vo_omp_7005_003","","0","","1050022"
"112511","5","","","11","1","ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう","","10","1","1050023"
"0","5","","","91","","","","","","1050024"
"112511","5","0","","3","","omp_idle_calm","","1","","1050025"
"112611","5","0.1","","3","","omp_talk_sad","","1","","1050026"
"vo_omp_7005","5","","","21","0","vo_omp_7005_004","","0","","1050027"
"112611","5","","","11","1","し…し…","","10","1","1050028"
"0","5","","","91","","","","","","1050029"
"112611","5","0","","3","","omp_idle_sad","","1","","1050030"
"112511","5","0","","3","","omp_psn_19","","1","","1050031"
"vo_omp_7005","5","","","21","0","vo_omp_7005_005","","0","","1050032"
"112511","5","","","11","1","し…？","","10","1","1050033"
"0","5","","","91","","","","","","1050034"
"112511","5","0","","3","","omp_psn_18","","1","","1050035"
"112611","5","0","","3","","omp_talk_sad","","1","","1050036"
"vo_omp_7005","5","","","21","0","vo_omp_7005_006","","0","","1050037"
"112611","5","","","11","1","しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？","","10","1","1050038"
"4.5","5","","","93","","1","","","","1050039"
"112611","5","0.2","","3","","omp_talk_surprise2","","1","","1050040"
"1050038","5","","","91","","","","","","1050041"
"112611","5","0","","3","","omp_idle_surprise2","","1","","1050042"
"112511","5","0","","3","","omp_talk_normal","","1","","1050043"
"vo_omp_7005","5","","","21","0","vo_omp_7005_007","","0","","1050044"
"112511","5","","","11","1","さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…","","10","1","1050045"
"3.5","5","","","93","","1","","","","1050046"
"112511","5","0.2","","3","","omp_talk_anger","","1","","1050047"
"1050045","5","","","91","","","","","","1050048"
"112511","5","0","","3","","omp_idle_anger","","1","","1050049"
"112611","5","0","","3","","omp_talk_joy1","","1","","1050050"
"vo_omp_7005","5","","","21","0","vo_omp_7005_008","","0","","1050051"
"112611","5","","","11","1","えへへ、ごめんごめん☆","","10","1","1050052"
"0","5","","","91","","","","","","1050053"
"112611","5","0","","3","","omp_idle_joy1","","1","","1050054"
"112511","5","0","","3","","omp_talk_sad","","1","","1050055"
"vo_omp_7005","5","","","21","0","vo_omp_7005_009","","0","","1050056"
"112511","5","","","11","1","まったく\n…けど、さっきのは\nほんとのことだからね","","10","1","1050057"
"2","5","","","93","","1","","","","1050058"
"112511","5","0.2","","3","","omp_talk_normal","","1","","1050059"
"1050057","5","","","91","","","","","","1050060"
"112511","5","0","","3","","omp_idle_normal","","1","","1050061"
"112611","5","0","","3","","omp_talk_joy2","","1","","1050062"
"vo_omp_7005","5","","","21","0","vo_omp_7005_010","","0","","1050063"
"112611","5","","","11","1","うん！\nありがとっ、しぶりん！","","10","1","1050064"
"0","5","","","91","","","","","","1050065"
"0.4","5","","","93","","","","","","1050066"
"1","6","1.8","omp_talk_normal","1","-180","112511","0","1600","-195","1060001"
"1","6","1.8","omp_idle_normal","1","20","112411","1","1500","-190","1060002"
"1","6","1.8","omp_idle_normal","1","220","112611","1","1600","-205","1060003"
"1","6","1","","31","0","1","","0","1","1060004"
"1","6","","","93","","","","","","1060005"
"vo_omp_7006","6","","","21","0","vo_omp_7006_000","","0","","1060006"
"112511","6","","","11","1","ウヅキ…\n今日のレッスン\nすごく気合が入ってたね","","10","1","1060007"
"0","6","","","91","","","","","","1060008"
"112511","6","0","","3","","omp_idle_normal","","1","","1060009"
"112611","6","0","","3","","omp_talk_joy1","","1","","1060010"
"vo_omp_7006","6","","","21","0","vo_omp_7006_001","","0","","1060011"
"112611","6","","","11","1","うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？","","10","1","1060012"
"0","6","","","91","","","","","","1060013"
"112411","6","","","4","","0","","","","1060014"
"112611","6","0","","3","","omp_idle_joy1","","1","","1060015"
"112411","6","0","","3","","omp_talk_joy1","","1","","1060016"
"vo_omp_7006","6","","","21","0","vo_omp_7006_002","","0","","1060017"
"112411","6","","","11","1","えへへっ、ありがとうございます！\nえっと…","","10","1","1060018"
"0","6","","","91","","","","","","1060019"
"112411","6","0","","3","","omp_talk_normal","","1","","1060020"
"vo_omp_7006","6","","","21","0","vo_omp_7006_003","","0","","1060021"
"112411","6","","","11","1","朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです","","10","1","1060022"
"0","6","","","91","","","","","","1060023"
"112411","6","0","","3","","omp_talk_thinking","","1","","1060024"
"vo_omp_7006","6","","","21","0","vo_omp_7006_004","","0","","1060025"
"112411","6","","","11","1","あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて","","10","1","1060026"
"0","6","","","91","","","","","","1060027"
"112411","6","0","","3","","omp_talk_normal2","","1","","1060028"
"vo_omp_7006","6","","","21","0","vo_omp_7006_005","","0","","1060029"
"112411","6","","","11","1","だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…","","10","1","1060030"
"0","6","","","91","","","","","","1060031"
"112411","6","0","","3","","omp_idle_calm","","1","","1060032"
"112611","6","0","","3","","omp_talk_sad","","1","","1060033"
"vo_omp_7006","6","","","21","0","vo_omp_7006_006","","0","","1060034"
"112611","6","","","11","1","しまむー…！","","10","1","1060035"
"0","6","","","91","","","","","","1060036"
"112411","6","","","4","","1","","","","1060037"
"112611","6","0","","3","","omp_idle_sad","","1","","1060038"
"112511","6","0","","3","","omp_talk_thinking","","1","","1060039"
"vo_omp_7006","6","","","21","0","vo_omp_7006_007","","0","","1060040"
"112511","6","","","11","1","そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？","","10","1","1060041"
"0","6","","","91","","","","","","1060042"
"112411","6","","","4","","0","","","","1060043"
"112511","6","0","","3","","omp_idle_thinking","","1","","1060044"
"112611","6","0","","3","","omp_talk_joy1","","1","","1060045"
"vo_omp_7006","6","","","21","0","vo_omp_7006_008","","0","","1060046"
"112611","6","","","11","1","うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！","","10","1","1060047"
"0","6","","","91","","","","","","1060048"
"112411","6","","","4","","1","","","","1060049"
"112611","6","0","","3","","omp_idle_joy1","","1","","1060050"
"112411","6","0","","3","","omp_talk_joy2","","1","","1060051"
"vo_omp_7006","6","","","21","0","vo_omp_7006_009","","0","","1060052"
"112411","6","","","11","1","リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！","","10","1","1060053"
"1.2","6","","","93","","1","","","","1060054"
"112411","6","","","4","","0","","","","1060055"
"1060053","6","","","91","","","","","","1060056"
"112511","6","","","2","0","-180","","-195","1","1060057"
"112411","6","","","2","0","0","","-190","1","1060058"
"112611","6","","","2","0","180","","-195","1","1060059"
"112511","6","0.1","","3","","omp_psn_dicision_rin","","0","","1060060"
"112411","6","0.1","","3","","omp_psn_dicision_uduki","","0","","1060061"
"112611","6","0.1","","3","","omp_psn_dicision_mio","","0","","1060062"
"2","6","1","","31","0","2","","0","1","1060063"
"1060062","6","","","91","","","","","","1060064"
"0.6","6","","","93","","","","","","1060065"
"1","7","1.8","omp_idle_normal","1","-100","105831","0","1600","-205","1070001"
"1","7","1.8","omp_idle_normal","1","-390","105931","0","1600","-225","1070002"
"1","7","1.8","omp_idle_normal","1","-260","106031","0","1500","-190","1070003"
"1","7","1.8","omp_idle_normal","1","250","112511","1","1500","-185","1070004"
"1","7","1.8","omp_idle_normal","1","385","112411","1","1600","-220","1070005"
"1","7","1.8","omp_idle_normal","1","100","112611","1","1600","-195","1070006"
"1","7","1","","31","0","1","","0","1","1070007"
"0.2","7","","","93","","","","","","1070008"
"112611","7","0.1","","3","","omp_idle_normal","","1","","1070009"
"112411","7","0","","3","","omp_talk_normal","","1","","1070010"
"112511","7","0.1","","3","","omp_idle_normal","","1","","1070011"
"105831","7","0.1","","3","","omp_idle_normal","","1","","1070012"
"0.1","7","","","93","","","","","","1070013"
"1","7","","","93","","","","","","1070014"
"vo_omp_7007","7","","","21","0","vo_omp_7007_000","","0","","1070015"
"112411","7","","","11","1","今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね","","10","1","1070016"
"0","7","","","91","","","","","","1070017"
"112411","7","0.1","","3","","omp_idle_normal","","1","","1070018"
"105831","7","0.1","","3","","omp_talk_normal","","1","","1070019"
"vo_omp_7007","7","","","21","0","vo_omp_7007_001","","0","","1070020"
"105831","7","","","11","1","緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～","","10","1","1070021"
"0","7","","","91","","","","","","1070022"
"105831","7","0","","3","","omp_idle_normal","","1","","1070023"
"105931","7","0","","3","","omp_talk_worry","","1","","1070024"
"vo_omp_7007","7","","","21","0","vo_omp_7007_002","","0","","1070025"
"105931","7","","","11","1","ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…","","10","1","1070026"
"0","7","","","91","","","","","","1070027"
"105931","7","0","","3","","omp_idle_worry","","1","","1070028"
"106031","7","0","","3","","omp_talk_normal","","1","","1070029"
"vo_omp_7007","7","","","21","0","vo_omp_7007_003","","0","","1070030"
"106031","7","","","11","1","まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！","","10","1","1070031"
"0","7","","","91","","","","","","1070032"
"106031","7","0","","3","","omp_idle_normal","","1","","1070033"
"112611","7","0","","3","","omp_talk_worry","","1","","1070034"
"vo_omp_7007","7","","","21","0","vo_omp_7007_004","","0","","1070035"
"112611","7","","","11","1","もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～","","10","1","1070036"
"0","7","","","91","","","","","","1070037"
"112611","7","0","","3","","omp_idle_worry","","1","","1070038"
"105931","7","0","","3","","omp_talk_normal2","","1","","1070039"
"vo_omp_7007","7","","","21","0","vo_omp_7007_005","","0","","1070040"
"105931","7","","","11","1","でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました","","10","1","1070041"
"0","7","","","91","","","","","","1070042"
"105931","7","0","","3","","omp_idle_calm","","1","","1070043"
"112511","7","0","","3","","omp_talk_normal2","","1","","1070044"
"vo_omp_7007","7","","","21","0","vo_omp_7007_006","","0","","1070045"
