b578f0fd06b9b78ce6e0e8a7f6211f07487211addeaa62e9611f377692399dd8,b55380b2c7e7465a240897669b3fb3ef29218ae475f79b9bae4ee5712ce99faf,e13dfbd3b095421330d2628ed6645531663a0166c558628d055f952ac05ed9a6,e29193c0b7227524932f6bf1bfa6523c00d9eb1831d3fe61670416b1be543c17,b348b873c560d558139fd9656f0bd526bdff3ed9800feb94ec3faa4deb28c822,bb9a411a1d1576372d74999ee7a9b994b9357e5a3f23ccf63d7c85588453d34a,44a7262f9f2ea49f20dd07b3a25865c8d31118d9ddbbda84d3c76780d5744c71,81a564678a4bdb738bec69180645f432a6eaf053c392c89965dbd7c72c04cc46
"2131","8","3","274","5","5","74","264"
"2171","8","155","321","6","6","-36","302"
"2201","8","283","199","7","7","82","277"
"2271","8","374","349","8","8","0","344"
"2321","9","-275","240","1","1","-30","301"
"2361","9","-132","106","2","2","-115","108"
"2371","9","-132","106","3","3","-115","108"
"2381","9","-73","202","4","4","32","246"
"2411","9","-43","114","5","5","-140","84"
"2421","9","-43","114","6","6","-140","84"
"2461","9","50","86","7","8","65","84"
"2471","9","50","86","8","9","65","84"
"2481","9","80","185","9","10","-110","137"
"2491","9","80","185","10","11","-110","137"
"2521","9","131","301","11","7","24","377"
"2531","9","280","190","12","12","-50","305"
"2601","10","-527","123","1","3","-137","145"
"2611","10","-527","123","2","4","-137","145"
"2621","10","-379","408","3","1","35","295"
"2622","10","-299","171","4","2","103","192"
"2623","10","-138","342","5","6","-64","244"
"2701","10","-47","224","6","5","9","254"
"2781","10","131","253","7","8","-88","204"
"2791","10","89","110","8","9","23","139"
"2801","10","89","110","9","10","23","139"
"2811","10","275","292","10","7","42","249"
"2821","10","274","126","11","11","-120","151"
"2831","10","274","126","12","12","-120","151"
"2841","10","448","276","13","13","-17","316"
"2901","11","-292","158","1","1","-87","203"
"3011","11","-224","256","2","2","123","187"
"3031","11","-65","144","3","3","-80","225"
"3111","11","80","149","4","4","-84","214"
"3131","11","227","201","5","5","112","194"
"3141","11","159","161","6","6","-111","111"
"3151","11","159","161","7","7","-111","111"
"3171","11","307","166","8","8","-80","209"
"3211","12","-185","364","1","3","-106","206"
"3221","12","-304","160","2","1","34","277"
"3231","12","-107","249","3","2","45","275"
"3321","12","31","167","4","5","-46","233"
"3381","12","135","174","5","7","-122","130"
"3391","12","135","174","6","8","-122","130"
"3431","12","127","244","7","4","101","223"
"3441","12","254","235","8","6","-24","246"
"3461","12","303","167","9","9","-114","156"
"3471","12","303","167","10","10","-114","156"
"3491","12","338","108","11","11","152","94"
"3501","12","338","108","12","12","152","94"
"3531","13","-286","210","1","3","-48","270"
"3541","13","-310","92","2","2","144","103"
"3551","13","-152","228","3","3","-90","219"
"3561","13","-148","94","4","4","99","103"
"3571","13","-12","110","5","5","-157","71"
"3581","13","-5","209","6","1","-2","274"
"3691","13","141","219","7","6","-72","292"
"3701","13","146","88","8","7","143","104"
"3741","13","299","160","9","8","131","135"
"3751","13","299","160","10","9","131","135"
"3791","13","301","179","11","10","-82","268"
"3801","14","-470","197","1","2","6","286"
"3811","14","-520","134","2","3","-123","89"
"3821","14","-369","204","3","1","103","236"
"3861","14","-283","176","4","5","-74","241"
"3891","14","-151","156","5","6","-83","236"
"3911","14","-174","219","6","4","108","226"
"3921","14","-51","107","7","10","-130","96"
"3931","14","-5","179","8","9","50","251"
"3941","14","100","113","9","11","-106","102"
"3951","14","268","242","10","12","-41","317"
"3961","14","138","209","11","7","79","240"
"3971","14","138","209","12","8","79","240"
"4021","14","441","125","13","14","-125","93"
"4031","14","485","219","14","13","22","279"
