12e6279ffed2209909f92e16f29bc4cfb483c71bfbce07d1fc2881d42dd257f3,e05c4998217dff5e4a4be2fe1b16fd60c26015bf4d8f55b2f2e363b1579661a2,e53a9a64175c95ee9e26720651c4ec54d1992eaa2b27236b7ef2c2cb3c545b3a,5a20f6ad838cabe497dcff30ea47740ec8150015ab7f037dddbc7958691137d8,a66fe4d389649ae5c61ac061627765b13dfe73a86f2b9928244de9d12fe87801,023dd2a27b75ca8e4ef0384f2da348c0b63f23f143733117333925405a0fcf9c,ce15e8dbf3f73fcbff36e25b618df649b196719b8ed29663c919fded22167606
"20","キャラクターソング\n\n時間 / 01:47\n歌　 / ノゾミ（日笠陽子）\n作詞 / Manami\n作曲 / 内海孝彰\n編曲 / 岡野裕次郎","bgm_M144","01:47","00:54","bgm_M144","君の笑顔が見たいから"
"21","キャラクターソング\n\n時間 / 01:34\n歌　 / ツムギ（木戸衣吹）\n作詞 / 磯谷佳江\n作曲 / 磯谷佳江\n編曲 / 内海孝彰","bgm_M148","01:34","00:48","bgm_M148","アマノジャクハート！"
"22","メインクエスト\n\n時間 / 01:46\n作曲 / 本田晃弘（Cygames）\n編曲 / 岡出莉菜","bgm_M42","01:46","00:00","bgm_M42_juke","不穏な空気と立ち向かう闘志"
"23","クランバトル\n\n時間 / 01:07\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M104","01:07","00:00","bgm_M104_juke","ツインピッグス"
"24","ストーリーイベントテーマ\n-｢Peaceful*ちゃんぷるー｣アレンジ-\n\n時間 / 00:54\n作曲 / 小野貴光\n編曲 / 東大路憲太","bgm_M106","00:54","00:00","bgm_M106_juke","ヴァンパイアハンターwithイリヤ"
"25","ストーリーイベントボスバトル\n\n時間 / 03:18\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M109","03:18","00:00","bgm_M109_juke","ガルグ"
"26","キャラクターソング\n\n時間 / 01:30\n歌　 / マホ（内田真礼）\n　　　カオリ（高森奈津美）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","bgm_M151","01:30","00:44","bgm_M151","Peaceful*ちゃんぷるー"
"27","クランバトル\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M166","01:12","00:00","bgm_M166_juke","レサトパルト"
"28","ストーリーイベントテーマ\n-｢サイツヨでしょ、でしょ？｣アレンジ-\n\n時間 / 01:30\n作曲 / Heart's Cry\n編曲 / 多田彰文","bgm_M162","01:30","00:00","bgm_M162_juke","トワイライトブレイカーズ"
"29","ストーリーイベントボスバトル\n\n時間 / 02:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M165","02:02","00:00","bgm_M165_juke","オラム"
"30","キャラクターソング\n\n時間 / 01:22\n歌　 / アンナ（髙野麻美）\n　　　ナナカ（佳村はるか）\n作詞 / Heart's Cry\n作曲 / Heart's Cry\n編曲 / Heart's Cry","bgm_M176","01:22","00:42","bgm_M176","サイツヨでしょ、でしょ？"
"31","メインクエスト\n\n時間 / 02:05\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M141","02:05","00:00","bgm_M141_juke","氷海の地"
"32","メインクエスト\n\n時間 / 01:08\n作曲 / 西村真吾\n編曲 / 西村真吾","bgm_M58","01:08","00:00","bgm_M58_juke","氷と雪の世界"
"33","メインクエスト\n\n時間 / 01:05\n作曲 / 加藤慶\n編曲 / 加藤慶","bgm_M101","01:05","00:00","bgm_M101_juke","爽やかな風"
"34","クランバトル\n\n時間 / 01:02\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","bgm_M115","01:02","00:00","bgm_M115_juke","カルキノス"
"35","ストーリーイベントテーマ\n-｢えがおのマイホーム｣アレンジ-\n\n時間 / 01:05\n作曲 / Lucas\n編曲 / 西村真吾","bgm_M112","01:05","00:00","bgm_M112_juke","デンジャラスバカンス！渚のグルメプリンセス"
"36","ストーリーイベントボスバトル\n\n時間 / 02:10\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M116","02:10","00:00","bgm_M116_juke","テンタパス"
"37","キャラクターソング\n\n時間 / 01:40\n歌　 / サレン（堀江由衣）\n　　　スズメ（悠木碧）\n作詞 / Mitsu\n作曲 / Lucas\n編曲 / Lucas","bgm_M147","01:40","01:00","bgm_M147","えがおのマイホーム"
"38","クランバトル\n\n時間 / 00:45\n作曲 / 庄司真吾（Cygames）\n編曲 / 庄司真吾（Cygames）","bgm_M175","00:45","00:00","bgm_M175_juke","サジタリウス"
"39","ストーリーイベントテーマ\n-｢Ding Dong Holy Night♪｣アレンジ-\n\n時間 / 00:55\n作曲 / 馬渕直純\n編曲 / 中村早織（Cygames）","bgm_M171","00:55","00:00","bgm_M171_juke","忘却のキャロル"
"40","ストーリーイベントボスバトル\n\n時間 / 02:57\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M172","02:57","00:00","bgm_M172_juke","フォギー"
"41","キャラクターソング\n\n時間 / 01:28\n歌　 / アヤネ（芹澤優）\n　　　クルミ（植田佳奈）\n作詞 / 磯谷佳江\n作曲 / 馬渕直純\n編曲 / 馬渕直純","bgm_M187","01:28","00:42","bgm_M187","Ding Dong Holy Night♪"
"42","メインクエスト\n\n時間 / 00:57\n作曲 / 多田彰文\n編曲 / 多田彰文","bgm_M93","00:57","00:00","bgm_M93_juke","険しき乾荒原"
"43","クランバトル\n\n時間 / 01:06\n作曲 / 庄司真吾（Cygames）\n編曲 / 西村真吾","bgm_M119","01:06","00:00","bgm_M119_juke","オルレオン"
"44","ストーリーイベントテーマ\n-｢キンキラ☆ハピネス！｣アレンジ-\n\n時間 / 01:10\n作曲 / 斉藤裕也\n編曲 / 西村真吾","bgm_M121","01:10","00:00","bgm_M121_juke","タマキとミフユの無人島0ルピ生活"
"45","ストーリーイベントボスバトル\n\n時間 / 02:35\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M124","02:35","00:00","bgm_M124_juke","島クジラ"
"46","キャラクターソング\n\n時間 / 01:20\n歌　 / タマキ（沼倉愛美）\n　　　ミフユ（田所あずさ）\n　　　アキノ（松嵜麗）\n　　　ユカリ（今井麻美）\n作詞 / joru\n作曲 / 斉藤裕也\n編曲 / 斉藤裕也","bgm_M146","01:20","00:42","bgm_M146","キンキラ☆ハピネス！"
"47","メインクエスト\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M179","01:20","00:00","bgm_M179_juke","新たな船出"
"48","クランバトル\n\n時間 / 00:58\n作曲 / 加藤慶\n編曲 / 加藤慶","bgm_M181","00:58","00:00","bgm_M181_juke","アルゲティ"
"49","ストーリーイベントテーマ\n-｢TwinkleStars｣アレンジ-\n\n時間 / 00:58\n作曲 / 石濱翔（MONACA）\n編曲 / 東大路憲太","bgm_M182","00:58","00:00","bgm_M182_juke","新春トゥインクルクライシス！"
"50","ストーリーイベントボスバトル\n\n時間 / 02:32\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M183","02:32","00:00","bgm_M183_juke","邪餅神ガミィ"
"51","キャラクターソング\n\n時間 / 01:24\n歌　 / ユイ（種田梨沙）\n　　　ヒヨリ（東山奈央）\n　　　レイ（早見沙織）\n作詞 / 野村イクミ（Cygames）\n作曲 / 石濱翔（MONACA）\n編曲 / 石濱翔（MONACA）","bgm_M202","01:24","00:45","bgm_M202","TwinkleStars"
"52","メインクエスト\n\n時間 / 01:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M94","01:26","00:00","bgm_M94_juke","酷熱の砂漠"
"53","クランバトル\n\n時間 / 01:25\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M132","01:25","00:00","bgm_M132_juke","メデューサ"
"54","ストーリーイベントテーマ\n-｢Aloofness Code｣アレンジ-\n\n時間 / 01:29\n作曲 / 小野貴光\n編曲 / 多田彰文","bgm_M128","01:29","00:00","bgm_M128_juke","黒鉄の亡霊（ナイトメア）"
"55","ストーリーイベントボスバトル\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M131","02:28","00:00","bgm_M131_juke","リビングメイル"
"56","キャラクターソング\n\n時間 / 01:20\n歌　 / ジュン（川澄綾子）\n　　　クリスティーナ（たかはし智秋）\n　　　トモ（茅原実里）\n　　　マツリ（下田麻美）\n作詞 / a*mu\n作曲 / 小野貴光\n編曲 / 玉木千尋","bgm_M154","01:20","00:46","bgm_M154","Aloofness Code"
"57","キャラクターソング\n\n時間 / 01:13\n歌　 / キャル（立花理香）\n作詞 / corochi（Cygames）\n作曲 / 馬渕直純\n編曲 / 馬渕直純","bgm_M214","01:13","00:44","bgm_M214","Absolute Secret"
"58","クランバトル\n\n時間 / 01:00\n作曲 / 加藤慶\n編曲 / 加藤慶","bgm_M186","01:00","00:00","bgm_M186_juke","アクアリオス"
"59","ストーリーイベントテーマ\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 01:02\n作曲 / 山崎真吾\n編曲 / 藤原宏恵","bgm_M189","01:02","00:00","bgm_M189_juke","バトルオブバレンタイン！想いぶつかるスウィートバトル"
"60","ストーリーイベントボスバトル\n\n時間 / 02:24\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M192","02:24","00:00","bgm_M192_juke","アグリーラブリー"
"61","キャラクターソング\n\n時間 / 01:15\n歌　 / シズル（生天目仁美）\n　　　リノ（阿澄佳奈）\n作詞 / 坂井竜二\n作曲 / 山崎真吾\n編曲 / 山崎真吾","bgm_M200","01:15","00:40","bgm_M200","SUPER CHOCOLATE"
"62","メインクエスト\n\n時間 / 01:07\n作曲 / 石塚玲衣\n編曲 / 石塚玲衣","bgm_M118","01:07","00:00","bgm_M118_juke","砂海の中のオアシス"
"63","メインクエスト\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M180","01:20","00:00","bgm_M180_juke","不思議な森"
"64","クランバトル\n\n時間 / 01:00\n作曲 / 中村早織（Cygames）\n編曲 / 中村早織（Cygames）","bgm_M205","01:00","00:00","bgm_M205_juke","トルペドン"
"65","ストーリーイベントテーマ\n-｢未解決な想い｣アレンジ-\n\n時間 / 00:39\n作曲 / 出口遼\n編曲 / 庄司真吾（Cygames）","bgm_M206","00:39","00:00","bgm_M206_juke","王都の名探偵　嘆きの追跡者（ストーカー）"
"66","ストーリーイベントボスバトル\n\n時間 / 02:09\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","bgm_M209","02:09","00:00","bgm_M209_juke","嘆きの女神"
"67","キャラクターソング\n\n時間 / 01:22\n歌　 / マコト（小松未可子）\n　　　カスミ（水瀬いのり）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太","bgm_M222","01:22","00:38","bgm_M222","未解決な想い"
"68","エイプリルフールイベント\n\n時間 / 01:27\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M219","01:27","00:00","bgm_M219_juke","ロボリマ来襲！王都滅亡までのカウントダウン"
"69","エイプリルフールイベント\n\n時間 / 01:38\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M220","01:38","00:00","bgm_M220_juke","ロボリマ"
"70","エイプリルフールイベント\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M221","01:12","00:00","bgm_M221_juke","ロボリマ~終焉~"
"71","ストーリーイベントテーマ\n-｢Crossing Destiny｣アレンジ-\n\n時間 / 00:55\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","bgm_M215","00:55","00:00","bgm_M215_juke","アストルムに咲く双輪の華"
"72","ストーリーイベントボスバトル\n\n時間 / 01:45\n作曲 / 中村博\n編曲 / 中村博","bgm_M218","01:45","00:00","bgm_M218_juke","コア・ギガース"
"73","キャラクターソング\n\n時間 / 01:30\n歌　 / アン（日笠陽子）\n　　　グレア（福原綾香）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","bgm_M235","01:30","00:54","bgm_M235","Crossing Destiny"
"74","メインクエスト\n\n時間 / 00:55\n作曲 / 西村真吾\n編曲 / 西村真吾","bgm_M232","00:55","00:00","bgm_M232_juke","岩峰に潜むもの"
"75","ストーリーイベントテーマ\n-｢白翼のグローリエ｣アレンジ-\n\n時間 / 00:59\n作曲 / 渡部チェル\n編曲 / 中村博","bgm_M223","00:59","00:00","bgm_M223_juke","ショーグン道中記　白翼のサムライ"
"76","ストーリーイベントボスバトル\n\n時間 / 01:58\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M226","01:58","00:00","bgm_M226_juke","アクダイカン"
"77","キャラクターソング\n\n時間 / 01:13\n歌　 / モニカ（辻あゆみ）\n　　　ユキ（大空直美）\n　　　ニノン（佐藤聡美）\n　　　クウカ（長妻樹里）\n　　　アユミ（大関英里）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","bgm_M236","01:13","00:42","bgm_M236","白翼のグローリエ"
"78","メインクエスト\n\n時間 / 01:20\n作曲 / 伊藤翼\n編曲 / 伊藤翼","bgm_M95","1:20","00:00","bgm_M95_juke","火山の麓"
"79","メインクエスト\n\n時間 / 01:02\n作曲 / 伊藤翼\n編曲 / 伊藤翼","bgm_M96","1:02","00:00","bgm_M96_juke","厳烈なる荒地"
"80","ストーリーイベントボスバトル\n\n時間 / 02:33\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_M231","2:33","00:00","bgm_M231_juke","怠惰の狂人"
"81","メインクエスト\n\n時間 / 01:08\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M233","1:08","00:00","bgm_M233_juke","鼓の音響く森"
"82","ストーリーイベントテーマ\n-｢背伸びFirst Kiss｣アレンジ-\n\n時間 / 00:52\n作曲 / 設楽哲也\n編曲 / 庄司真吾（Cygames）","bgm_M237","0:52","00:00","bgm_M237_juke","スズナレインボーステージ！"
"83","ストーリーイベントボスバトル\n\n時間 / 02:47\n作曲 / 澤下葵\n編曲 / 東大路憲太","bgm_M240","2:47","00:00","bgm_M240_juke","雨神様"
"84","キャラクターソング\n\n時間 / 01:19\n歌　 / イオ（伊藤静）\n　　　スズナ（上坂すみれ）\n　　　ミサキ（久野美咲）\n作詞 / 野村イクミ&滝沢和也（Cygames）\n作曲 / 設楽哲也\n編曲 / 設楽哲也","bgm_M252","1:19","00:45","bgm_M252","背伸びFirst Kiss"
"85","ミニゲーム\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 00:31\n作曲 / 山崎真吾\n編曲 / 中村早織（Cygames）","bgm_M199","00:31","00:00","bgm_M199_juke","お兄ちゃん争奪！　シズルのお手伝い"
"86","ミニゲーム\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 00:34\n作曲 / 山崎真吾\n編曲 / 庄司真吾（Cygames）","bgm_M198","00:34","00:00","bgm_M198_juke","お兄ちゃん争奪！　エリコのお手伝い"
"87","ストーリーイベントテーマ\n-｢We Are Golden｣アレンジ-\n\n時間 / 00:57\n作曲 / TAKU INOUE\n編曲 / 伊禮完（Cygames）","bgm_M245","00:57","00:00","bgm_M245_juke","真夏のマホマホ王国　波打ち際のソウルサマー！"
"88","ストーリーイベントボスバトル\n\n時間 / 02:03\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M248","02:03","00:00","bgm_M248_juke","マジムン"
"89","キャラクターソング\n\n時間 / 01:18\n歌　 / マホ（内田真礼）\n　　　マコト（小松未可子）\n　　　カオリ（高森奈津美）\n作詞 / MCTC\n作曲 / TAKU INOUE\n編曲 / TAKU INOUE","bgm_M263","01:18","00:44","bgm_M263","We Are Golden"
"90","ミニゲーム\n-｢白翼のグローリエ｣アレンジ-\n\n時間 / 00:30\n作曲 / 渡部チェル\n編曲 / 中村早織（Cygames）","bgm_M227","0:30","0:00","bgm_M227_juke","クウカ大回転"
"91","ストーリーイベントテーマ\n-｢なかよしセンセーション｣アレンジ-\n\n時間 / 00:57\n作曲 / 大久保薫\n編曲 / 中村早織（Cygames）","bgm_M254","0:57","0:00","bgm_M254_juke","森の臆病者と聖なる学舎の異端児"
"92","ストーリーイベントボスバトル\n\n時間 / 02:45\n作曲 / 澤下葵\n編曲 / 東大路憲太","bgm_M257","2:45","0:00","bgm_M257_juke","オオドクマンドラゴラ"
"93","キャラクターソング\n\n時間 / 01:20\n歌　 / チエル（佐倉綾音）\n　　　クロエ（種﨑敦美）\n　　　ユニ（小原好美）\n作詞 / 磯谷佳江\n作曲 / 大久保薫\n編曲 / 大久保薫","bgm_M272","01:20","00:47","bgm_M272","なかよしセンセーション"
"94","メインクエスト\n\n時間 / 01:00\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","bgm_M260","1:00","0:00","bgm_M260_juke","不穏の根を踏み越えて"
"95","ミニゲーム\n-｢We Are Golden｣アレンジ-\n\n時間 / 00:34\n作曲 / TAKU INOUE\n編曲 / 中村早織（Cygames）","bgm_M249","0:34","0:00","bgm_M249_juke","カオリのマブイ式空手道場"
"96","ストーリーイベントテーマ\n-｢トリックホリック｣アレンジ-\n\n時間 / 00:52\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","bgm_M265","0:52","0:00","bgm_M265_juke","リトル・ブレイブ・ハロウィンナイト！"
"97","ストーリーイベントボスバトル\n\n時間 / 02:50\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","bgm_M268","2:50","0:00","bgm_M268_juke","ファントムバロン"
"98","キャラクターソング\n\n時間 / 01:24\n歌　 / キョウカ（小倉唯）\n　　　ミソギ（諸星すみれ）\n　　　ミミ（日高里菜）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","bgm_M280","1:24","0:46","bgm_M280","トリックホリック"
"99","メインクエスト\n\n時間 / 01:14\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M278","1:14","0:00","bgm_M278_juke","泥濘む森の先へ"
"100","ミニゲーム\n-｢in flames｣アレンジ-\n\n時間 / 00:48\n作曲 / R・O・N\n編曲 / 東大路憲太","bgm_M277","0:48","0:00","bgm_M277_juke","大激戦！しりとりドラゴンズ"
"101","ストーリーイベントテーマ\n-｢in flames｣アレンジ-\n\n時間 / 01:07\n作曲 / R・O・N\n編曲 / 東大路憲太","bgm_M273","1:07","0:00","bgm_M273_juke","ドラゴンエクスプローラーズ"
"102","ストーリーイベントボスバトル\n\n時間 / 02:29\n作曲 / 澤下葵\n編曲 / 東大路憲太","bgm_M276","2:29","0:00","bgm_M276_juke","ドラゴンもどき"
"103","キャラクターソング\n\n時間 / 01:28\n歌　 / イノリ（藤田茜）\n　　　カヤ（小市眞琴）\n　　　ホマレ（大西沙織）\n作詞 / eNu\n作曲 / R・O・N\n編曲 / R・O・N","bgm_M291","1:28","0:56","bgm_M291","in flames"
"104","解放クエスト\n\n時間 / 01:13\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","bgm_M259","1:13","0:00","bgm_M259_juke","新たなる力への試練"
"105","ストーリーイベントテーマ\n-｢Call Me Darling！｣アレンジ-\n\n時間 / 00:58\n作曲 / 池田健仁(Cygames)\n編曲 / 中村早織(Cygames)","bgm_M281","0:58","0:00","bgm_M281_juke","プレゼントパニック！　ランドソルのサンタたち"
"106","ストーリーイベントボスバトル\n\n時間 / 01:48\n作曲 / 伊禮完(Cygames)\n編曲 / 伊禮完(Cygames)","bgm_M284","1:48","0:00","bgm_M284_juke","トナカイ・ヴェンデッタ"
"107","キャラクターソング\n\n時間 / 01:30\n歌　 / ノゾミ（日笠陽子）\n　　　チカ（福原綾香）\n　　　ツムギ（木戸衣吹）\n作詞 / 野村イクミ(Cygames)\n作曲 / 池田健仁(Cygames)\n編曲 / 池田健仁(Cygames)","bgm_M285","1:30","0:54","bgm_M285","Call Me Darling！"
"108","王都終末決戦\n\n時間 / 01:45\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","bgm_M300","1:45","0:00","bgm_M300_juke","王都終末決戦"
"109","王都終末決戦ボスバトル\n\n時間 / 02:15\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","bgm_M301","2:15","0:00","bgm_M301_juke","皇帝に仕えし僕との戦い"
"110","王都終末決戦ボスバトル\n-｢Lost Princess｣「真なる皇帝」アレンジ-\n\n時間 / 02:45\n作曲 / 田中公平、西木康智\n編曲 / 東大路憲太","bgm_M299","2:45","0:00","bgm_M299_juke","神たる者との決戦"
"111","ストーリーイベントテーマ\n-｢SAI＊KOUスタートダッシュ｣アレンジ-\n\n時間 / 01:08\n作曲 / 奥井康介\n編曲 / 伊禮完（Cygames）","bgm_M294","1:08","0:00","bgm_M294_juke","激走！　ランドソルギルドレース"
"112","ストーリーイベントボスバトル\n\n時間 / 02:00\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","bgm_M297","2:00","0:00","bgm_M297_juke","山神様"
"113","キャラクターソング\n\n時間 / 01:25\n歌　 / ペコリーヌ（M・A・O）\n　　　キャル（立花理香）\n　　　コッコロ（伊藤美来）\n　　　スズメ（悠木碧）\n作詞 / KOCHO\n作曲 / 奥井康介\n編曲 / 奥井康介","bgm_M327","1:25","1:00","bgm_M327","SAI＊KOUスタートダッシュ"
"114","メインクエスト\n\n時間 / 01:25\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","bgm_M293","1:25","0:00","bgm_M293_juke","大海を望んで"
"115","ストーリーイベントテーマ\n-｢木もれびモンタージュ｣アレンジ-\n\n時間 / 01:06\n作曲 / 渡部チェル\n編曲 / 加藤慶久(Cygames)","bgm_M316","1:06","0:00","bgm_M316_juke","魔法少女　二人はミスティ＆ピュアリー"
"116","ストーリーイベントボスバトル\n\n時間 / 01:28\n作曲 / 中村博\n編曲 / 中村博","bgm_M319","1:28","0:00","bgm_M319_juke","アンチビースト"
"117","キャラクターソング\n\n時間 / 01:32\n歌　 / カスミ（水瀬いのり）\n　　　シオリ（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","bgm_M340","1:32","0:50","bgm_M340","木もれびモンタージュ"
"118","ストーリーイベントテーマ\n\n時間 / 00:51\n作曲 / 中村早織(Cygames)\n編曲 / 中村早織(Cygames)","bgm_M330","0:51","0:00","bgm_M330_juke","アイドルを目指して！"
"119","メモリアルマップ\n\n時間 / 01:34\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M333","1:34","0:00","bgm_M333_juke","思い出の足跡"
"120","メインストーリー\n\n時間 / 02:24\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M57","2:24","0:00","bgm_M57_juke","プリンセスナイト"
