7c418477f372f7ba9e5f72bd2158f43f5004537ad1abf927d1ea4ecc817178ab,9c716892401b44210933a504dc2fc4354d690454ae933bf977a11d79fa622483,7662e3d067549608b0cac8d2f143827a3b9694eb6c191d9a1c50e38df66024df,92d311ef1e7e6f61f199db9690ff34640881413483983e0dfc3c502e7dc1ffea,ddc3c4d58097a569d6137652c88f7646ad76a47727deb36f080fa4cb6c991b4e,a388874b12c735120b21959ba6a7f372332a3495ef22120fb6415b555940dad5
"500133","3","128","5118007","2","10118"
"501364","3","129","5072004","2","20040"
"501365","3","130","5072006","2","20040"
"501614","3","132","5124003","2","10124"
"501383","3","133","5074001","2","20041"
"501593","3","135","5094001","2","10121"
"502003","3","136","5122000","2","10122"
"502015","3","137","5122002","2","10122"
"501613","3","138","5096002","2","10123"
"505036","3","139","5076005","2","20042"
"501451","3","140","5078004","2","20043"
"501031","3","141","5098000","2","10125"
"500837","3","143","5100003","2","10127"
"501463","3","144","5080005","2","20044"
"502063","3","145","5128001","2","10128"
"501873","3","146","5102002","2","10129"
"0","1","147","20045105","1","20045101"
"0","1","148","20045108","1","20045102"
"0","1","149","20045111","1","20045103"
"501160","3","150","5082002","2","20045"
"501031","3","151","5082004","2","20045"
"501483","3","152","5082005","2","20045"
"500368","3","153","5084001","2","20046"
"510306","3","154","5084002","2","20046"
"500039","3","155","5084003","2","20046"
"500368","3","156","5085002","2","20047"
"510203","3","157","5085003","2","20047"
"500272","3","158","5085004","2","20047"
"501501","3","159","5085005","2","20047"
"500016","3","160","5130001","2","10130"
"500133","3","161","5130007","2","10130"
"500133","3","162","5104003","2","10131"
"500143","3","163","5136002","2","10136"
"500175","3","164","5136004","2","10136"
"501622","3","165","5137002","2","10137"
"500133","3","166","5137005","2","10137"
"501810","3","167","5088005","2","20048"
"500553","3","168","5134007","2","10134"
"501911","3","169","5108002","2","10135"
"501931","3","170","5110005","2","10138"
"500013","3","171","5111005","2","10139"
"501541","3","172","5090002","2","20049"
"0","2","173","1013801","1","10138101"
"500016","3","174","5114000","2","10141"
"501952","3","175","5114003","2","10141"
"502224","3","180","5140002","2","10140"
"501031","3","181","5092001","2","20050"
"501551","3","182","5092004","2","20050"
"501683","3","183","5142001","2","10142"
"500837","3","184","5116004","2","10143"
"500133","3","185","5118002","2","10145"
"500810","3","186","5118003","2","10145"
"500133","3","187","5118007","2","10145"
"501593","3","188","5094001","2","20051"
"501613","3","189","5096002","2","20052"
"502283","3","1014601","5146001","2","10146"
"502003","3","1014901","5122000","2","10149"
"502015","3","1014902","5122002","2","10149"
"501614","3","1015101","5124003","2","10151"
"502373","3","1015401","5154007","2","10154"
"502074","3","1015601","5156001","2","10156"
"502394","3","1015602","5156002","2","10156"
"502063","3","1015701","5128001","2","10157"
"500880","3","1015801","5158003","2","10158"
"500016","3","1015901","5130001","2","10159"
"500133","3","1015902","5130007","2","10159"
"500553","3","1016301","5134007","2","10163"
"501031","3","2005301","5098000","2","20053"
"500837","3","2005401","5100003","2","20054"
"501873","3","2005501","5102002","2","20055"
"500133","3","2005601","5104003","2","20056"
"501911","3","2005801","5108002","2","20058"
"501931","3","2005901","5110005","2","20059"
"500013","3","2006001","5111005","2","20060"
"500016","3","2006101","5114000","2","20061"
"501952","3","2006102","5114003","2","20061"
