8d8bdff7d72209dc03e9c59d35e7a267a4051a9680dcee32b5fe644ab4884930,00233e2285cbe431664b73fc559502f2ae5e0a513d5f6afab2aa9566fbdf01b5,ab9c3436b4f6712464ae2e4d181c7dc45f884d41c4d9a9d4e78edc5b0974fd0d,c75a41313204ee54295c980964ae84c41d43c0246fa2790720dceb2daa9f61f7,44da06de12fca9f9ec194cd4d57c976773436d3951369d1c96adce7105b0d4d3,fb7a23656367aa047ef79f35719640c4760e06c3a22dfe0b71261f6d35754e1c,085aaf4d884009b4fa492b0b623c7c08fda9cb5576a89c05f7bddb550e7c283d,cf3ff6d850feaa15ccbf2d1258313e9a4a4f800f133e5e2d42a8c64a10facea0,3439df703e9b75c6304354e85662acb1ad7b475704a42b1d1d385befc982b378,b18ede92b2828f314c856d5a9292ff81b4d0ba78d7df3a1f2ed51e4a7c961984,ee05b74da744a1ef27d0242894abc9ea3594f2d9e6336f5062610269a55a6830
"103431","1","","","","3","101","0.2","nyx_idle_sad","11010056",""
"103231","1","","","","3","101","0.2","nyx_talk_joy2","11010057",""
"103231","10","","","","11","101","","面白いですわね！\n何が出てくるか\nワクワクしますわ！","11010058",""
"0","","","","","91","101","","","11010059",""
"0.4","","","","","93","101","","","11010060",""
"110931","","","","","4","101","","0","11010061",""
"2","","","","","4","101","","0","11010062",""
"110931","0","1","nyx_101_chieru_loop","","3","101","0.2","nyx_101_chieru_01","11010063",""
"2","0","1","nyx_101_chieru_loop","","3","101","0.2","nyx_101_chieru_01","11010064",""
"104831","1","","","","12","101","","1","11010065",""
"104831","0","1","nyx_idle_sad","0.2","3","101","0.2","nyx_talk_sad","11010066",""
"0.4","","","","","93","101","","","11010067",""
"3","","","","","32","101","","0","11010068",""
"3","","","","","32","101","","1","11010069",""
"1.6","","","","","93","101","","","11010070",""
"104631","1","","","","12","101","","15","11010071",""
"104631","0","1","nyx_idle_sad","0.2","3","101","0.2","nyx_talk_sad","11010072",""
"3","","","","","93","101","","","11010073",""
"110931","","","","","4","101","","1","11010074",""
"2","","","","","4","101","","1","11010075",""
"110931","0","1","nyx_101_chieru_loop","","3","101","0.2","nyx_101_chieru_02","11010076",""
"2","0","1","nyx_101_chieru_loop","","3","101","0.2","nyx_101_chieru_02","11010077",""
"103231","1","","","","12","101","","10","11010078",""
"103231","0","1","nyx_idle_joy1","0.2","3","101","0.2","nyx_talk_joy1","11010079",""
"2","","","","","93","101","","","11010080",""
"103431","1","","","","12","101","","2","11010081",""
"103431","0","1","nyx_idle_sad","0.2","3","101","0.2","nyx_talk_sad","11010082",""
"2.5","","","","","93","101","","","11010083",""
"11010060","","","","","101","101","","","11010084",""
"1","110","-209.3","-362","1","1","102","1.35","110831","11020001","nyx_102_chloe_01"
"1","110","-182.5","90","0","1","102","1.35","104831","11020002","nyx_102_mifuyu_01"
"1","110","-182.5","220","0","1","102","1.35","104631","11020003","nyx_idle_normal"
"1","110","-182.5","336","1","1","102","1.35","103231","11020004","nyx_talk_normal"
"1","110","-182.5","457","1","1","102","1.35","103431","11020005","nyx_idle_normal"
"1","0","1","0","","31","102","1","1","11020006",""
"2","120","-209.3","-362","0","5","102","1.35","2","11020007","NoItem"
"bgm_M347","","","","","25","102","","bgm_M347","11020008",""
"2","","","","","93","102","","","11020009",""
"110831","1","","","","3","102","0.2","nyx_102_chloe_02","11020010",""
"110831","10","","","","11","102","","次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","11020011",""
"0","","","","","91","102","","1","11020012",""
"110831","1","","","","3","102","0.2","nyx_idle_sad","11020013",""
"110831","10","","","","11","102","","あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","11020014",""
"0","","","","","91","102","","1","11020015",""
"110831","0","1","nyx_102_chloe_02","0.2","3","102","0.2","cmn_pose02_def_N","11020016",""
"110831","10","","","","11","102","","ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","11020017",""
"3","","","","","93","102","","","11020018",""
"103231","1","","","","3","102","0.2","nyx_idle_normal","11020019",""
"104631","1","","","","3","102","0.2","nyx_talk_sad","11020020",""
"110831","","","","","4","102","","0","11020021",""
"11020016","","","","","91","102","","","11020022",""
"1","","","","","93","102","","","11020023",""
"110831","1","","","","3","102","0.2","nyx_102_chloe_01","11020024",""
"110831","10","","","","11","102","","ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","11020025",""
"2.5","","","","","93","102","","","11020026",""
"110831","0","1","nyx_102_chloe_03_loop","","3","102","0.2","nyx_102_chloe_03","11020027",""
"2","0","1","nyx_102_chloe_03_loop","","3","102","0.2","nyx_102_chloe_03","11020028",""
"11020025","","","","","91","102","","","11020029",""
"1","","","","","93","102","","","11020030",""
"104831","10","","","","11","102","","ちぇる…ちぇる…","11020031",""
"1.5","","","","","93","102","","","11020032",""
"104631","0","","","","4","102","","1","11020033",""
"104631","0","1","nyx_idle_surprise2","0.2","3","102","0.2","cmn_shock_def_N","11020034",""
"103431","0","1","nyx_idle_surprise2","0.2","3","102","0.2","cmn_shock_def_N","11020035",""
"103231","0","1","nyx_idle_surprise1","0.2","3","102","0.2","nyx_surprise","11020036",""
"1.5","","","","","93","102","","","11020037",""
"104631","1","1","","0.2","3","102","0.2","nyx_talk_surprise2","11020038",""
"103431","1","","","","3","102","0.2","nyx_102_yukari_01","11020039",""
"103431","10","","","","11","102","","ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","11020040",""
"0","","","","","91","102","","1","11020041",""
"103431","0","1","nyx_102_tamaki_01_loop","0.2","3","102","0.2","cmn_shock_def_N","11020042",""
"103231","0","","","","4","102","","0","11020043",""
"104631","0","","","","4","102","","0","11020044",""
"0","","","","","91","102","","","11020045",""
"104631","10","","","","11","102","","ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","11020046",""
"2.6","","","","","93","102","","","11020047",""
"104631","0","1","nyx_102_tamaki_01_loop","0.2","3","102","0.2","nyx_102_tamaki_01","11020048",""
"0.1","","","","","93","102","","","11020049",""
"103231","0","","","","4","102","","1","11020050",""
"1.5","","","","","93","102","","","11020051",""
"103231","10","","","","11","102","","被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","11020052",""
"0","","","","","91","102","","","11020053",""
"1","","","","","93","102","","","11020054",""
"110831","0","1","nyx_102_chloe_03_loop","","3","102","0.2","nyx_102_chloe_04","11020055",""
"2","0","1","nyx_102_chloe_03_loop","","3","102","0.2","nyx_102_chloe_04","11020056",""
"1.5","","","","","93","102","","","11020057",""
"110831","1","","","","12","102","","12","11020058",""
"1","","","","","93","102","","","11020059",""
"103431","1","","","","12","102","","1","11020060",""
"103431","0","1","nyx_cmn_03","0.2","3","102","0.2","nyx_cmn_01","11020061",""
"104631","1","1","","0.2","3","102","0.2","nyx_idle_worry","11020062",""
"2","","","","","93","102","","","11020063",""
"104831","1","","","","12","102","","12","11020064",""
"2","","","","","93","102","","","11020065",""
"103231","1","","","","12","102","","10","11020066",""
"103231","0","1","nyx_idle_normal","0.2","3","102","0.2","nyx_talk_normal","11020067",""
"2","","","","","93","102","","","11020068",""
"104631","1","","","","12","102","","2","11020069",""
"104631","0","1","nyx_idle_worry","0.2","3","102","0.2","nyx_talk_sad","11020070",""
"4","","","","","93","102","","","11020071",""
"11020055","","","","","101","102","","1","11020072",""
"1","110","-209.3","-421","0","1","103","1.35","111031","11030001","nyx_103_yuni_01"
"1","110","-182.5","121.8","0","1","103","1.35","104831","11030002","nyx_idle_normal"
"2","120","-182.5","121.8","0","5","103","1.35","2","11030003","NoItem"
"1","110","-182.5","227.7","0","1","103","1.35","104631","11030004","nyx_idle_normal"
"2","120","-182.5","227.7","0","5","103","1.35","2","11030005","NoItem"
"1","110","-182.5","340.3","1","1","103","1.35","103231","11030006","nyx_idle_normal"
"1","110","-182.5","449.6","1","1","103","1.35","103431","11030007","nyx_cmn_03"
"2","120","-182.5","449.6","1","5","103","1.35","2","11030008","NoItem"
"1","0","1","0","","31","103","1","1","11030009",""
"bgm_M347","","","","","25","103","","bgm_M347","11030010",""
"2","","","","","93","103","","","11030011",""
"103431","1","","","","3","103","0.2","nyx_talk_sad","11030012",""
"103431","10","","","","11","103","","プレゼンって\nこんなに\n疲れるものなの…？","11030013",""
"0","","","","","91","103","","","11030014",""
"103431","1","","","","3","103","0.2","nyx_cmn_03","11030015",""
"104831","1","","","","3","103","0.2","nyx_cmn_05","11030016",""
"104831","10","","","","11","103","","きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？","11030017",""
"0","","","","","91","103","","","11030018",""
"104831","1","","","","3","103","0.2","nyx_cmn_04","11030019",""
"103231","1","","","","3","103","0.2","nyx_talk_normal","11030020",""
"103231","10","","","","11","103","","あら？\n次もなかよし部の方\nみたいですわよ？","11030021",""
"0","","","","","91","103","","","11030022",""
"103231","1","","","","3","103","0.2","nyx_idle_normal","11030023",""
"104631","1","","","","3","103","0.2","nyx_talk_sad","11030024",""
"104631","10","","","","11","103","","…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ","11030025",""
"2.6","","","","","93","103","","","11030026",""
"111031","1","","","","3","103","0.2","nyx_102_chloe_01","11030027",""
"11030025","","","","","91","103","","","11030028",""
"104631","0","1","nyx_idle_sad","0.3","3","103","0.2","nyx_cmn_02","11030029",""
"2","0","","","","3","103","0.2","nyx_cmn_02","11030030",""
"103431","0","1","nyx_cmn_03","0.3","3","103","0.2","nyx_cmn_02","11030031",""
"2","0","","","","3","103","0.2","nyx_cmn_02","11030032",""
"104831","0","1","nyx_idle_normal","0.2","3","103","0.2","nyx_cmn_02","11030033",""
"2","0","","","","3","103","0.2","nyx_cmn_02","11030034",""
"1.5","","","","","93","103","","","11030035",""
"111031","1","","","","3","103","0.2","nyx_303_yuni_01","11030036",""
"111031","10","","","","11","103","","ふむ、次はぼくだな\nまさに真打登場と\n言ったところか","11030037",""
"2.8","","","","","93","103","","","11030038",""
"104831","1","","","","12","103","","13","11030039",""
"104831","1","","","","3","103","0.2","nyx_talk_normal","11030040",""
"11030037","","","","","91","103","","","11030041",""
"111031","10","","","","11","103","","チエル君、クロエ君\n君らの無念はぼくが\n晴らして見せよう","11030042",""
"0","","","","","91","103","","","11030043",""
"111031","1","","","","3","103","0.2","nyx_103_yuni_02","11030044",""
"111031","10","","","","11","103","","いざ上級生としての\n責務を果たす時だ","11030045",""
"1.5","","","","","93","103","","","11030046",""
"103231","1","","","","12","103","","17","11030047",""
"104831","1","","","","3","103","0.2","nyx_idle_normal","11030048",""
"103231","1","","","","3","103","0.2","nyx_cmn_05","11030049",""
"11030045","","","","","91","103","","","11030050",""
"111031","0","0","nyx_103_yuni_04","0.6","3","103","0.3","nyx_103_yuni_03","11030051",""
"111031","10","","","","11","103","","ユニちゃんズの\n名に懸けて…！","11030052",""
"0","","","","","91","103","","","11030053",""
"103231","1","","","","3","103","0.2","nyx_idle_normal","11030054",""
"0.6","","","","","93","103","","","11030055",""
"111031","1","","","","12","103","0.2","12","11030056",""
"111031","0","1","nyx_idle_normal","0.2","3","103","0.2","cmn_pose02_def_N","11030057",""
"1.5","","","","","93","103","","","11030058",""
"104631","1","","","","12","103","","15","11030059",""
"104631","0","1","nyx_idle_worry","0.2","3","103","0.2","nyx_talk_sad","11030060",""
"2","","","","","93","103","","","11030061",""
"103231","1","","","","12","103","","10","11030062",""
"103231","0","1","nyx_idle_normal","0.2","3","103","0.2","nyx_talk_joy1","11030063",""
"111031","0","1","nyx_idle_normal","0.2","3","103","0.2","nyx_103_yuni_01","11030064",""
"2.5","","","","","93","103","","","11030065",""
"103431","1","","","","12","103","","1","11030066",""
"103431","0","1","nyx_cmn_03","0.3","3","103","0.2","nyx_cmn_01","11030067",""
"2","","","","","93","103","","","11030068",""
"104831","1","","","","12","103","","12","11030069",""
"104831","1","","","","3","103","0.2","nyx_talk_bitter","11030070",""
"2","","","","","93","103","","","11030071",""
"104831","1","","","","3","103","0.2","nyx_idle_bitter","11030072",""
"1","","","","","93","103","","","11030073",""
"11030056","","","","","101","103","","","11030074",""
"1","110","-294.7","-235.4","1","1","201","1.2","103231","12010001","nyx_201_akino_01"
"2","120","-294.7","-235.4","1","5","201","1.2","2","12010002","nyx_201_akino_01"
"1","110","-281.6","-357","0","1","201","1.2","104631","12010003","nyx_idle_normal"
"1","110","-281.6","310.5","1","1","201","1.2","103431","12010004","nyx_idle_normal"
"1","110","-281.6","-453.3","0","1","201","1.2","104831","12010005","nyx_idle_normal"
"2","0","1","0","","31","201","1","1","12010006",""
"11","0","1","0","","31","201","1","2","12010007",""
"bgm_M347","","","","","25","201","","bgm_M347","12010008",""
"2","","","","","93","201","","","12010009",""
"103231","10","","","","11","201","","タマキさん、この\n部品の組み立てを\nお願いしますわ！","12010010",""
"0","","","","","91","201","","","12010011",""
"104631","0","1","nyx_idle_surprise1","0.3","3","201","0.3","nyx_surprise","12010012",""
"104631","10","","","","11","201","","わ、わかったにゃ！\n…こんなの設計図に\nあったかにゃ…？","12010013",""
"0","","","","","91","201","","","12010014",""
"103231","0","","","","4","201","","0","12010015",""
"2","","","","","4","201","","0","12010016",""
"104631","1","","","0.3","3","201","0.3","nyx_idle_bitter2","12010017",""
"103231","1","","","0.3","3","201","0.3","nyx_201_akino_02","12010018",""
"2","1","","","0.3","3","201","0.3","nyx_201_akino_02","12010019",""
"103231","-294.7","","2.2","","2","201","","199","12010020",""
"2","-294.7","","2.2","","2","201","","199","12010021",""
"2.2","","","","","93","201","","","12010022",""
"103231","1","","","0.3","3","201","0.3","nyx_201_akino_01","12010023",""
"2","1","","","0.3","3","201","0.3","nyx_201_akino_01","12010024",""
"103231","10","","","","11","201","","ユカリさん！\nこの回路の発注を\n至急お願いします！","12010025",""
"0","","","","","91","201","","","12010026",""
"103431","1","","","0.3","3","201","0.3","nyx_cmn_01","12010027",""
"103431","10","","","","11","201","","えっ？　えっ？\nちょっとアキノさん\nこれ何に使うの！？","12010028",""
"0","","","","","91","201","","","12010029",""
"103431","1","","","0.3","3","201","0.3","nyx_idle_bitter2","12010030",""
"103231","","","","","4","201","","1","12010031",""
"2","","","","","4","201","","1","12010032",""
"103231","1","","","0.3","3","201","0.3","nyx_201_akino_02","12010033",""
"2","1","","","0.3","3","201","0.3","nyx_201_akino_02","12010034",""
"103231","-294.7","","2.2","","2","201","","-235.4","12010035",""
"2","-294.7","","2.2","","2","201","","-235.4","12010036",""
"2.2","","","","","93","201","","","12010037",""
"103231","1","","","0.3","3","201","0.3","nyx_201_akino_01","12010038",""
"2","1","","","0.3","3","201","0.3","nyx_201_akino_01","12010039",""
"103231","10","","","","11","201","","ミフユさんは動作\nチェックを念入りに\nお願いします！","12010040",""
"0","","","","","91","201","","","12010041",""
"104831","0","1","nyx_idle_surprise1","0.3","3","201","0.3","nyx_surprise","12010042",""
"104831","10","","","","11","201","0","は、はいっ！\n…アキノさんが\n燃えてるわ…","12010043",""
"0","","","","","91","201","","","12010044",""
"104831","1","","","0.3","3","201","0.3","nyx_talk_sad","12010045",""
"104831","10","","","","11","201","0","でもなぜかしら\n不安だわ…\n不安しかない…","12010046",""
"0","","","","","91","201","","","12010047",""
"104831","1","","","0.3","3","201","0.3","nyx_idle_bitter2","12010048",""
"0","","","","","91","201","","","12010049",""
"0.4","","","","","93","201","","","12010050",""
"103231","0","","","","4","201","","0","12010051",""
"2","","","","","4","201","","0","12010052",""
"103231","1","","","0.2","3","201","0.2","nyx_201_akino_02","12010053",""
"2","1","","","0.2","3","201","0.2","nyx_201_akino_02","12010054",""
"103231","-294.7","","2.2","","2","201","","199","12010055",""
"2","-294.7","","2.2","","2","201","","199","12010056",""
"103431","1","","","0.2","3","201","0.2","nyx_cmn_03","12010057",""
"2.2","","","","","93","201","","","12010058",""
"103231","1","","","","12","201","","10","12010059",""
"103231","1","","","0.2","3","201","0.2","nyx_201_akino_01","12010060",""
"2","1","","","0.2","3","201","0.2","nyx_201_akino_01","12010061",""
"0","","","","","91","201","","","12010062",""
"103431","1","","","0.2","3","201","0.2","nyx_idle_surprise1","12010063",""
"0","","","","","91","201","","","12010064",""
"103431","1","","","0.2","3","201","0.2","nyx_102_chloe_02","12010065",""
"103231","","","","","4","201","","1","12010066",""
"2","","","","","4","201","","1","12010067",""
"103231","1","","","0.2","3","201","0.2","nyx_201_akino_02","12010068",""
"2","1","","","0.2","3","201","0.2","nyx_201_akino_02","12010069",""
"103231","-294.7","","2.2","","2","201","","-235.4","12010070",""
"2","-294.7","","2.2","","2","201","","-235.4","12010071",""
"2.2","","","","","93","201","","","12010072",""
"103231","1","","","","12","201","","10","12010073",""
"103231","1","","","0.2","3","201","0.2","nyx_201_akino_01","12010074",""
"2","1","","","0.2","3","201","","nyx_201_akino_01","12010075",""
"3","","","","","93","201","","","12010076",""
"104631","0","1","nyx_idle_normal","0.2","3","201","0.2","cmn_nod_def_N","12010077",""
"0.8","","","","","93","201","","","12010078",""
"104831","1","","","","12","201","","3","12010079",""
"104831","0","1","nyx_idle_sad","0.2","3","201","0.2","nyx_talk_worry","12010080",""
"1","","","","","93","201","","","12010081",""
"12010051","","","","","101","201","","","12010082",""
"1","100","-255","-136","0","5","202","1.2","3","12020001","nyx_202_tamaki_03_loop"
"1","110","-286.1","183.7","1","1","202","1.2","103231","12020002","nyx_idle_joy1"
"2","120","-286.1","312.6","1","5","202","1.2","5","12020003","nyx_202_yukari_01"
"1","110","-286.1","312.6","1","1","202","1.2","103431","12020004","nyx_202_yukari_01"
"1","120","-286.1","-269.8","0","1","202","1.2","104831","12020005","nyx_idle_normal"
"2","0","1","0","","31","202","1","1","12020006",""
"12","0","1","34","","31","202","1","2","12020007",""
"16","-74","1","130","","31","202","0","7","12020008",""
"3","110","-255","-208","0","5","202","1","4","12020009","nyx_yagura_idle"
"2","120","-286.1","-269.8","0","5","202","1.2","6","12020010","NoItem"
"bgm_M347","","","","","25","202","","bgm_M347","12020011",""
"2","","","","","93","202","","","12020012",""
"3","10","","","","11","202","","開発もなんだか\n楽しくなってきた\nにゃ～！","12020013",""
"0","","","","","91","202","","","12020014",""
"3","10","","","","11","202","","ここまで来たら\n世界一のたい焼き\nメカにするにゃ！","12020015",""
"0","","","","","91","202","","","12020016",""
"3","10","","","","11","202","","あたしの全てを\n注ぎ込んでやる\nにゃあ～～！","12020017",""
"0.4","","","","","93","202","","","12020018",""
"3","0","1","nyx_202_tamaki_loop","","3","202","0.2","nyx_202_tamaki_03_puton","12020019",""
"12020017","","","","","91","202","","","12020020",""
"3","0","1","nyx_202_tamaki_01","","3","202","0.2","nyx_202_tamaki_up","12020021",""
"4","0","1","nyx_yagura_up_idle","","3","202","","nyx_yagura_up","12020022",""
"2.4","","","","","93","202","","","12020023",""
"7","","","","","32","202","","1","12020024",""
"103231","1","","","","3","202","0.2","nyx_202_akino_01_loop","12020025",""
"103231","10","","","","11","202","","おーほっほっほ！\n素晴らしい意気込み\nですわ、タマキさん","12020026",""
"0","","","","","91","202","","","12020027",""
"104831","1","","","","3","202","0.2","nyx_talk_anger2","12020028",""
"104831","10","","","","11","202","","設計図のどこにも\nたい焼きなんて\n書いてないわよ！？","12020029",""
"0","","","","","91","202","","","12020030",""
"103431","1","","","","3","202","0.2","nyx_idle_anger2","12020031",""
"103431","1","","","","3","202","0.2","nyx_202_yukari_01","12020032",""
"103431","10","","","","11","202","","ミフユさん…\nタマキさんなら\n大丈夫よ…ひっく","12020033",""
"0","","","","","91","202","","","12020034",""
"104831","0","","nyx_cmn_04","0.2","3","202","0.2","nyx_cmn_05","12020035",""
"104831","10","","","","11","202","0","ユカリさん？\n何を飲んでるの？\n…買収されたわね？","12020036",""
"0","","","","","91","202","","","12020037",""
"103431","1","","","","3","202","0.2","nyx_202_yukari_01","12020038",""
"103431","10","","","","11","202","","え～？\nにゃんのことぉ～？\n…うっふふ～♪","12020039",""
"0","","","","","91","202","","","12020040",""
"2","","","","","93","202","","","12020041",""
"103231","1","","","","12","202","","13","12020042",""
"103231","0","1","nyx_202_akino_01_loop","0.2","3","202","0.2","nyx_talk_joy2","12020043",""
"2.5","","","","","93","202","","","12020044",""
"104831","1","","","","12","202","","3","12020045",""
"104831","1","","","","3","202","0.2","nyx_talk_anger2","12020046",""
"2","","","","","93","202","","","12020047",""
"104831","0","","","","3","202","0.2","nyx_cmn_02","12020048",""
"6","0","1","NoItem","","3","202","0.2","nyx_cmn_02","12020049",""
"1","","","","","93","202","","","12020050",""
"104831","0","1","nyx_cmn_04","0.2","3","202","0.2","nyx_cmn_05","12020051",""
"2","","","","","93","202","","","12020052",""
"103431","1","","","","12","202","","5","12020053",""
"5","0","1","nyx_202_yukari_01","0.2","3","202","0.2","nyx_203_yukari_01","12020054",""
"103431","0","1","nyx_202_yukari_01","0.2","3","202","0.2","nyx_203_yukari_01","12020055",""
"1.2","","","","","93","202","","","12020056",""
"3","1","","","","12","202","","11","12020057",""
"0.8","","","","","93","202","","","12020058",""
"12020041","","","","","101","202","","","12020059",""
"1","130","-286","-300","0","1","203","1.2","104831","12030001","nyx_idle_normal"
"1","100","-286","316","1","1","203","1.2","104631","12030002","nyx_idle_normal"
"1","100","-286","110","1","1","203","1.2","103231","12030003","nyx_idle_normal"
"1","100","-10","-200","0","1","203","1.2","103431","12030004","nyx_203_yukari_01"
"2","0","1","0","","31","203","1","1","12030005",""
"13","-80","1","34","","31","203","1","2","12030006",""
"2","110","-10","-200","0","5","203","1.2","3","12030007","nyx_203_yukari_01"
"3","120","-255","-250","0","5","203","1","4","12030008","nyx_yagura_up_harf"
"bgm_M347","","","","","25","203","","bgm_M347","12030009",""
"2","","","","","93","203","","","12030010",""
"103431","10","","","","11","203","","あっれぇ～？\nここはどこぉ～？\n私はだれ～？","12030011",""
"0.6","","","","","93","203","","","12030012",""
"103231","0","1","nyx_lookup_loop2","0.2","3","203","0.2","nyx_lookup","12030013",""
"12030011","","","","","91","203","","","12030014",""
"103431","10","","","","11","203","","ん～？\nにゃ～にこの\nでっかいのぉ～","12030015",""
"0.6","","","","","93","203","","","12030016",""
"104631","0","1","nyx_lookup_loop2","0.2","3","203","0.2","nyx_lookup","12030017",""
"12030015","","","","","91","203","","","12030018",""
"3","0","1","nyx_203_yukari_05","","3","203","0.2","nyx_203_yukari_02","12030019",""
"103431","0","1","nyx_203_yukari_05","","3","203","0.2","nyx_203_yukari_02","12030020",""
"103431","10","","","","11","203","","あんたも麦しゅわ\n飲む～？\nお～いしいわよ～？","12030021",""
"0.4","","","","","93","203","","","12030022",""
"104831","0","1","nyx_lookup_loop2","0.2","3","203","0.2","nyx_lookup","12030023",""
"12030021","","","","","91","203","","","12030024",""
"0.2","","","","","93","203","","","12030025",""
"104831","0","1","nyx_idle_sad","0.2","3","203","0.2","nyx_cmn_02","12030026",""
"104831","10","","","","11","203","0","何してるのよ\nユカリさん…","12030027",""
"0.1","","","","","93","203","","","12030028",""
"103231","0","1","nyx_cmn_04","0.2","3","203","0.2","nyx_cmn_02","12030029",""
"103231","10","","","","11","203","","何してますの…\nユカリさん…","12030030",""
"0.1","","","","","93","203","","","12030031",""
"104631","0","1","nyx_idle_sad","0.2","3","203","0.2","nyx_cmn_02","12030032",""
"104631","10","","","","11","203","","何してるのにゃ\nユカリ…","12030033",""
"0","","","","","91","203","","","12030034",""
