de113f306540ff0a11a7e8ccddfcd272f7bec3c4b2705772a35ac4e5a2bd783e,a33270577dc944ae2a8e4073f41fb88a9301a52e4d68c32b92823489b7a954f1,1910a31743437f33ed4f3ea32c2ffd3e46787819cbda006c36f82e830b8eb681,66699c472d803a6e6c0af411b9fdc9a52bc04161b7f5951aa938445acdd00933,c9ea7b19ff2677b1f1d009f8ab42630323fb4441e24ad482630aeefa63e75f4b,9817b5c9557199b362615a528d4dedc044e7a2b515bdf5fc63d17292b6660f6a,f1b670843ab98abb38b732cc8b6f10f21b38768e25a4f7b9cf5814977bf53325,3a182f5e1afe01b4a7b0ede022249b9969e977f16a2e66e2d1a1a172ac2df53e,480cbc16b56f860db1f3795a9606c19a86e1a437cf1d2b8a7b3f799fbcfce916,39dd5d0e8dc1df1059d56669defa04b1615687c5060c9cae9313cfbf834346c8,070d1f3e417731b4cb68a4d9f4f697215e27027fc50c4fcd2ea82f245986eb86
"","740","","2","","-165","1001004","0","311","103110048","3"
"","670","","2","","-240","1001005","0","311","103110049","3"
"","950","","33","","-240","1001001","0","311","103110050","3"
"","880","","33","","-165","1001002","0","311","103110051","3"
"","810","","33","","-255","1001003","0","311","103110052","3"
"","740","","33","","-165","1001004","0","311","103110053","3"
"","670","","33","","-240","1001005","0","311","103110054","3"
"0","<weapon>_run","","3","","1","1002001","0","311","103110055",""
"0","<weapon>_run","","3","","1","1002002","0","311","103110056",""
"0","<weapon>_run","","3","","1","1002003","0","311","103110057",""
"0","<weapon>_run","","3","","1","1002004","0","311","103110058",""
"0","<weapon>_run","","3","","1","1002005","0","311","103110059",""
"","700","","2","","-60","1002001","0","311","103110060","3"
"","630","","2","","15","1002002","0","311","103110061","3"
"","560","","2","","-75","1002003","0","311","103110062","3"
"","490","","2","","15","1002004","0","311","103110063","3"
"","420","","2","","-60","1002005","0","311","103110064","3"
"","700","","33","","-60","1002001","0","311","103110065","3"
"","630","","33","","15","1002002","0","311","103110066","3"
"","560","","33","","-75","1002003","0","311","103110067","3"
"","490","","33","","15","1002004","0","311","103110068","3"
"","420","","33","","-60","1002005","0","311","103110069","3"
"0","<weapon>_run","","3","","1","1003001","0","311","103110070",""
"0","<weapon>_run","","3","","1","1003002","0","311","103110071",""
"0","<weapon>_run","","3","","1","1003003","0","311","103110072",""
"0","<weapon>_run","","3","","1","1003004","0","311","103110073",""
"0","<weapon>_run","","3","","1","1003005","0","311","103110074",""
"","450","","2","","-250","1003001","0","311","103110075","3"
"","380","","2","","-175","1003002","0","311","103110076","3"
"","310","","2","","-265","1003003","0","311","103110077","3"
"","240","","2","","-175","1003004","0","311","103110078","3"
"","170","","2","","-250","1003005","0","311","103110079","3"
"","450","","33","","-250","1003001","0","311","103110080","3"
"","380","","33","","-175","1003002","0","311","103110081","3"
"","310","","33","","-265","1003003","0","311","103110082","3"
"","240","","33","","-175","1003004","0","311","103110083","3"
"","170","","33","","-250","1003005","0","311","103110084","3"
"","1","","32","","","10020","","311","103110085",""
"","0","","93","","","2.5","","311","103110086",""
"","1","","32","","","10031","","311","103110087",""
"","0","","93","","","0.4","","311","103110088",""
"","0","","91","","","0","","311","103110089",""
