8355d924a4f76e67bc9cc54c24924f641b6138c4b058eeac61a6aab9d9df91be,d37cdb8d1200a8b78c6b2aa63094b67315c6901457901f3806da5a6f2a1a0b92,8e7dff2dfd5cc0bffb141ab477d9ec101f15a0663d621e4674814e23c0aabc89,c18331724d88be10797a8e596799e08a4f99cc4a011e39d3f141e9707e2188fc,82cf98b0c1ffcaeeb06b27dfd50850684cf21a4eddeb012e266e9aef9e53100f,ad8cdcd6b166f98ff7c5efadbd64d15848fa659a6b3355c71f131e719f06f068,681971086a77d7201e0abfc40a022b0bb6a5069643b10f0076b8390969f0a29e,616886c7c853c2f0b5ef673f9428a6342dcf089c2d30e7471a348665b40e45bf,be6790df93efeebb1fa65b2e1e0bed26f3543f79b656e2528e230717384a7718,4709c7ff9c54e8787bf6ce538a001a6b0b608eb729568a696239795c04876f91,13eeaaf5de874f20365f1ffc12b807688f180d8ef846af1fa4db69e61e2550c4
"vo_wac_04514_001","","","","4514065","21","vo_wac_04514","0","0","","4514"
"ちょちょ、ストーーーップ！！\nまだろうそく外してないわよ！？\nほんと相変わらずね、あんたってば……\nふふっ、おめでと。","0","0.5","1","4514066","11","106011","1","10","0","4514"
"","","","","4514067","91","0","","","","4514"
"wac_birthday_idle_doya","","","","4514068","3","106011","","1","0.2","4514"
"wac_birthday_talk_kyapi","","","","4514069","3","105811","","1","0.2","4514"
"vo_wac_04514_002","","","","4514070","21","vo_wac_04514","0","0","","4514"
"えへへ、ありがとうございます♪\nいっぱい味わって食べますね！\nみんなに祝ってもらえて\n今日は最高の記念日です♪","0","0.5","1","4514071","11","105811","1","10","0","4514"
"","","","","4514072","91","0","","","","4514"
"wac_birthday_talk_wish","","","","4514073","3","105811","","1","0.2","4514"
"vo_wac_04514_003","","","","4514074","21","vo_wac_04514","0","0","","4514"
"今日も、明日も、この先の未来も\n素敵な食卓を囲んでいけますように♪\nもちろんあなたも一緒ですよ！\nこれからもよろしくお願いしますね！","0","0.5","1","4514075","11","105811","1","10","0","4514"
"","","","","4514076","91","0","","","","4514"
"","","","","4514077","22","0","","","","4514"
"bgm_M321_2C","","","","4814001","25","bgm_M321","","","","4814"
"102011","0","wac_birthday_idle_normal","-70","4814002","1","1","-1000","250","2","4814"
"103611","1","wac_birthday_idle_doya","-270","4814003","1","1","230","256","2","4814"
"100411","1","wac_birthday_idle_kyapi","-310","4814004","1","1","410","257","2","4814"
"300","","","","4814005","13","102011","","","","4814"
"300","","","","4814006","13","103611","","","","4814"
"600","","","1","4814007","31","600","0","0","1","4814"
"602","","","1","4814008","31","602","0","0","0","4814"
"603","","","1","4814009","31","603","0","0","0","4814"
"604","","","1","4814010","31","604","60","30","1","4814"
"611","","","1","4814011","31","611","0","0","1","4814"
"700","","","1","4814012","31","700","0","0","0","4814"
"701","","","1","4814013","31","701","0","0","0","4814"
"702","","","1","4814014","31","702","0","0","0","4814"
"800","","","1","4814015","31","800","0","0","0","4814"
"901","","","1","4814016","31","901","60","30","1","4814"
"","","","","4814017","93","1","","","","4814"
"wac_birthday_reaction_02","0.2","","1","4814018","3","100411","wac_birthday_reaction_03","0","0.2","4814"
"","","","","4814019","93","0.1","","","","4814"
"wac_birthday_reaction_01","0.2","","1","4814020","3","103611","wac_birthday_reaction_04","0","0.2","4814"
"","","","","4814021","93","0.3","","","","4814"
"wac_birthday_run_01","","","","4814022","3","102011","","1","0.2","4814"
"0","","","","4814023","2","102011","3","-70","","4814"
"","","","","4814024","93","2.5","","","","4814"
"1","","","","4814025","32","602","","","","4814"
"","","","","4814026","93","0.6","","","","4814"
"0","","","","4814027","32","600","","","","4814"
"0","","","","4814028","32","611","","","","4814"
"0","","","","4814029","32","604","","","","4814"
"1","","","","4814030","32","701","","","","4814"
"0","","","","4814031","33","901","0.01","0","","4814"
"wac_birthday_blowout_02","0.2","","1","4814032","3","102011","wac_birthday_wish_02","0","0.2","4814"
"-200","","","","4814033","2","102011","0.01","-330","","4814"
"wac_birthday_idle_doya","","","","4814034","3","103611","","1","0.2","4814"
"180","","","","4814035","2","103611","0.01","-320","","4814"
"wac_birthday_idle_kyapi","","","","4814036","3","100411","","1","0.2","4814"
"320","","","","4814037","2","100411","0.01","-340","","4814"
"","","","","4814038","93","0","","","","4814"
"1","","","","4814039","32","800","","","","4814"
"","","","","4814040","93","0.7","","","","4814"
"1","","","","4814041","32","702","","","","4814"
"","","","","4814042","93","0.5","","","","4814"
"se_sys_login_birthday_blow_candle","","","","4814043","23","se_common","","0","","4814"
"0","","","","4814044","32","701","","","","4814"
"","","","","4814045","93","0.4","","","","4814"
"se_sys_login_birthday_cracker","","","","4814046","23","se_common","","0","","4814"
"1","","","","4814047","32","700","","","","4814"
"se_sys_login_birthday_calendar_applause","","","","4814048","23","se_common","","0","","4814"
"wac_birthday_clap","0.2","","1","4814049","3","103611","wac_birthday_idle_doya","0","0.2","4814"
"","","","","4814050","93","0.1","","","","4814"
"wac_birthday_clap","0.2","","1","4814051","3","100411","wac_birthday_idle_kyapi","0","0.2","4814"
"","","","","4814052","93","2","","","","4814"
"","","","","4814053","131","1","","","","4814"
"vo_wac_04814_000","","","","4814054","21","vo_wac_04814","0","0","","4814"
"わあ～、ケーキだ～！\nお店屋さんで売ってるのより\nおっきい……！　すごいすごい♪","0","0.5","1","4814055","11","102011","1","10","0","4814"
"","","","","4814056","91","0","","","","4814"
"wac_birthday_idle_smile","","","","4814057","3","102011","","1","0.2","4814"
"wac_birthday_talk_doya","","","","4814058","3","103611","","1","0.2","4814"
"vo_wac_04814_001","","","","4814059","21","vo_wac_04814","0","0","","4814"
"こっそり作っておいたの！\nミソギがイタズラしてきて\n大変だったけど……\nミミ、お誕生日おめでとう♪","0","0.5","1","4814060","11","103611","1","10","0","4814"
"","","","","4814061","91","0","","","","4814"
"wac_birthday_idle_doya","","","","4814062","3","103611","","1","0.2","4814"
"wac_birthday_talk_smile","","","","4814063","3","102011","","1","0.2","4814"
"vo_wac_04814_002","","","","4814064","21","vo_wac_04814","0","0","","4814"
"えへへ、ふたりともありがとう～\nおとうさんとおかあさん、みんなからも\nケーキがもらえるなんて夢みたい……","0","0.5","1","4814065","11","102011","1","10","0","4814"
"","","","","4814066","91","0","","","","4814"
"wac_birthday_talk_kyapi","","","","4814067","3","102011","","1","0.2","4814"
"vo_wac_04814_003","","","","4814068","21","vo_wac_04814","0","0","","4814"
"ミミ、とっても幸せだよ～♪\nおにいちゃんもありがとう！\nみんなのお誕生日がきたら、ミミも\nぜ～ったいおいわいするからね♪","0","0.5","1","4814069","11","102011","1","10","0","4814"
"","","","","4814070","91","0","","","","4814"
"","","","","4814071","22","0","","","","4814"
"bgm_M321_2C","","","","5014001","25","bgm_M321","","","","5014"
"100211","0","wac_birthday_idle_normal","-70","5014002","1","1","-1000","250","2","5014"
"100311","1","wac_birthday_idle_normal","-270","5014003","1","1","230","256","2","5014"
"100111","1","wac_birthday_idle_smile","-310","5014004","1","1","410","257","2","5014"
"300","","","","5014005","13","100211","","","","5014"
"300","","","","5014006","13","100311","","","","5014"
"600","","","1","5014007","31","600","0","0","1","5014"
"602","","","1","5014008","31","602","0","0","0","5014"
"603","","","1","5014009","31","603","0","0","0","5014"
"604","","","1","5014010","31","604","60","30","1","5014"
"611","","","1","5014011","31","611","0","0","1","5014"
"700","","","1","5014012","31","700","0","0","0","5014"
"701","","","1","5014013","31","701","0","0","0","5014"
"702","","","1","5014014","31","702","0","0","0","5014"
"800","","","1","5014015","31","800","0","0","0","5014"
"902","","","1","5014016","31","902","60","30","1","5014"
"","","","","5014017","93","1","","","","5014"
"wac_birthday_reaction_02","0.2","","1","5014018","3","100111","wac_birthday_reaction_03","0","0.2","5014"
"","","","","5014019","93","0.1","","","","5014"
"wac_birthday_reaction_01","0.2","","1","5014020","3","100311","wac_birthday_reaction_04","0","0.2","5014"
"","","","","5014021","93","0.3","","","","5014"
"wac_birthday_run_01","","","","5014022","3","100211","","1","0.2","5014"
"0","","","","5014023","2","100211","3","-70","","5014"
"","","","","5014024","93","2.5","","","","5014"
"1","","","","5014025","32","602","","","","5014"
"","","","","5014026","93","0.6","","","","5014"
"0","","","","5014027","32","600","","","","5014"
"0","","","","5014028","32","611","","","","5014"
"0","","","","5014029","32","604","","","","5014"
"1","","","","5014030","32","701","","","","5014"
"0","","","","5014031","33","902","0.01","0","","5014"
"wac_birthday_blowout_01","0.2","","1","5014032","3","100211","wac_birthday_wish_04","0","0.2","5014"
"-200","","","","5014033","2","100211","0.01","-330","","5014"
"wac_birthday_idle_normal","","","","5014034","3","100311","","1","0.2","5014"
"180","","","","5014035","2","100311","0.01","-320","","5014"
"wac_birthday_idle_smile","","","","5014036","3","100111","","1","0.2","5014"
"320","","","","5014037","2","100111","0.01","-340","","5014"
"","","","","5014038","93","0","","","","5014"
"1","","","","5014039","32","800","","","","5014"
"","","","","5014040","93","0.7","","","","5014"
"1","","","","5014041","32","702","","","","5014"
"","","","","5014042","93","0.5","","","","5014"
"se_sys_login_birthday_blow_candle","","","","5014043","23","se_common","","0","","5014"
"0","","","","5014044","32","701","","","","5014"
"","","","","5014045","93","0.4","","","","5014"
"se_sys_login_birthday_cracker","","","","5014046","23","se_common","","0","","5014"
"1","","","","5014047","32","700","","","","5014"
"se_sys_login_birthday_calendar_applause","","","","5014048","23","se_common","","0","","5014"
"wac_birthday_clap","0.2","","1","5014049","3","100311","wac_birthday_idle_normal","0","0.2","5014"
"","","","","5014050","93","0.1","","","","5014"
"wac_birthday_clap","0.2","","1","5014051","3","100111","wac_birthday_idle_smile","0","0.2","5014"
"","","","","5014052","93","2","","","","5014"
"","","","","5014053","131","1","","","","5014"
"vo_wac_05014_000","","","","5014054","21","vo_wac_05014","0","0","","5014"
"この誕生日ケーキ、わたしにっ！？\nあっ、ありがとう……！\n……もしかしてこれ、\nふたりで手作りしてくれたの？","0","0.5","1","5014055","11","100211","1","10","0","5014"
"","","","","5014056","91","0","","","","5014"
"wac_birthday_idle_wish","","","","5014057","3","100211","","1","0.2","5014"
"wac_birthday_talk_normal","","","","5014058","3","100311","","1","0.2","5014"
"vo_wac_05014_001","","","","5014059","21","vo_wac_05014","0","0","","5014"
"うん。私とヒヨリで作ったんだ。\nユイにはいつだって助けられてるから\nせめてものお返しだよ。\n……誕生日おめでとう。ユイ。","0","0.5","1","5014060","11","100311","1","10","0","5014"
"","","","","5014061","91","0","","","","5014"
"wac_birthday_idle_normal","","","","5014062","3","100311","","1","0.2","5014"
"wac_birthday_talk_sad","","","","5014063","3","100211","","1","0.2","5014"
"vo_wac_05014_002","","","","5014064","21","vo_wac_05014","0","0","","5014"
"そ、そんな……わたしだって、いつも\n助けられてばっかりで……ご、ごめん！\nせっかくお祝いしてもらってるのに\nうれしくて泣いちゃいそう……！","0","0.5","1","5014065","11","100211","1","10","0","5014"
"","","","","5014066","91","0","","","","5014"
"wac_birthday_talk_smile","","","","5014067","3","100211","","1","0.2","5014"
"vo_wac_05014_003","","","","5014068","21","vo_wac_05014","0","0","","5014"
"騎士クンも、本当にありがとうね。\nみんなに祝福してもらえて\nわたし、最高に幸せだよ……！\n大事に味わって食べるね！","0","0.5","1","5014069","11","100211","1","10","0","5014"
"","","","","5014070","91","0","","","","5014"
"","","","","5014071","22","0","","","","5014"
"bgm_M321_2C","","","","5214001","25","bgm_M321","","","","5214"
"105511","0","wac_birthday_idle_normal","-70","5214002","1","1","-1000","250","2","5214"
"105311","1","wac_birthday_idle_doya","-260","5214003","1","1","170","256","2","5214"
"104511","1","wac_birthday_idle_normal","-310","5214004","1","1","270","259","2","5214"
"100811","1","wac_birthday_idle_wish","-270","5214005","1","1","410","257","2","5214"
"103011","1","wac_birthday_idle_kyapi","-310","5214006","1","1","510","258","2","5214"
"300","","","","5214007","13","105511","","","","5214"
"300","","","","5214008","13","105311","","","","5214"
"600","","","1","5214009","31","600","0","0","1","5214"
"602","","","1","5214010","31","602","0","0","0","5214"
"603","","","1","5214011","31","603","0","0","0","5214"
"604","","","1","5214012","31","604","60","30","1","5214"
"611","","","1","5214013","31","611","0","0","1","5214"
"700","","","1","5214014","31","700","0","0","0","5214"
"701","","","1","5214015","31","701","0","0","0","5214"
"702","","","1","5214016","31","702","0","0","0","5214"
"800","","","1","5214017","31","800","0","0","0","5214"
"903","","","1","5214018","31","903","60","30","1","5214"
"","","","","5214019","93","1","","","","5214"
"wac_birthday_reaction_05","0.2","","1","5214020","3","104511","wac_birthday_reaction_03","0","0.2","5214"
"wac_birthday_reaction_01","0.2","","1","5214021","3","105311","wac_birthday_reaction_03","0","0.2","5214"
"","","","","5214022","93","0.1","","","","5214"
"wac_birthday_reaction_01","0.2","","1","5214023","3","100811","wac_birthday_reaction_04","0","0.2","5214"
"wac_birthday_reaction_02","0.2","","1","5214024","3","103011","wac_birthday_reaction_03","0","0.2","5214"
"","","","","5214025","93","0.3","","","","5214"
"wac_birthday_run_01","","","","5214026","3","105511","","1","0.2","5214"
"0","","","","5214027","2","105511","3","-70","","5214"
"","","","","5214028","93","2.5","","","","5214"
"1","","","","5214029","32","602","","","","5214"
"","","","","5214030","93","0.6","","","","5214"
"0","","","","5214031","32","600","","","","5214"
"0","","","","5214032","32","611","","","","5214"
"0","","","","5214033","32","604","","","","5214"
"1","","","","5214034","32","701","","","","5214"
"0","","","","5214035","33","903","0.01","0","","5214"
"wac_birthday_blowout_03","0.2","","1","5214036","3","105511","wac_birthday_wish_04","0","0.2","5214"
"-200","","","","5214037","2","105511","0.01","-330","","5214"
"wac_birthday_idle_doya","","","","5214038","3","105311","","1","0.2","5214"
"150","","","","5214039","2","105311","0.01","-320","","5214"
"wac_birthday_idle_normal","","","","5214040","3","104511","","1","0.2","5214"
"260","","","","5214041","2","104511","0.01","-360","","5214"
"wac_birthday_idle_wish","","","","5214042","3","100811","","1","0.2","5214"
"400","","","","5214043","2","100811","0.01","-320","","5214"
"wac_birthday_idle_kyapi","","","","5214044","3","103011","","1","0.2","5214"
"500","","","","5214045","2","103011","0.01","-340","","5214"
"","","","","5214046","93","0","","","","5214"
"1","","","","5214047","32","800","","","","5214"
"","","","","5214048","93","0.7","","","","5214"
"1","","","","5214049","32","702","","","","5214"
"","","","","5214050","93","0.5","","","","5214"
"se_sys_login_birthday_blow_candle","","","","5214051","23","se_common","","0","","5214"
"0","","","","5214052","32","701","","","","5214"
"","","","","5214053","93","0.4","","","","5214"
"se_sys_login_birthday_cracker","","","","5214054","23","se_common","","0","","5214"
"1","","","","5214055","32","700","","","","5214"
"se_sys_login_birthday_calendar_applause","","","","5214056","23","se_common","","0","","5214"
"wac_birthday_clap","0.2","","1","5214057","3","105311","wac_birthday_idle_doya","0","0.2","5214"
"wac_birthday_clap_to_wish","0.2","","1","5214058","3","100811","wac_birthday_idle_wish","0","0.2","5214"
"","","","","5214059","93","0.1","","","","5214"
"wac_birthday_clap","0.2","","1","5214060","3","104511","wac_birthday_idle_normal","0","0.2","5214"
"","","","","5214061","93","0.1","","","","5214"
"wac_birthday_clap","0.2","","1","5214062","3","103011","wac_birthday_idle_kyapi","0","0.2","5214"
"","","","","5214063","93","2","","","","5214"
"","","","","5214064","131","1","","","","5214"
"vo_wac_05214_000","","","","5214065","21","vo_wac_05214","0","0","","5214"
"わぁ、お誕生日ケーキですか？\nおめでとうございます～\nいったい誰の……えっ、わ、私！？\n誕生日、覚えててくれたんですか……？","0","0.5","1","5214066","11","105511","1","10","0","5214"
"","","","","5214067","91","0","","","","5214"
"wac_birthday_idle_wish","","","","5214068","3","105511","","1","0.2","5214"
"wac_birthday_talk_smile","","","","5214069","3","105311","","1","0.2","5214"
"vo_wac_05214_001","","","","5214070","21","vo_wac_05214","0","0","","5214"
"忘れるはずがないだろう！\nアユミは我がギルドの数少ない良心……\nいや、重要な存在なのだからな！\n盛大に祝福させてくれ！　おめでとう！","0","0.5","1","5214071","11","105311","1","10","0","5214"
"","","","","5214072","91","0","","","","5214"
"wac_birthday_idle_doya","","","","5214073","3","105311","","1","0.2","5214"
"wac_birthday_talk_wish","","","","5214074","3","105511","","1","0.2","5214"
"vo_wac_05214_002","","","","5214075","21","vo_wac_05214","0","0","","5214"
"え、えっと……\nこれ、夢じゃないですよね？\nほっぺをつねっても……いひゃい！\nやっぱり夢じゃないれす！","0","0.5","1","5214076","11","105511","1","10","0","5214"
"","","","","5214077","91","0","","","","5214"
"wac_birthday_talk_smile","","","","5214078","3","105511","","1","0.2","5214"
"vo_wac_05214_003","","","","5214079","21","vo_wac_05214","0","0","","5214"
"うぅっ……あっ、ありがとうございます！\n先輩にもお祝いしてもらえて\nとってもうれしいです！\nえへへ、大切にいただきますね……♪","0","0.5","1","5214080","11","105511","1","10","0","5214"
"","","","","5214081","91","0","","","","5214"
"","","","","5214082","22","0","","","","5214"
"bgm_M321_2C","","","","5514001","25","bgm_M321","","","","5514"
"101611","0","wac_birthday_idle_normal","-70","5514002","1","1","-1000","250","2","5514"
"105011","1","wac_birthday_idle_normal","-270","5514003","1","1","230","256","2","5514"
"101811","1","wac_birthday_idle_smile","-310","5514004","1","1","410","257","2","5514"
"300","","","","5514005","13","101611","","","","5514"
"300","","","","5514006","13","105011","","","","5514"
"600","","","1","5514007","31","600","0","0","1","5514"
"602","","","1","5514008","31","602","0","0","0","5514"
"603","","","1","5514009","31","603","0","0","0","5514"
"604","","","1","5514010","31","604","60","30","1","5514"
"611","","","1","5514011","31","611","0","0","1","5514"
"700","","","1","5514012","31","700","0","0","0","5514"
"701","","","1","5514013","31","701","0","0","0","5514"
"702","","","1","5514014","31","702","0","0","0","5514"
"800","","","1","5514015","31","800","0","0","0","5514"
"904","","","1","5514016","31","904","60","30","1","5514"
"","","","","5514017","93","1","","","","5514"
"wac_birthday_reaction_01","0.2","","1","5514018","3","101811","wac_birthday_reaction_04","0","0.2","5514"
"","","","","5514019","93","0.1","","","","5514"
"wac_birthday_reaction_05","0.2","","1","5514020","3","105011","wac_birthday_reaction_03","0","0.2","5514"
"","","","","5514021","93","0.3","","","","5514"
"wac_birthday_run_01","","","","5514022","3","101611","","1","0.2","5514"
"0","","","","5514023","2","101611","3","-70","","5514"
"","","","","5514024","93","2.5","","","","5514"
"1","","","","5514025","32","602","","","","5514"
"","","","","5514026","93","0.6","","","","5514"
"0","","","","5514027","32","600","","","","5514"
"0","","","","5514028","32","611","","","","5514"
"0","","","","5514029","32","604","","","","5514"
"1","","","","5514030","32","701","","","","5514"
"0","","","","5514031","33","904","0.01","0","","5514"
"wac_birthday_blowout_02","0.2","","1","5514032","3","101611","wac_birthday_wish_03","0","0.2","5514"
"-200","","","","5514033","2","101611","0.01","-330","","5514"
"wac_birthday_idle_smile","","","","5514034","3","105011","","1","0.2","5514"
"180","","","","5514035","2","105011","0.01","-320","","5514"
"wac_birthday_idle_wish","","","","5514036","3","101811","","1","0.2","5514"
"320","","","","5514037","2","101811","0.01","-340","","5514"
"","","","","5514038","93","0","","","","5514"
"1","","","","5514039","32","800","","","","5514"
"","","","","5514040","93","0.7","","","","5514"
"1","","","","5514041","32","702","","","","5514"
"","","","","5514042","93","0.5","","","","5514"
"se_sys_login_birthday_blow_candle","","","","5514043","23","se_common","","0","","5514"
"0","","","","5514044","32","701","","","","5514"
"","","","","5514045","93","0.4","","","","5514"
"se_sys_login_birthday_cracker","","","","5514046","23","se_common","","0","","5514"
"1","","","","5514047","32","700","","","","5514"
"se_sys_login_birthday_calendar_applause","","","","5514048","23","se_common","","0","","5514"
"wac_birthday_clap","0.2","","1","5514049","3","105011","wac_birthday_idle_smile","0","0.2","5514"
"","","","","5514050","93","0.1","","","","5514"
"wac_birthday_clap_to_wish","0.2","","1","5514051","3","101811","wac_birthday_idle_wish","0","0.2","5514"
"","","","","5514052","93","2","","","","5514"
"","","","","5514053","131","1","","","","5514"
"vo_wac_05514_000","","","","5514054","21","vo_wac_05514","0","0","","5514"
"わわ、これってうちの誕生日ケーキ？\nこんなのあるなんて聞いてないし～！\nオニ感激なんだけど！？","0","0.5","1","5514055","11","101611","1","10","0","5514"
"","","","","5514056","91","0","","","","5514"
"wac_birthday_idle_kyapi","","","","5514057","3","101611","","1","0.2","5514"
"wac_birthday_talk_smile","","","","5514058","3","105011","","1","0.2","5514"
"vo_wac_05514_001","","","","5514059","21","vo_wac_05514","0","0","","5514"
"フフン、感謝しなさいよね～\nアタシとイオちゃんで徹夜して作っ……いや！\n大して苦労はしなかったけど！\nえっと……誕生日おめでと、スズナ。","0","0.5","1","5514060","11","105011","1","10","0","5514"
"","","","","5514061","91","0","","","","5514"
"wac_birthday_idle_smile","","","","5514062","3","105011","","1","0.2","5514"
"wac_birthday_talk_smile","","","","5514063","3","101611","","1","0.2","5514"
"vo_wac_05514_002","","","","5514064","21","vo_wac_05514","0","0","","5514"
"あはは、うん、ありがとっ！\nそれでミサキっちとちゃんイオ\n朝から甘～い匂いしてたんだね～","0","0.5","1","5514065","11","101611","1","10","0","5514"
"","","","","5514066","91","0","","","","5514"
"wac_birthday_talk_kyapi","","","","5514067","3","101611","","1","0.2","5514"
"vo_wac_05514_003","","","","5514068","21","vo_wac_05514","0","0","","5514"
"やっぱ持つべきものは\n友達だし……♪\nよーし、みんなでパーティーしよー！\nもちヒデサイも一緒だからね！","0","0.5","1","5514069","11","101611","1","10","0","5514"
"","","","","5514070","91","0","","","","5514"
"","","","","5514071","22","0","","","","5514"
"bgm_M321_2C","","","","6214001","25","bgm_M321","","","","6214"
"106731","0","wac_birthday_idle_normal","-70","6214002","1","1","-1000","250","2","6214"
"106611","1","wac_birthday_idle_doya","-270","6214003","1","1","230","256","2","6214"
"106511","1","wac_birthday_idle_normal","-310","6214004","1","1","410","257","2","6214"
"300","","","","6214005","13","106731","","","","6214"
"300","","","","6214006","13","106611","","","","6214"
"600","","","1","6214007","31","600","0","0","1","6214"
"602","","","1","6214008","31","602","0","0","0","6214"
"603","","","1","6214009","31","603","0","0","0","6214"
"604","","","1","6214010","31","604","60","30","1","6214"
"611","","","1","6214011","31","611","0","0","1","6214"
"700","","","1","6214012","31","700","0","0","0","6214"
"701","","","1","6214013","31","701","0","0","0","6214"
"702","","","1","6214014","31","702","0","0","0","6214"
"800","","","1","6214015","31","800","0","0","0","6214"
"905","","","1","6214016","31","905","60","30","1","6214"
"","","","","6214017","93","1","","","","6214"
"wac_birthday_reaction_02","0.2","","1","6214018","3","106511","wac_birthday_reaction_03","0","0.2","6214"
"","","","","6214019","93","0.1","","","","6214"
"wac_birthday_reaction_01","0.2","","1","6214020","3","106611","wac_birthday_reaction_03","0","0.2","6214"
"","","","","6214021","93","0.3","","","","6214"
"wac_birthday_run_01","","","","6214022","3","106731","","1","0.2","6214"
"0","","","","6214023","2","106731","3","-70","","6214"
"","","","","6214024","93","2.5","","","","6214"
"1","","","","6214025","32","602","","","","6214"
"","","","","6214026","93","0.6","","","","6214"
"0","","","","6214027","32","600","","","","6214"
"0","","","","6214028","32","611","","","","6214"
"0","","","","6214029","32","604","","","","6214"
