2f228c866d0b6a59cf421466e4fd3b6a6d23b912637d69f34119efbc813d87de,03ea442fc2d9e2838aedd758db329797f1dc15da00dd98b05b0c4195b1369487,b6f0ee7323e0d9b4f0414b2359250cfac291fd8af655117bf388b253ed66d89e,df9278ebb44acd3cd80f10545e2b0bb4ae05bc24b3b39f71e3a735c2f41be3b6,0fcec7c5a261a2cab4b677385f54560315876829217baef5d8fca04b93a2a092
"10602","6","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"10603","6","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"10604","6","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut"
"10605","6","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","damage_up"
"10606","6","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up"
"10607","6","クリティカルダウン","すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down"
"10608","6","ＨＰ吸収ダウン","すべてのキャラのＨＰ吸収をダウンさせる。","life_steal_down"
"10609","6","ＴＰダウンカット","すべてのモンスターがＴＰダウンカット状態になる。","tp_down_cut"
"10610","6","ＨＰ回復量ダウン","すべてのキャラのＨＰ回復量をダウンさせる。","hp_recovery_down"
"10701","7","HELLマス出現","バトルマス（HELL）が出現する。","add_monster"
"10702","7","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"10703","7","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"10704","7","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut"
"10705","7","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","damage_up"
"10706","7","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up"
"10707","7","クリティカルダウン","すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down"
"10708","7","ＨＰ吸収ダウン","すべてのキャラのＨＰ吸収をダウンさせる。","life_steal_down"
"10709","7","ＴＰダウンカット","すべてのモンスターがＴＰダウンカット状態になる。","tp_down_cut"
"10710","7","ＨＰ回復量ダウン","すべてのキャラのＨＰ回復量をダウンさせる。","hp_recovery_down"
"10711","7","アルファルピ獲得量ダウン","バトル勝利時のアルファルピ獲得量がダウンする。","decrease_income"
"10801","8","HELLマス出現","バトルマス（HELL）が出現する。","add_monster"
"10802","8","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"10803","8","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"10804","8","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut"
"10805","8","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","damage_up"
"10806","8","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up"
"10807","8","クリティカルダウン","すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down"
"10808","8","ＨＰ吸収ダウン","すべてのキャラのＨＰ吸収をダウンさせる。","life_steal_down"
"10809","8","ＴＰダウンカット","すべてのモンスターがＴＰダウンカット状態になる。","tp_down_cut"
"10810","8","ＨＰ回復量ダウン","すべてのキャラのＨＰ回復量をダウンさせる。","hp_recovery_down"
"10811","8","アルファルピ獲得量ダウン","バトル勝利時のアルファルピ獲得量がダウンする。","decrease_income"
"10812","8","継続ダメージ発生間隔/効果時間延長","すべてのモンスターが受ける継続ダメージの発生間隔と効果時間が延長される。","increase_dot_interval"
"10901","9","HELLマス出現","バトルマス（HELL）が出現する。","add_monster"
"10902","9","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"10903","9","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"10904","9","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut"
"10905","9","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","damage_up"
"10906","9","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up"
"10907","9","クリティカルダウン","すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down"
"10908","9","ＨＰ吸収ダウン","すべてのキャラのＨＰ吸収をダウンさせる。","life_steal_down"
"10909","9","ＴＰダウンカット","すべてのモンスターがＴＰダウンカット状態になる。","tp_down_cut"
"10910","9","ＨＰ回復量ダウン","すべてのキャラのＨＰ回復量をダウンさせる。","hp_recovery_down"
"10911","9","アルファルピ獲得量ダウン","バトル勝利時のアルファルピ獲得量がダウンする。","decrease_income"
"10912","9","継続ダメージ発生間隔/効果時間延長","すべてのモンスターが受ける継続ダメージの発生間隔と効果時間が延長される。","increase_dot_interval"
"11001","10","HELLマス出現","バトルマス（HELL）が出現する。","add_monster"
"11002","10","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit"
"11003","10","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit"
"11004","10","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut"
"11005","10","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","damage_up"
"11006","10","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","def_up"
"11007","10","クリティカルダウン","すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down"
"11008","10","ＨＰ吸収ダウン","すべてのキャラのＨＰ吸収をダウンさせる。","life_steal_down"
"11009","10","ＴＰダウンカット","すべてのモンスターがＴＰダウンカット状態になる。","tp_down_cut"
"11010","10","ＨＰ回復量ダウン","すべてのキャラのＨＰ回復量をダウンさせる。","hp_recovery_down"
"11011","10","アルファルピ獲得量ダウン","バトル勝利時のアルファルピ獲得量がダウンする。","decrease_income"
"11012","10","継続ダメージ発生間隔/効果時間延長","すべてのモンスターが受ける継続ダメージの発生間隔と効果時間が延長される。","increase_dot_interval"
"11013","10","バトル時間制限","バトル時間が85秒になる。","limit_time"
