484e350b06b7b61db6b2b88c00d036774bd7744a1e7b81df8522c916350c0831,283e10338d86519f9521b38f252659fce02febdcedd26b7eff92fa3844e26532,4a97e33b0213b97ce6f219e5a36bdedf48d8318c381345e26025afe80bc5eea1,1e87237963fc2b49c77476ca62676438fc512458a97c005d9e74ae6caf501bcd,c6f1b728f3e8de746f3560c227515f72c497a218f580cfa857c0c6b4f0e59e92,3e5475b95efefb4f3d75c4275e9894d84e3dafa11cabf0d86c5b74d1f610794b,42f4928e72fc61c74f5ec56c56ac7109fc4f407e3ef1faac9be56a4ed5eac0af,f8cf7734732c85a23c5633f437c472073d41e78bc8f113b7dae1ca77fda5778f,5a8d9e1503e7589407334397ecdf60f2121b39c4362d17ebbd0f586217e1cce9,ba618bcdec8794aaffb0c7f7b8569478da90cfadc9c0408cb179c34312d54c08,3aefde05799987c7fa0a5be40df63e2057d1ed864c32eeb0631eaa6342092ea0,dd63ccdcb91195e64704e4b38d9d7a512796501a30c78cd8140c089273786d28,f1cc9bf24fbf4ea920f25952e6cdca7c1f5026eedb6e2526b1c45ed704eafc94,8f083b6b4edca7f4f1e31b5ca5adac7da40bf64cf467e7a6fc4eb9c32e50424f,1b8debf669ac0ef3b5a9d1c73cacb0a3185471742aae773acce750e2b0032409,cd9c35c77e11bb59671ea0512cf5cfff1d8c9198462c96c0393dbcdd594019c5,77c83ba0dc62098d7821914f7e0a2d0a8ae6eeab2523d4b239f84c35b31360e4,29ebc5d8778eded9db82a16578f46db7c40a189c4d75b0555c7de4cca54ef00e,85120ff60bdcd325c2e560e174b81408e335481e2590c19093f024824b6500a9,38a836b5a78905ab34f963439f32b64de1bb9aaa3dc1020e48b07baa901c57bf,3b900a56682e080b3855402a2b97176a61f9dafb24b4d83593028133d7aa4358,8bac3055090d58b2831a0bf77516c562b1c0cbde5ff67f9dfcfb3b1875f5415f,ef16951c9180632ef3626562de2cbdbb18c0f741a55cae65c6eefcf2ee4024d9,c52a1ba3fd6850f7bfa5616275aa48dc2fb04c9b63fe60f937aa7a1c7c4667b6,50ab20e11fd6f4bb1e4af7d6e9b02d21dc9d9917cd9247caf334f23197c7555f,fafdbd8c3e840757a2afc8504e27182a47d6dc55dfbc26e5558ea491817cbbd2,3c8a6f559dca3ff81ae03ab442720e39f1f2bfbaed9b1823cd50ad25f7053183,e22d6b5b709a5d74483abeaec5ac3aa976f2c08d063ea950fb1d96e170836da4,ad65839024c8d3095f779cae7daab01f6699008f52aeeb7f853f671fd68d4a1a,e4d63e367eb3b12038ef13808022d23e4ad841d876918e3d18c2236a48dda448,aeef5418b05b72eb1756bb40b9250bb4c8413f433bb04777115eb32071f660b4,0ff4e2ce9c7a924030314575025804b6966619d7afccc108bc36ed96e67a51ad,884596ff252a79bde0499953af510228b087d0b4a60beb78817c8f95bec1e552,c78cec1e939b6e32849b7fe662e092679f899474788616a4da8a0df00971feb6,3a67a83d001bc5296d5e0725bea22702f4d5322f7687d5d14566d49c6535f277,5e6a6f9bc0827e7335d387adf7ca96539c5dcf798a71e52b02f4a95215af2b42,27a85876258f98df1a4e947849ee718562f6fd51759bcce879d583d2987e8144,5fbfb980522ec44afbbc6cbf2c316c2598f77bd651c9843c63ed3c7aed3ede6e,5c6459f386907cd94814c273fe295c87d3e2275d049be3b8064f52ff5a6b93e2,07f4d902ceaed07e233b186741b9a3799ea19d778521bfe6f1df14b6368c6995
"20","20","0","20","20","0","1","0","20","0","20","20","0","20","0","20","0","20","186","20","20","0","0","1563","200000006","20","20","16","1","10","20","200100","10","20","30","13","1","0","20","670010020"
"21","21","0","21","21","0","1","0","21","0","21","21","0","21","0","21","0","21","206","21","21","0","0","1784","200000006","21","21","18","1","10","21","200100","10","21","30","15","1","0","21","670010021"
"22","22","0","22","22","0","1","0","22","0","22","22","0","22","0","22","0","22","225","22","22","0","0","2005","200000006","22","22","20","1","10","22","200100","10","22","30","17","1","0","22","670010022"
"23","23","0","23","23","0","1","0","23","0","23","23","0","23","0","23","0","23","245","23","23","0","0","2225","200000006","23","23","21","1","10","23","200100","10","23","30","18","1","0","23","670010023"
"24","24","0","24","24","0","1","0","24","0","24","24","0","24","0","24","0","24","264","24","24","0","0","2446","200000006","24","24","23","1","10","24","200100","10","24","30","20","1","0","24","670010024"
"25","25","0","25","25","0","1","0","25","0","25","25","0","25","0","25","0","25","267","25","25","0","0","2701","200000006","25","25","24","1","10","25","200100","10","25","30","21","1","0","25","670010025"
"26","26","0","26","26","0","1","0","26","0","26","26","0","26","0","26","0","26","269","26","26","0","0","2956","200000006","26","26","24","1","10","26","200100","10","26","30","21","1","0","26","670010026"
"27","27","0","27","27","0","1","0","27","0","27","27","0","27","0","27","0","27","289","27","27","0","0","3211","200000006","27","27","24","1","10","27","200100","10","27","30","21","1","0","27","670010027"
"28","28","0","28","28","0","1","0","28","0","28","28","0","28","0","28","0","28","309","28","28","0","0","3466","200000006","28","28","25","1","10","28","200100","10","28","30","21","1","0","28","670010028"
"29","29","0","29","29","0","1","0","29","0","29","29","0","29","0","29","0","29","330","29","29","0","0","3721","200000006","29","29","25","1","10","29","200100","10","29","30","22","1","0","29","670010029"
"30","30","0","30","30","0","1","0","30","0","30","30","0","30","0","30","0","30","350","30","30","0","0","3976","200000006","30","30","25","1","10","30","200100","10","30","30","22","1","0","30","670010030"
"31","31","0","31","31","0","1","0","31","0","31","31","0","31","0","31","0","31","370","31","31","0","0","4232","200000006","31","31","26","1","10","31","200100","10","31","30","22","1","0","31","670010031"
"32","32","0","32","32","0","1","0","32","0","32","32","0","32","0","32","0","32","390","32","32","0","0","4487","200000006","32","32","26","1","10","32","200100","10","32","30","22","1","0","32","670010032"
"33","33","0","33","33","0","1","0","33","0","33","33","0","33","0","33","0","33","410","33","33","0","0","4742","200000006","33","33","26","1","10","33","200100","10","33","30","22","1","0","33","670010033"
"34","34","0","34","34","0","1","0","34","0","34","34","0","34","0","34","0","34","431","34","34","0","0","4997","200000006","34","34","26","1","10","34","200100","10","34","30","23","1","0","34","670010034"
"35","35","0","35","35","0","1","0","35","0","35","35","0","35","0","35","0","35","451","35","35","0","0","5252","200000006","35","35","27","1","10","35","200100","10","35","30","23","1","0","35","670010035"
"36","36","0","36","36","0","1","0","36","0","36","36","0","36","0","36","0","36","471","36","36","0","0","5507","200000006","36","36","27","1","10","36","200100","10","36","30","23","1","0","36","670010036"
"37","37","0","37","37","0","1","0","37","0","37","37","0","37","0","37","0","37","516","37","37","0","0","5667","200000006","37","37","31","1","10","37","200100","10","37","30","27","1","0","37","670010037"
"38","38","0","38","38","0","1","0","38","0","38","38","0","38","0","38","0","38","562","38","38","0","0","5826","200000006","38","38","35","1","10","38","200100","10","38","30","31","1","0","38","670010038"
"39","39","0","39","39","0","1","0","39","0","39","39","0","39","0","39","0","39","607","39","39","0","0","5986","200000006","39","39","39","1","10","39","200100","10","39","30","35","1","0","39","670010039"
"40","40","0","40","40","0","1","0","40","0","40","40","0","40","0","40","0","40","712","40","40","0","0","7437","200000006","40","40","40","1","10","40","200100","10","40","30","36","1","0","40","670010040"
"41","41","0","41","41","0","1","0","41","0","41","41","0","41","0","41","0","41","816","41","41","0","0","8888","200000006","41","41","40","1","10","41","200100","10","41","30","36","1","0","41","670010041"
"42","42","0","42","42","0","1","0","42","0","42","42","0","42","0","42","0","42","913","42","42","0","0","9321","200000006","42","42","41","1","10","42","200100","10","42","30","36","1","0","42","670010042"
"43","43","0","43","43","0","1","0","43","0","43","43","0","43","0","43","0","43","1010","43","43","0","0","9754","200000006","43","43","41","1","10","43","200100","10","43","30","36","1","0","43","670010043"
"44","44","0","44","44","0","1","0","44","0","44","44","0","44","0","44","0","44","1079","44","44","0","0","10008","200000006","44","44","45","1","10","44","200100","10","44","30","38","1","0","44","670010044"
"45","45","0","45","45","0","1","0","45","0","45","45","0","45","0","45","0","45","1148","45","45","0","0","10263","200000006","45","45","49","1","10","45","200100","10","45","30","41","1","0","45","670010045"
"46","46","0","46","46","0","1","0","46","0","46","46","0","46","0","46","0","46","1217","46","46","0","0","10517","200000006","46","46","53","1","10","46","200100","10","46","30","43","1","0","46","670010046"
"47","47","0","47","47","0","1","0","47","0","47","47","0","47","0","47","0","47","1286","47","47","0","0","10771","200000006","47","47","57","1","10","47","200100","10","47","30","45","1","0","47","670010047"
"48","48","0","48","48","0","1","0","48","0","48","48","0","48","0","48","0","48","1355","48","48","0","0","11026","200000006","48","48","61","1","10","48","200100","10","48","30","48","1","0","48","670010048"
"49","49","0","49","49","0","1","0","49","0","49","49","0","49","0","49","0","49","1424","49","49","0","0","11280","200000006","49","49","65","1","10","49","200100","10","49","30","50","1","0","49","670010049"
"50","50","0","50","50","0","1","0","50","0","50","50","0","50","0","50","0","50","1493","50","50","0","0","11534","200000006","50","50","69","1","10","50","200100","10","50","30","52","1","0","50","670010050"
"51","51","0","51","51","0","1","0","51","0","51","51","0","51","0","51","0","51","1562","51","51","0","0","11789","200000006","51","51","73","1","10","51","200100","10","51","30","55","1","0","51","670010051"
"52","52","0","52","52","0","1","0","52","0","52","52","0","52","0","52","0","52","1632","52","52","0","0","12043","200000006","52","52","77","1","10","52","200100","10","52","30","57","1","0","52","670010052"
"53","53","0","53","53","0","1","0","53","0","53","53","0","53","0","53","0","53","1701","53","53","0","0","12297","200000006","53","53","81","1","10","53","200100","10","53","30","59","1","0","53","670010053"
"54","54","0","54","54","0","1","0","54","0","54","54","0","54","0","54","0","54","1770","54","54","0","0","12552","200000006","54","54","85","1","10","54","200100","10","54","30","62","1","0","54","670010054"
"55","55","0","55","55","0","1","0","55","0","55","55","0","55","0","55","0","55","1839","55","55","0","0","12806","200000006","55","55","89","1","10","55","200100","10","55","30","64","1","0","55","670010055"
"56","56","0","56","56","0","1","0","56","0","56","56","0","56","0","56","0","56","1908","56","56","0","0","13060","200000006","56","56","93","1","10","56","200100","10","56","30","66","1","0","56","670010056"
"57","57","0","57","57","0","1","0","57","0","57","57","0","57","0","57","0","57","1977","57","57","0","0","13315","200000006","57","57","97","1","10","57","200100","10","57","30","69","1","0","57","670010057"
"58","58","0","58","58","0","1","0","58","0","58","58","0","58","0","58","0","58","2046","58","58","0","0","13569","200000006","58","58","101","1","10","58","200100","10","58","30","71","1","0","58","670010058"
"59","59","0","59","59","0","1","0","59","0","59","59","0","59","0","59","0","59","2115","59","59","0","0","13823","200000006","59","59","105","1","10","59","200100","10","59","30","73","1","0","59","670010059"
"60","60","0","60","60","0","1","0","60","0","60","60","0","60","0","60","0","60","2184","60","60","0","0","14078","200000006","60","60","109","1","10","60","200100","10","60","30","76","1","0","60","670010060"
"61","61","0","61","61","0","1","0","61","0","61","61","0","61","0","61","0","61","2253","61","61","0","0","14332","200000006","61","61","113","1","10","61","200100","10","61","30","78","1","0","61","670010061"
"62","62","0","62","62","0","1","0","62","0","62","62","0","62","0","62","0","62","2280","62","62","0","0","15514","200000006","62","62","113","1","10","62","200100","10","62","30","79","1","0","62","670010062"
"63","63","0","63","63","0","1","0","63","0","63","63","0","63","0","63","0","63","2306","63","63","0","0","16696","200000006","63","63","114","1","10","63","200100","10","63","30","79","1","0","63","670010063"
"64","64","0","64","64","0","1","0","64","0","64","64","0","64","0","64","0","64","2333","64","64","0","0","17878","200000006","64","64","114","1","10","64","200100","10","64","30","80","1","0","64","670010064"
"65","65","0","65","65","0","1","0","65","0","65","65","0","65","0","65","0","65","2359","65","65","0","0","19060","200000006","65","65","114","1","10","65","200100","10","65","30","81","1","0","65","670010065"
"66","66","0","66","66","0","1","0","66","0","66","66","0","66","0","66","0","66","2386","66","66","0","0","20242","200000006","66","66","115","1","10","66","200100","10","66","30","82","1","0","66","670010066"
"67","67","0","67","67","0","1","0","67","0","67","67","0","67","0","67","0","67","2412","67","67","0","0","21425","200000006","67","67","115","1","10","67","200100","10","67","30","82","1","0","67","670010067"
"68","68","0","68","68","0","1","0","68","0","68","68","0","68","0","68","0","68","2439","68","68","0","0","22607","200000006","68","68","115","1","10","68","200100","10","68","30","83","1","0","68","670010068"
"69","69","0","69","69","0","1","0","69","0","69","69","0","69","0","69","0","69","2466","69","69","0","0","23789","200000006","69","69","116","1","10","69","200100","10","69","30","84","1","0","69","670010069"
"70","70","0","70","70","0","1","0","70","0","70","70","0","70","0","70","0","70","2492","70","70","0","0","24971","200000006","70","70","116","1","10","70","200100","10","70","30","85","1","0","70","670010070"
"71","71","0","71","71","0","1","0","71","0","71","71","0","71","0","71","0","71","2519","71","71","0","0","26153","200000006","71","71","116","1","10","71","200100","10","71","30","85","1","0","71","670010071"
"1","1","0","1","1","0","1","0","1","0","1","1","0","1","0","1","0","1","108","1","1","0","0","924","200000001","1","1","8","1","10","1","200200","10","1","30","10","1","0","1","670020001"
"2","2","0","2","2","0","1","0","2","0","2","2","0","2","0","2","0","2","111","2","2","0","0","927","200000001","2","2","8","1","10","2","200200","10","2","30","10","1","0","2","670020002"
"3","3","0","3","3","0","1","0","3","0","3","3","0","3","0","3","0","3","114","3","3","0","0","930","200000001","3","3","8","1","10","3","200200","10","3","30","10","1","0","3","670020003"
"4","4","0","4","4","0","1","0","4","0","4","4","0","4","0","4","0","4","117","4","4","0","0","933","200000001","4","4","9","1","10","4","200200","10","4","30","11","1","0","4","670020004"
"5","5","0","5","5","0","1","0","5","0","5","5","0","5","0","5","0","5","120","5","5","0","0","936","200000001","5","5","9","1","10","5","200200","10","5","30","11","1","0","5","670020005"
"6","6","0","6","6","0","1","0","6","0","6","6","0","6","0","6","0","6","123","6","6","0","0","939","200000001","6","6","9","1","10","6","200200","10","6","30","11","1","0","6","670020006"
"7","7","0","7","7","0","1","0","7","0","7","7","0","7","0","7","0","7","126","7","7","0","0","942","200000001","7","7","10","1","10","7","200200","10","7","30","12","1","0","7","670020007"
"8","8","0","8","8","0","1","0","8","0","8","8","0","8","0","8","0","8","129","8","8","0","0","945","200000001","8","8","10","1","10","8","200200","10","8","30","12","1","0","8","670020008"
"9","9","0","9","9","0","1","0","9","0","9","9","0","9","0","9","0","9","132","9","9","0","0","948","200000001","9","9","10","1","10","9","200200","10","9","30","12","1","0","9","670020009"
"10","10","0","10","10","0","1","0","10","0","10","10","0","10","0","10","0","10","135","10","10","0","0","951","200000001","10","10","11","1","10","10","200200","10","10","30","13","1","0","10","670020010"
"11","11","0","11","11","0","1","0","11","0","11","11","0","11","0","11","0","11","138","11","11","0","0","954","200000001","11","11","11","1","10","11","200200","10","11","30","13","1","0","11","670020011"
"12","12","0","12","12","0","1","0","12","0","12","12","0","12","0","12","0","12","141","12","12","0","0","957","200000001","12","12","11","1","10","12","200200","10","12","30","13","1","0","12","670020012"
"13","13","0","13","13","0","1","0","13","0","13","13","0","13","0","13","0","13","144","13","13","0","0","960","200000001","13","13","12","1","10","13","200200","10","13","30","14","1","0","13","670020013"
"14","14","0","14","14","0","1","0","14","0","14","14","0","14","0","14","0","14","147","14","14","0","0","963","200000001","14","14","12","1","10","14","200200","10","14","30","14","1","0","14","670020014"
"15","15","0","15","15","0","1","0","15","0","15","15","0","15","0","15","0","15","151","15","15","0","0","966","200000001","15","15","13","1","10","15","200200","10","15","30","15","1","0","15","670020015"
"16","16","0","16","16","0","1","0","16","0","16","16","0","16","0","16","0","16","175","16","16","0","0","1322","200000001","16","16","13","1","10","16","200200","10","16","30","15","1","0","16","670020016"
"17","17","0","17","17","0","1","0","17","0","17","17","0","17","0","17","0","17","199","17","17","0","0","1678","200000001","17","17","13","1","10","17","200200","10","17","30","15","1","0","17","670020017"
"18","18","0","18","18","0","1","0","18","0","18","18","0","18","0","18","0","18","207","18","18","0","0","1884","200000001","18","18","13","1","10","18","200200","10","18","30","15","1","0","18","670020018"
"19","19","0","19","19","0","1","0","19","0","19","19","0","19","0","19","0","19","215","19","19","0","0","2090","200000001","19","19","14","1","10","19","200200","10","19","30","16","1","0","19","670020019"
"20","20","0","20","20","0","1","0","20","0","20","20","0","20","0","20","0","20","223","20","20","0","0","2296","200000001","20","20","14","1","10","20","200200","10","20","30","16","1","0","20","670020020"
"21","21","0","21","21","0","1","0","21","0","21","21","0","21","0","21","0","21","237","21","21","0","0","2377","200000001","21","21","14","1","10","21","200200","10","21","30","17","1","0","21","670020021"
"22","22","0","22","22","0","1","0","22","0","22","22","0","22","0","22","0","22","251","22","22","0","0","2458","200000001","22","22","14","1","10","22","200200","10","22","30","17","1","0","22","670020022"
"23","23","0","23","23","0","1","0","23","0","23","23","0","23","0","23","0","23","251","23","23","0","0","2658","200000001","23","23","14","1","10","23","200200","10","23","30","17","1","0","23","670020023"
"24","24","0","24","24","0","1","0","24","0","24","24","0","24","0","24","0","24","268","24","24","0","0","2829","200000001","24","24","16","1","10","24","200200","10","24","30","19","1","0","24","670020024"
"25","25","0","25","25","0","1","0","25","0","25","25","0","25","0","25","0","25","285","25","25","0","0","2999","200000001","25","25","18","1","10","25","200200","10","25","30","21","1","0","25","670020025"
"26","26","0","26","26","0","1","0","26","0","26","26","0","26","0","26","0","26","302","26","26","0","0","3170","200000001","26","26","19","1","10","26","200200","10","26","30","24","1","0","26","670020026"
"27","27","0","27","27","0","1","0","27","0","27","27","0","27","0","27","0","27","319","27","27","0","0","3340","200000001","27","27","21","1","10","27","200200","10","27","30","26","1","0","27","670020027"
"28","28","0","28","28","0","1","0","28","0","28","28","0","28","0","28","0","28","336","28","28","0","0","3511","200000001","28","28","23","1","10","28","200200","10","28","30","28","1","0","28","670020028"
"29","29","0","29","29","0","1","0","29","0","29","29","0","29","0","29","0","29","380","29","29","0","0","4632","200000001","29","29","23","1","10","29","200200","10","29","30","29","1","0","29","670020029"
"30","30","0","30","30","0","1","0","30","0","30","30","0","30","0","30","0","30","412","30","30","0","0","4717","200000001","30","30","23","1","10","30","200200","10","30","30","29","1","0","30","670020030"
"31","31","0","31","31","0","1","0","31","0","31","31","0","31","0","31","0","31","443","31","31","0","0","4802","200000001","31","31","23","1","10","31","200200","10","31","30","28","1","0","31","670020031"
"32","32","0","32","32","0","1","0","32","0","32","32","0","32","0","32","0","32","432","32","32","0","0","4887","200000001","32","32","23","1","10","32","200200","10","32","30","28","1","0","32","670020032"
"33","33","0","33","33","0","1","0","33","0","33","33","0","33","0","33","0","33","420","33","33","0","0","4972","200000001","33","33","23","1","10","33","200200","10","33","30","28","1","0","33","670020033"
"34","34","0","34","34","0","1","0","34","0","34","34","0","34","0","34","0","34","499","34","34","0","0","5985","200000001","34","34","24","1","10","34","200200","10","34","30","28","1","0","34","670020034"
"35","35","0","35","35","0","1","0","35","0","35","35","0","35","0","35","0","35","525","35","35","0","0","6241","200000001","35","35","27","1","10","35","200200","10","35","30","32","1","0","35","670020035"
"36","36","0","36","36","0","1","0","36","0","36","36","0","36","0","36","0","36","550","36","36","0","0","6497","200000001","36","36","30","1","10","36","200200","10","36","30","36","1","0","36","670020036"
"37","37","0","37","37","0","1","0","37","0","37","37","0","37","0","37","0","37","576","37","37","0","0","6752","200000001","37","37","32","1","10","37","200200","10","37","30","39","1","0","37","670020037"
"38","38","0","38","38","0","1","0","38","0","38","38","0","38","0","38","0","38","601","38","38","0","0","7008","200000001","38","38","35","1","10","38","200200","10","38","30","43","1","0","38","670020038"
"39","39","0","39","39","0","1","0","39","0","39","39","0","39","0","39","0","39","671","39","39","0","0","7387","200000001","39","39","33","1","10","39","200200","10","39","30","42","1","0","39","670020039"
"40","40","0","40","40","0","1","0","40","0","40","40","0","40","0","40","0","40","679","40","40","0","0","8119","200000001","40","40","35","1","10","40","200200","10","40","30","44","1","0","40","670020040"
"41","41","0","41","41","0","1","0","41","0","41","41","0","41","0","41","0","41","729","41","41","0","0","9635","200000001","41","41","37","1","10","41","200200","10","41","30","46","1","0","41","670020041"
"42","42","0","42","42","0","1","0","42","0","42","42","0","42","0","42","0","42","778","42","42","0","0","11151","200000001","42","42","38","1","10","42","200200","10","42","30","47","1","0","42","670020042"
"43","43","0","43","43","0","1","0","43","0","43","43","0","43","0","43","0","43","790","43","43","0","0","11476","200000001","43","43","38","1","10","43","200200","10","43","30","47","1","0","43","670020043"
"44","44","0","44","44","0","1","0","44","0","44","44","0","44","0","44","0","44","802","44","44","0","0","11802","200000001","44","44","39","1","10","44","200200","10","44","30","47","1","0","44","670020044"
"45","45","0","45","45","0","1","0","45","0","45","45","0","45","0","45","0","45","814","45","45","0","0","12127","200000001","45","45","39","1","10","45","200200","10","45","30","47","1","0","45","670020045"
"46","46","0","46","46","0","1","0","46","0","46","46","0","46","0","46","0","46","971","46","46","0","0","13833","200000001","46","46","40","1","10","46","200200","10","46","30","48","1","0","46","670020046"
"47","47","0","47","47","0","1","0","47","0","47","47","0","47","0","47","0","47","1128","47","47","0","0","15539","200000001","47","47","40","1","10","47","200200","10","47","30","49","1","0","47","670020047"
"48","48","0","48","48","0","1","0","48","0","48","48","0","48","0","48","0","48","1284","48","48","0","0","17245","200000001","48","48","41","1","10","48","200200","10","48","30","50","1","0","48","670020048"
"49","49","0","49","49","0","1","0","49","0","49","49","0","49","0","49","0","49","1441","49","49","0","0","18951","200000001","49","49","41","1","10","49","200200","10","49","30","51","1","0","49","670020049"
