63b34f0bcee43aa3b703065e3b1c0faa27263563220a7d9981608151dd2663ec,16df0f968f5159054570106fbdc6db9e98a4a141e38e2f3d34c36509bf0f0b43,88421185866fe5c9144e3303d7a39fc011616683a14ad9b1850347a376168fc2,60f71d4ae2a0a7a65d14418281a2abf559213a3c1bd4528ed917bdb3a23f709e,dce5faed658621f3f73a4024c7c365fb1105e7d5cf4f97ed993b6c4ac64ad174,f33f652f0a0bfdc1ea6400bec16bdc4de9bf2f34c2823f63dd49014ba86c38d6,6c0a7e1b664e9dd8cd35f1d5797d253389fbc84362e29383e93c059b721cf810,7c39d93e7bd92b3463dd4c991a86acd2e7c9a5bd845e59c6d975feb551bd6ec9,9907c64de084361d2d6271810ecad1e99745a6e395344fc42bb8dc1ff21ca0d4
"偉大なる","101","1","0","3","3","2","0","1"
"スーパーソニック","102","1","1","3","3","2","0","1"
"ウルトラ","103","1","0","3","3","2","0","1"
"MVPの","104","1","0","3","3","2","0","1"
"ジェネラル","105","1","0","3","3","2","0","1"
"オールラウンド","106","1","2","3","3","2","0","1"
"シルバーメダル","107","1","2","3","3","2","0","1"
"聖なる","108","1","0","3","3","2","0","1"
"エクセレント","109","1","2","3","3","2","0","1"
"一流の","110","1","0","3","3","2","0","1"
"マーベラス","111","1","0","3","3","2","0","1"
"スーパー","112","1","0","3","3","2","1","0"
"フライング","113","1","0","3","3","2","1","0"
"グレート","114","1","0","3","3","2","1","0"
"アンストッパブル","115","1","1","3","3","2","1","0"
"カリスマ","116","1","0","3","3","2","1","0"
"万能","117","1","0","3","3","2","1","0"
"新世代の","118","1","0","3","3","2","1","0"
"栄えある","119","1","0","3","3","2","1","0"
"異彩を放つ","120","1","0","3","3","2","1","0"
"いぶし銀の","121","1","0","3","3","2","1","0"
"天下の","122","1","0","3","3","2","1","0"
"レッツゴー","123","1","0","3","3","2","0","0"
"グッド","124","1","0","3","3","2","0","0"
"ホップ・ステップ・","125","1","1","3","3","2","0","0"
"伸びしろのある","126","1","2","3","3","2","0","0"
"ブロンズメダル","127","1","2","3","3","2","0","0"
"期待の","128","1","0","3","3","2","0","0"
"ジャンピング","129","1","2","3","3","2","0","0"
"新時代の","130","1","0","3","3","2","0","0"
"知る人ぞ知る","131","1","2","3","3","2","0","0"
