1c04e54a52712747a568bc244a103229e53466182da77559aafa3419149cafc4,8b7b53bbaaac707d998e536ca24112813949ee1aa0dffbcb05927c1d91a5e2bf,3d7a435dbfcf7843272fffd7ec168c279b6a2c14d1fc70cee5d624ca52a45041,1538ab72e3d583ddbf36459ae3a9da0e2a36ac970582475a11639fd731befdb7,28f581d01d1e50f65d83ebf056f59e11e054c57b59fad60aef19150f3bb71523,07b5a74c49384497931b6bae94c3f940eee7f02f12f1e45fde39470357134bd6,3030c0a0a696686bc963dcacc1f9b21acf7dcae2bf892c18cc77c6b995738b45,aa0239f4785640478cf25c60bed01160c168cfd87949e02d19b5853ae8cfb923,9376b24b973e888ec7ce2919d0ff40d7867728c8e13cee1cf0ac65d7a7be4c64,b0a207fe93e72bc678c5b69e807e510fcc4fd47524e9c22a5a728a76dad3ecee,37eea576168bc533b548e0157d217b99f8714a23e1519e50156e43077577c16d
"5002","129911","-49","drama_idle","5","-224","1","0","100","1.65","1"
"5003","drama_idle","","","5","","3","","1","0.2","129811"
"5004","drama_talk_thinking","","","5","","3","","1","0.2","129911"
"5005","vo_minigame_1013_top_talk_5_000","0","","5","","21","","0","","vo_minigame_1013"
"5006","訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ","1","0.8","5","0","11","0","6","0","129911"
"5007","","","","5","","91","","","","0"
"5008","drama_idle_thinking","","","5","","3","","1","0.2","129911"
"5009","drama_talk_wonder_in","drama_talk_wonder_loop","","5","1","3","","0","0.2","129811"
"5010","vo_minigame_1013_top_talk_5_001","0","","5","","21","","0","","vo_minigame_1013"
"5011","動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ","1","0.3","5","0","11","0","7","0","129811"
"5012","","","","5","","91","","","","0"
"5013","drama_idle_wonder","","","5","","3","","1","0.2","129811"
"5014","drama_talk_memory","","","5","","3","","1","0.2","129911"
"5015","vo_minigame_1013_top_talk_5_002","0","","5","","21","","0","","vo_minigame_1013"
"5016","「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…","1","0.5","5","0","11","0","5","0","129911"
"5017","","","","5","","91","","","","0"
"5018","drama_idle","","","5","","3","","1","0.2","129811"
"5019","drama_idle","","","5","","3","","1","0.2","129911"
"6001","129811","167","drama_idle","6","-224","1","1","100","1.65","1"
"6002","129911","-49","drama_idle","6","-224","1","0","100","1.65","1"
"6003","drama_idle","","","6","","3","","1","0.2","129911"
"6004","drama_talk_thinking_shy","","","6","","3","","1","0.2","129811"
"6005","vo_minigame_1013_top_talk_6_000","0","","6","","21","","0","","vo_minigame_1013"
"6006","あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…","1","0.3","6","0","11","0","8","0","129811"
"6007","","","","6","","91","","","","0"
"6008","drama_idle_thinking_shy","","","6","","3","","1","0.2","129811"
"6009","drama_talk_doubt_in","drama_talk_doubt_loop","","6","1","3","","0","0.2","129911"
"6010","vo_minigame_1013_top_talk_6_001","0","","6","","21","","0","","vo_minigame_1013"
"6011","マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが","1","0.8","6","0","11","0","6","0","129911"
"6012","","","","6","","91","","","","0"
"6013","drama_idle_doubt","","","6","","3","","1","0.2","129911"
"6014","drama_talk_surprise_in_shy","drama_talk_surprise_loop_shy","","6","1","3","","0","0.2","129811"
"6015","vo_minigame_1013_top_talk_6_002","0","","6","","21","","0","","vo_minigame_1013"
"6016","いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！","1","0.3","6","0","11","0","9","0","129811"
"6017","","","","6","","91","","","","0"
"6018","drama_idle","","","6","","3","","1","0.2","129911"
"6019","drama_idle","","","6","","3","","1","0.2","129811"
"7001","129811","167","drama_idle","7","-224","1","1","100","1.65","1"
"7002","129911","-49","drama_idle","7","-224","1","0","100","1.65","1"
"7003","drama_idle","","","7","","3","","1","0.2","129811"
"7004","drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","","7","1","3","","0","0.2","129911"
"7005","vo_minigame_1013_top_talk_7_000","0","","7","","21","","0","","vo_minigame_1013"
"7006","私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです","1","0.3","7","0","11","0","6","0","129911"
"7007","","","","7","","91","","","","0"
"7008","drama_idle_arm_crossed","","","7","","3","","1","0.2","129911"
"7009","drama_talk_guts2_in","drama_talk_guts2_loop","","7","1","3","","0","0.2","129811"
"7010","vo_minigame_1013_top_talk_7_001","0","","7","","21","","0","","vo_minigame_1013"
"7011","エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ","1","0","7","0","11","0","6","0","129811"
"7012","","","","7","","91","","","","0"
"7013","drama_idle_guts2","","","7","","3","","1","0.2","129811"
"7014","drama_talk_thinking","","","7","","3","","1","0.2","129911"
"7015","vo_minigame_1013_top_talk_7_002","0","","7","","21","","0","","vo_minigame_1013"
"7016","彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ","1","0.5","7","0","11","0","6","0","129911"
"7017","","","","7","","91","","","","0"
"7018","drama_idle","","","7","","3","","1","0.2","129811"
"7019","drama_idle","","","7","","3","","1","0.2","129911"
"8001","129811","167","drama_idle","8","-224","1","1","100","1.65","1"
"8002","129911","-49","drama_idle","8","-224","1","0","100","1.65","1"
"8003","drama_idle","","","8","","3","","1","0.2","129911"
"8004","drama_talk_doya_in_smile","drama_talk_doya_loop_smile","","8","1","3","","0","0.2","129811"
"8005","vo_minigame_1013_top_talk_8_000","0","","8","","21","","0","","vo_minigame_1013"
"8006","マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ","1","0.3","8","0","11","0","7","0","129811"
"8007","","","","8","","91","","","","0"
"8008","drama_idle_doya_smile","","","8","","3","","1","0.2","129811"
"8009","drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","","8","1","3","","0","0.2","129911"
"8010","vo_minigame_1013_top_talk_8_001","0","","8","","21","","0","","vo_minigame_1013"
"8011","訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが","1","0.8","8","0","11","0","5","0","129911"
"8012","","","","8","","91","","","","0"
"8013","drama_idle_arm_crossed","","","8","","3","","1","0.2","129911"
"8014","drama_talk_anger","","","8","","3","","1","0.2","129811"
"8015","vo_minigame_1013_top_talk_8_002","0","","8","","21","","0","","vo_minigame_1013"
"8016","くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！","1","0.3","8","0","11","0","7","0","129811"
"8017","","","","8","","91","","","","0"
"8018","drama_idle","","","8","","3","","1","0.2","129811"
"8019","drama_idle","","","8","","3","","1","0.2","129911"
"30001","129811","167","drama_idle","30","-224","1","1","100","1.65","1"
"30002","129911","-49","drama_idle","30","-224","1","0","100","1.65","1"
"30003","drama_idle","","","30","","3","","1","0.2","129811"
"30004","drama_idle","","","30","","3","","1","0.2","129911"
"30005","0","","","30","","93","","","","0.5"
"30006","","","","30","","26","","","","2"
"30007","10","1.2","","30","0.9","121","","1.2","3","-80"
"30008","drama_joy_eriko","","","30","","3","0.2","0","0.2","129911"
"30009","1","","","30","","140","","0","","1"
"31001","129811","167","drama_idle","31","-224","1","1","100","1.65","1"
"31002","129911","-49","drama_idle","31","-224","1","0","100","1.65","1"
"31003","drama_idle","","","31","","3","","1","0.2","129811"
"31004","drama_idle","","","31","","3","","1","0.2","129911"
"31005","0","","","31","","93","","","","0.5"
"31006","","","","31","","26","","","","2"
"31007","10","1.2","","31","0.9","121","","1.2","3","-80"
"31008","drama_joy_makoto","","","31","","3","0.2","0","0.2","129811"
"31009","2","","","31","","140","","0","","1"
"32001","1","320","drama_talk_1","32","28","5","1","1","0.28","0"
"32002","2","228","drama_talk_2","32","28","5","0","0","0.28","0"
"32003","3","45","drama_swing","32","64","5","1","90","0.26","0"
"32004","4","-187","drama_streach","32","-23","5","0","91","0.3","0"
"32005","0","","","32","","93","","","","1"
"32006","drama_joy","","","32","","3","","0","0.2","1"
"32007","drama_joy","","","32","","3","","0","0.2","2"
"32008","drama_joy","","","32","","3","","0","0.2","3"
"32009","drama_joy","","","32","","3","","0","0.2","4"
"32010","0","","","32","","93","","","","1.5"
"33001","1","320","drama_talk_1","33","28","5","1","1","0.28","0"
"33002","2","228","drama_talk_2","33","28","5","0","0","0.28","0"
"33003","3","45","drama_swing","33","64","5","1","90","0.26","0"
"33004","4","-187","drama_streach","33","-23","5","0","91","0.3","0"
