ba3862f4efb04769453d912e06c5551618b7ea90a1d4f24973a2fa6245fc0199,58e445ff46b1a6f6b5cf4618e9a0630c1e56ad2cf5160883845900aaf8c09bfb,9a767aa972a777180e1fcd2cfe21adca21e50ef45a14c66b2c3ff8319157c2b5,e60de23fa1b81c0cbff1fe39deb8a9055518cfc588cbe1f34f3eb9a29fdb5dbf,0f9e67ffba9edf03c8ceb87676d3ef013c698db3ede53dae01a5dc9d6ef6ad42,0aa0821796b8157e0f2bf8e7584880bddffdf3f3e54322cdada538d5279d594a,f0dcc19d14e441838e8a011ede544d6445add65791f5ec01b84e19b1b0c2898e,d0a944ad9a4b898f41902aee7beb4b673bd57b6c739cd7f7497715f4f57b70c7
"1001","126501","0","11001","1","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3"
"1002","105301","0","11002","1","0","【仲間】最大1000マイルを入手する","3"
"1003","126401","0","11003","1","0","【仲間】料理を1つ入手する","3"
"1004","100501","0","11004","1","0","【仲間】ダイスの目を1回振りなおせる","3"
"1005","101301","0","11005","1","0","【仲間】ダイスの目を2回振りなおせる","3"
"1006","104301","0","11006","1","0","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","3"
"1007","102701","0","11007","1","0","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","3"
"1008","100901","0","11008","1","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3"
"1009","105101","0","11009","1","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3"
"1010","101801","0","11010","1","0","【仲間】最大1000マイルを入手する","3"
"1011","129701","0","11011","1","0","【仲間】ダイスの表と裏どちらを適用するか選択できる","3"
"1012","101601","0","11012","1","0","【仲間】ダイスの目を1回振りなおせる","3"
"1013","105601","0","11013","1","0","【仲間】ダイスの目を2回振りなおせる","3"
"1014","102001","0","11014","1","0","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","3"
"1015","129601","0","11015","1","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3"
"1016","100401","0","11016","1","0","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","3"
"1017","127701","0","11017","1","0","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","3"
"1018","127801","0","11018","1","0","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","3"
"1019","104801","0","11019","1","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3"
"1020","104701","0","11020","1","0","【仲間】ダイスの目を2回振りなおせる","3"
"1021","105001","0","11021","1","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3"
"1022","103201","0","11022","1","0","【仲間】最大2000マイルを入手する","3"
"1023","130901","0","11023","1","0","【仲間】福引券を1枚入手する","3"
"1024","102501","0","11024","1","0","【仲間】料理を1つ入手する","3"
"1025","100801","0","11025","1","0","【仲間】ダイスの表と裏どちらを適用するか選択できる","3"
"1026","123301","0","11026","1","0","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","3"
"1027","104601","0","11027","1","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3"
"1028","118101","0","11028","1","0","【仲間】ダイスの目を2回振りなおせる","3"
"1029","103401","0","11029","1","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3"
"1030","118001","0","11030","1","0","【仲間】最大2000マイルを入手する","3"
"1031","102801","0","11031","1","0","【仲間】福引券を1枚入手する","3"
"1032","100201","0","11032","1","0","【仲間】料理を1つ入手する","3"
"1033","101201","0","11033","1","0","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","3"
"1034","118201","0","11034","1","0","【仲間】ダイスの目を1回振りなおせる","3"
"1035","106101","0","11035","1","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3"
"1036","103101","0","11036","1","0","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","3"
"1037","103301","0","11037","1","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3"
"1038","103601","0","11038","1","0","【仲間】最大2000マイルを入手する","3"
"1039","133001","0","11039","1","0","【仲間】福引券を1枚入手する","3"
"1040","133101","0","11040","1","0","【仲間】料理を1つ入手する","3"
