ebc2ab647b4dc0694cf4d2c47518715034c27917f95ce0569c2f1df3768f4848,2302eebd9908dbdda0aa0b8d7b3fbf82a8da513c5a4128df61f024cdcd50325f,81023f63dd6d4cc85de6a757dfd9b6dd5ffae0cb627d8cd9eae882b37fe4b16c,e8c2e4d8fe83bb937aec59f837e32f89091d7e560a790292110e79faad0e4d5e,da796b3039d2e985acb7e1a255c53fd1d198c14c703f33b5d2b0bfff17ecada5,1961badeb72fc3a1c778ce3e98e03fcc60c2d86dc2d0f529cecf47c22fae7c35,7d79e11f780736349b363ea4bf4cd2b01d02482cc88f4a7dadd6e3e80af0ca34,33bfabb3d378a20f81bf4eae860ff5127ee278b58fbb3c4773d4768d09726423,1233c48c2bdce99fca079eb87637f7ec222119bf14ba526e37978e2e6d3b0dc1,d4f3c34882894f146845f0b31912fca419071e7173248f3f6a20a4b35cc71a3a,d94efa1cf20ed7511234ccd73434249114678cf954c259078c8b4ea39a1d6ace,2eaccf18b94d7c12f670522aa83eca658e37cb3cf13a94994f54ad21176fda07,1b67261485cd627821eb3af076ec7e5ceba8857fafeab0b5547e3be7c82c5761,cdeb4941b35878b04e2992feb70e86a196954ffd73b5be4b15c190fc505e6a68,f7d184723fcba57f4a9bb5d66cc19c7525b35dd1a716149dcfae60d6844cbd07,6f6325b0172b01367ea9370d775881a0cecd8293c26d7d420c81433f8634b160
"101","26","1","11013","69","0","7201","0","8","0","0","72","0","0","0","0"
"3","27","1","10033","70","7303","7301","7304","2","0","7305","73","0","0","0","7302"
"1","27","1","10014","71","7403","7401","7404","5","0","7405","74","0","0","0","7402"
"5","27","1","10052","72","7503","7501","7504","8","0","7505","75","0","0","0","7502"
"4","28","1","10044","73","7603","7601","7604","2","0","7605","76","0","0","0","7602"
"100","28","1","11005","74","0","7701","0","5","0","0","77","0","0","0","0"
"101","28","1","11011","75","0","7801","0","8","0","0","78","0","0","0","7802"
"3","29","1","10034","76","7903","7901","7904","2","0","7905","79","0","0","0","7902"
"7","29","1","10073","77","8003","8001","8004","5","0","8005","80","0","0","0","8002"
"3","29","1","10035","78","8103","8101","8104","8","0","8105","81","0","0","0","8102"
"6","30","1","10066","79","8203","8201","8204","5","0","8205","82","81","80","0","8202"
"6","31","1","10062","82","8303","8301","8304","2","0","8305","83","0","0","0","8302"
"1","31","1","10014","82","8403","8401","8404","5","0","8405","84","0","0","0","8402"
"2","31","1","10021","82","8503","8501","8504","8","0","8505","85","0","0","0","8502"
"5","32","1","10053","83","8603","8601","8604","2","0","8605","86","0","0","0","8602"
"1","32","1","10011","84","8703","8701","8704","5","0","8705","87","0","0","0","8702"
"7","32","1","10072","85","8803","8801","8804","8","0","8805","88","0","0","0","8802"
"4","33","1","10045","86","8903","8901","8904","2","0","8905","89","0","0","0","8902"
"4","33","1","10042","87","9003","9001","9004","5","0","9005","90","0","0","0","9002"
"5","33","1","10053","88","9103","9101","9104","8","0","9105","91","0","0","0","9102"
"6","34","1","10064","89","9203","9201","9204","2","0","9205","92","0","0","0","9202"
"3","34","1","10035","90","9303","9301","9304","5","0","9305","93","0","0","0","9302"
"5","34","1","10051","91","9403","9401","9404","8","0","9405","94","0","0","0","9402"
"3","35","1","10033","92","9503","9501","9504","2","0","9505","95","0","0","0","9502"
"4","35","1","10044","93","9603","9601","9604","5","0","9605","96","0","0","0","9602"
"7","35","1","10075","94","9703","9701","9704","8","0","9705","97","0","0","0","9702"
"3","36","1","10032","95","9803","9801","9804","2","0","9805","98","0","0","0","9802"
"2","36","1","10023","96","9903","9901","9904","5","0","9905","99","0","0","0","9902"
"2","36","1","10024","97","10003","10001","10004","8","0","10005","100","0","0","0","10002"
"5","37","1","10051","98","10103","10101","10104","2","0","10105","101","0","0","0","10102"
"1","37","1","10012","99","10203","10201","10204","5","0","10205","102","0","0","0","10202"
"3","37","1","10035","100","10303","10301","10304","8","0","10305","103","0","0","0","10302"
"6","38","1","10063","101","10403","10401","10404","2","0","10405","104","0","0","0","10402"
"5","38","1","10055","102","10503","10501","10504","5","0","10505","105","0","0","0","10502"
"7","38","1","10071","103","10603","10601","10604","8","0","10605","106","0","0","0","10602"
"5","39","1","10052","104","10703","10701","10704","2","0","10705","107","0","0","0","10702"
"4","39","1","10043","105","10803","10801","10804","5","0","10805","108","0","0","0","10802"
"2","39","1","10025","106","10903","10901","10904","8","0","10905","109","0","0","0","10902"
"7","40","1","10076","107","11003","11001","11004","5","0","11005","110","109","108","0","11002"
"6","1","2","10062","0","11103","11101","11104","2","0","11105","111","0","0","0","11102"
"2","1","2","10024","0","11203","11201","11204","5","0","11205","112","0","0","0","11202"
"4","1","2","10045","0","11303","11301","11304","8","0","11305","113","0","0","0","11302"
"2","2","2","10022","111","11403","11401","11404","2","0","11405","114","0","0","0","11402"
"4","2","2","10043","112","11503","11501","11504","5","0","11505","115","0","0","0","11502"
"7","2","2","10074","113","11603","11601","11604","8","0","11605","116","0","0","0","11602"
"1","3","2","10012","114","11703","11701","11704","2","0","11705","117","0","0","0","11702"
"6","3","2","10063","115","11803","11801","11804","5","0","11805","118","0","0","0","11802"
"3","3","2","10035","116","11903","11901","11904","8","0","11905","119","0","0","0","11902"
"5","4","2","10051","117","12003","12001","12004","2","0","12005","120","0","0","0","12002"
"2","4","2","10023","118","12103","12101","12104","5","0","12105","121","0","0","0","12102"
"100","4","2","11004","119","0","12201","0","8","0","0","122","0","0","0","12202"
"6","5","2","10061","120","12303","12301","12304","2","0","12305","123","0","0","0","12302"
"4","5","2","10042","121","12403","12401","12404","5","0","12405","124","0","0","0","12402"
"7","5","2","10073","122","12503","12501","12504","8","0","12505","125","0","0","0","12502"
"101","6","2","11015","123","12603","12601","0","2","0","0","126","0","0","0","12602"
"3","6","2","10033","124","12703","12701","12704","5","0","12705","127","0","0","0","12702"
"5","6","2","10054","125","12803","12801","12804","8","0","12805","128","0","0","0","12802"
"1","7","2","10011","126","12903","12901","12904","2","0","12905","129","0","0","0","12902"
"5","7","2","10052","127","13003","13001","13004","5","0","13005","130","0","0","0","13002"
"6","7","2","10064","128","13103","13101","13104","8","0","13105","131","0","0","0","13102"
"2","8","2","10025","129","13203","13201","13204","2","0","13205","132","0","0","0","13202"
"101","8","2","11011","130","13303","13301","0","5","0","0","133","0","0","0","13302"
"101","8","2","11014","131","0","13401","0","8","0","0","134","0","0","0","0"
"1","9","2","10015","132","13503","13501","13504","2","0","13505","135","0","0","0","13502"
"4","9","2","10041","133","13603","13601","13604","5","0","13605","136","0","0","0","13602"
"5","9","2","10055","134","13703","13701","13704","8","0","13705","137","0","0","0","13702"
"5","10","2","10056","135","13803","13801","13804","5","0","13805","138","137","136","0","13802"
"6","11","2","10063","138","13903","13901","13904","2","0","13905","139","0","0","0","13902"
"5","11","2","10054","138","14003","14001","14004","5","0","14005","140","0","0","0","14002"
"3","11","2","10031","138","14103","14101","14104","8","0","14105","141","0","0","0","14102"
"2","12","2","10022","139","14203","14201","14204","2","0","14205","142","0","0","0","14202"
"1","12","2","10014","140","14303","14301","14304","5","0","14305","143","0","0","0","14302"
"2","12","2","10025","141","14403","14401","14404","8","0","14405","144","0","0","0","14402"
"7","13","2","10071","142","14503","14501","14504","2","0","14505","145","0","0","0","14502"
"5","13","2","10052","143","14603","14601","14604","5","0","14605","146","0","0","0","14602"
"101","13","2","11013","144","0","14701","0","8","0","0","147","0","0","0","14702"
"101","14","2","11014","145","0","14801","0","2","0","0","148","0","0","0","14802"
"1","14","2","10013","146","14903","14901","14904","5","0","14905","149","0","0","0","14902"
"5","14","2","10055","147","15003","15001","15004","8","0","15005","150","0","0","0","15002"
"5","15","2","10051","148","15103","15101","15104","2","0","15105","151","0","0","0","15102"
"100","15","2","11001","149","0","15201","0","5","0","0","152","0","0","0","0"
"101","15","2","11012","150","0","15301","0","8","0","0","153","0","0","0","15302"
"2","16","2","10023","151","15403","15401","15404","2","0","15405","154","0","0","0","15402"
"5","16","2","10054","152","15503","15501","15504","5","0","15505","155","0","0","0","15502"
"2","16","2","10021","153","15603","15601","15604","8","0","15605","156","0","0","0","15602"
"3","17","2","10034","154","15703","15701","15704","2","0","15705","157","0","0","0","15702"
"6","17","2","10065","155","15803","15801","15804","5","0","15805","158","0","0","0","15802"
"7","17","2","10072","156","15903","15901","15904","8","0","15905","159","0","0","0","15902"
"3","18","2","10033","157","16003","16001","16004","2","0","16005","160","0","0","0","16002"
"100","18","2","11004","158","16103","16101","0","5","0","0","161","0","0","0","16102"
"1","18","2","10015","159","16203","16201","16204","8","0","16205","162","0","0","0","16202"
"3","19","2","10032","160","16303","16301","16304","2","0","16305","163","0","0","0","16302"
"5","19","2","10053","161","16403","16401","16404","5","0","16405","164","0","0","0","16402"
"5","19","2","10055","162","16503","16501","16504","8","0","16505","165","0","0","0","16502"
"3","20","2","10036","163","16603","16601","16604","5","0","16605","166","165","164","0","16602"
"6","21","2","10061","166","16703","16701","16704","2","0","16705","167","0","0","0","16702"
"5","21","2","10053","166","16803","16801","16804","5","0","16805","168","0","0","0","16802"
"4","21","2","10044","166","16903","16901","16904","8","0","16905","169","0","0","0","16902"
"6","22","2","10065","167","17003","17001","17004","2","0","17005","170","0","0","0","17002"
"5","22","2","10051","168","17103","17101","17104","5","0","17105","171","0","0","0","17102"
"4","22","2","10041","169","17203","17201","17204","8","0","17205","172","0","0","0","17202"
"1","23","2","10012","170","17303","17301","17304","2","0","17305","173","0","0","0","17302"
"7","23","2","10075","171","17403","17401","17404","5","0","17405","174","0","0","0","17402"
"3","23","2","10031","172","17503","17501","17504","8","0","17505","175","0","0","0","17502"
"100","24","2","11003","173","0","17601","0","2","0","0","176","0","0","0","17602"
"101","24","2","11014","174","17703","17701","0","5","0","0","177","0","0","0","17702"
"1","24","2","10011","175","17803","17801","17804","8","0","17805","178","0","0","0","17802"
"1","25","2","10013","176","17903","17901","17904","2","0","17905","179","0","0","0","17902"
"3","25","2","10034","177","18003","18001","18004","5","0","18005","180","0","0","0","18002"
"100","25","2","11005","178","0","18101","0","8","0","0","181","0","0","0","18102"
"6","26","2","10062","179","18203","18201","18204","2","0","18205","182","0","0","0","18202"
"4","26","2","10043","180","18303","18301","18304","5","0","18305","183","0","0","0","18302"
"5","26","2","10054","181","18403","18401","18404","8","0","18405","184","0","0","0","18402"
"1","27","2","10011","182","18503","18501","18504","2","0","18505","185","0","0","0","18502"
"1","27","2","10014","183","18603","18601","18604","5","0","18605","186","0","0","0","18602"
"4","27","2","10045","184","18703","18701","18704","8","0","18705","187","0","0","0","18702"
"1","28","2","10012","185","18803","18801","18804","2","0","18805","188","0","0","0","18802"
"101","28","2","11013","186","18903","18901","0","5","0","0","189","0","0","0","18902"
"100","28","2","11001","187","0","19001","0","8","0","0","190","0","0","0","19002"
"4","29","2","10042","188","19103","19101","19104","2","0","19105","191","0","0","0","19102"
"7","29","2","10073","189","19203","19201","19204","5","0","19205","192","0","0","0","19202"
"3","29","2","10035","190","19303","19301","19304","8","0","19305","193","0","0","0","19302"
"2","30","2","10026","191","19403","19401","19404","5","0","19405","194","193","192","0","19402"
"100","31","2","11001","194","19503","19501","0","2","0","0","195","0","0","0","19502"
"3","31","2","10033","194","19603","19601","19604","5","0","19605","196","0","0","0","19602"
"2","31","2","10024","194","19703","19701","19704","8","0","19705","197","0","0","0","19702"
"5","32","2","10055","195","19803","19801","19804","2","0","19805","198","0","0","0","19802"
"101","32","2","11012","196","19903","19901","0","5","0","0","199","0","0","0","19902"
"4","32","2","10043","197","20003","20001","20004","8","0","20005","200","0","0","0","20002"
"4","33","2","10045","198","20103","20101","20104","2","0","20105","201","0","0","0","20102"
"2","33","2","10021","199","20203","20201","20204","5","0","20205","202","0","0","0","20202"
"4","33","2","10042","200","20303","20301","20304","8","0","20305","203","0","0","0","20302"
"100","34","2","11005","201","20403","20401","0","2","0","0","204","0","0","0","20402"
"4","34","2","10042","202","20503","20501","20504","5","0","20505","205","0","0","0","20502"
"2","34","2","10024","203","20603","20601","20604","8","0","20605","206","0","0","0","20602"
"3","35","2","10031","204","20703","20701","20704","2","0","20705","207","0","0","0","20702"
"3","35","2","10032","205","20803","20801","20804","5","0","20805","208","0","0","0","20802"
"100","35","2","11003","206","20903","20901","0","8","0","0","209","0","0","0","20902"
"4","36","2","10044","207","21003","21001","21004","2","0","21005","210","0","0","0","21002"
"4","36","2","10041","208","21103","21101","21104","5","0","21105","211","0","0","0","21102"
"4","36","2","10043","209","21203","21201","21204","8","0","21205","212","0","0","0","21202"
"2","37","2","10025","210","21303","21301","21304","2","0","21305","213","0","0","0","21302"
"3","37","2","10032","211","21403","21401","21404","5","0","21405","214","0","0","0","21402"
"5","37","2","10054","212","21503","21501","21504","8","0","21505","215","0","0","0","21502"
"2","38","2","10025","213","21603","21601","21604","2","0","21605","216","0","0","0","21602"
"100","38","2","11002","214","21703","21701","0","5","0","0","217","0","0","0","21702"
"2","38","2","10023","215","21803","21801","21804","8","0","21805","218","0","0","0","21802"
"3","39","2","10034","216","21903","21901","21904","2","0","21905","219","0","0","0","21902"
"3","39","2","10031","217","22003","22001","22004","5","0","22005","220","0","0","0","22002"
"2","39","2","10022","218","22103","22101","22104","8","0","22105","221","0","0","0","22102"
"4","40","2","10046","219","22203","22201","22204","5","0","22205","222","221","220","0","22202"
