9748c62b83b38af1e720c97fc9ec34c5a750f5363df3f32ee5bdf85f1de135e6,66ebf67151ffa7a14749087be70809ada9fdd39d43a061609dac9e03cf37cce9,e0e727b3e3465e1d0db778e9654ebe8ac447d5db1838b67b15eacf9eb46566e7,09287db5cc1cc5881317b6baae15e6c3d73a7ac281a5b68caddceaac0b01035e,5244291565941e67fac487090576869fe8babdacdfb8959c582a8d0a2205f997,99ffa4ef141c187520bbbdcdc83653cf54c1f7914112e3ecbda78c7042db39fe,3752f46ae07f1e4e9e8eaa3113b741ce1586b82716e87e984391410e62d1e927,8fea78dda7333fb12421e119969e082f62270da24866c6df15f91892dbd897dc,a2483860721962e0642c3f3e098c742a0868fbd75b4ccaa932d2d7a218089880,5816d9b1635aca63bed23ef7b468f4833d1edaa1dd57c47070d3f74ea21e872d,ce8f4443246b7c8d4767604f2e9af3b6a3374475bdb7801be4bfb3ba2c7994ad,22a36993f8e02d9f337b0504a2e2f46e55bb4ca4da37bb67dcbf37ac90a230ed
"16","3","0","335","2.838","1","0","0","0","1130016","0","13"
"17","0","0","0","0","4","0","1","0","1130017","3.334","13"
"18","4","0","300","2.491","1","0","0","0","1130018","0","13"
"19","0","0","0","0","4","0","1","0","1130019","3.427","13"
"20","0","0","0","0","4","0","3","0","1130020","3","13"
"21","0","vo_nyx_0203","0","0","2","0","0","vo_nyx","1130021","0","13"
"22","5","0","47","0.475","1","0","0","0","1130022","0","13"
"23","0","0","0","0","4","0","1","0","1130023","0.872","13"
"24","5","0","119","1.001","1","47","0","0","1130024","0","13"
"25","0","0","0","0","4","0","1","0","1130025","1.492","13"
"26","5","0","310","1.73","1","119","0","0","1130026","0","13"
"27","0","0","0","0","4","0","1","0","1130027","2.045","13"
"28","5","0","395","0.87","1","310","0","0","1130028","0","13"
"29","0","0","0","0","4","0","1","0","1130029","1.949","13"
"30","0","vo_nyx_0204","0","0","2","0","0","vo_nyx","1130030","0","13"
"31","6","0","174","1.885","1","0","0","0","1130031","0","13"
"32","0","0","0","0","4","0","1","0","1130032","2.37","13"
"33","6","0","293","0.939","1","174","0","0","1130033","0","13"
"34","0","0","0","0","4","0","1","0","1130034","1.12","13"
"35","6","0","388","0.5","1","293","0","0","1130035","0","13"
"36","0","0","0","0","4","0","1","0","1130036","1.435","13"
"37","0","vo_nyx_0205","0","0","2","0","0","vo_nyx","1130037","0","13"
"38","7","0","34","0.58","1","0","0","0","1130038","0","13"
"39","0","0","0","0","4","0","1","0","1130039","0.976","13"
"40","7","0","176","1.425","1","34","0","0","1130040","0","13"
"41","0","0","0","0","4","0","1","0","1130041","1.683","13"
"42","7","0","275","0.85","1","176","0","0","1130042","0","13"
"43","0","0","0","0","4","0","1","0","1130043","1.9","13"
"44","0","0","0","0","4","0","3","0","1130044","4","13"
"45","0","vo_nyx_0206","0","0","2","0","0","vo_nyx","1130045","0","13"
"46","7","0","327","0.43","1","275","0","0","1130046","0","13"
"47","0","0","0","0","4","0","1","0","1130047","1.105","13"
"48","7","0","396","0.759","1","327","0","0","1130048","0","13"
"49","0","0","0","0","4","0","1","0","1130049","0.759","13"
"50","8","0","112","1.136","1","0","0","0","1130050","0","13"
"51","0","0","0","0","4","0","1","0","1130051","1.533","13"
"52","8","0","248","1.347","1","112","0","0","1130052","0","13"
"53","0","0","0","0","4","0","1","0","1130053","1.518","13"
"54","8","0","360","0.981","1","248","0","0","1130054","0","13"
"55","0","0","0","0","4","0","1","0","1130055","1.862","13"
"56","0","0","0","0","4","0","3","0","1130056","5","13"
"57","0","vo_nyx_0207","0","0","2","0","0","vo_nyx","1130057","0","13"
"58","9","0","51","0.44","1","0","0","0","1130058","0","13"
"59","0","0","0","0","4","0","1","0","1130059","0.9","13"
"60","9","0","205","1.404","1","51","0","0","1130060","0","13"
"61","0","0","0","0","4","0","1","0","1130061","1.74","13"
"62","9","0","325","0.986","1","205","0","0","1130062","0","13"
"63","0","0","0","0","4","0","1","0","1130063","1.187","13"
"64","9","0","377","0.437","1","325","0","0","1130064","0","13"
"65","0","0","0","0","4","0","1","0","1130065","0.437","13"
"66","10","0","84","0.7","1","0","0","0","1130066","0","13"
"67","0","0","0","0","4","0","1","0","1130067","1.317","13"
"68","10","0","376","2.659","1","84","0","0","1130068","0","13"
"69","0","0","0","0","4","0","1","0","1130069","2.717","13"
"70","11","0","190","1.834","1","0","0","0","1130070","0","13"
"71","0","0","0","0","4","0","1","0","1130071","3.084","13"
"72","0","vo_nyx_0208","0","0","2","0","0","vo_nyx","1130072","0","13"
"73","12","0","122","1.574","1","0","0","0","1130073","0","13"
"74","0","0","0","0","4","0","1","0","1130074","2.083","13"
"75","12","0","252","1.236","1","122","0","0","1130075","0","13"
"76","0","0","0","0","4","0","1","0","1130076","1.443","13"
"77","12","0","345","0.869","1","252","0","0","1130077","0","13"
"78","0","0","0","0","4","0","1","0","1130078","1.288","13"
"79","13","0","58","0.48","1","0","0","0","1130079","0","13"
"80","0","0","0","0","4","0","1","0","1130080","0.81","13"
"81","13","0","160","0.789","1","58","0","0","1130081","0","13"
"82","0","0","0","0","4","0","1","0","1130082","1.627","13"
"83","0","vo_nyx_0209","0","0","2","0","0","vo_nyx","1130083","0","13"
"84","13","0","250","0.707","1","160","0","0","1130084","0","13"
"85","0","0","0","0","4","0","1","0","1130085","2.507","13"
"1","0","0","0","0","4","0","3","0","1140001","1","14"
"2","0","vo_nyx_0301","0","0","2","0","0","vo_nyx","1140002","0","14"
"3","1","0","97","1.075","1","0","0","0","1140003","0","14"
"4","0","0","0","0","4","0","1","0","1140004","1.692","14"
"5","1","0","360","2.843","1","97","0","0","1140005","0","14"
"6","0","0","0","0","4","0","1","0","1140006","4","14"
"7","0","vo_nyx_0302","0","0","2","0","0","vo_nyx","1140007","0","14"
"8","2","0","135","1.567","1","0","0","0","1140008","0","14"
"9","0","0","0","0","4","0","1","0","1140009","1.964","14"
"10","2","0","230","0.78","1","135","0","0","1140010","0","14"
"11","0","0","0","0","4","0","1","0","1140011","2.076","14"
"12","0","vo_nyx_0303","0","0","2","0","0","vo_nyx","1140012","0","14"
"13","3","0","74","1.037","1","0","0","0","1140013","0","14"
"14","0","0","0","0","4","0","1","0","1140014","1.629","14"
"15","3","0","270","2.027","1","74","0","0","1140015","0","14"
"16","0","0","0","0","4","0","1","0","1140016","3.568","14"
"17","0","0","0","0","4","0","3","0","1140017","2","14"
"18","0","vo_nyx_0304","0","0","2","0","0","vo_nyx","1140018","0","14"
"19","3","0","380","1.38","1","270","0","0","1140019","0","14"
"20","0","0","0","0","4","0","1","0","1140020","1.419","14"
"21","4","0","58","0.491","1","0","0","0","1140021","0","14"
"22","0","0","0","0","4","0","1","0","1140022","0.545","14"
"23","4","0","316","2.409","1","58","0","0","1140023","0","14"
"24","0","0","0","0","4","0","1","0","1140024","3.711","14"
"25","0","vo_nyx_0305","0","0","2","0","0","vo_nyx","1140025","0","14"
"26","5","0","65","0.892","1","0","0","0","1140026","0","14"
"27","0","0","0","0","4","0","1","0","1140027","1.458","14"
"28","5","0","293","2.495","1","65","0","0","1140028","0","14"
"29","0","0","0","0","4","0","1","0","1140029","3.134","14"
"30","6","0","66","0.599","1","0","0","0","1140030","0","14"
"31","0","0","0","0","4","0","1","0","1140031","0.599","14"
"32","6","0","245","1.855","1","66","0","0","1140032","0","14"
"33","0","0","0","0","4","0","1","0","1140033","3.373","14"
"34","0","vo_nyx_0306","0","0","2","0","0","vo_nyx","1140034","0","14"
"35","7","0","175","1.629","1","0","0","0","1140035","0","14"
"36","0","0","0","0","4","0","1","0","1140036","3.34","14"
"37","0","vo_nyx_0307","0","0","2","0","0","vo_nyx","1140037","0","14"
"38","8","0","89","1.079","1","0","0","0","1140038","0","14"
"39","0","0","0","0","4","0","1","0","1140039","1.6","14"
"40","8","0","325","2.353","1","89","0","0","1140040","0","14"
"41","0","0","0","0","4","0","1","0","1140041","3.511","14"
"42","0","vo_nyx_0308","0","0","2","0","0","vo_nyx","1140042","0","14"
"43","8","0","400","0.511","1","325","0","0","1140043","0","14"
"44","0","0","0","0","4","0","1","0","1140044","0.511","14"
"45","9","0","75","1.154","1","0","0","0","1140045","0","14"
"46","0","0","0","0","4","0","1","0","1140046","1.511","14"
"47","9","0","405","3.186","1","75","0","0","1140047","0","14"
"48","0","0","0","0","4","0","1","0","1140048","4.034","14"
"49","0","vo_nyx_0309","0","0","2","0","0","vo_nyx","1140049","0","14"
"50","10","0","342","3.486","1","0","0","0","1140050","0","14"
"51","0","0","0","0","4","0","1","0","1140051","4.563","14"
"52","0","vo_nyx_0310","0","0","2","0","0","vo_nyx","1140052","0","14"
"53","11","0","105","0.815","1","0","0","0","1140053","0","14"
"54","0","0","0","0","4","0","1","0","1140054","2.384","14"
"55","0","vo_nyx_0311","0","0","2","0","0","vo_nyx","1140055","0","14"
"56","12","0","139","1.726","1","0","0","0","1140056","0","14"
"57","0","0","0","0","4","0","1","0","1140057","2.212","14"
"58","12","0","348","2.239","1","139","0","0","1140058","0","14"
"59","0","0","0","0","4","0","1","0","1140059","2.898","14"
"60","12","0","398","0.691","1","348","0","0","1140060","0","14"
"61","0","0","0","0","4","0","3","0","1140061","3","14"
"62","0","0","0","0","4","0","1","0","1140062","0.691","14"
"63","13","0","55","0.499","1","0","0","0","1140063","0","14"
"64","0","0","0","0","4","0","1","0","1140064","1.799","14"
"65","0","0","0","0","4","0","3","0","1140065","4","14"
"66","0","vo_nyx_0312","0","0","2","0","0","vo_nyx","1140066","0","14"
"67","13","0","128","0.674","1","55","0","0","1140067","0","14"
"68","0","0","0","0","4","0","1","0","1140068","1.251","14"
"69","13","0","201","0.959","1","128","0","0","1140069","0","14"
"70","0","0","0","0","4","0","1","0","1140070","1.676","14"
"71","13","0","365","1.894","1","201","0","0","1140071","0","14"
"72","0","0","0","0","4","0","1","0","1140072","1.894","14"
"73","14","0","100","0.844","1","0","0","0","1140073","0","14"
"74","0","0","0","0","4","0","1","0","1140074","2.644","14"
"1","0","0","0","0","4","0","3","0","1220001","1","22"
"2","0","vo_nyx_0401","0","0","2","0","0","vo_nyx","1220002","0","22"
"3","1","0","181","1.578","1","0","0","0","1220003","0","22"
"4","0","0","0","0","4","0","1","0","1220004","2.06","22"
"5","1","0","325","1.339","1","181","0","0","1220005","0","22"
"6","0","0","0","0","4","0","1","0","1220006","1.417","22"
"7","2","0","140","1.412","1","0","0","0","1220007","0","22"
"8","0","0","0","0","4","0","1","0","1220008","2.549","22"
"9","0","vo_nyx_0402","0","0","2","0","0","vo_nyx","1220009","0","22"
"10","2","0","326","1.74","1","140","0","0","1220010","0","22"
"11","0","0","0","0","4","0","1","0","1220011","2.249","22"
"12","2","0","390","0.455","1","326","0","0","1220012","0","22"
"13","0","0","0","0","4","0","1","0","1220013","0.455","22"
"14","3","0","188","1.361","1","0","0","0","1220014","0","22"
"15","0","0","0","0","4","0","1","0","1220015","2.433","22"
"16","0","vo_nyx_0403","0","0","2","0","0","vo_nyx","1220016","0","22"
"17","4","0","55","0.438","1","0","0","0","1220017","0","22"
"18","0","0","0","0","4","0","1","0","1220018","0.976","22"
"19","4","0","256","1.414","1","55","0","0","1220019","0","22"
"20","0","0","0","0","4","0","1","0","1220020","2.433","22"
"21","0","vo_nyx_0404","0","0","2","0","0","vo_nyx","1220021","0","22"
"22","5","0","213","1.829","1","0","0","0","1220022","0","22"
"23","0","0","0","0","4","0","1","0","1220023","2.237","22"
"24","5","0","340","1.018","1","213","0","0","1220024","0","22"
"25","0","0","0","0","4","0","1","0","1220025","1.965","22"
"26","0","0","0","0","4","0","3","0","1220026","2","22"
"27","0","vo_nyx_0405","0","0","2","0","0","vo_nyx","1220027","0","22"
"28","5","0","392","0.455","1","340","0","0","1220028","0","22"
"29","0","0","0","0","4","0","1","0","1220029","0.455","22"
"30","6","0","40","0.586","1","0","0","0","1220030","0","22"
"31","0","0","0","0","4","0","1","0","1220031","1.124","22"
"32","6","0","225","1.953","1","40","0","0","1220032","0","22"
"33","0","0","0","0","4","0","1","0","1220033","2.356","22"
"34","6","0","375","1.083","1","225","0","0","1220034","0","22"
"35","0","0","0","0","4","0","1","0","1220035","1.083","22"
"36","7","0","74","0.71","1","0","0","0","1220036","0","22"
"37","0","0","0","0","4","0","1","0","1220037","1.533","22"
"38","7","0","187","0.947","1","74","0","0","1220038","0","22"
"39","0","0","0","0","4","0","3","0","1220039","2","22"
"40","0","0","0","0","4","0","1","0","1220040","1.349","22"
"41","7","0","329","0.87","1","187","0","0","1220041","0","22"
"42","0","0","0","0","4","0","1","0","1220042","0.87","22"
"43","8","0","206","1.758","1","0","0","0","1220043","0","22"
"44","0","0","0","0","4","0","1","0","1220044","2.198","22"
"45","8","0","342","1.601","1","206","0","0","1220045","0","22"
"46","0","0","0","0","4","0","1","0","1220046","2.097","22"
"47","8","0","393","0.546","1","342","0","0","1220047","0","22"
"48","0","0","0","0","4","0","1","0","1220048","0.546","22"
"49","9","0","155","1.277","1","0","0","0","1220049","0","22"
"50","0","0","0","0","4","0","1","0","1220050","1.656","22"
"51","9","0","390","2.113","1","155","0","0","1220051","0","22"
"52","0","0","0","0","4","0","1","0","1220052","3.362","22"
"53","0","0","0","0","4","0","3","0","1220053","3","22"
"54","0","vo_nyx_0406","0","0","2","0","0","vo_nyx","1220054","0","22"
"55","10","0","263","2.628","1","0","0","0","1220055","0","22"
"56","0","0","0","0","4","0","1","0","1220056","3.131","22"
"57","10","0","345","0.846","1","263","0","0","1220057","0","22"
"58","0","0","0","0","4","0","1","0","1220058","1.249","22"
"59","10","0","396","0.516","1","345","0","0","1220059","0","22"
"60","0","0","0","0","4","0","1","0","1220060","0.593","22"
"61","11","0","318","2.285","1","0","0","0","1220061","0","22"
"62","0","0","0","0","4","0","1","0","1220062","3.475","22"
"63","0","0","0","0","4","0","3","0","1220063","4","22"
"64","0","vo_nyx_0407","0","0","2","0","0","vo_nyx","1220064","0","22"
"65","12","0","258","2.326","1","0","0","0","1220065","0","22"
"66","0","0","0","0","4","0","1","0","1220066","2.872","22"
"67","12","0","395","1.488","1","258","0","0","1220067","0","22"
"68","0","0","0","0","4","0","1","0","1220068","1.488","22"
"69","13","0","220","1.728","1","0","0","0","1220069","0","22"
"70","0","0","0","0","4","0","1","0","1220070","2.711","22"
"71","0","vo_nyx_0408","0","0","2","0","0","vo_nyx","1220071","0","22"
"72","15","0","40","0.408","1","0","0","0","1220072","0","22"
"73","0","0","0","0","4","0","1","0","1220073","0.929","22"
"74","15","0","152","1.122","1","40","0","0","1220074","0","22"
"75","0","0","0","0","4","0","1","0","1220075","2.922","22"
"1","0","0","0","0","4","0","3","0","1230001","1","23"
"2","0","vo_nyx_0501","0","0","2","0","0","vo_nyx","1230002","0","23"
"3","1","0","390","3.048","1","0","0","0","1230003","0","23"
"4","0","0","0","0","4","0","1","0","1230004","3.048","23"
"5","2","0","85","0.731","1","0","0","0","1230005","0","23"
"6","0","0","0","0","4","0","1","0","1230006","1.507","23"
"7","0","vo_nyx_0502","0","0","2","0","0","vo_nyx","1230007","0","23"
"8","2","0","302","2.093","1","85","0","0","1230008","0","23"
"9","0","0","0","0","4","0","1","0","1230009","2.341","23"
"10","2","0","378","0.644","1","302","0","0","1230010","0","23"
"11","0","0","0","0","4","0","1","0","1230011","0.993","23"
"12","3","0","195","1.737","1","0","0","0","1230012","0","23"
"13","0","0","0","0","4","0","1","0","1230013","2.616","23"
"14","0","vo_nyx_0503","0","0","2","0","0","vo_nyx","1230014","0","23"
"15","3","0","395","1.866","1","195","0","0","1230015","0","23"
"16","0","0","0","0","4","0","1","0","1230016","1.866","23"
"17","4","0","123","1.039","1","0","0","0","1230017","0","23"
"18","0","0","0","0","4","0","1","0","1230018","1.496","23"
"19","4","0","305","1.355","1","123","0","0","1230019","0","23"
"20","0","0","0","0","4","0","1","0","1230020","2.334","23"
"21","0","vo_nyx_0504","0","0","2","0","0","vo_nyx","1230021","0","23"
"22","6","0","45","0.422","1","0","0","0","1230022","0","23"
"23","0","0","0","0","4","0","1","0","1230023","0.845","23"
"24","6","0","308","2.026","1","45","0","0","1230024","0","23"
"25","0","0","0","0","4","0","1","0","1230025","2.563","23"
"26","0","vo_nyx_0505","0","0","2","0","0","vo_nyx","1230026","0","23"
"27","8","0","80","0.865","1","0","0","0","1230027","0","23"
"28","0","0","0","0","4","0","1","0","1230028","1.207","23"
"29","8","0","360","1.873","1","80","0","0","1230029","0","23"
"30","0","0","0","0","4","0","1","0","1230030","2.166","23"
"31","9","0","345","2.558","1","0","0","0","1230031","0","23"
"32","0","0","0","0","4","0","3","0","1230032","2","23"
"33","0","0","0","0","4","0","1","0","1230033","3.202","23"
"34","10","0","215","2.381","1","0","0","0","1230034","0","23"
"35","0","0","0","0","4","0","1","0","1230035","2.938","23"
"36","0","vo_nyx_0506","0","0","2","0","0","vo_nyx","1230036","0","23"
"37","10","0","400","1.241","1","215","0","0","1230037","0","23"
"38","0","0","0","0","4","0","1","0","1230038","1.657","23"
"39","11","0","375","2.871","1","0","0","0","1230039","0","23"
"40","0","0","0","0","4","0","3","0","1230040","3","23"
"41","0","0","0","0","4","0","1","0","1230041","3.435","23"
"42","0","vo_nyx_0507","0","0","2","0","0","vo_nyx","1230042","0","23"
"43","12","0","64","0.717","1","0","0","0","1230043","0","23"
"44","0","0","0","0","4","0","1","0","1230044","1.026","23"
"45","12","0","395","2.843","1","64","0","0","1230045","0","23"
"46","0","0","0","0","4","0","1","0","1230046","3.603","23"
"47","0","vo_nyx_0508","0","0","2","0","0","vo_nyx","1230047","0","23"
"48","13","0","130","1.417","1","0","0","0","1230048","0","23"
"49","0","0","0","0","4","0","1","0","1230049","2.029","23"
"50","13","0","335","1.78","1","130","0","0","1230050","0","23"
"51","0","0","0","0","4","0","1","0","1230051","3.58","23"
"1","0","0","0","0","4","0","3","0","1240001","1","24"
"2","0","vo_nyx_0601","0","0","2","0","0","vo_nyx","1240002","0","24"
"3","1","0","92","0.945","1","0","0","0","1240003","0","24"
"4","0","0","0","0","4","0","1","0","1240004","1.808","24"
"5","0","vo_nyx_0602","0","0","2","0","0","vo_nyx","1240005","0","24"
"6","2","0","395","3.225","1","0","0","0","1240006","0","24"
"7","0","0","0","0","4","0","1","0","1240007","4.362","24"
"8","0","vo_nyx_0603","0","0","2","0","0","vo_nyx","1240008","0","24"
"9","3","0","392","2.828","1","0","0","0","1240009","0","24"
"10","0","0","0","0","4","0","1","0","1240010","4.36","24"
"11","0","vo_nyx_0604","0","0","2","0","0","vo_nyx","1240011","0","24"
"12","4","0","150","1.212","1","0","0","0","1240012","0","24"
"13","0","0","0","0","4","0","1","0","1240013","2.171","24"
"14","4","0","350","1.656","1","150","0","0","1240014","0","24"
"15","0","0","0","0","4","0","1","0","1240015","2.769","24"
"16","0","vo_nyx_0605","0","0","2","0","0","vo_nyx","1240016","0","24"
"17","5","0","24","0.168","1","0","0","0","1240017","0","24"
"18","0","0","0","0","4","0","1","0","1240018","1.256","24"
"19","5","0","59","0.478","1","24","0","0","1240019","0","24"
"20","0","0","0","0","4","0","1","0","1240020","0.535","24"
"21","5","0","150","0.735","1","59","0","0","1240021","0","24"
"22","0","0","0","0","4","0","1","0","1240022","2.444","24"
"23","0","vo_nyx_0606","0","0","2","0","0","vo_nyx","1240023","0","24"
"24","7","0","183","1.607","1","0","0","0","1240024","0","24"
"25","0","0","0","0","4","0","1","0","1240025","2.16","24"
"26","7","0","400","2.119","1","183","0","0","1240026","0","24"
"27","0","0","0","0","4","0","1","0","1240027","2.647","24"
"28","8","0","205","1.802","1","0","0","0","1240028","0","24"
"29","0","0","0","0","4","0","3","0","1240029","2","24"
"30","0","0","0","0","4","0","1","0","1240030","2.817","24"
"31","0","vo_nyx_0607","0","0","2","0","0","vo_nyx","1240031","0","24"
"32","8","0","395","1.981","1","205","0","0","1240032","0","24"
"33","0","0","0","0","4","0","1","0","1240033","2.842","24"
"34","9","0","180","1.894","1","0","0","0","1240034","0","24"
"35","0","0","0","0","4","0","1","0","1240035","3.737","24"
"36","0","vo_nyx_0608","0","0","2","0","0","vo_nyx","1240036","0","24"
"37","9","0","209","0.82","1","180","0","0","1240037","0","24"
"38","0","0","0","0","4","0","1","0","1240038","1.754","24"
"39","9","0","400","2.752","1","209","0","0","1240039","0","24"
"40","0","0","0","0","4","0","1","0","1240040","3.272","24"
"41","0","0","0","0","4","0","3","0","1240041","3","24"
"42","0","vo_nyx_0609","0","0","2","0","0","vo_nyx","1240042","0","24"
"43","11","0","100","1.283","1","0","0","0","1240043","0","24"
"44","0","0","0","0","4","0","1","0","1240044","2.322","24"
"45","0","0","0","0","4","0","3","0","1240045","4","24"
"46","0","vo_nyx_0610","0","0","2","0","0","vo_nyx","1240046","0","24"
"47","12","0","80","0.86","1","0","0","0","1240047","0","24"
"48","0","0","0","0","4","0","1","0","1240048","0.86","24"
"49","12","0","112","1.242","1","80","0","0","1240049","0","24"
"50","0","0","0","0","4","0","1","0","1240050","2.086","24"
"51","0","0","0","0","4","0","3","0","1240051","5","24"
"52","0","vo_nyx_0611","0","0","2","0","0","vo_nyx","1240052","0","24"
"53","12","0","242","0.735","1","112","0","0","1240053","0","24"
"54","0","0","0","0","4","0","1","0","1240054","1.789","24"
"55","0","vo_nyx_0612","0","0","2","0","0","vo_nyx","1240055","0","24"
"56","13","0","56","1","1","0","0","0","1240056","0","24"
"57","0","0","0","0","4","0","1","0","1240057","2.104","24"
"58","0","0","0","0","4","0","3","0","1240058","6","24"
"59","0","vo_nyx_0613","0","0","2","0","0","vo_nyx","1240059","0","24"
