25e9fe15af6c3eacc51a4eac3351e769241f7e963a5afd459dcfc38802c3a46d,7d159e199afcb37e980a5d15336d42d19ad426530906368e08b3df264bb8a72e,3b9dc9cc1a78c92a2fc5277fcd4a9f6f282e58de032eb3b4ba09cc97f5a10b16,83e6c8493cce9779efc77358e4061f15a78b7611ad27ca345f40845d8078237f,85493f1e6a3e21eb95a8940dc1d04c7b09d503afded479633245a813598d5608,01a082051295ae3642ba7d947bea5c1121c62ffdce517870c215f1c4e158d2ac,adea7610ef5dcc3a5bf35a135e35e3731b5a19b4e31d82403999d49746e7bc66,38e43c1e34e6db39d77b1bc3eacc23af2ed19fa13b02dc02657a53265ca0530b,c148e6c13e3c36d4e94a04df223a1ee211923069c3e6223edd90f603bb9c099c,2b1365e61e051c56f350cc7438d0236e6405081015aa7a1bb5ed7f62fd9eadc4,8709d9cb939c0f0403d2a6e0e9b640eb413868e3f265742dbfe13139d8623e72
"1","64","-175","14","1","102311","1.65","1","100","1140001","pkb_idle_normal"
"102311","","","14","3","pkb_talk_joy1","0.2","","1","1140002",""
"vo_minigame_1006","0","","14","21","vo_minigame_1006_top_402","","","0","1140003",""
"102311","0","0","14","11","全部ホームラン\n打てばいいんだよね？\nそれくらい簡単だよ！","0","0","8","1140004","0"
"3","","","14","93","","","","","1140005",""
"102311","pkb_idle_doya","1","14","3","pkb_talk_doya","0.2","","0","1140006",""
"1140004","","","14","91","","","","","1140007",""
"102311","","","14","3","pkb_idle_normal","0.2","","1","1140008",""
"1","64","-175","15","1","102311","1.65","1","100","1150001","pkb_idle_normal"
"102311","","","15","3","pkb_talk_wish","0.2","","1","1150002",""
"vo_minigame_1006","0","","15","21","vo_minigame_1006_top_403","","","0","1150003",""
"102311","0","0","15","11","お兄ちゃんたちの\nお手本になれる\nように、いっぱい\n打つからね！","0","0","8","1150004","-0.5"
"2.4","","","15","93","","","","","1150005",""
"102311","pkb_talk_joy1","1","15","3","pkb_talk_fun","0.2","0.4","0","1150006",""
"1150004","","","15","91","","","","","1150007",""
"102311","","","15","3","pkb_idle_normal","0.2","","1","1150008",""
"1","64","-155","16","5","1","57","1","100","1160001","pkb_idle_normal_l"
"1","pkb_idle_arm_crossed_l","1","16","3","pkb_talk_arm_crossed_l","0.2","0.2","0","1160002",""
"vo_minigame_1006","0","","16","21","vo_minigame_1006_top_701","","","0","1160003",""
"1","0","0","16","11","全国大会を目指して\n今日も練習頑張ろう！","0","0","8","1160004","0"
"2.6","","","16","93","","","","","1160005",""
"1","pkb_idle_doya_l","1","16","3","pkb_talk_doya_l","0.2","0.2","0","1160006",""
"1160004","","","16","91","","","","","1160007",""
"1","","","16","3","pkb_idle_normal_l","0.2","","1","1160008",""
"1","64","-155","17","5","1","57","1","100","1170001","pkb_idle_normal_l"
"1","pkb_idle_guts_l","1","17","3","pkb_talk_guts_l","0.2","","0","1170002",""
"vo_minigame_1006","0","","17","21","vo_minigame_1006_top_702","","","0","1170003",""
"1","0","0","17","11","夢を叶えるために\n全力で練習に\n取り組もう！","0","0","8","1170004","0"
"0","","","17","91","","","","","1170005",""
"1","","","17","3","pkb_idle_normal_l","0.2","","1","1170006",""
"1","64","-155","18","5","1","57","1","100","1180001","pkb_idle_normal_l"
"1","pkb_idle_arm_crossed_l","1","18","3","pkb_talk_arm_crossed_l","0.2","0.2","0","1180002",""
"vo_minigame_1006","0","","18","21","vo_minigame_1006_top_703","","","0","1180003",""
"1","0","0","18","11","部員のみんなも\nすごく上達してる…\n俺も負けてられない！","0","0","8","1180004","0"
"2.9","","","18","93","","","","","1180005",""
"1","pkb_idle_guts_l","1","18","3","pkb_talk_guts_l","0.2","","0","1180006",""
"1180004","","","18","91","","","","","1180007",""
"1","","","18","3","pkb_idle_normal_l","0.2","","1","1180008",""
"2","64","-155","19","5","2","57","1","100","1190001","pkb_idle_normal_l"
"2","pkb_idle_arm_crossed_l","1","19","3","pkb_talk_arm_crossed_l","0.2","0.2","0","1190002",""
"vo_minigame_1006","0","","19","21","vo_minigame_1006_top_801","","","0","1190003",""
"2","0","0","19","11","上達してるってとこ\n見せてやる\nオレだって選手なんだ","0","0","8","1190004","0"
"3.8","","","19","93","","","","","1190005",""
"2","pkb_idle_guts_l","1","19","3","pkb_talk_guts_l","0.2","","0","1190006",""
"1190004","","","19","91","","","","","1190007",""
"2","","","19","3","pkb_idle_normal_l","0.2","","1","1190008",""
"2","64","-155","20","5","2","57","1","100","1200001","pkb_idle_normal_l"
"2","pkb_idle_guts_l","1","20","3","pkb_talk_guts_l","0.2","","0","1200002",""
"vo_minigame_1006","0","","20","21","vo_minigame_1006_top_802","","","0","1200003",""
"2","0","0","20","11","今日もかっとばす\n遠慮せず全力で\nかかってこい","0","0","8","1200004","0"
"3.2","","","20","93","","","","","1200005",""
"2","pkb_idle_doya_l","1","20","3","pkb_talk_doya_l","0.2","","0","1200006",""
"1200004","","","20","91","","","","","1200007",""
"2","","","20","3","pkb_idle_normal_l","0.2","","1","1200008",""
"2","64","-155","21","5","2","57","1","100","1210001","pkb_idle_normal_l"
"2","pkb_idle_arm_crossed_l","1","21","3","pkb_talk_arm_crossed_l","0.2","0.2","0","1210002",""
"vo_minigame_1006","0","","21","21","vo_minigame_1006_top_803","","","0","1210003",""
"2","0","0","21","11","全国を目指してんだ\nもっと練習しなきゃ\nいけねえよな","0","0","8","1210004","0"
"0","","","21","91","","","","","1210005",""
"2","","","21","3","pkb_idle_normal_l","0.2","","1","1210006",""
"1","-20","-150","22","1","113511","1.6","0","100","1220001","pkb_idle_normal"
"1","170","-150","22","1","113411","1.6","1","100","1220002","pkb_idle_normal"
"113511","","","22","3","pkb_talk_joy1","0.2","","1","1220003",""
"vo_minigame_1006","0","","22","21","vo_minigame_1006_top_talk_1_101","","","0","1220004",""
"113511","0","0","22","11","ふふ、みんなすごく\n張り切ってるわね\nハツネちゃんの応援の\nおかげかしら♪","0","0","6","1220005","-0.5"
"0","","","22","91","","","","","1220006",""
"113511","","","22","3","pkb_idle_normal","0.2","","1","1220007",""
"113411","","","22","3","pkb_talk_joy1","0.2","","1","1220008",""
"vo_minigame_1006","0","","22","21","vo_minigame_1006_top_talk_1_202","","","0","1220009",""
"113411","0","0","22","11","そうかなー？\nじゃあもっと応援\nがんばっちゃうぞ～！","0","0","6","1220010","-0.5"
"4","","","22","93","","","","","1220011",""
"113411","pkb_idle_normal","1","22","3","pkb_talk_handsup","0.2","0","0","1220012",""
"1220010","","","22","91","","","","","1220013",""
"113411","","","22","3","pkb_idle_normal","0.2","","1","1220014",""
"1","170","-150","23","1","113411","1.6","1","100","1230001","pkb_idle_normal"
"1","-20","-150","23","1","113511","1.6","0","100","1230002","pkb_idle_normal"
"113411","","","23","3","pkb_talk_normal","0.2","","1","1230003",""
"vo_minigame_1006","0","","23","21","vo_minigame_1006_top_talk_2_201","","","0","1230004",""
"113411","0","0","23","11","ミサト先生も一緒に\n応援しようよ！","0","0","8","1230005","-1.5"
"0","","","23","91","","","","","1230006",""
"113411","","","23","3","pkb_idle_normal","0.2","","1","1230007",""
"113511","","","23","3","pkb_talk_normal","0.2","","1","1230008",""
"vo_minigame_1006","0","","23","21","vo_minigame_1006_top_talk_2_102","","","0","1230009",""
"113511","0","0","23","11","あらあら\n楽しそうね～♪\nフレーフレー！","0","0","5","1230010","3"
"4","","","23","93","","","","","1230011",""
"113511","pkb_talk_fun","0","23","3","pkb_talk_fun","0.2","0.2","0","1230012",""
"2.7","","","23","93","","","","","1230013",""
"113511","pkb_talk_joy1","1","23","3","pkb_idle_normal","0.2","0.2","0","1230014",""
"1230010","","","23","91","","","","","1230015",""
"113511","","","23","3","pkb_idle_normal","0.2","","1","1230016",""
"1","170","-150","24","1","113511","1.6","1","100","1240001","pkb_idle_normal"
"3","-20","-130","24","5","3","55","0","100","1240002","pkb_idle_normal"
"113511","","","24","3","pkb_talk_joy3","0.2","","1","1240003",""
"vo_minigame_1006","0","","24","21","vo_minigame_1006_top_talk_3_101","","","0","1240004",""
"113511","0","0","24","11","ダイチくんったら\nすごい気合いね～！\nでも、無理しちゃ\n駄目ですよ～？","0","0","6","1240005","-1"
"4","","","24","93","","","","","1240006",""
"113511","","","24","3","pkb_talk_wish","0.2","","1","1240007",""
"1240005","","","24","91","","","","","1240008",""
"113511","","","24","3","pkb_idle_normal","0.2","","1","1240009",""
"3","","","24","3","pkb_talk_normal","0.2","","1","1240010",""
"vo_minigame_1006","0","","24","21","vo_minigame_1006_top_talk_3_602","","","0","1240011",""
"3","0","0","24","11","わかってるっつーの\nけどよ、ビーチベース\nボールが楽しくて\n仕方ねえんだよ！","0","0","6","1240012","-1"
"2","","","24","93","","","","","1240013",""
"3","pkb_idle_doya","1","24","3","pkb_talk_doya","0.2","","0","1240014",""
"1240012","","","24","91","","","","","1240015",""
"3","","","24","3","pkb_idle_normal","0.2","","1","1240016",""
"3","-20","-130","25","5","3","55","0","100","1250001","pkb_idle_normal"
"1","170","-150","25","1","113511","1.6","1","100","1250002","pkb_idle_normal"
"3","pkb_idle_arm_crossed","1","25","3","pkb_talk_arm_crossed","0.2","0.2","0","1250003",""
"vo_minigame_1006","0","","25","21","vo_minigame_1006_top_talk_4_601","","","0","1250004",""
"3","0","0","25","11","今の俺たちなら\n全国行けるぜ！\n絶対に夢を\n叶えようぜ！","0","0","8","1250005","-0.5"
"3","","","25","93","","","","","1250006",""
"3","pkb_idle_guts","1","25","3","pkb_talk_guts","0.2","","0","1250007",""
"1250005","","","25","91","","","","","1250008",""
"3","","","25","3","pkb_idle_normal","0.2","","1","1250009",""
"113511","","","25","3","pkb_talk_wish","0.2","","1","1250010",""
"vo_minigame_1006","0","","25","21","vo_minigame_1006_top_talk_4_102","","","0","1250011",""
"113511","0","0","25","11","ええ、あなたたちなら\n行けるって信じてるわ\n頑張りましょう～♪","0","0","6","1250012","1"
"5.6","","","25","93","","","","","1250013",""
"113511","pkb_idle_normal","1","25","3","pkb_talk_handsup","0.2","0.2","0","1250014",""
"0","","","25","91","","","","","1250015",""
"113511","","","25","3","pkb_idle_normal","0.2","","1","1250016",""
"1","170","-150","26","1","113511","1.6","1","100","1260001","pkb_idle_normal"
"1","-20","-130","26","5","1","55","0","100","1260002","pkb_idle_normal"
"113511","","","26","3","pkb_talk_joy3","0.2","","1","1260003",""
"vo_minigame_1006","0","","26","21","vo_minigame_1006_top_talk_5_101","","","0","1260004",""
"113511","0","0","26","11","ふふ、先生も\n練習のお手伝いを\nしますからね～","0","0","6","1260005","0"
"0","","","26","91","","","","","1260006",""
"113511","","","26","3","pkb_idle_normal","0.2","","1","1260007",""
"1","pkb_idle_guts","1","26","3","pkb_talk_guts","0.2","0.2","0","1260008",""
"vo_minigame_1006","0","","26","21","vo_minigame_1006_top_talk_5_702","","","0","1260009",""
"1","0","0","26","11","先生、ありがとう\nございます！\n俺も気合い入れて\n頑張ります！","0","0","8","1260010","-1"
"0","","","26","91","","","","","1260011",""
"1","","","26","3","pkb_idle_normal","0.2","","1","1260012",""
"1","-20","-130","27","5","1","55","0","100","1270001","pkb_idle_normal"
"1","170","-150","27","1","113511","1.6","1","100","1270002","pkb_idle_normal"
"1","pkb_idle_arm_crossed","1","27","3","pkb_talk_arm_crossed","0.2","0.2","0","1270003",""
"vo_minigame_1006","0","","27","21","vo_minigame_1006_top_talk_6_701","","","0","1270004",""
"1","0","0","27","11","今日もボールが\nピカピカだ…\nきっと先生が\n磨いてくれたんだ…！","0","0","8","1270005","-0.5"
"2.6","","","27","93","","","","","1270006",""
"1","pkb_idle_guts","1","27","3","pkb_talk_guts","0.2","0.2","0","1270007",""
"1270005","","","27","91","","","","","1270008",""
"1","","","27","3","pkb_idle_normal","0.2","","1","1270009",""
"113511","","","27","3","pkb_talk_joy3","0.2","","1","1270010",""
"vo_minigame_1006","0","","27","21","vo_minigame_1006_top_talk_6_102","","","0","1270011",""
"113511","0","0","27","11","私にできることを\nしただけですよ～\nみんなが気持ちよく\n練習できたらなって♪","0","0","6","1270012","0.5"
"4","","","27","93","","","","","1270013",""
"113511","","","27","3","pkb_talk_wish","0.2","","1","1270014",""
"1270012","","","27","91","","","","","1270015",""
"113511","","","27","3","pkb_idle_normal","0.2","","1","1270016",""
"1","170","-150","28","1","113411","1.6","1","100","1280001","pkb_idle_normal"
"3","-20","-130","28","5","3","55","0","100","1280002","pkb_idle_normal"
"113411","pkb_talk_joy1","1","28","3","pkb_talk_yell","0.2","0.2","0","1280003",""
"vo_minigame_1006","0","","28","21","vo_minigame_1006_top_talk_7_201","","","0","1280004",""
"113411","0","0","28","11","みんな、頑張れ～♪\nかっこいいところ\n期待してるよー！\nファイトファイト～！","0","0","8","1280005","-0.5"
"4.6","","","28","93","","","","","1280006",""
"113411","pkb_idle_normal","1","28","3","pkb_talk_fun","0.2","0.2","0","1280007",""
"1280005","","","28","91","","","","","1280008",""
"113411","","","28","3","pkb_idle_normal","0.2","","1","1280009",""
"3","pkb_idle_guts","1","28","3","pkb_talk_guts","0.2","","0","1280010",""
"vo_minigame_1006","0","","28","21","vo_minigame_1006_top_talk_7_602","","","0","1280011",""
"3","0","0","28","11","応援が沁みるぜ…\nハツネちゃんに\nいいとこ見せるぞ！\nうおおぉぉ！！","0","0","8","1280012","0"
"5","","","28","93","","","","","1280013",""
"3","pkb_idle_normal","1","28","3","pkb_talk_handsup","0.2","","0","1280014",""
"1280012","","","28","91","","","","","1280015",""
"3","","","28","3","pkb_idle_normal","0.2","","1","1280016",""
"3","-20","-130","29","5","3","55","0","100","1290001","pkb_idle_normal"
"1","170","-150","29","1","113411","1.6","1","100","1290002","pkb_idle_normal"
"3","pkb_idle_arm_crossed","1","29","3","pkb_talk_arm_crossed","0.2","0.2","0","1290003",""
"vo_minigame_1006","0","","29","21","vo_minigame_1006_top_talk_8_601","","","0","1290004",""
"3","0","0","29","11","かなりハードな練習に\nなりそうなんだ\nビシッと気合いが入る\n応援を頼むぜ！","0","0","8","1290005","-1"
"2.8","","","29","93","","","","","1290006",""
"3","pkb_idle_guts","1","29","3","pkb_talk_guts","0.2","","0","1290007",""
"1290005","","","29","91","","","","","1290008",""
"3","","","29","3","pkb_idle_normal","0.2","","1","1290009",""
"113411","","","29","3","pkb_talk_joy1","0.2","","1","1290010",""
"vo_minigame_1006","0","","29","21","vo_minigame_1006_top_talk_8_202","","","0","1290011",""
"113411","0","0","29","11","任せてよ！\nいつもよりいっぱい\n応援しちゃうよ～！","0","0","8","1290012","-0.5"
"2.2","","","29","93","","","","","1290013",""
"113411","pkb_smile","0","29","3","pkb_talk_fun","0.2","0.4","0","1290014",""
"2.2","","","29","93","","","","","1290015",""
"113411","","","29","3","pkb_idle_normal","0.2","","1","1290016",""
"1290012","","","29","91","","","","","1290017",""
"113411","","","29","3","pkb_idle_normal","0.2","","1","1290018",""
"1","170","-150","30","1","113411","1.6","1","100","1300001","pkb_idle_normal"
"1","-20","-130","30","5","1","55","0","100","1300002","pkb_idle_normal"
"113411","","","30","3","pkb_talk_joy1","0.2","","1","1300003",""
"vo_minigame_1006","0","","30","21","vo_minigame_1006_top_talk_9_201","","","0","1300004",""
"113411","0","0","30","11","いっぱい応援するから\n今日も練習頑張ってね\n目指せ、全国大会～！","0","0","8","1300005","1"
"5","","","30","93","","","","","1300006",""
"113411","pkb_idle_normal","1","30","3","pkb_talk_handsup","0.2","","0","1300007",""
"1300005","","","30","91","","","","","1300008",""
"113411","","","30","3","pkb_idle_normal","0.2","","1","1300009",""
"1","","","30","3","pkb_talk_normal","0.2","","1","1300010",""
"vo_minigame_1006","0","","30","21","vo_minigame_1006_top_talk_9_702","","","0","1300011",""
"1","0","0","30","11","ハツネちゃんの応援は\n俺たちの力に\nなってるよ\nいつもありがとう！","0","0","8","1300012","-1"
"3.3","","","30","93","","","","","1300013",""
"1","pkb_idle_guts","1","30","3","pkb_talk_guts","0.2","","0","1300014",""
"1300012","","","30","91","","","","","1300015",""
"1","","","30","3","pkb_idle_normal","0.2","","1","1300016",""
"1","-20","-130","31","5","1","55","0","100","1310001","pkb_idle_normal"
"1","170","-150","31","1","113411","1.6","1","100","1310002","pkb_idle_normal"
"1","pkb_idle_arm_crossed","1","31","3","pkb_talk_arm_crossed","0.2","0.2","0","1310003",""
"vo_minigame_1006","0","","31","21","vo_minigame_1006_top_talk_10_701","","","0","1310004",""
"1","0","0","31","11","キャプテンとして\nもっと上手くなって\nみんなを引っ張って\nいかないと！","0","0","8","1310005","-1.5"
"3.6","","","31","93","","","","","1310006",""
"1","pkb_idle_doya","1","31","3","pkb_talk_doya","0.2","","0","1310007",""
"1310005","","","31","91","","","","","1310008",""
"1","","","31","3","pkb_idle_normal","0.2","","1","1310009",""
"113411","","","31","3","pkb_talk_joy1","0.2","","1","1310010",""
"vo_minigame_1006","0","","31","21","vo_minigame_1006_top_talk_10_202","","","0","1310011",""
"113411","0","0","31","11","おっ、アサヒくん！\n気合い入ってるね！\nその意気なのだ～！\n頑張れ頑張れ～☆","0","0","8","1310012","-0.5"
"3.6","","","31","93","","","","","1310013",""
"113411","pkb_talk_fun","0","31","3","pkb_talk_fun","0.2","","0","1310014",""
"3","","","31","93","","","","","1310015",""
"113411","","","31","3","pkb_idle_normal","0.2","","1","1310016",""
"1310012","","","31","91","","","","","1310017",""
"2","-20","-130","32","5","2","55","0","100","1320001","pkb_idle_normal"
"1","170","-150","32","1","113411","1.6","1","100","1320002","pkb_idle_normal"
"2","pkb_idle_guts","1","32","3","pkb_talk_guts","0.2","","0","1320003",""
"vo_minigame_1006","0","","32","21","vo_minigame_1006_top_talk_11_801","","","0","1320004",""
"2","0","0","32","11","ハツネちゃん…\nホームラン打つって\n約束するから\nしっかり見ててくれよ","0","0","8","1320005","0"
"5","","","32","93","","","","","1320006",""
"2","pkb_idle_doya","1","32","3","pkb_talk_doya","0.2","","0","1320007",""
"1320005","","","32","91","","","","","1320008",""
"2","","","32","3","pkb_idle_normal","0.2","","1","1320009",""
"113411","","","32","3","pkb_talk_joy2","0.2","","1","1320010",""
"vo_minigame_1006","0","","32","21","vo_minigame_1006_top_talk_11_202","","","0","1320011",""
"113411","0","0","32","11","うん、わかった！\n特大ホームランを\nよろしくねー！\n期待してるよ～！","0","0","8","1320012","0"
"4.6","","","32","93","","","","","1320013",""
"113411","pkb_idle_normal","1","32","3","pkb_hatsune_kiran","0.2","0.2","0","1320014",""
"1320012","","","32","91","","","","","1320015",""
"113411","","","32","3","pkb_idle_normal","0.2","","1","1320016",""
"1","170","-150","33","1","102311","1.6","1","100","1330001","pkb_idle_normal"
"2","-20","-130","33","5","2","55","0","100","1330002","pkb_idle_normal"
"102311","","","33","3","pkb_talk_normal","0.2","","1","1330003",""
"vo_minigame_1006","0","","33","21","vo_minigame_1006_top_talk_12_401","","","0","1330004",""
"102311","0","0","33","11","声出し練習やろうよ！\n「ぷうきち\nフルスイング」って\n大声で百回～！","0","0","8","1330005","-0.5"
"1.6","","","33","93","","","","","1330006",""
"102311","pkb_talk_joy1","1","33","3","pkb_talk_yell","0.2","0.2","0","1330007",""
"1330005","","","33","91","","","","","1330008",""
"102311","","","33","3","pkb_idle_normal","0.2","","1","1330009",""
"vo_minigame_1006","0","","33","21","vo_minigame_1006_top_talk_12_802","","","0","1330010",""
"2","0","0","33","11","ぷ、ぷうきち\nフルスイーング！\n…これはこれで\nキツい練習だな","0","0","8","1330011","0"
"0.5","","","33","93","","","","","1330012",""
