753fdca7974650af8016f06f37ea6a4bb253578bb2ceef94fea05941d4173d59,ddda5f310eedc94fbb60a6369a44d7a96d0f25c08dd0147ecdadfdd65ef9730a,96c76555cf1e9820a173d80ecd7250e283ac573a5950eb2f99f6fb0ee0caeeb3,545a7e5882f1f56c05bc5fe21b101dee1aa30457cbe4e6593509c60b2f48947b,dc52d077ea6e1dd188e3db68d876e7033a716aee4e72318bd9b34cdef70ba855,73575baa6794373e0904e06f73a169c758a72ea9e7c6a61ae992381ea3d2e6cb,0a1dc00a4ea362600e494cd846333e265ecc81c3f739d6547fd405e1052d0986
"1002202","vo_minigame_1004","1","vo_minigame_1004_top_2_049","10022","2","おい、今失礼なこと考えてるだろ？"
"1002301","vo_minigame_1004","1","vo_minigame_1004_top_3_058","10023","2","なあ、これいつまで続けるんだ？"
"1002302","vo_minigame_1004","2","vo_minigame_1004_top_3_059","10023","1","カヤぴぃが降参するまでです！"
"1002303","vo_minigame_1004","2","vo_minigame_1004_top_3_060","10023","3","ぐもも！（コウサンシロ！）"
"1002401","vo_minigame_1004","2","vo_minigame_1004_top_3_065","10024","3","ぐも！（イノリ チョコホシイ）"
"1002402","vo_minigame_1004","1","vo_minigame_1004_top_3_066","10024","1","しょうがないですね、食べ過ぎはダメですよ"
"1002403","vo_minigame_1004","1","vo_minigame_1004_top_3_067","10024","2","土産のチョコ、そうとう気に入ったみたいだな"
"1002501","vo_minigame_1004","2","vo_minigame_1004_top_3_068","10025","3","ぐも！（かやピィニハ マケナイ！）"
"1002502","vo_minigame_1004","1","vo_minigame_1004_top_3_069","10025","2","お？なんだ？腹でも減ってるのか？"
"1002503","vo_minigame_1004","2","vo_minigame_1004_top_3_070","10025","1","……全然話が通じてないです"
