2c3b4d85405ce65d3a0946e895e1b95eeba97f1aed88d4e4276ea82a8b4d6921,50194e785ae48ef7025cfbfaab9eb17747747f514b99c7e78da774a38555070c,17f8622b0f2a2f06880f3b3ac06242516f7eb5ab42a148a6a0b860c14e5bf08a,8700984bb23d9dfb86301845209c9cfdc53ce3fb4a6ac13647a91a4bcedc0c6a,fdaf2d8cf2b64c001dc96dfefab3399085f97566984de5c35b947fdfb644f158,8919c67038a294518cb540b91350f214e8f003aa92a45f76c3f776bef6b6dc4e,ae2599513cb4c91a60c4ec7e35fe5f8f43209a2f21bc43e201f93708c617dc31,05ae4597b24bf4f2bb76a5ecb46766c027ea04f9e3eaacb6af4070654a16193b,2e8b5e6a62d19cd440be1d0e74f56c9f376ad9c83af323f2183c153febce89c4
"94002","","21","4","12","474000","","118500","21600"
"94002","","22","4","12","516000","","129000","21600"
"94002","","23","4","12","562000","","140500","21600"
"94002","","24","4","12","600000","","150000","21600"
"94002","","25","4","12","642000","","160500","21600"
"94002","","26","4","12","684000","","171000","21600"
"94002","","27","4","12","726000","","181500","21600"
"94002","","28","4","12","768000","","192000","21600"
"94002","","29","4","12","810000","","202500","21600"
"94002","","30","4","12","852000","","213000","21600"
"94002","","31","4","12","894000","","223500","21600"
"94002","","32","4","12","920000","","230000","21600"
"94002","","33","4","12","940000","","235000","21600"
"94002","","34","4","12","960000","","240000","21600"
"94002","","35","4","12","980000","","245000","21600"
"94002","","36","4","12","1000000","","250000","21600"
"93001","","1","5","6","48","","12","21600"
"93001","","1","6","6","48","","12","21600"
"93001","","1","7","6","48","","12","21600"
"93001","","1","8","6","48","","12","21600"
"93001","","1","11","6","48","","12","21600"
"93001","","1","12","6","48","","12","21600"
"93001","","1","19","6","48","","12","21600"
"0","4999999999","0","23","0","0","14999999999","1","0"
"93001","","1","25","6","48","","12","21600"
"93001","","1","28","6","48","","12","21600"
"93001","","1","30","6","48","","12","21600"
