48e689979769e3608e5961b9cbff1894fbc73ac2cc2fa056b5f31cbe3fa4d05c,95d9f3a192b4ad00144d0745fb906b9f9d6bf9bcbcc66ee75450b51c80401d8a,e3bd3b3fca35cd8338c42f9cfe759060c5be10f583f7d8ff2cac826cc0ac7300,f15e476e274501efb5b3dc6c6c365d1762e32be56e6ccb72ce662c1a6aef3b4e,44f9a4c894c4d11e5a078a112dbc60e2d7062cb4244ba5177f4b6137d9c4a9d4,20839c4df751e9e18d1f333c7079dd490770bca9486e2255fd1363366012dd94,493c145d1ceaa968b4645d9327b8e4b5b826d3e8872069ac8fcf62a6ee8ba378,9a842339206e5ab95d3bf241b98718ce110c525590d7f10b2f74cacfdd4ebbbb,f72326e7a59254a1e2563e1e4badb7a581008a4e3baedffe0a5c5ca4bf88eeb7,20cf85b0d8378b10a94970ccd8815d0a433a51014f4edd6c8d3afe82f6a68ce2,d8b32508ea3b8c95ae9f709660b6c1397f433932d5186d96bbef6dc81a854f7c,b429fdfaf4ec7d62458b282f008d30d4bcbf2a1be03427ef4e6b7fed4530dfdb
"7","0","0","0","0","4","1007008","0","0","1","3.041","100700807"
"8","0","vo_svd_0803","0","0","2","1007008","0","vo_svd","0","0","100700808"
"9","1.848","0","3","0","1","1007008","336","0","0","0","100700809"
"10","0","0","0","0","4","1007008","0","0","1","1.437","100700810"
"11","0.796","0","4","0","1","1007008","168","0","0","0","100700811"
"12","0","","0","0","4","1007008","0","","1","2.532","100700812"
"13","0","vo_svd_0804","0","0","2","1007008","0","vo_svd","0","0","100700813"
"14","1.002","0","5","0","1","1007008","101","0","0","0","100700814"
"15","0","0","0","0","4","1007008","0","0","1","2.164","100700815"
"16","1.574","0","5","101","1","1007008","299","0","0","0","100700816"
"17","0","0","0","0","4","1007008","0","0","1","2.164","100700817"
"18","1.269","0","6","0","1","1007008","259","0","0","0","100700818"
"19","0","0","0","0","4","1007008","0","0","1","2.5","100700819"
"1","0","0","0","0","4","1007009","0","0","1","0.8","100700901"
"2","0","vo_svd_0901","0","0","2","1007009","0","vo_svd","0","0","100700902"
"3","2.285","0","1","0","1","1007009","356","0","0","0","100700903"
"4","0","0","0","0","4","1007009","0","0","1","2.031","100700904"
"5","1.362","0","2","0","1","1007009","215","0","0","0","100700905"
"6","0","0","0","0","4","1007009","0","0","1","2.479","100700906"
"7","0","vo_svd_0902","0","0","2","1007009","0","vo_svd","0","0","100700907"
"8","2.004","0","3","0","1","1007009","356","0","0","0","100700908"
"9","0","0","0","0","4","1007009","0","0","1","1.804","100700909"
"10","2.026","0","4","0","1","1007009","266","0","0","0","100700910"
"11","0","0","0","0","4","1007009","0","0","1","2.473","100700911"
"12","0.518","0","4","266","1","1007009","338","0","0","0","100700912"
"13","0","0","0","0","4","1007009","0","0","1","0.556","100700913"
"14","2.021","0","5","0","1","1007009","336","0","0","0","100700914"
"15","0","0","0","0","4","1007009","0","0","1","1.713","100700915"
"16","1.513","0","6","0","1","1007009","250","0","0","0","100700916"
"17","0","0","0","0","4","1007009","0","0","1","1.981","100700917"
"18","0","vo_svd_0903","0","0","2","1007009","0","vo_svd","0","0","100700918"
"19","1.672","0","7","0","1","1007009","279","0","0","0","100700919"
"20","0","0","0","0","4","1007009","0","0","1","1.924","100700920"
"21","0.796","0","7","279","1","1007009","338","0","0","0","100700921"
"22","0","","0","0","4","1007009","0","","1","1.832","100700922"
"23","0","vo_svd_0904","0","0","2","1007009","0","vo_svd","0","0","100700923"
"24","0.703","0","8","0","1","1007009","96","0","0","0","100700924"
"25","0","0","0","0","4","1007009","0","0","1","1.523","100700925"
"26","0","vo_svd_0905","0","0","2","1007009","0","vo_svd","0","0","100700926"
"27","1.198","0","8","96","1","1007009","218","0","0","0","100700927"
"28","0","0","0","0","4","1007009","0","0","1","1.764","100700928"
"29","0","vo_svd_0906","0","0","2","1007009","0","vo_svd","0","0","100700929"
"30","2.335","0","9","0","1","1007009","336","0","0","0","100700930"
"31","0","0","0","0","4","1007009","0","0","1","3.423","100700931"
"32","0","vo_svd_0907","0","0","2","1007009","0","vo_svd","0","0","100700932"
"33","0.682","0","10","0","1","1007009","69","0","0","0","100700933"
"34","0","0","0","0","4","1007009","0","0","1","1.357","100700934"
"35","2.106","0","10","69","1","1007009","336","0","0","0","100700935"
"36","0","0","0","0","4","1007009","0","0","1","1.43","100700936"
"37","2.283","0","11","0","1","1007009","336","0","0","0","100700937"
"38","0","0","0","0","4","1007009","0","0","1","2.989","100700938"
"39","0","vo_svd_0908","0","0","2","1007009","0","vo_svd","0","0","100700939"
"40","1.978","0","12","0","1","1007009","322","0","0","0","100700940"
"41","0","0","0","0","4","1007009","0","0","1","1","100700941"
"1","0","0","0","0","4","1007010","0","0","1","0.8","100701001"
"2","0","vo_svd_1001","0","0","2","1007010","0","vo_svd","0","0","100701002"
"3","2.705","0","1","0","1","1007010","356","0","0","0","100701003"
"4","0","0","0","0","4","1007010","0","0","1","3.154","100701004"
"5","0.918","0","2","0","1","1007010","96","0","0","0","100701005"
"6","0","0","0","0","4","1007010","0","0","1","1.231","100701006"
"7","1.672","0","2","96","1","1007010","356","0","0","0","100701007"
"8","0","0","0","0","4","1007010","0","0","1","3.307","100701008"
"9","0","vo_svd_1002","0","0","2","1007010","0","vo_svd","0","0","100701009"
"10","0.835","0","3","0","1","1007010","131","0","0","0","100701010"
"11","0","0","0","0","4","1007010","0","0","1","1.164","100701011"
"12","1.623","0","3","131","1","1007010","336","0","0","0","100701012"
"13","0","0","0","0","4","1007010","0","0","1","1.712","100701013"
"14","2.294","0","4","0","1","1007010","356","0","0","0","100701014"
"15","0","0","0","0","4","1007010","0","0","1","2.186","100701015"
"16","2.184","0","5","0","1","1007010","322","0","0","0","100701016"
"17","0","0","0","0","4","1007010","0","0","1","3.034","100701017"
"18","0","vo_svd_1003","0","0","2","1007010","0","vo_svd","0","0","100701018"
"19","2.704","0","6","0","1","1007010","356","0","0","0","100701019"
"20","0","0","0","0","4","1007010","0","0","1","2.522","100701020"
"21","1.005","0","7","0","1","1007010","162","0","0","0","100701021"
"22","0","0","0","0","4","1007010","0","0","1","2.617","100701022"
"23","0","vo_svd_1004","0","0","2","1007010","0","vo_svd","0","0","100701023"
"24","0.975","0","8","0","1","1007010","131","0","0","0","100701024"
"25","0","0","0","0","4","1007010","0","0","1","1.202","100701025"
"26","1.214","0","8","131","1","1007010","291","0","0","0","100701026"
"27","0","0","0","0","4","1007010","0","0","1","1.187","100701027"
"28","2.043","0","9","0","1","1007010","345","0","0","0","100701028"
"29","0","0","0","0","4","1007010","0","0","1","3.356","100701029"
"30","0","vo_svd_1005","0","0","2","1007010","0","vo_svd","0","0","100701030"
"31","1.862","0","10","0","1","1007010","155","0","0","0","100701031"
"32","0","0","0","0","4","1007010","0","0","1","2.285","100701032"
"33","0","vo_svd_1006","0","0","2","1007010","0","vo_svd","0","0","100701033"
"34","0.682","0","11","0","1","1007010","85","0","0","0","100701034"
"35","0","0","0","0","4","1007010","0","0","1","1.529","100701035"
"36","1.042","0","11","85","1","1007010","220","0","0","0","100701036"
"37","0","0","0","0","4","1007010","0","0","1","2.384","100701037"
"38","0","vo_svd_1007","0","0","2","1007010","0","vo_svd","0","0","100701038"
"39","1.106","0","12","0","1","1007010","100","0","0","0","100701039"
"40","0","0","0","0","4","1007010","0","0","1","1.891","100701040"
"41","1.322","0","12","100","1","1007010","289","0","0","0","100701041"
"42","0","0","0","0","4","1007010","0","0","1","1","100701042"
