0af0647a5fb4afaf4f89f6041e0ea88eef82e93e0026b671409585e53eb06c2e,a038b2c99acf83d8484fec93057b60a73614a3f881feda0ed59be74af9273a8e,8ce7e315ffa65cefe7b956269aa91a8e46c140fbecd7079bd6d8d58166c3f41f,9e1658c9327ce285aa87ac7d7acee4563b77e9286a399312ecdd57e149ad84cd,71e3e50753ea802689354c48f8e39c79469c01123fc1a2002875dd08a8c47305
"64","10","31033","2","9103301"
"65","10","31051","2","9105101"
"66","10","31057","2","9105701"
"67","10","31032","2","9103201"
"68","10","31052","2","9105201"
"69","10","31034","2","9103401"
"70","10","31070","2","9107001"
"71","10","31058","2","9105802"
"72","10","31020","2","9102002"
"73","10","31002","2","9100202"
"74","10","31055","2","9105502"
"75","10","31016","2","9101602"
"77","10","31044","2","9104402"
"78","10","31023","2","9102302"
"79","10","31059","2","9105902"
"80","10","31042","2","9104202"
"81","10","31040","2","9104002"
"82","10","31021","2","9102102"
"83","10","31063","2","9106302"
"84","10","31065","2","9106502"
"85","10","31009","2","9100902"
"86","10","31017","2","9101702"
"87","10","31056","2","9105602"
"88","10","31068","2","9106802"
"89","10","31053","2","9105302"
"90","10","31027","2","9102702"
"91","10","31108","2","9110802"
"92","10","31043","2","9104302"
"94","10","31004","2","9100402"
"95","10","31037","2","9103702"
"96","10","31061","2","9106102"
"97","10","31018","2","9101802"
"98","10","31013","2","9101302"
"99","10","31011","2","9101102"
"100","10","31001","2","9100102"
"101","10","31030","2","9103002"
"102","10","31060","2","9106002"
"103","10","31015","2","9101502"
"104","10","31054","2","9105402"
"105","10","31109","2","9110902"
"106","10","31180","2","9118002"
"107","10","31010","2","9101002"
"108","10","31066","2","9106602"
"109","10","31028","2","9102802"
"110","10","31008","2","9100802"
"111","10","31049","2","9104902"
"112","10","31047","2","9104702"
"113","10","31014","2","9101402"
"114","10","31094","2","9109402"
"115","10","31038","2","9103802"
"116","10","31048","2","9104802"
"117","10","31045","2","9104502"
"118","10","31022","2","9100602"
"119","10","31006","2","9100602"
"120","10","31005","2","9100502"
"122","10","31092","2","9109202"
"123","10","31025","2","9102502"
"124","10","31031","2","9103102"
"125","10","31012","2","9101202"
"126","10","31026","2","9102602"
"127","10","31050","2","9105002"
"128","10","31003","2","9100302"
"129","10","31007","2","9100702"
"130","10","31029","2","9102902"
"131","10","31036","2","9103602"
"132","10","31093","2","9109302"
"133","10","31071","2","9107102"
"134","10","31110","2","9111002"
"135","10","31046","2","9104602"
"136","10","31033","2","9103302"
"137","10","31051","2","9105102"
"138","10","31057","2","9105702"
"139","10","31032","2","9103202"
"140","10","31052","2","9105202"
"141","10","31034","2","9103402"
"142","10","31070","2","9107002"
"143","10","31058","2","9105803"
"144","10","31020","2","9102003"
"145","10","31002","2","9100203"
"146","10","31055","2","9105503"
"147","10","31016","2","9101603"
"148","10","31067","2","9106703"
"149","10","31044","2","9104403"
"150","10","31023","2","9102303"
"151","10","31059","2","9105903"
"152","10","31042","2","9104203"
"153","10","31040","2","9104003"
"154","10","31021","2","9102103"
"155","10","31063","2","9106303"
"156","10","31065","2","9106503"
"157","10","31009","2","9100903"
"158","10","31017","2","9101703"
"159","10","31056","2","9105603"
"160","10","31068","2","9106803"
"161","10","31053","2","9105303"
"162","10","31027","2","9102703"
"163","10","31108","2","9110803"
"164","10","31043","2","9104303"
"165","10","31004","2","9100403"
"166","10","31037","2","9103703"
"167","10","31061","2","9106103"
"168","10","31018","2","9101803"
"169","10","31013","2","9101303"
"170","10","31011","2","9101103"
"171","10","31001","2","9100103"
"172","10","31030","2","9103003"
"173","10","31060","2","9106003"
"174","10","31015","2","9101503"
"175","10","31054","2","9105403"
"176","10","31185","2","9118503"
"177","10","31109","2","9110903"
"178","10","31180","2","9118003"
"179","10","31010","2","9101003"
"180","10","31066","2","9106603"
"181","10","31028","2","9102803"
"182","10","31008","2","9100803"
"183","10","31049","2","9104903"
"184","10","31047","2","9104703"
"185","10","31038","2","9103803"
"186","10","31014","2","9101403"
"187","10","31094","2","9109403"
"188","10","31048","2","9104803"
"189","10","31045","2","9104503"
"190","10","31022","2","9100603"
"191","10","31006","2","9100603"
"192","10","31005","2","9100503"
"193","10","31092","2","9109203"
"194","10","31025","2","9102503"
"195","10","31064","2","9106403"
"196","10","31031","2","9103103"
"197","10","31012","2","9101203"
"198","10","31181","2","9118103"
"199","10","31026","2","9102603"
"200","10","31050","2","9105003"
"201","10","31003","2","9100303"
"202","10","31007","2","9100703"
"203","10","31029","2","9102903"
"204","10","31036","2","9103603"
"205","10","31093","2","9109303"
"206","10","31071","2","9107103"
"207","10","31230","2","9123003"
"208","10","31110","2","9111003"
"209","10","31046","2","9104603"
"210","10","31033","2","9103303"
"211","10","31051","2","9105103"
"212","10","31057","2","9105703"
"213","10","31032","2","9103203"
"214","10","31052","2","9105203"
"215","10","31034","2","9103403"
"216","10","31070","2","9107003"
