9e09a2310f6e8f15b362a09a0bd629c92982320b5766c6731262ac2f1a05e901,d365873a955004914a88fea37fb19c9bed6266ff57b67b419d96bb8c6ca32471,051bf78a037308a3976929fbe2b8a9fb654a221add60ae885ba68fb02eb65a2f,4f17978b32efe3d9309595db4e21dc313f2b06ee15a87cd7864e051ca152f485,df0dc144010186d85a3a6086c0eb81fdc8008f63ef229894d9b5b955b12a945b,d530f24510c0a705414018e8d8592a8ad946f896821d675edb49b104f17220bd,54ba5a29dd9d0f3548c5ba0c64346a26794bdc8eb53194cc9be58b7d69b42035,075cc5fbb92f289373b9d253da02f20749b92f45d36bcaa006af71db394055e6,4bb62b9e37b3c38dde1bbb242df81e7614627ae34d9f7d9e32ab68bcfccb2f95,8aeb3dda0400bafd7755e53b7f9ac790e202fe1730ae0911bfcee5eff4172d2e,43cfed16d2aedb92d23cb16c6793a772701889ce73fc0429313decad2518fee7
"","","","","0.1","","","93","4514","4514020",""
"wac_birthday_reaction_05","wac_birthday_reaction_04","0","","106011","0.2","0.2","3","4514","4514021","1"
"wac_birthday_reaction_02","wac_birthday_reaction_03","0","","106431","0.2","0.2","3","4514","4514022","1"
"","","","","0.3","","","93","4514","4514023",""
"wac_birthday_run_01","","1","","105811","","0.2","3","4514","4514024",""
"0","3","-70","","105811","","","2","4514","4514025",""
"","","","","2.5","","","93","4514","4514026",""
"1","","","","602","","","32","4514","4514027",""
"","","","","0.6","","","93","4514","4514028",""
"0","","","","600","","","32","4514","4514029",""
"0","","","","611","","","32","4514","4514030",""
"0","","","","604","","","32","4514","4514031",""
"1","","","","701","","","32","4514","4514032",""
"0","0.01","0","","900","","","33","4514","4514033",""
"wac_birthday_blowout_02","wac_birthday_wish_02","0","","105811","0.2","0.2","3","4514","4514034","1"
"-200","0.01","-330","","105811","","","2","4514","4514035",""
"wac_birthday_idle_doya","","1","","106011","","0.2","3","4514","4514036",""
"180","0.01","-320","","106011","","","2","4514","4514037",""
"wac_birthday_idle_wish","","1","","105911","","0.2","3","4514","4514038",""
"300","0.01","-360","","105911","","","2","4514","4514039",""
"wac_birthday_idle_smile","","1","","106431","","0.2","3","4514","4514040",""
"420","0.01","-340","","106431","","","2","4514","4514041",""
"","","","","0","","","93","4514","4514042",""
"1","","","","800","","","32","4514","4514043",""
"","","","","0.7","","","93","4514","4514044",""
"1","","","","702","","","32","4514","4514045",""
"","","","","0.5","","","93","4514","4514046",""
"se_sys_login_birthday_blow_candle","","0","","se_common","","","23","4514","4514047",""
"0","","","","701","","","32","4514","4514048",""
"","","","","0.4","","","93","4514","4514049",""
"se_sys_login_birthday_cracker","","0","","se_common","","","23","4514","4514050",""
"1","","","","700","","","32","4514","4514051",""
"se_sys_login_birthday_calendar_applause","","0","","se_common","","","23","4514","4514052",""
"wac_birthday_clap","wac_birthday_idle_doya","0","","106011","0.2","0.2","3","4514","4514053","1"
"","","","","0.1","","","93","4514","4514054",""
"wac_birthday_clap_to_wish","wac_birthday_idle_wish","0","","105911","0.2","0.2","3","4514","4514055","1"
"","","","","0.1","","","93","4514","4514056",""
"wac_birthday_clap","wac_birthday_idle_smile","0","","106431","0.2","0.2","3","4514","4514057","1"
"","","","","2","","","93","4514","4514058",""
"","","","","1","","","131","4514","4514059",""
"vo_wac_04514_000","0","0","","vo_wac_04514","","","21","4514","4514060",""
"これって、誕生日ケーキですか！？\nありがとうございます♪\nとってもおいしそう……\nさっそくパクっといっちゃいますね♪","1","10","0.5","105811","0","0","11","4514","4514061","1"
"","","","","0","","","91","4514","4514062",""
"wac_birthday_idle_kyapi","","1","","105811","","0.2","3","4514","4514063",""
"wac_birthday_talk_normal","","1","","106011","","0.2","3","4514","4514064",""
"vo_wac_04514_001","0","0","","vo_wac_04514","","","21","4514","4514065",""
"ちょちょ、ストーーーップ！！\nまだろうそく外してないわよ！？\nほんと相変わらずね、あんたってば……\nふふっ、おめでと。","1","10","0.5","106011","0","0","11","4514","4514066","1"
"","","","","0","","","91","4514","4514067",""
"wac_birthday_idle_doya","","1","","106011","","0.2","3","4514","4514068",""
"wac_birthday_talk_kyapi","","1","","105811","","0.2","3","4514","4514069",""
"vo_wac_04514_002","0","0","","vo_wac_04514","","","21","4514","4514070",""
"えへへ、ありがとうございます♪\nいっぱい味わって食べますね！\nみんなに祝ってもらえて\n今日は最高の記念日です♪","1","10","0.5","105811","0","0","11","4514","4514071","1"
"","","","","0","","","91","4514","4514072",""
"wac_birthday_talk_wish","","1","","105811","","0.2","3","4514","4514073",""
"vo_wac_04514_003","0","0","","vo_wac_04514","","","21","4514","4514074",""
"今日も、明日も、この先の未来も\n素敵な食卓を囲んでいけますように♪\nもちろんあなたも一緒ですよ！\nこれからもよろしくお願いしますね！","1","10","0.5","105811","0","0","11","4514","4514075","1"
"","","","","0","","","91","4514","4514076",""
"","","","","0","","","22","4514","4514077",""
"bgm_M321_2C","","","","bgm_M321","","","25","4814","4814001",""
"102011","-1000","250","wac_birthday_idle_normal","1","0","2","1","4814","4814002","-70"
"103611","230","256","wac_birthday_idle_doya","1","1","2","1","4814","4814003","-270"
"100411","410","257","wac_birthday_idle_kyapi","1","1","2","1","4814","4814004","-310"
"300","","","","102011","","","13","4814","4814005",""
"300","","","","103611","","","13","4814","4814006",""
"600","0","0","","600","","1","31","4814","4814007","1"
"602","0","0","","602","","0","31","4814","4814008","1"
"603","0","0","","603","","0","31","4814","4814009","1"
"604","60","30","","604","","1","31","4814","4814010","1"
"611","0","0","","611","","1","31","4814","4814011","1"
"700","0","0","","700","","0","31","4814","4814012","1"
"701","0","0","","701","","0","31","4814","4814013","1"
"702","0","0","","702","","0","31","4814","4814014","1"
"800","0","0","","800","","0","31","4814","4814015","1"
"901","60","30","","901","","1","31","4814","4814016","1"
"","","","","1","","","93","4814","4814017",""
"wac_birthday_reaction_02","wac_birthday_reaction_03","0","","100411","0.2","0.2","3","4814","4814018","1"
"","","","","0.1","","","93","4814","4814019",""
"wac_birthday_reaction_01","wac_birthday_reaction_04","0","","103611","0.2","0.2","3","4814","4814020","1"
"","","","","0.3","","","93","4814","4814021",""
"wac_birthday_run_01","","1","","102011","","0.2","3","4814","4814022",""
"0","3","-70","","102011","","","2","4814","4814023",""
"","","","","2.5","","","93","4814","4814024",""
"1","","","","602","","","32","4814","4814025",""
"","","","","0.6","","","93","4814","4814026",""
"0","","","","600","","","32","4814","4814027",""
"0","","","","611","","","32","4814","4814028",""
"0","","","","604","","","32","4814","4814029",""
"1","","","","701","","","32","4814","4814030",""
"0","0.01","0","","901","","","33","4814","4814031",""
"wac_birthday_blowout_02","wac_birthday_wish_02","0","","102011","0.2","0.2","3","4814","4814032","1"
"-200","0.01","-330","","102011","","","2","4814","4814033",""
"wac_birthday_idle_doya","","1","","103611","","0.2","3","4814","4814034",""
"180","0.01","-320","","103611","","","2","4814","4814035",""
"wac_birthday_idle_kyapi","","1","","100411","","0.2","3","4814","4814036",""
"320","0.01","-340","","100411","","","2","4814","4814037",""
"","","","","0","","","93","4814","4814038",""
"1","","","","800","","","32","4814","4814039",""
"","","","","0.7","","","93","4814","4814040",""
"1","","","","702","","","32","4814","4814041",""
"","","","","0.5","","","93","4814","4814042",""
"se_sys_login_birthday_blow_candle","","0","","se_common","","","23","4814","4814043",""
"0","","","","701","","","32","4814","4814044",""
"","","","","0.4","","","93","4814","4814045",""
"se_sys_login_birthday_cracker","","0","","se_common","","","23","4814","4814046",""
"1","","","","700","","","32","4814","4814047",""
"se_sys_login_birthday_calendar_applause","","0","","se_common","","","23","4814","4814048",""
"wac_birthday_clap","wac_birthday_idle_doya","0","","103611","0.2","0.2","3","4814","4814049","1"
"","","","","0.1","","","93","4814","4814050",""
"wac_birthday_clap","wac_birthday_idle_kyapi","0","","100411","0.2","0.2","3","4814","4814051","1"
"","","","","2","","","93","4814","4814052",""
"","","","","1","","","131","4814","4814053",""
"vo_wac_04814_000","0","0","","vo_wac_04814","","","21","4814","4814054",""
"わあ～、ケーキだ～！\nお店屋さんで売ってるのより\nおっきい……！　すごいすごい♪","1","10","0.5","102011","0","0","11","4814","4814055","1"
"","","","","0","","","91","4814","4814056",""
"wac_birthday_idle_smile","","1","","102011","","0.2","3","4814","4814057",""
"wac_birthday_talk_doya","","1","","103611","","0.2","3","4814","4814058",""
"vo_wac_04814_001","0","0","","vo_wac_04814","","","21","4814","4814059",""
"こっそり作っておいたの！\nミソギがイタズラしてきて\n大変だったけど……\nミミ、お誕生日おめでとう♪","1","10","0.5","103611","0","0","11","4814","4814060","1"
"","","","","0","","","91","4814","4814061",""
"wac_birthday_idle_doya","","1","","103611","","0.2","3","4814","4814062",""
"wac_birthday_talk_smile","","1","","102011","","0.2","3","4814","4814063",""
"vo_wac_04814_002","0","0","","vo_wac_04814","","","21","4814","4814064",""
"えへへ、ふたりともありがとう～\nおとうさんとおかあさん、みんなからも\nケーキがもらえるなんて夢みたい……","1","10","0.5","102011","0","0","11","4814","4814065","1"
"","","","","0","","","91","4814","4814066",""
"wac_birthday_talk_kyapi","","1","","102011","","0.2","3","4814","4814067",""
"vo_wac_04814_003","0","0","","vo_wac_04814","","","21","4814","4814068",""
"ミミ、とっても幸せだよ～♪\nおにいちゃんもありがとう！\nみんなのお誕生日がきたら、ミミも\nぜ～ったいおいわいするからね♪","1","10","0.5","102011","0","0","11","4814","4814069","1"
"","","","","0","","","91","4814","4814070",""
"","","","","0","","","22","4814","4814071",""
"bgm_M321_2C","","","","bgm_M321","","","25","5014","5014001",""
"100211","-1000","250","wac_birthday_idle_normal","1","0","2","1","5014","5014002","-70"
"100311","230","256","wac_birthday_idle_normal","1","1","2","1","5014","5014003","-270"
"100111","410","257","wac_birthday_idle_smile","1","1","2","1","5014","5014004","-310"
"300","","","","100211","","","13","5014","5014005",""
"300","","","","100311","","","13","5014","5014006",""
"600","0","0","","600","","1","31","5014","5014007","1"
"602","0","0","","602","","0","31","5014","5014008","1"
"603","0","0","","603","","0","31","5014","5014009","1"
"604","60","30","","604","","1","31","5014","5014010","1"
"611","0","0","","611","","1","31","5014","5014011","1"
"700","0","0","","700","","0","31","5014","5014012","1"
"701","0","0","","701","","0","31","5014","5014013","1"
"702","0","0","","702","","0","31","5014","5014014","1"
"800","0","0","","800","","0","31","5014","5014015","1"
"902","60","30","","902","","1","31","5014","5014016","1"
"","","","","1","","","93","5014","5014017",""
"wac_birthday_reaction_02","wac_birthday_reaction_03","0","","100111","0.2","0.2","3","5014","5014018","1"
"","","","","0.1","","","93","5014","5014019",""
"wac_birthday_reaction_01","wac_birthday_reaction_04","0","","100311","0.2","0.2","3","5014","5014020","1"
"","","","","0.3","","","93","5014","5014021",""
"wac_birthday_run_01","","1","","100211","","0.2","3","5014","5014022",""
"0","3","-70","","100211","","","2","5014","5014023",""
"","","","","2.5","","","93","5014","5014024",""
"1","","","","602","","","32","5014","5014025",""
"","","","","0.6","","","93","5014","5014026",""
"0","","","","600","","","32","5014","5014027",""
"0","","","","611","","","32","5014","5014028",""
"0","","","","604","","","32","5014","5014029",""
"1","","","","701","","","32","5014","5014030",""
"0","0.01","0","","902","","","33","5014","5014031",""
"wac_birthday_blowout_01","wac_birthday_wish_04","0","","100211","0.2","0.2","3","5014","5014032","1"
"-200","0.01","-330","","100211","","","2","5014","5014033",""
"wac_birthday_idle_normal","","1","","100311","","0.2","3","5014","5014034",""
"180","0.01","-320","","100311","","","2","5014","5014035",""
"wac_birthday_idle_smile","","1","","100111","","0.2","3","5014","5014036",""
"320","0.01","-340","","100111","","","2","5014","5014037",""
"","","","","0","","","93","5014","5014038",""
"1","","","","800","","","32","5014","5014039",""
"","","","","0.7","","","93","5014","5014040",""
"1","","","","702","","","32","5014","5014041",""
"","","","","0.5","","","93","5014","5014042",""
"se_sys_login_birthday_blow_candle","","0","","se_common","","","23","5014","5014043",""
"0","","","","701","","","32","5014","5014044",""
"","","","","0.4","","","93","5014","5014045",""
"se_sys_login_birthday_cracker","","0","","se_common","","","23","5014","5014046",""
"1","","","","700","","","32","5014","5014047",""
"se_sys_login_birthday_calendar_applause","","0","","se_common","","","23","5014","5014048",""
"wac_birthday_clap","wac_birthday_idle_normal","0","","100311","0.2","0.2","3","5014","5014049","1"
"","","","","0.1","","","93","5014","5014050",""
"wac_birthday_clap","wac_birthday_idle_smile","0","","100111","0.2","0.2","3","5014","5014051","1"
"","","","","2","","","93","5014","5014052",""
"","","","","1","","","131","5014","5014053",""
"vo_wac_05014_000","0","0","","vo_wac_05014","","","21","5014","5014054",""
"この誕生日ケーキ、わたしにっ！？\nあっ、ありがとう……！\n……もしかしてこれ、\nふたりで手作りしてくれたの？","1","10","0.5","100211","0","0","11","5014","5014055","1"
"","","","","0","","","91","5014","5014056",""
"wac_birthday_idle_wish","","1","","100211","","0.2","3","5014","5014057",""
"wac_birthday_talk_normal","","1","","100311","","0.2","3","5014","5014058",""
"vo_wac_05014_001","0","0","","vo_wac_05014","","","21","5014","5014059",""
"うん。私とヒヨリで作ったんだ。\nユイにはいつだって助けられてるから\nせめてものお返しだよ。\n……誕生日おめでとう。ユイ。","1","10","0.5","100311","0","0","11","5014","5014060","1"
"","","","","0","","","91","5014","5014061",""
"wac_birthday_idle_normal","","1","","100311","","0.2","3","5014","5014062",""
"wac_birthday_talk_sad","","1","","100211","","0.2","3","5014","5014063",""
"vo_wac_05014_002","0","0","","vo_wac_05014","","","21","5014","5014064",""
"そ、そんな……わたしだって、いつも\n助けられてばっかりで……ご、ごめん！\nせっかくお祝いしてもらってるのに\nうれしくて泣いちゃいそう……！","1","10","0.5","100211","0","0","11","5014","5014065","1"
"","","","","0","","","91","5014","5014066",""
"wac_birthday_talk_smile","","1","","100211","","0.2","3","5014","5014067",""
"vo_wac_05014_003","0","0","","vo_wac_05014","","","21","5014","5014068",""
"騎士クンも、本当にありがとうね。\nみんなに祝福してもらえて\nわたし、最高に幸せだよ……！\n大事に味わって食べるね！","1","10","0.5","100211","0","0","11","5014","5014069","1"
"","","","","0","","","91","5014","5014070",""
"","","","","0","","","22","5014","5014071",""
"bgm_M321_2C","","","","bgm_M321","","","25","5214","5214001",""
"105511","-1000","250","wac_birthday_idle_normal","1","0","2","1","5214","5214002","-70"
"105311","170","256","wac_birthday_idle_doya","1","1","2","1","5214","5214003","-260"
"104511","270","259","wac_birthday_idle_normal","1","1","2","1","5214","5214004","-310"
"100811","410","257","wac_birthday_idle_wish","1","1","2","1","5214","5214005","-270"
"103011","510","258","wac_birthday_idle_kyapi","1","1","2","1","5214","5214006","-310"
"300","","","","105511","","","13","5214","5214007",""
"300","","","","105311","","","13","5214","5214008",""
"600","0","0","","600","","1","31","5214","5214009","1"
"602","0","0","","602","","0","31","5214","5214010","1"
"603","0","0","","603","","0","31","5214","5214011","1"
"604","60","30","","604","","1","31","5214","5214012","1"
"611","0","0","","611","","1","31","5214","5214013","1"
"700","0","0","","700","","0","31","5214","5214014","1"
"701","0","0","","701","","0","31","5214","5214015","1"
"702","0","0","","702","","0","31","5214","5214016","1"
"800","0","0","","800","","0","31","5214","5214017","1"
"903","60","30","","903","","1","31","5214","5214018","1"
"","","","","1","","","93","5214","5214019",""
"wac_birthday_reaction_05","wac_birthday_reaction_03","0","","104511","0.2","0.2","3","5214","5214020","1"
"wac_birthday_reaction_01","wac_birthday_reaction_03","0","","105311","0.2","0.2","3","5214","5214021","1"
"","","","","0.1","","","93","5214","5214022",""
"wac_birthday_reaction_01","wac_birthday_reaction_04","0","","100811","0.2","0.2","3","5214","5214023","1"
"wac_birthday_reaction_02","wac_birthday_reaction_03","0","","103011","0.2","0.2","3","5214","5214024","1"
"","","","","0.3","","","93","5214","5214025",""
"wac_birthday_run_01","","1","","105511","","0.2","3","5214","5214026",""
"0","3","-70","","105511","","","2","5214","5214027",""
"","","","","2.5","","","93","5214","5214028",""
"1","","","","602","","","32","5214","5214029",""
"","","","","0.6","","","93","5214","5214030",""
"0","","","","600","","","32","5214","5214031",""
"0","","","","611","","","32","5214","5214032",""
"0","","","","604","","","32","5214","5214033",""
"1","","","","701","","","32","5214","5214034",""
"0","0.01","0","","903","","","33","5214","5214035",""
"wac_birthday_blowout_03","wac_birthday_wish_04","0","","105511","0.2","0.2","3","5214","5214036","1"
"-200","0.01","-330","","105511","","","2","5214","5214037",""
"wac_birthday_idle_doya","","1","","105311","","0.2","3","5214","5214038",""
"150","0.01","-320","","105311","","","2","5214","5214039",""
"wac_birthday_idle_normal","","1","","104511","","0.2","3","5214","5214040",""
"260","0.01","-360","","104511","","","2","5214","5214041",""
"wac_birthday_idle_wish","","1","","100811","","0.2","3","5214","5214042",""
"400","0.01","-320","","100811","","","2","5214","5214043",""
"wac_birthday_idle_kyapi","","1","","103011","","0.2","3","5214","5214044",""
"500","0.01","-340","","103011","","","2","5214","5214045",""
"","","","","0","","","93","5214","5214046",""
"1","","","","800","","","32","5214","5214047",""
"","","","","0.7","","","93","5214","5214048",""
"1","","","","702","","","32","5214","5214049",""
"","","","","0.5","","","93","5214","5214050",""
"se_sys_login_birthday_blow_candle","","0","","se_common","","","23","5214","5214051",""
"0","","","","701","","","32","5214","5214052",""
"","","","","0.4","","","93","5214","5214053",""
"se_sys_login_birthday_cracker","","0","","se_common","","","23","5214","5214054",""
"1","","","","700","","","32","5214","5214055",""
"se_sys_login_birthday_calendar_applause","","0","","se_common","","","23","5214","5214056",""
"wac_birthday_clap","wac_birthday_idle_doya","0","","105311","0.2","0.2","3","5214","5214057","1"
"wac_birthday_clap_to_wish","wac_birthday_idle_wish","0","","100811","0.2","0.2","3","5214","5214058","1"
"","","","","0.1","","","93","5214","5214059",""
"wac_birthday_clap","wac_birthday_idle_normal","0","","104511","0.2","0.2","3","5214","5214060","1"
"","","","","0.1","","","93","5214","5214061",""
"wac_birthday_clap","wac_birthday_idle_kyapi","0","","103011","0.2","0.2","3","5214","5214062","1"
"","","","","2","","","93","5214","5214063",""
"","","","","1","","","131","5214","5214064",""
"vo_wac_05214_000","0","0","","vo_wac_05214","","","21","5214","5214065",""
"わぁ、お誕生日ケーキですか？\nおめでとうございます～\nいったい誰の……えっ、わ、私！？\n誕生日、覚えててくれたんですか……？","1","10","0.5","105511","0","0","11","5214","5214066","1"
"","","","","0","","","91","5214","5214067",""
"wac_birthday_idle_wish","","1","","105511","","0.2","3","5214","5214068",""
"wac_birthday_talk_smile","","1","","105311","","0.2","3","5214","5214069",""
"vo_wac_05214_001","0","0","","vo_wac_05214","","","21","5214","5214070",""
"忘れるはずがないだろう！\nアユミは我がギルドの数少ない良心……\nいや、重要な存在なのだからな！\n盛大に祝福させてくれ！　おめでとう！","1","10","0.5","105311","0","0","11","5214","5214071","1"
"","","","","0","","","91","5214","5214072",""
"wac_birthday_idle_doya","","1","","105311","","0.2","3","5214","5214073",""
"wac_birthday_talk_wish","","1","","105511","","0.2","3","5214","5214074",""
"vo_wac_05214_002","0","0","","vo_wac_05214","","","21","5214","5214075",""
"え、えっと……\nこれ、夢じゃないですよね？\nほっぺをつねっても……いひゃい！\nやっぱり夢じゃないれす！","1","10","0.5","105511","0","0","11","5214","5214076","1"
"","","","","0","","","91","5214","5214077",""
"wac_birthday_talk_smile","","1","","105511","","0.2","3","5214","5214078",""
"vo_wac_05214_003","0","0","","vo_wac_05214","","","21","5214","5214079",""
"うぅっ……あっ、ありがとうございます！\n先輩にもお祝いしてもらえて\nとってもうれしいです！\nえへへ、大切にいただきますね……♪","1","10","0.5","105511","0","0","11","5214","5214080","1"
"","","","","0","","","91","5214","5214081",""
"","","","","0","","","22","5214","5214082",""
"bgm_M321_2C","","","","bgm_M321","","","25","5514","5514001",""
"101611","-1000","250","wac_birthday_idle_normal","1","0","2","1","5514","5514002","-70"
"105011","230","256","wac_birthday_idle_normal","1","1","2","1","5514","5514003","-270"
"101811","410","257","wac_birthday_idle_smile","1","1","2","1","5514","5514004","-310"
"300","","","","101611","","","13","5514","5514005",""
"300","","","","105011","","","13","5514","5514006",""
"600","0","0","","600","","1","31","5514","5514007","1"
"602","0","0","","602","","0","31","5514","5514008","1"
"603","0","0","","603","","0","31","5514","5514009","1"
"604","60","30","","604","","1","31","5514","5514010","1"
"611","0","0","","611","","1","31","5514","5514011","1"
"700","0","0","","700","","0","31","5514","5514012","1"
"701","0","0","","701","","0","31","5514","5514013","1"
"702","0","0","","702","","0","31","5514","5514014","1"
"800","0","0","","800","","0","31","5514","5514015","1"
"904","60","30","","904","","1","31","5514","5514016","1"
"","","","","1","","","93","5514","5514017",""
"wac_birthday_reaction_01","wac_birthday_reaction_04","0","","101811","0.2","0.2","3","5514","5514018","1"
"","","","","0.1","","","93","5514","5514019",""
"wac_birthday_reaction_05","wac_birthday_reaction_03","0","","105011","0.2","0.2","3","5514","5514020","1"
"","","","","0.3","","","93","5514","5514021",""
"wac_birthday_run_01","","1","","101611","","0.2","3","5514","5514022",""
"0","3","-70","","101611","","","2","5514","5514023",""
"","","","","2.5","","","93","5514","5514024",""
"1","","","","602","","","32","5514","5514025",""
"","","","","0.6","","","93","5514","5514026",""
"0","","","","600","","","32","5514","5514027",""
"0","","","","611","","","32","5514","5514028",""
"0","","","","604","","","32","5514","5514029",""
"1","","","","701","","","32","5514","5514030",""
"0","0.01","0","","904","","","33","5514","5514031",""
"wac_birthday_blowout_02","wac_birthday_wish_03","0","","101611","0.2","0.2","3","5514","5514032","1"
"-200","0.01","-330","","101611","","","2","5514","5514033",""
"wac_birthday_idle_smile","","1","","105011","","0.2","3","5514","5514034",""
"180","0.01","-320","","105011","","","2","5514","5514035",""
"wac_birthday_idle_wish","","1","","101811","","0.2","3","5514","5514036",""
"320","0.01","-340","","101811","","","2","5514","5514037",""
"","","","","0","","","93","5514","5514038",""
"1","","","","800","","","32","5514","5514039",""
"","","","","0.7","","","93","5514","5514040",""
"1","","","","702","","","32","5514","5514041",""
"","","","","0.5","","","93","5514","5514042",""
"se_sys_login_birthday_blow_candle","","0","","se_common","","","23","5514","5514043",""
"0","","","","701","","","32","5514","5514044",""
"","","","","0.4","","","93","5514","5514045",""
"se_sys_login_birthday_cracker","","0","","se_common","","","23","5514","5514046",""
"1","","","","700","","","32","5514","5514047",""
"se_sys_login_birthday_calendar_applause","","0","","se_common","","","23","5514","5514048",""
"wac_birthday_clap","wac_birthday_idle_smile","0","","105011","0.2","0.2","3","5514","5514049","1"
"","","","","0.1","","","93","5514","5514050",""
"wac_birthday_clap_to_wish","wac_birthday_idle_wish","0","","101811","0.2","0.2","3","5514","5514051","1"
"","","","","2","","","93","5514","5514052",""
"","","","","1","","","131","5514","5514053",""
"vo_wac_05514_000","0","0","","vo_wac_05514","","","21","5514","5514054",""
"わわ、これってうちの誕生日ケーキ？\nこんなのあるなんて聞いてないし～！\nオニ感激なんだけど！？","1","10","0.5","101611","0","0","11","5514","5514055","1"
"","","","","0","","","91","5514","5514056",""
"wac_birthday_idle_kyapi","","1","","101611","","0.2","3","5514","5514057",""
"wac_birthday_talk_smile","","1","","105011","","0.2","3","5514","5514058",""
"vo_wac_05514_001","0","0","","vo_wac_05514","","","21","5514","5514059",""
"フフン、感謝しなさいよね～\nアタシとイオちゃんで徹夜して作っ……いや！\n大して苦労はしなかったけど！\nえっと……誕生日おめでと、スズナ。","1","10","0.5","105011","0","0","11","5514","5514060","1"
"","","","","0","","","91","5514","5514061",""
"wac_birthday_idle_smile","","1","","105011","","0.2","3","5514","5514062",""
"wac_birthday_talk_smile","","1","","101611","","0.2","3","5514","5514063",""
"vo_wac_05514_002","0","0","","vo_wac_05514","","","21","5514","5514064",""
"あはは、うん、ありがとっ！\nそれでミサキっちとちゃんイオ\n朝から甘～い匂いしてたんだね～","1","10","0.5","101611","0","0","11","5514","5514065","1"
"","","","","0","","","91","5514","5514066",""
"wac_birthday_talk_kyapi","","1","","101611","","0.2","3","5514","5514067",""
"vo_wac_05514_003","0","0","","vo_wac_05514","","","21","5514","5514068",""
"やっぱ持つべきものは\n友達だし……♪\nよーし、みんなでパーティーしよー！\nもちヒデサイも一緒だからね！","1","10","0.5","101611","0","0","11","5514","5514069","1"
"","","","","0","","","91","5514","5514070",""
"","","","","0","","","22","5514","5514071",""
"bgm_M321_2C","","","","bgm_M321","","","25","6214","6214001",""
"106731","-1000","250","wac_birthday_idle_normal","1","0","2","1","6214","6214002","-70"
"106611","230","256","wac_birthday_idle_doya","1","1","2","1","6214","6214003","-270"
"106511","410","257","wac_birthday_idle_normal","1","1","2","1","6214","6214004","-310"
"300","","","","106731","","","13","6214","6214005",""
"300","","","","106611","","","13","6214","6214006",""
"600","0","0","","600","","1","31","6214","6214007","1"
"602","0","0","","602","","0","31","6214","6214008","1"
"603","0","0","","603","","0","31","6214","6214009","1"
"604","60","30","","604","","1","31","6214","6214010","1"
"611","0","0","","611","","1","31","6214","6214011","1"
"700","0","0","","700","","0","31","6214","6214012","1"
"701","0","0","","701","","0","31","6214","6214013","1"
"702","0","0","","702","","0","31","6214","6214014","1"
"800","0","0","","800","","0","31","6214","6214015","1"
"905","60","30","","905","","1","31","6214","6214016","1"
"","","","","1","","","93","6214","6214017",""
"wac_birthday_reaction_02","wac_birthday_reaction_03","0","","106511","0.2","0.2","3","6214","6214018","1"
"","","","","0.1","","","93","6214","6214019",""
"wac_birthday_reaction_01","wac_birthday_reaction_03","0","","106611","0.2","0.2","3","6214","6214020","1"
"","","","","0.3","","","93","6214","6214021",""
"wac_birthday_run_01","","1","","106731","","0.2","3","6214","6214022",""
"0","3","-70","","106731","","","2","6214","6214023",""
"","","","","2.5","","","93","6214","6214024",""
"1","","","","602","","","32","6214","6214025",""
"","","","","0.6","","","93","6214","6214026",""
"0","","","","600","","","32","6214","6214027",""
"0","","","","611","","","32","6214","6214028",""
"0","","","","604","","","32","6214","6214029",""
"1","","","","701","","","32","6214","6214030",""
