65afe792ccc538aa3951619782773d2502b9edc857359db279cd167a689a9b2d,8efbfefb0f56ca39b2a6e171c38d8f6005931911d10e3a79d8005181e766892c,2f31c36ec3d2640165b65797b667644b54d6947f27d72620c4449e124339afb3,443912d2bb68d1d9e29296191738373318c2034404d8e7e90f42606a3298b445,7f94c1372140c474e185ce4c8c9c7a0cccf21795a56f1edcdd0a029c64eaa9e4,fa181ff98c4f4cded4e9f49771d4f073bb99908b2d594dd20792a04f012a4927,262b7bf562be5a41898c0c94422f15e2984c57b2428f0b56e0f18bdb080dce54,23b2e5a5645388348110e5c25f02606974c4ec7a39b716fdd14bb08a1235f0f8,6261f431f96f1de06cc3b9562aa01eda35c3058d3c70d51a8d3f7cc10442e65f,4c519ca43c7ace9f17a2237af9360982e5ea01ee161f0c92a4dc508aee1cc1ad,6ea1631a933867a0f0374c8453ac9bfacad4ef24b6daac4787f6408de07b42af
"3","0","pkb_talk_arm_crossed_l","pkb_idle_arm_crossed_l","1","0.2","3","1060002","0.2","6",""
"21","0","vo_minigame_1006_top_603","0","","","vo_minigame_1006","1060003","","6",""
"11","8","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？","0","0","0","3","1060004","","6","0"
"93","","","","","","3","1060005","","6",""
"3","0","pkb_talk_guts_l","pkb_idle_guts_l","1","0.2","3","1060006","","6",""
"91","","","","","","1060004","1060007","","6",""
"3","1","pkb_idle_normal_l","","","0.2","3","1060008","","6",""
"1","100","113411","64","-175","1.65","1","1070001","1","7","pkb_idle_normal"
"3","0","pkb_talk_fun","pkb_talk_joy1","1","0.2","113411","1070002","0.2","7",""
"21","0","vo_minigame_1006_top_201","0","","","vo_minigame_1006","1070003","","7",""
"11","8","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！","0","0","0","113411","1070004","0","7","0"
"93","","","","","","3.4","1070005","","7",""
"3","0","pkb_talk_handsup","pkb_idle_normal","1","0.2","113411","1070006","0.2","7",""
"91","","","","","","1070004","1070007","","7",""
"3","1","pkb_idle_normal","","","0.2","113411","1070008","","7",""
"1","100","113411","64","-175","1.65","1","1080001","1","8","pkb_idle_normal"
"3","1","pkb_talk_joy2","","","0.2","113411","1080002","","8",""
"21","0","vo_minigame_1006_top_202","0","","","vo_minigame_1006","1080003","","8",""
"11","8","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆","0","0","0","113411","1080004","0","8","-1"
"93","","","","","","3.6","1080005","","8",""
"3","0","pkb_hatsune_kiran","","","0.2","113411","1080006","","8",""
"91","","","","","","1080004","1080007","","8",""
"3","1","pkb_idle_normal","","","0.2","113411","1080008","","8",""
"1","100","113411","64","-175","1.65","1","1090001","1","9","pkb_idle_normal"
"3","1","pkb_talk_joy2","","","0.2","113411","1090002","","9",""
"21","0","vo_minigame_1006_top_203","0","","","vo_minigame_1006","1090003","","9",""
"11","6","私も投げてみたいな！\n超能りょ…じゃなくて\n魔法で、すごい球を\n投げちゃうよ！","0","0","0","113411","1090004","0","9","0"
"93","","","","","","3","1090005","","9",""
"3","0","pkb_surprise","pkb_idle_surprise1","1","0.2","113411","1090006","0.2","9",""
"93","","","","","","1","1090007","","9",""
"3","1","pkb_talk_joy3","","","0.2","113411","1090008","","9",""
"91","","","","","","1090004","1090009","","9",""
"3","1","pkb_idle_normal","","","0.2","113411","1090010","","9",""
"1","100","106531","64","-175","1.65","1","1100001","1","10","pkb_idle_normal"
"3","0","pkb_talk_arm_crossed","pkb_idle_arm_crossed","1","0.2","106531","1100002","","10",""
"21","0","vo_minigame_1006_top_301","0","","","vo_minigame_1006","1100003","","10",""
"11","8","なあ、練習始めようぜ\n早く投げたくて\nウズウズしてるんだ！","0","0","0","106531","1100004","0","10","0"
"93","","","","","","2.8","1100005","","10",""
"3","1","pkb_talk_joy1","","","0.2","106531","1100006","","10",""
"91","","","","","","1100004","1100007","","10",""
"3","1","pkb_idle_normal","","","0.2","106531","1100008","","10",""
"1","100","106531","64","-175","1.65","1","1110001","1","11","pkb_idle_normal"
"3","1","pkb_talk_normal","","","0.2","106531","1110002","","11",""
"21","0","vo_minigame_1006_top_302","0","","","vo_minigame_1006","1110003","","11",""
"11","8","オレ様の特訓は\n半端じゃねえぜ\n覚悟しとけよ？","0","0","0","106531","1110004","0","11","0"
"93","","","","","","3.2","1110005","","11",""
"3","0","pkb_talk_arm_crossed","pkb_idle_arm_crossed","1","0.2","106531","1110006","0.2","11",""
"91","","","","","","1110004","1110007","","11",""
"3","1","pkb_idle_normal","","","0.2","106531","1110008","","11",""
"1","100","106531","64","-175","1.65","1","1120001","1","12","pkb_idle_normal"
"3","0","pkb_talk_arm_crossed","pkb_idle_arm_crossed","1","0.2","106531","1120002","0.2","12",""
"21","0","vo_minigame_1006_top_303","0","","","vo_minigame_1006","1120003","","12",""
"11","8","威勢がいいのは口だけ\nじゃねえってとこ\n見せてくれよな？","0","0","0","106531","1120004","0","12","0.5"
"93","","","","","","3.2","1120005","","12",""
"3","0","pkb_talk_doya","pkb_idle_doya","1","0.2","106531","1120006","","12",""
"91","","","","","","1120004","1120007","","12",""
"3","1","pkb_idle_normal","","","0.2","106531","1120008","","12",""
"1","100","102311","64","-175","1.65","1","1130001","1","13","pkb_idle_normal"
"3","0","pkb_talk_fun","pkb_talk_joy1","1","0.2","102311","1130002","0.4","13",""
"21","0","vo_minigame_1006_top_401","0","","","vo_minigame_1006","1130003","","13",""
"11","8","今日も打っちゃうよ！\n一緒にがんばろうね\nぷうきち！","0","0","0","102311","1130004","0","13","0"
"91","","","","","","1130004","1130005","","13",""
"3","1","pkb_idle_normal","","","0.2","102311","1130006","","13",""
"1","100","102311","64","-175","1.65","1","1140001","1","14","pkb_idle_normal"
"3","1","pkb_talk_joy1","","","0.2","102311","1140002","","14",""
"21","0","vo_minigame_1006_top_402","0","","","vo_minigame_1006","1140003","","14",""
"11","8","全部ホームラン\n打てばいいんだよね？\nそれくらい簡単だよ！","0","0","0","102311","1140004","0","14","0"
"93","","","","","","3","1140005","","14",""
"3","0","pkb_talk_doya","pkb_idle_doya","1","0.2","102311","1140006","","14",""
"91","","","","","","1140004","1140007","","14",""
"3","1","pkb_idle_normal","","","0.2","102311","1140008","","14",""
"1","100","102311","64","-175","1.65","1","1150001","1","15","pkb_idle_normal"
"3","1","pkb_talk_wish","","","0.2","102311","1150002","","15",""
"21","0","vo_minigame_1006_top_403","0","","","vo_minigame_1006","1150003","","15",""
"11","8","お兄ちゃんたちの\nお手本になれる\nように、いっぱい\n打つからね！","0","0","0","102311","1150004","0","15","-0.5"
"93","","","","","","2.4","1150005","","15",""
"3","0","pkb_talk_fun","pkb_talk_joy1","1","0.2","102311","1150006","0.4","15",""
"91","","","","","","1150004","1150007","","15",""
"3","1","pkb_idle_normal","","","0.2","102311","1150008","","15",""
"5","100","1","64","-155","57","1","1160001","1","16","pkb_idle_normal_l"
"3","0","pkb_talk_arm_crossed_l","pkb_idle_arm_crossed_l","1","0.2","1","1160002","0.2","16",""
"21","0","vo_minigame_1006_top_701","0","","","vo_minigame_1006","1160003","","16",""
"11","8","全国大会を目指して\n今日も練習頑張ろう！","0","0","0","1","1160004","0","16","0"
"93","","","","","","2.6","1160005","","16",""
"3","0","pkb_talk_doya_l","pkb_idle_doya_l","1","0.2","1","1160006","0.2","16",""
"91","","","","","","1160004","1160007","","16",""
"3","1","pkb_idle_normal_l","","","0.2","1","1160008","","16",""
"5","100","1","64","-155","57","1","1170001","1","17","pkb_idle_normal_l"
"3","0","pkb_talk_guts_l","pkb_idle_guts_l","1","0.2","1","1170002","","17",""
"21","0","vo_minigame_1006_top_702","0","","","vo_minigame_1006","1170003","","17",""
"11","8","夢を叶えるために\n全力で練習に\n取り組もう！","0","0","0","1","1170004","0","17","0"
"91","","","","","","0","1170005","","17",""
"3","1","pkb_idle_normal_l","","","0.2","1","1170006","","17",""
"5","100","1","64","-155","57","1","1180001","1","18","pkb_idle_normal_l"
"3","0","pkb_talk_arm_crossed_l","pkb_idle_arm_crossed_l","1","0.2","1","1180002","0.2","18",""
"21","0","vo_minigame_1006_top_703","0","","","vo_minigame_1006","1180003","","18",""
"11","8","部員のみんなも\nすごく上達してる…\n俺も負けてられない！","0","0","0","1","1180004","0","18","0"
"93","","","","","","2.9","1180005","","18",""
"3","0","pkb_talk_guts_l","pkb_idle_guts_l","1","0.2","1","1180006","","18",""
"91","","","","","","1180004","1180007","","18",""
"3","1","pkb_idle_normal_l","","","0.2","1","1180008","","18",""
"5","100","2","64","-155","57","2","1190001","1","19","pkb_idle_normal_l"
"3","0","pkb_talk_arm_crossed_l","pkb_idle_arm_crossed_l","1","0.2","2","1190002","0.2","19",""
"21","0","vo_minigame_1006_top_801","0","","","vo_minigame_1006","1190003","","19",""
"11","8","上達してるってとこ\n見せてやる\nオレだって選手なんだ","0","0","0","2","1190004","0","19","0"
"93","","","","","","3.8","1190005","","19",""
"3","0","pkb_talk_guts_l","pkb_idle_guts_l","1","0.2","2","1190006","","19",""
"91","","","","","","1190004","1190007","","19",""
"3","1","pkb_idle_normal_l","","","0.2","2","1190008","","19",""
"5","100","2","64","-155","57","2","1200001","1","20","pkb_idle_normal_l"
"3","0","pkb_talk_guts_l","pkb_idle_guts_l","1","0.2","2","1200002","","20",""
"21","0","vo_minigame_1006_top_802","0","","","vo_minigame_1006","1200003","","20",""
"11","8","今日もかっとばす\n遠慮せず全力で\nかかってこい","0","0","0","2","1200004","0","20","0"
"93","","","","","","3.2","1200005","","20",""
"3","0","pkb_talk_doya_l","pkb_idle_doya_l","1","0.2","2","1200006","","20",""
"91","","","","","","1200004","1200007","","20",""
"3","1","pkb_idle_normal_l","","","0.2","2","1200008","","20",""
"5","100","2","64","-155","57","2","1210001","1","21","pkb_idle_normal_l"
"3","0","pkb_talk_arm_crossed_l","pkb_idle_arm_crossed_l","1","0.2","2","1210002","0.2","21",""
"21","0","vo_minigame_1006_top_803","0","","","vo_minigame_1006","1210003","","21",""
"11","8","全国を目指してんだ\nもっと練習しなきゃ\nいけねえよな","0","0","0","2","1210004","0","21","0"
"91","","","","","","0","1210005","","21",""
"3","1","pkb_idle_normal_l","","","0.2","2","1210006","","21",""
"1","100","113511","-20","-150","1.6","1","1220001","0","22","pkb_idle_normal"
"1","100","113411","170","-150","1.6","1","1220002","1","22","pkb_idle_normal"
"3","1","pkb_talk_joy1","","","0.2","113511","1220003","","22",""
"21","0","vo_minigame_1006_top_talk_1_101","0","","","vo_minigame_1006","1220004","","22",""
"11","6","ふふ、みんなすごく\n張り切ってるわね\nハツネちゃんの応援の\nおかげかしら♪","0","0","0","113511","1220005","0","22","-0.5"
"91","","","","","","0","1220006","","22",""
"3","1","pkb_idle_normal","","","0.2","113511","1220007","","22",""
"3","1","pkb_talk_joy1","","","0.2","113411","1220008","","22",""
"21","0","vo_minigame_1006_top_talk_1_202","0","","","vo_minigame_1006","1220009","","22",""
"11","6","そうかなー？\nじゃあもっと応援\nがんばっちゃうぞ～！","0","0","0","113411","1220010","0","22","-0.5"
"93","","","","","","4","1220011","","22",""
"3","0","pkb_talk_handsup","pkb_idle_normal","1","0.2","113411","1220012","0","22",""
"91","","","","","","1220010","1220013","","22",""
"3","1","pkb_idle_normal","","","0.2","113411","1220014","","22",""
"1","100","113411","170","-150","1.6","1","1230001","1","23","pkb_idle_normal"
"1","100","113511","-20","-150","1.6","1","1230002","0","23","pkb_idle_normal"
"3","1","pkb_talk_normal","","","0.2","113411","1230003","","23",""
"21","0","vo_minigame_1006_top_talk_2_201","0","","","vo_minigame_1006","1230004","","23",""
"11","8","ミサト先生も一緒に\n応援しようよ！","0","0","0","113411","1230005","0","23","-1.5"
"91","","","","","","0","1230006","","23",""
"3","1","pkb_idle_normal","","","0.2","113411","1230007","","23",""
"3","1","pkb_talk_normal","","","0.2","113511","1230008","","23",""
"21","0","vo_minigame_1006_top_talk_2_102","0","","","vo_minigame_1006","1230009","","23",""
"11","5","あらあら\n楽しそうね～♪\nフレーフレー！","0","0","0","113511","1230010","0","23","3"
"93","","","","","","4","1230011","","23",""
"3","0","pkb_talk_fun","pkb_talk_fun","0","0.2","113511","1230012","0.2","23",""
"93","","","","","","2.7","1230013","","23",""
"3","0","pkb_idle_normal","pkb_talk_joy1","1","0.2","113511","1230014","0.2","23",""
"91","","","","","","1230010","1230015","","23",""
"3","1","pkb_idle_normal","","","0.2","113511","1230016","","23",""
"1","100","113511","170","-150","1.6","1","1240001","1","24","pkb_idle_normal"
"5","100","3","-20","-130","55","3","1240002","0","24","pkb_idle_normal"
"3","1","pkb_talk_joy3","","","0.2","113511","1240003","","24",""
"21","0","vo_minigame_1006_top_talk_3_101","0","","","vo_minigame_1006","1240004","","24",""
"11","6","ダイチくんったら\nすごい気合いね～！\nでも、無理しちゃ\n駄目ですよ～？","0","0","0","113511","1240005","0","24","-1"
"93","","","","","","4","1240006","","24",""
"3","1","pkb_talk_wish","","","0.2","113511","1240007","","24",""
"91","","","","","","1240005","1240008","","24",""
"3","1","pkb_idle_normal","","","0.2","113511","1240009","","24",""
"3","1","pkb_talk_normal","","","0.2","3","1240010","","24",""
"21","0","vo_minigame_1006_top_talk_3_602","0","","","vo_minigame_1006","1240011","","24",""
"11","6","わかってるっつーの\nけどよ、ビーチベース\nボールが楽しくて\n仕方ねえんだよ！","0","0","0","3","1240012","0","24","-1"
"93","","","","","","2","1240013","","24",""
"3","0","pkb_talk_doya","pkb_idle_doya","1","0.2","3","1240014","","24",""
"91","","","","","","1240012","1240015","","24",""
"3","1","pkb_idle_normal","","","0.2","3","1240016","","24",""
"5","100","3","-20","-130","55","3","1250001","0","25","pkb_idle_normal"
"1","100","113511","170","-150","1.6","1","1250002","1","25","pkb_idle_normal"
"3","0","pkb_talk_arm_crossed","pkb_idle_arm_crossed","1","0.2","3","1250003","0.2","25",""
"21","0","vo_minigame_1006_top_talk_4_601","0","","","vo_minigame_1006","1250004","","25",""
"11","8","今の俺たちなら\n全国行けるぜ！\n絶対に夢を\n叶えようぜ！","0","0","0","3","1250005","0","25","-0.5"
"93","","","","","","3","1250006","","25",""
"3","0","pkb_talk_guts","pkb_idle_guts","1","0.2","3","1250007","","25",""
"91","","","","","","1250005","1250008","","25",""
"3","1","pkb_idle_normal","","","0.2","3","1250009","","25",""
"3","1","pkb_talk_wish","","","0.2","113511","1250010","","25",""
"21","0","vo_minigame_1006_top_talk_4_102","0","","","vo_minigame_1006","1250011","","25",""
"11","6","ええ、あなたたちなら\n行けるって信じてるわ\n頑張りましょう～♪","0","0","0","113511","1250012","0","25","1"
"93","","","","","","5.6","1250013","","25",""
"3","0","pkb_talk_handsup","pkb_idle_normal","1","0.2","113511","1250014","0.2","25",""
"91","","","","","","0","1250015","","25",""
"3","1","pkb_idle_normal","","","0.2","113511","1250016","","25",""
"1","100","113511","170","-150","1.6","1","1260001","1","26","pkb_idle_normal"
"5","100","1","-20","-130","55","1","1260002","0","26","pkb_idle_normal"
"3","1","pkb_talk_joy3","","","0.2","113511","1260003","","26",""
"21","0","vo_minigame_1006_top_talk_5_101","0","","","vo_minigame_1006","1260004","","26",""
"11","6","ふふ、先生も\n練習のお手伝いを\nしますからね～","0","0","0","113511","1260005","0","26","0"
"91","","","","","","0","1260006","","26",""
"3","1","pkb_idle_normal","","","0.2","113511","1260007","","26",""
"3","0","pkb_talk_guts","pkb_idle_guts","1","0.2","1","1260008","0.2","26",""
"21","0","vo_minigame_1006_top_talk_5_702","0","","","vo_minigame_1006","1260009","","26",""
"11","8","先生、ありがとう\nございます！\n俺も気合い入れて\n頑張ります！","0","0","0","1","1260010","0","26","-1"
"91","","","","","","0","1260011","","26",""
"3","1","pkb_idle_normal","","","0.2","1","1260012","","26",""
"5","100","1","-20","-130","55","1","1270001","0","27","pkb_idle_normal"
"1","100","113511","170","-150","1.6","1","1270002","1","27","pkb_idle_normal"
"3","0","pkb_talk_arm_crossed","pkb_idle_arm_crossed","1","0.2","1","1270003","0.2","27",""
"21","0","vo_minigame_1006_top_talk_6_701","0","","","vo_minigame_1006","1270004","","27",""
"11","8","今日もボールが\nピカピカだ…\nきっと先生が\n磨いてくれたんだ…！","0","0","0","1","1270005","0","27","-0.5"
"93","","","","","","2.6","1270006","","27",""
"3","0","pkb_talk_guts","pkb_idle_guts","1","0.2","1","1270007","0.2","27",""
"91","","","","","","1270005","1270008","","27",""
"3","1","pkb_idle_normal","","","0.2","1","1270009","","27",""
"3","1","pkb_talk_joy3","","","0.2","113511","1270010","","27",""
"21","0","vo_minigame_1006_top_talk_6_102","0","","","vo_minigame_1006","1270011","","27",""
"11","6","私にできることを\nしただけですよ～\nみんなが気持ちよく\n練習できたらなって♪","0","0","0","113511","1270012","0","27","0.5"
"93","","","","","","4","1270013","","27",""
"3","1","pkb_talk_wish","","","0.2","113511","1270014","","27",""
"91","","","","","","1270012","1270015","","27",""
"3","1","pkb_idle_normal","","","0.2","113511","1270016","","27",""
"1","100","113411","170","-150","1.6","1","1280001","1","28","pkb_idle_normal"
"5","100","3","-20","-130","55","3","1280002","0","28","pkb_idle_normal"
"3","0","pkb_talk_yell","pkb_talk_joy1","1","0.2","113411","1280003","0.2","28",""
"21","0","vo_minigame_1006_top_talk_7_201","0","","","vo_minigame_1006","1280004","","28",""
"11","8","みんな、頑張れ～♪\nかっこいいところ\n期待してるよー！\nファイトファイト～！","0","0","0","113411","1280005","0","28","-0.5"
"93","","","","","","4.6","1280006","","28",""
"3","0","pkb_talk_fun","pkb_idle_normal","1","0.2","113411","1280007","0.2","28",""
"91","","","","","","1280005","1280008","","28",""
"3","1","pkb_idle_normal","","","0.2","113411","1280009","","28",""
"3","0","pkb_talk_guts","pkb_idle_guts","1","0.2","3","1280010","","28",""
"21","0","vo_minigame_1006_top_talk_7_602","0","","","vo_minigame_1006","1280011","","28",""
"11","8","応援が沁みるぜ…\nハツネちゃんに\nいいとこ見せるぞ！\nうおおぉぉ！！","0","0","0","3","1280012","0","28","0"
"93","","","","","","5","1280013","","28",""
"3","0","pkb_talk_handsup","pkb_idle_normal","1","0.2","3","1280014","","28",""
"91","","","","","","1280012","1280015","","28",""
"3","1","pkb_idle_normal","","","0.2","3","1280016","","28",""
"5","100","3","-20","-130","55","3","1290001","0","29","pkb_idle_normal"
"1","100","113411","170","-150","1.6","1","1290002","1","29","pkb_idle_normal"
"3","0","pkb_talk_arm_crossed","pkb_idle_arm_crossed","1","0.2","3","1290003","0.2","29",""
"21","0","vo_minigame_1006_top_talk_8_601","0","","","vo_minigame_1006","1290004","","29",""
"11","8","かなりハードな練習に\nなりそうなんだ\nビシッと気合いが入る\n応援を頼むぜ！","0","0","0","3","1290005","0","29","-1"
"93","","","","","","2.8","1290006","","29",""
"3","0","pkb_talk_guts","pkb_idle_guts","1","0.2","3","1290007","","29",""
"91","","","","","","1290005","1290008","","29",""
"3","1","pkb_idle_normal","","","0.2","3","1290009","","29",""
"3","1","pkb_talk_joy1","","","0.2","113411","1290010","","29",""
"21","0","vo_minigame_1006_top_talk_8_202","0","","","vo_minigame_1006","1290011","","29",""
"11","8","任せてよ！\nいつもよりいっぱい\n応援しちゃうよ～！","0","0","0","113411","1290012","0","29","-0.5"
"93","","","","","","2.2","1290013","","29",""
"3","0","pkb_talk_fun","pkb_smile","0","0.2","113411","1290014","0.4","29",""
"93","","","","","","2.2","1290015","","29",""
"3","1","pkb_idle_normal","","","0.2","113411","1290016","","29",""
"91","","","","","","1290012","1290017","","29",""
"3","1","pkb_idle_normal","","","0.2","113411","1290018","","29",""
"1","100","113411","170","-150","1.6","1","1300001","1","30","pkb_idle_normal"
"5","100","1","-20","-130","55","1","1300002","0","30","pkb_idle_normal"
"3","1","pkb_talk_joy1","","","0.2","113411","1300003","","30",""
"21","0","vo_minigame_1006_top_talk_9_201","0","","","vo_minigame_1006","1300004","","30",""
"11","8","いっぱい応援するから\n今日も練習頑張ってね\n目指せ、全国大会～！","0","0","0","113411","1300005","0","30","1"
"93","","","","","","5","1300006","","30",""
"3","0","pkb_talk_handsup","pkb_idle_normal","1","0.2","113411","1300007","","30",""
"91","","","","","","1300005","1300008","","30",""
"3","1","pkb_idle_normal","","","0.2","113411","1300009","","30",""
"3","1","pkb_talk_normal","","","0.2","1","1300010","","30",""
"21","0","vo_minigame_1006_top_talk_9_702","0","","","vo_minigame_1006","1300011","","30",""
"11","8","ハツネちゃんの応援は\n俺たちの力に\nなってるよ\nいつもありがとう！","0","0","0","1","1300012","0","30","-1"
"93","","","","","","3.3","1300013","","30",""
"3","0","pkb_talk_guts","pkb_idle_guts","1","0.2","1","1300014","","30",""
"91","","","","","","1300012","1300015","","30",""
"3","1","pkb_idle_normal","","","0.2","1","1300016","","30",""
"5","100","1","-20","-130","55","1","1310001","0","31","pkb_idle_normal"
"1","100","113411","170","-150","1.6","1","1310002","1","31","pkb_idle_normal"
"3","0","pkb_talk_arm_crossed","pkb_idle_arm_crossed","1","0.2","1","1310003","0.2","31",""
"21","0","vo_minigame_1006_top_talk_10_701","0","","","vo_minigame_1006","1310004","","31",""
"11","8","キャプテンとして\nもっと上手くなって\nみんなを引っ張って\nいかないと！","0","0","0","1","1310005","0","31","-1.5"
"93","","","","","","3.6","1310006","","31",""
"3","0","pkb_talk_doya","pkb_idle_doya","1","0.2","1","1310007","","31",""
"91","","","","","","1310005","1310008","","31",""
"3","1","pkb_idle_normal","","","0.2","1","1310009","","31",""
"3","1","pkb_talk_joy1","","","0.2","113411","1310010","","31",""
"21","0","vo_minigame_1006_top_talk_10_202","0","","","vo_minigame_1006","1310011","","31",""
"11","8","おっ、アサヒくん！\n気合い入ってるね！\nその意気なのだ～！\n頑張れ頑張れ～☆","0","0","0","113411","1310012","0","31","-0.5"
"93","","","","","","3.6","1310013","","31",""
"3","0","pkb_talk_fun","pkb_talk_fun","0","0.2","113411","1310014","","31",""
"93","","","","","","3","1310015","","31",""
"3","1","pkb_idle_normal","","","0.2","113411","1310016","","31",""
"91","","","","","","1310012","1310017","","31",""
"5","100","2","-20","-130","55","2","1320001","0","32","pkb_idle_normal"
"1","100","113411","170","-150","1.6","1","1320002","1","32","pkb_idle_normal"
"3","0","pkb_talk_guts","pkb_idle_guts","1","0.2","2","1320003","","32",""
"21","0","vo_minigame_1006_top_talk_11_801","0","","","vo_minigame_1006","1320004","","32",""
"11","8","ハツネちゃん…\nホームラン打つって\n約束するから\nしっかり見ててくれよ","0","0","0","2","1320005","0","32","0"
"93","","","","","","5","1320006","","32",""
"3","0","pkb_talk_doya","pkb_idle_doya","1","0.2","2","1320007","","32",""
"91","","","","","","1320005","1320008","","32",""
"3","1","pkb_idle_normal","","","0.2","2","1320009","","32",""
"3","1","pkb_talk_joy2","","","0.2","113411","1320010","","32",""
"21","0","vo_minigame_1006_top_talk_11_202","0","","","vo_minigame_1006","1320011","","32",""
"11","8","うん、わかった！\n特大ホームランを\nよろしくねー！\n期待してるよ～！","0","0","0","113411","1320012","0","32","0"
"93","","","","","","4.6","1320013","","32",""
"3","0","pkb_hatsune_kiran","pkb_idle_normal","1","0.2","113411","1320014","0.2","32",""
"91","","","","","","1320012","1320015","","32",""
"3","1","pkb_idle_normal","","","0.2","113411","1320016","","32",""
"1","100","102311","170","-150","1.6","1","1330001","1","33","pkb_idle_normal"
"5","100","2","-20","-130","55","2","1330002","0","33","pkb_idle_normal"
"3","1","pkb_talk_normal","","","0.2","102311","1330003","","33",""
"21","0","vo_minigame_1006_top_talk_12_401","0","","","vo_minigame_1006","1330004","","33",""
"11","8","声出し練習やろうよ！\n「ぷうきち\nフルスイング」って\n大声で百回～！","0","0","0","102311","1330005","0","33","-0.5"
"93","","","","","","1.6","1330006","","33",""
"3","0","pkb_talk_yell","pkb_talk_joy1","1","0.2","102311","1330007","0.2","33",""
"91","","","","","","1330005","1330008","","33",""
"3","1","pkb_idle_normal","","","0.2","102311","1330009","","33",""
"21","0","vo_minigame_1006_top_talk_12_802","0","","","vo_minigame_1006","1330010","","33",""
"11","8","ぷ、ぷうきち\nフルスイーング！\n…これはこれで\nキツい練習だな","0","0","0","2","1330011","0","33","0"
"93","","","","","","0.5","1330012","","33",""
