be639e3d1340de2e943968912ece62f475bc564c912c61c901cc605ba986d8be,909b57dc9f781e24ccd937f78d2a42455cbfb1ca78050afb506938c9bac27f05,3e15a5c5a63fea29c06e4d718249b96ef4187b5aca336086dae27039cd8042c9,ea0a2cbe7587b08703b9dbe14ff55db2fdff1a8fa78b68e5613d5eee5d087576,11c117e4139d7667a55d7924f5e40afe5228a45077887e1056e384d2f0d55c1d,207f13d2d3e421a6181519d7469388d18c792287c986857fc30e41105e1e03d0
"26","1013406","101201","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00"
"27","1013406","116501","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/12/31 12:00:00"
"28","1013406","116501","3012","バトル開始後90秒間物理/魔法無効バ\nリア","2023/12/31 12:00:00"
"29","1013406","121601","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/12/31 12:00:00"
"30","1013406","121601","3012","バトル開始後90秒間物理/魔法無効バ\nリア","2023/12/31 12:00:00"
"31","1013406","128301","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2023/12/31 12:00:00"
"32","1013406","128301","3012","バトル開始後90秒間物理/魔法無効バ\nリア","2023/12/31 12:00:00"
"33","1013406","112201","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00"
"34","1013406","112201","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00"
"35","1013406","115701","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00"
"36","1013406","115701","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00"
"37","1013406","113401","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2023/12/31 12:00:00"
"38","1013406","113401","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2023/12/31 12:00:00"
"39","1013406","128401","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/01/03 19:00:00"
"40","1013406","128401","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/03 19:00:00"
"41","1013406","180701","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2023/12/31 12:00:00"
"42","1013406","180701","3010","バトル開始後90秒間ＴＰ上昇大アップ","2023/12/31 12:00:00"
"43","1013606","100101","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/01/31 12:00:00"
"44","1013606","100101","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"45","1013606","100101","3013","攻撃力吸収無効","2024/01/31 12:00:00"
"46","1013606","100201","3003","バトル開始後90秒間魔法攻撃力極大\nアップ","2024/01/31 12:00:00"
"47","1013606","100201","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"48","1013606","100201","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"49","1013606","100201","3013","攻撃力吸収無効","2024/01/31 12:00:00"
"50","1013606","100301","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/01/31 12:00:00"
"51","1013606","100301","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"52","1013606","100301","3013","攻撃力吸収無効","2024/01/31 12:00:00"
"53","1013606","108701","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/01/31 12:00:00"
"54","1013606","108701","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"55","1013606","108701","3013","攻撃力吸収無効","2024/01/31 12:00:00"
"56","1013606","180101","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/01/31 12:00:00"
"57","1013606","180101","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"58","1013606","122401","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/01/31 12:00:00"
"59","1013606","122401","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"60","1013606","128701","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/15 0:00:00"
"61","1013606","128701","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/02/15 0:00:00"
"62","1013606","108801","3003","バトル開始後90秒間魔法攻撃力極大\nアップ","2024/01/31 12:00:00"
"63","1013606","108801","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"64","1013606","108801","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"65","1013606","108801","3013","攻撃力吸収無効","2024/01/31 12:00:00"
"66","1013606","115601","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"67","1013606","115601","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"68","1013606","180201","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"69","1013606","180201","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"70","1013606","122601","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"71","1013606","122601","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"72","1013606","128901","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"73","1013606","128901","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/01/31 12:00:00"
"74","1013606","108901","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/01/31 12:00:00"
"75","1013606","108901","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2024/01/31 12:00:00"
"76","1013606","108901","3013","攻撃力吸収無効","2024/01/31 12:00:00"
"77","1013606","114001","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/01/31 12:00:00"
"78","1013606","114001","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"79","1013606","180301","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/01/31 12:00:00"
"80","1013606","180301","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"81","1013606","122501","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/01/31 12:00:00"
"82","1013606","122501","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"83","1013606","128801","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/01/31 12:00:00"
"84","1013606","128801","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/01/31 12:00:00"
"85","1013706","100101","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"86","1013706","100101","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"87","1013706","100201","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/02/07 12:00:00"
"88","1013706","100201","3002","バトル開始後90秒間物理防御力極大\nアップ、行動不能無効","2024/02/07 12:00:00"
"89","1013706","100301","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"90","1013706","100301","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"91","1013706","108701","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"92","1013706","108701","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"93","1013706","180101","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"94","1013706","180101","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"95","1013706","122401","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"96","1013706","122401","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"97","1013706","128701","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/15 0:00:00"
"98","1013706","128701","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/15 0:00:00"
"99","1013706","108801","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/02/07 12:00:00"
"100","1013706","108801","3002","バトル開始後90秒間物理防御力極大\nアップ、行動不能無効","2024/02/07 12:00:00"
"101","1013706","115601","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/02/07 12:00:00"
"102","1013706","115601","3002","バトル開始後90秒間物理防御力極大\nアップ、行動不能無効","2024/02/07 12:00:00"
"103","1013706","180201","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/02/07 12:00:00"
"104","1013706","180201","3002","バトル開始後90秒間物理防御力極大\nアップ、行動不能無効","2024/02/07 12:00:00"
"105","1013706","122601","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/02/07 12:00:00"
"106","1013706","122601","3002","バトル開始後90秒間物理防御力極大\nアップ、行動不能無効","2024/02/07 12:00:00"
"107","1013706","128901","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/02/07 12:00:00"
"108","1013706","128901","3002","バトル開始後90秒間物理防御力極大\nアップ、行動不能無効","2024/02/07 12:00:00"
"109","1013706","108901","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"110","1013706","108901","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"111","1013706","114001","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"112","1013706","114001","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"113","1013706","180301","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"114","1013706","180301","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"115","1013706","122501","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"116","1013706","122501","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"117","1013706","128801","3001","バトル開始後90秒間物理攻撃力絶大\nアップ","2024/02/07 12:00:00"
"118","1013706","128801","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/07 12:00:00"
"10140001","1014006","110801","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/02/29 12:00:00"
"10140002","1014006","110801","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/29 12:00:00"
"10140003","1014006","110801","3005","バトル開始後90秒間継続ＨＰ回復状態\n付与","2024/02/29 12:00:00"
"10140004","1014006","110801","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/02/29 12:00:00"
"10140005","1014006","110901","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/02/29 12:00:00"
"10140006","1014006","110901","3010","バトル開始後90秒間ＨＰ吸収極大アッ\nプ、【ちぇる】77付与","2024/02/29 12:00:00"
"10140007","1014006","111001","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/29 12:00:00"
"10140008","1014006","111001","3005","バトル開始後90秒間継続ＨＰ回復状態\n付与","2024/02/29 12:00:00"
"10140009","1014006","111001","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/02/29 12:00:00"
"10140010","1014006","116201","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/02/29 12:00:00"
"10140011","1014006","116201","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/29 12:00:00"
"10140012","1014006","116201","3005","バトル開始後90秒間継続ＨＰ回復状態\n付与","2024/02/29 12:00:00"
"10140013","1014006","116201","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/02/29 12:00:00"
"10140014","1014006","116301","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/02/29 12:00:00"
"10140015","1014006","116301","3010","バトル開始後90秒間ＨＰ吸収極大アッ\nプ、【ちぇる】40付与","2024/02/29 12:00:00"
"10140016","1014006","116401","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/02/29 12:00:00"
"10140017","1014006","116401","3005","バトル開始後90秒間継続ＨＰ回復状態\n付与","2024/02/29 12:00:00"
"10140018","1014006","116401","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/02/29 12:00:00"
"10140019","1014006","129301","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/03/03 19:00:00"
"10140020","1014006","129301","3005","バトル開始後90秒間継続ＨＰ回復状態\n付与","2024/03/03 19:00:00"
"10140021","1014006","129301","3010","バトル開始後90秒間ＴＰ上昇特大アッ\nプ","2024/03/03 19:00:00"
"10142001","1014206","102701","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/03/31 12:00:00"
"10142002","1014206","102701","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2024/03/31 12:00:00"
"10142003","1014206","102701","3010","バトル開始後90秒間ＴＰ上昇大アップ","2024/03/31 12:00:00"
"10142004","1014206","104301","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/03/31 12:00:00"
"10142005","1014206","104301","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2024/03/31 12:00:00"
"10142006","1014206","104301","3013","【狼牙の咆哮】付与","2024/03/31 12:00:00"
"10142007","1014206","109001","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/03/31 12:00:00"
"10142008","1014206","109001","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2024/03/31 12:00:00"
"10142009","1014206","109001","3006","バトル開始後90秒間物理クリティカル\nダメージ極大アップ","2024/03/31 12:00:00"
"10142010","1014206","117001","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/03/31 12:00:00"
"10142011","1014206","117001","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2024/03/31 12:00:00"
"10142012","1014206","110401","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/03/31 12:00:00"
"10142013","1014206","110401","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2024/03/31 12:00:00"
"10142014","1014206","115901","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/03/31 12:00:00"
"10142015","1014206","115901","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2024/03/31 12:00:00"
"10142016","1014206","129801","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/03/31 12:00:00"
"10142017","1014206","129801","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2024/03/31 12:00:00"
"10144001","1014406","103601","3003","バトル開始後90秒間魔法攻撃力極大\nアップ","2024/04/30 12:00:00"
"10144002","1014406","103601","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/04/30 12:00:00"
"10144003","1014406","103601","3010","バトル開始後90秒間ＴＰ上昇大アップ","2024/04/30 12:00:00"
"10144004","1014406","102501","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/04/30 12:00:00"
"10144005","1014406","102501","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/04/30 12:00:00"
"10144006","1014406","102501","3014","バトル開始後90秒間継続ＴＰ回復状態\n付与","2024/04/30 12:00:00"
"10144007","1014406","111101","3003","バトル開始後90秒間魔法攻撃力極大\nアップ","2024/04/30 12:00:00"
"10144008","1014406","111101","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/04/30 12:00:00"
"10144009","1014406","111101","3010","バトル開始後90秒間ＴＰ上昇大アップ","2024/04/30 12:00:00"
"10144010","1014406","122701","3003","バトル開始後90秒間魔法攻撃力極大\nアップ","2024/04/30 12:00:00"
"10144011","1014406","122701","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/04/30 12:00:00"
"10144012","1014406","122701","3010","バトル開始後90秒間ＴＰ上昇大アップ","2024/04/30 12:00:00"
"10144013","1014406","130701","3003","バトル開始後90秒間魔法攻撃力極大\nアップ","2024/05/03 19:00:00"
"10144014","1014406","130701","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/05/03 19:00:00"
"10144015","1014406","130701","3010","バトル開始後90秒間ＴＰ上昇大アップ","2024/05/03 19:00:00"
"10144016","1014406","180801","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/04/30 12:00:00"
"10144017","1014406","180801","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2024/04/30 12:00:00"
"10144018","1014406","107701","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/04/30 12:00:00"
"10144019","1014406","107701","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/04/30 12:00:00"
"10144020","1014406","107701","3014","バトル開始後90秒間継続ＴＰ回復状態\n付与","2024/04/30 12:00:00"
"10144021","1014406","112101","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/04/30 12:00:00"
"10144022","1014406","112101","3004","バトル開始後90秒間魔法防御力極大\nアップ","2024/04/30 12:00:00"
"10144023","1014406","112101","3014","バトル開始後90秒間継続ＴＰ回復状態\n付与","2024/04/30 12:00:00"
"10146001","1014606","101001","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/05/31 12:00:00"
"10146002","1014606","101001","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/05/31 12:00:00"
"10146003","1014606","101001","3013","ボスの毒無効","2024/05/31 12:00:00"
"10146004","1014606","110601","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/05/31 12:00:00"
"10146005","1014606","110601","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/05/31 12:00:00"
"10146006","1014606","110601","3010","バトル開始後90秒間ＴＰ上昇特大アップ","2024/05/31 12:00:00"
"10146007","1014606","110601","3013","ボスの毒無効","2024/05/31 12:00:00"
"10146008","1014606","116001","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/05/31 12:00:00"
"10146009","1014606","116001","3013","ボスの毒無効","2024/05/31 12:00:00"
"10146010","1014606","123101","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/05/31 12:00:00"
"10146011","1014606","123101","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2024/05/31 12:00:00"
"10146012","1014606","123101","3010","バトル開始後90秒間ＴＰ上昇特大アップ","2024/05/31 12:00:00"
"10146013","1014606","131001","3003","バトル開始後90秒間魔法攻撃力絶大\nアップ","2024/05/31 12:00:00"
"10146014","1014606","131001","3002","バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","2024/05/31 12:00:00"
"10146015","1014606","131001","3010","バトル開始後90秒間ＴＰ上昇特大アップ","2024/05/31 12:00:00"
"10146016","1014606","131001","3013","ボスの毒無効","2024/05/31 12:00:00"
"10146017","1014606","102301","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/05/31 12:00:00"
"10146018","1014606","102301","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/05/31 12:00:00"
"10146019","1014606","106601","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/05/31 12:00:00"
"10146020","1014606","106601","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/05/31 12:00:00"
"10146021","1014606","102101","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/05/31 12:00:00"
"10146022","1014606","102101","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/05/31 12:00:00"
"10146023","1014606","126401","3001","バトル開始後90秒間物理攻撃力極大\nアップ","2024/05/31 12:00:00"
"10146024","1014606","126401","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/05/31 12:00:00"
"10146025","1014606","126101","3003","バトル開始後90秒間魔法攻撃力極大\nアップ","2024/05/31 12:00:00"
"10146026","1014606","126101","3002","バトル開始後90秒間物理防御力極大\nアップ","2024/05/31 12:00:00"
