021b06802d82f85934d7702a1618601ad99a5038ab34769594aede85ccbe1e7d,099efbc548cf90ee0ce710fa5998323b7af7607c01bf164f548c7b75b465485c,cb984853f28122669588179e6105f6f42ba3d0799a70156e47851553c8026767,ad6902b60d6452e13eccac27842188562e3e80bc7bb7a10fdaf058fd409d4dfd,ca4743cf0467e76a0456422fae1d3f39a9a434fecbe134d0734e1fb272ed705f,b111edadd8e4ba4060bfa57199a0f0ecceadd924ea19eed27b2fc53bc1fa7bd4,d0a52b80768c4a58eb6f7437a3398aba427762e7673f3a8d40089ddeaedaa862,d28dc1dab44f8a2b3b1742094801d40f68b21f14335ffcbec95fe6d1291a22be,3baa9478dd3a8e02a53ef966d582cc6d8dbf59074b841881711a97b6966b0119,07badbc9f16e2d14c86a904a21e442b74d6ead6677b2a90c55a7e239ca068dfd,3db877a416b9d16ba518e7fc3f8894db84bdce9621ddfdb6be4615d311f2acc7,f43be1e533ff5829549392648afa2e2fb2b4472c74d171123145dfb55b8ef36b,40777a1b6045ea659c8a0bddbf03c6041133727e96c7e14a558b84cbf47d9b8a
"血盟","冥空","0","0","0","1","0","煉獄","0","0","1","3131001","戦記"
"トランス","妄想","0","0","0","1","0","エクスタシー","0","0","1","3131002","トリップ"
"ナス","ダイコン","0","1","0","1","0","トマト","0","0","1","3210001","キュウリ"
"腎臓","心臓","0","0","0","1","0","肺","0","0","1","3210002","肝臓"
"排出器","消火器","0","1","0","1","0","呼吸器","0","0","1","3210003","循環器"
"タコ","イソギンチャク","0","0","0","1","0","イカ","0","0","1","3210005","ナマコ"
"コアラ","ナマケモノ","0","0","0","1","0","カンガルー","0","0","1","3210006","イノシシ"
"でんでんむし","がんがんむし","0","0","0","1","0","マイマイ","0","0","1","3210008","モイモイ"
"モンシロチョウ","モンアカチョウ","0","0","0","1","0","モンキチョウ","0","0","1","3210009","モンアオチョウ"
"中指","親指","0","0","0","1","0","小指","0","0","1","3210010","人差し指"
"B型","D型","0","0","0","1","0","A型","0","0","1","3210011","C型"
"ハマグリ","エビ","0","0","0","1","0","アサリ","0","0","1","3210013","ヤドカリ"
"ウマ","オオカミ","0","0","0","1","0","ウサギ","0","0","1","3210014","ライオン"
"シカ","コアラ","0","0","0","1","0","サイ","0","0","1","3210015","クマ"
"ハツネ","サレン","0","0","0","1","0","スズナ","0","0","1","3211001","ミソギ"
"カヤ","ミフユ","0","1","0","1","0","ホマレ","0","0","1","3211002","イノリ"
"クモ","アメンボ","0","0","0","1","0","ムカデ","0","0","1","3220001","アリ"
"ミミズ","ヒト","0","0","0","1","0","バッタ","0","0","1","3220002","カエル"
"メバル","チョウチンアンコウ","0","0","0","1","0","カワハギ","0","0","1","3220003","トビウオ"
"ベタ","メダカ","0","0","0","1","0","グッピー","0","0","1","3220006","キンギョ"
"ヒヤシンス","タンポポ","0","0","0","1","0","チューリップ","0","0","1","3220007","ヒマワリ"
"マッコウ","ジンベエ","0","1","0","1","0","セミ","0","0","1","3220009","シロナガス"
"タンチョウ","オコジョ","0","0","0","1","0","トキ","0","0","1","3220011","ツキノワグマ"
"メロン","リンゴ","0","1","0","1","0","スイカ","0","0","1","3220012","イチゴ"
"光","酸素","0","1","0","1","0","水","0","0","1","3220013","二酸化炭素"
"ミジンコ","クツワムシ","0","1","0","1","0","アオミドロ","0","0","1","3220014","ボルボックス"
"パグ","ソマリ","0","1","0","1","0","チワワ","0","0","1","3220015","シーズー"
"イモムシ","ミドリムシ","0","0","0","1","0","アオムシ","0","0","1","3220016","フナムシ"
"ミミ","キョウカ","0","0","0","1","0","モニカ","0","0","1","3221001","ユカリ"
"シオリ","ハツネ","0","1","0","1","0","トモ","0","0","1","3221002","モニカ"
"羊","獅子","0","0","0","1","0","牛","0","0","1","3230001","ねずみ"
"ヤマネコ","トラ","0","1","1","0","0","ウミネコ","0","0","1","3230004","ライオン"
"エナメル質","神経質","0","1","0","1","0","象牙質","0","0","1","3230005","セメント質"
"ウグイス","エトピリカ","0","1","0","1","0","コマドリ","0","0","1","3230006","オオルリ"
"カクタス咲き","ロゼッタ咲き","0","1","0","1","0","アネモネ咲き","0","0","1","3230007","一重咲き"
"サンショウウオ","ニホンザル","0","0","0","1","0","ワニ","0","0","1","3230008","イルカ"
"コウモリ","ミミズク","0","0","0","1","0","モモンガ","0","0","1","3230010","コンドル"
"イルカ","ダチョウ","0","0","0","1","0","ムササビ","0","0","1","3230011","ペンギン"
"イモリ","カタツムリ","0","1","1","0","0","ヤモリ","0","0","1","3230012","コウモリ"
"ムネ","シリ","0","1","0","1","0","アタマ","0","0","1","3230013","ハラ"
"オオハクチョウ","スズメ","0","1","0","1","0","ツバメ","0","0","1","3230014","マナヅル"
"カメ","ヒト","0","0","0","1","0","ヘビ","0","0","1","3230016","コウモリ"
"シェフィ","キャル","0","0","0","1","0","コッコロ","0","0","1","3231001","ペコリーヌ"
"レイ","ラビリスタ","0","1","0","1","0","コッコロ","0","0","1","3231002","ホマレ"
"4","3","0","0","0","1","0","2","0","0","1","3310001","1"
"アルミニウム","金","0","0","0","1","0","銀","0","0","1","3310003","銅"
"尺","ファラッド","0","1","0","1","0","メートル","0","0","1","3310005","インチ"
"コサイン","ヒロイン","0","1","0","1","0","サイン","0","0","1","3310006","タンジェント"
"ひし形","おうぎ形","0","1","0","1","0","正方形","0","0","1","3310007","長方形"
"215","112","0","0","0","1","0","405","0","0","1","3310008","827"
"E","A","0","1","0","1","0","L","0","0","1","3310009","D"
"アルミニウム","銀","0","1","1","0","0","鉄","0","0","1","3310010","金"
"水酸化ナトリウム水溶液","硝酸","0","0","0","1","0","石けん水","0","0","1","3310012","蒸留水"
"藍","桃","0","1","0","1","0","赤","0","0","1","3310013","緑"
"5","3","0","0","0","1","0","6","0","0","1","3310014","4"
"4:1","12:8","0","1","0","1","0","10:6","0","0","0","3310015","15:9"
"オーマ","キャッスル・オブ・パルフェ","0","1","0","1","0","ソルの塔","0","0","1","3311001","ランドソル"
"キャッスル・オブ・パルフェ","オーマ","0","0","0","1","0","ふぁんふぁんファーム","0","0","1","3311002","ソルの塔"
"にゅうどうぐも","じょろうぐも","0","1","0","1","0","いわしぐも","0","0","1","3320001","うろこぐも"
"アルタイル","アンタレス","0","1","0","1","0","デネブ","0","0","1","3320002","ベガ"
"力点","交点","0","1","0","1","0","支点","0","0","1","3320003","作用点"
"対流","反射","0","1","0","1","0","伝導","0","0","1","3320004","放射"
"11111","1111","0","1","0","1","0","111","0","0","0","3320005","111111"
"青","黄","0","1","0","1","0","赤","0","0","1","3320007","緑"
"天王星","冥王星","0","1","0","1","0","地球","0","0","1","3320008","海王星"
"わし座","おおいぬ座","0","0","0","1","0","はくちょう座","0","0","1","3320010","こいぬ座"
"塩酸","アンモニア水","0","0","0","1","0","レモンの果汁","0","0","1","3320011","塩水"
"臭素","二酸化炭素","0","0","0","1","0","塩素","0","0","1","3320014","酸素"
"最も軽い気体である","ツンとする臭いがある","0","0","0","1","0","酸素と混ぜて燃やすと音が出る","0","0","1","3320015","水色である"
"2","0","0","0","0","1","0","3","0","0","1","3320016","1"
"ルーセント学院","王宮騎士団","0","0","0","1","0","リトルリリカル","0","0","1","3321001","メルクリウス財団"
"のど・鼻の保湿効果","保温効果","0","0","0","1","0","清涼効果","0","0","1","3321002","美肌効果"
"おおかみ座","おおやぎ座","0","1","0","1","0","おおいぬ座","0","0","1","3330001","おおぐま座"
"リゲル","シリウス","0","0","0","1","0","ベテルギウス","0","0","1","3330002","アルタイル"
"玄武岩","閃緑岩","0","1","0","1","0","流紋岩","0","0","1","3330003","安山岩"
"マグネシウム","カリウム","0","0","0","1","0","カルシウム","0","0","1","3330004","アルミニウム"
"炭素","化素","0","0","0","1","0","酸素","0","0","1","3330007","二素"
"2×2×5×5","6！","0","0","0","1","0","10の2乗","0","0","1","3330010","ルート1000"
"ルート225","112÷7","0","0","0","1","0","4＋5＋6","0","0","1","3330011","2×3×4"
"水素","窒素","0","1","0","1","0","炭素","0","0","1","3330012","酸素"
"硝酸","水酸化ナトリウム","0","0","0","1","0","塩酸","0","0","1","3330013","硫酸"
"霧","天気雨","0","1","0","1","0","雪","0","0","1","3330014","薄雲"
"塩素","窒素","0","0","0","1","0","フッ素","0","0","1","3330015","ケイ素"
"ダイヤモンド","オゾン","0","1","0","1","0","黒鉛","0","0","1","3330016","フラーレン"
"ペテロ大森林","イリス樹海","0","0","0","1","0","カスタリア樹林","0","0","1","3331001","ケレス森林"
"ヘリケ巨木","アルバ浜堤","0","1","0","1","0","スィオネ樹林","0","0","1","3331002","イオカステ岩山"
"トイレ","玄関","0","1","0","1","0","風呂場","0","0","1","3410001","キッチン"
"消防士","警備員","0","0","0","1","0","警察官","0","0","1","3410002","弁護士"
"段ボール","蛍光灯","0","1","0","1","0","雑誌","0","0","1","3410003","新聞紙"
"緑","青","0","0","0","1","0","黄","0","0","1","3410004","オレンジ"
"連絡","練習","0","0","0","1","0","報告","0","0","1","3410005","放置"
"青","紫","0","1","0","1","0","赤","0","0","1","3410006","黄"
"リユース","リスタート","0","1","0","1","0","リデュース","0","0","1","3410007","リサイクル"
"祖父","親友","0","1","0","1","0","妻","0","0","1","3410008","孫"
"せん切り","指切り","0","1","0","1","0","みじん切り","0","0","1","3410010","輪切り"
"豆腐","豆板醤","0","1","0","1","0","納豆","0","0","1","3410011","豆乳"
"ホワイトペッパー","レッドペッパー","0","1","0","1","0","ブラックペッパー","0","0","1","3410013","ピンクペッパー"
"プーアル","ブルーマウンテン","0","1","0","1","0","ウーロン","0","0","1","3410015","ジャスミン"
"レイ","カオリ","0","1","0","1","0","ユイ","0","0","1","3411001","ヒヨリ"
"ミソギ","ユニ","0","1","0","1","0","ミミ","0","0","1","3411002","キョウカ"
"石炭","薪","0","1","0","1","0","石油","0","0","1","3420001","天然ガス"
"立法","憲法","0","1","0","1","0","司法","0","0","1","3420002","行政"
"水道代","新聞代","0","0","0","1","0","電気代","0","0","1","3420003","電車賃"
"賀正","惜春","0","1","0","1","0","謹賀新年","0","0","1","3420004","迎春"
"一時雨","しばしば雨","0","1","0","1","0","ときどき雨","0","0","1","3420005","のち雨"
"単3","単7","0","1","0","1","0","単1","0","0","1","3420007","単5"
"プラス","スライス","0","1","0","1","0","マイナス","0","0","1","3420009","ボックス"
"木綿豆腐","喉ごし豆腐","0","1","0","1","0","絹ごし豆腐","0","0","1","3420010","高野豆腐"
"バター","マヨネーズ","0","1","0","1","0","チーズ","0","0","1","3420011","ヨーグルト"
"スクランブルエッグ","カルパッチョ","0","1","0","1","0","オムレツ","0","0","1","3420012","エッグベネディクト"
"もち米","すだち米","0","0","0","1","0","うるち米","0","0","1","3420014","くち米"
"スパゲッティ","そば","0","1","0","1","0","うどん","0","0","1","3420015","ひやむぎ"
"ニノン","エリコ","0","0","0","1","0","キャル","0","0","1","3421001","リノ"
"レアガチャ","おにぎりガチャ","0","0","0","1","0","プレミアムガチャ","0","0","1","3421002","キャラバンガチャ"
"Z","P","0","0","0","1","0","E","0","0","1","3430001","G"
"じいちゃん","とうちゃん","0","1","0","1","0","かあちゃん","0","0","1","3430002","ばあちゃん"
"キッチン","ベランダ","0","1","0","1","0","居間","0","0","1","3430004","台所"
"大黒天","達磨","0","1","0","1","0","恵比寿","0","0","1","3430005","布袋"
"騒音","インフルエンザ","0","1","0","1","0","地盤沈下","0","0","1","3430007","振動"
"歩行器","エスカレーター","0","1","0","1","0","車椅子","0","0","1","3430008","スロープ"
"幼稚園児","中学三年生","0","0","0","1","0","生後半年","0","0","1","3430009","小学三年生"
"油","牛乳","0","1","0","1","0","酢","0","0","1","3430010","卵"
"ウィスキー","ワイン","0","1","0","1","0","焼酎","0","0","1","3430011","ビール"
"酢","酒","0","0","0","1","0","醤油","0","0","1","3430012","背脂"
"ハコベラ","ゴボウ","0","1","0","1","0","スズナ","0","0","1","3430013","ナズナ"
"グラノーラ","サラミ","0","1","0","1","0","コーンフレーク","0","0","1","3430015","オートミール"
"サマーゲームの覇者","砂浜のプリンセス","0","0","0","1","0","譲れないサマーゲーム","0","0","1","3431001","フラッグは譲れない"
"渚のスラッガー","ぷうきちストライク","0","1","0","1","0","渚の4番見習い","0","0","1","3431002","渚の不動の4番"
"囲碁","将棋","0","1","0","1","0","オセロ","0","0","1","3510001","チェス"
"フルート","バイオリン","0","1","0","1","0","尺八","0","0","1","3510002","リコーダー"
"クラリネット","インターネット","0","1","0","1","0","太鼓","0","0","1","3510003","尺八"
"クイーン","ジェネラル","0","1","0","1","0","ポーン","0","0","1","3510004","ビショップ"
"歩","塔","0","0","0","1","0","王将","0","0","1","3510005","騎士"
"ツイスター","トランプ","0","1","0","1","0","モノポリー","0","0","1","3510006","ダーツ"
"4","2","0","1","0","1","0","3","0","0","1","3510007","1"
"チー","ツモ","0","1","0","1","0","ポン","0","0","1","3510008","カン"
"ラ","ミ","0","0","0","1","0","ファ","0","0","1","3510009","シ"
"コントラバス","フルート","0","0","0","1","0","バイオリン","0","0","1","3510013","パイプオルガン"
"ティンパニー","ベース","0","1","0","1","0","タンバリン","0","0","1","3510014","トライアングル"
"ファゴット","チューバ","0","0","0","1","0","フルート","0","0","1","3510015","トランペット"
"","","3","0","0","1","2","","4","1","1","3511001",""
"ピュアメモリーピース","プリンセスハート","0","1","0","1","0","プリンセスオーブ","0","0","1","3511002","メモリーピース"
"チェックメイト","ストレート","0","0","0","1","0","スティルメイト","0","0","1","3520001","キャスト"
"すごろく","花札","0","1","0","1","0","チンチロリン","0","0","1","3520002","麻雀"
"レッドアイ","ジントニック","0","0","0","1","0","ブラッディマリー","0","0","1","3520003","スクリュードライバー"
"バイオリン","ギター","0","1","0","1","0","ビオラ","0","0","1","3520004","チェロ"
"渡し箸","伏せ箸","0","1","0","1","0","迷い箸","0","0","1","3520005","刺し箸"
"能","京劇","0","1","0","1","0","歌舞伎","0","0","1","3520006","狂言"
"角","歩","0","0","0","1","0","飛車","0","0","1","3520009","金"
"グランド","グレート","0","1","0","1","0","アップライト","0","0","1","3520010","エレクトリック"
"梅","椿","0","0","0","1","0","桜","0","0","1","3520011","桃"
"D","Q","0","0","0","1","0","C","0","0","1","3520012","K"
"白","赤","0","1","0","1","0","黒","0","0","1","3520015","灰色"
"U","E","0","1","0","1","0","S","0","0","1","3520016","V"
"ミント","イチゴ","0","0","0","1","0","バニラ","0","0","1","3521001","チョコ"
"ブドウ","メロン","0","1","0","1","0","イチゴ","0","0","1","3521002","キウイ"
"赤","40","0","1","0","1","0","奇数","0","0","1","3530001","1～12"
"腰板","犬間","0","1","0","1","0","水腰","0","0","1","3530002","猫間"
"バラライカ","ベース","0","0","0","1","0","三味線","0","0","1","3530003","ギター"
"A","2","0","0","0","1","0","J","0","0","1","3530005","9"
"Copy","Call","0","0","0","1","0","Carbon","0","0","1","3530006","Creative"
"二ツ目","一ツ目","0","1","0","1","0","前座","0","0","1","3530007","真打"
"カラー","カーボン","0","1","0","1","0","カット","0","0","1","3530008","カラット"
"5000","2500","0","1","0","1","0","10000","0","0","1","3530010","1000"
"ピッコロ","クラリネット","0","0","0","1","0","フルート","0","0","1","3530011","オーボエ"
"フラッシュ","スリーペア","0","1","0","1","0","ストレート","0","0","1","3530012","フルハウス"
"ダウト","ヨット","0","1","0","1","0","ポーカー","0","0","1","3530013","スピード"
"蝶","銀杏","0","0","0","1","0","猪","0","0","1","3530016","鯉"
"はじっめ、ちょろちょろ","な～か、ぱっぱ","0","1","1","0","0","うつっわに乗せて、ふーふーふー","0","0","1","3531001","あかっご泣いても、蓋とるな"
"贅沢たい焼き","プラチナたい焼き","0","0","0","1","0","ゼリー入りあんこたい焼き","0","0","1","3531002","レインボーたい焼き"
"鉄棒","吊り輪","0","1","1","0","0","ダンス","0","0","1","3610003","平均台"
"ラケット","ミット","0","0","0","1","0","ミトン","0","0","1","3610004","バット"
"野球","バスケットボール","0","0","0","1","0","テニス","0","0","1","3610005","サッカー"
"弓道","ラクロス","0","0","0","1","0","アーチェリー","0","0","1","3610006","剣道"
"スキー","柔道","0","0","0","1","0","水泳","0","0","1","3610007","レスリング"
"バドミントン","バスケットボール","0","1","0","1","0","バレーボール","0","0","1","3610008","テニス"
"スケート","サーフィン","0","0","0","1","0","スキー","0","0","1","3610010","テニス"
"フォワード","ディフェンダー","0","1","1","0","0","ゴールキーパー","0","0","1","3610011","ミッドフィルダー"
"サッカー","野球","0","0","0","1","0","アイスホッケー","0","0","1","3610012","テニス"
"フェンシング","スカイダイビング","0","0","0","1","0","剣道","0","0","1","3610013","レスリング"
"柔道","剣道","0","1","0","1","0","レスリング","0","0","1","3610014","ボクシング"
"シュノーケリング","ボクシング","0","0","0","1","0","サーフィン","0","0","1","3610015","スカイダイビング"
"黒月の守護像","ジャバウォック","0","1","0","1","0","ラースドラゴン","0","0","1","3611001","ポセイドン・嵐撃の槍"
"クウカ","ミヤコ","0","0","0","1","0","ノゾミ","0","0","1","3611002","リマ"
"50m","15m","0","0","0","1","0","25m","0","0","1","3620001","100m"
"突き","場外に出る","0","0","0","1","0","二刀流","0","0","1","3620002","足払い"
"胴","すね","0","1","0","1","0","面","0","0","1","3620003","小手"
"ベリーロール","三段跳び","0","1","0","1","0","背面跳び","0","0","1","3620006","はさみ跳び"
"カウントアップ","カウントダウン","0","1","0","1","0","クリケット","0","0","1","3620007","ゼロワン"
"正四角形","正六角形","0","1","1","0","0","正三角形","0","0","0","3620008","正五角形"
"白","青","0","0","0","1","0","赤","0","0","1","3620009","黒"
"自転車","砲丸投げ","0","1","0","1","0","水泳","0","0","1","3620010","長距離走"
"セブンボール","イレブンボール","0","0","0","1","0","ナインボール","0","0","1","3620013","ファイブボール"
"デッドリフト","ベンチプレス","0","1","1","0","0","ボディビル","0","0","1","3620014","スクワット"
"セカンド","ライト","0","0","0","1","0","ファースト","0","0","1","3620015","レフト"
"フリースタイル","オールレンジ","0","0","0","1","0","グレコローマン","0","0","1","3620016","タッグ"
"マグスガーゴイル","ガーゴイル","0","0","0","1","0","ガーゴイル・マギ","0","0","1","3621001","ガーゴイル・バースト"
"サレン（サマー）","アメス","0","1","0","1","0","モニカ","0","0","1","3621002","カリン"
"5番","10番","0","1","1","0","0","1番","0","0","0","3630001","7番"
"アルティメット","ロケット","0","0","0","1","0","クリケット","0","0","1","3630003","ブランケット"
"卓球","テニス","0","1","1","0","0","バレーボール","0","0","1","3630004","バドミントン"
"二本背負い","二丁投げ","0","0","1","1","0","一本背負い","0","0","0","3630005","一丁投げ"
"副将","将軍","0","0","0","1","0","大将","0","0","1","3630006","准将"
"ファースト","サード","0","0","0","1","0","キャッチャー","0","0","1","3630007","セカンド"
"関脇","横綱","0","1","0","1","0","大関","0","0","1","3630008","小結"
"跳馬","平行棒","0","0","0","1","0","床","0","0","1","3630010","鉄棒"
"ペンホルダー","つまみ持ち","0","0","0","1","0","シェークハンド","0","0","1","3630012","グラップ"
"パワーフォワード","ディフェンダー","0","0","0","1","0","ポイントガード","0","0","1","3630013","リベロ"
"センター","シューティングガード","0","1","0","1","0","ランニングバック","0","0","1","3630014","ラインバッカー"
"セッター","センターブロッカー","0","0","0","1","0","リベロ","0","0","1","3630016","スパイカー"
"アクアスラッシャー","ガイアバルディッシュ","0","0","0","1","0","ターコイズ・ノア","0","0","1","3631001","ブルーブラッド"
"タイフーン・ラブドリーム","覇海姫・竜征冥風裂波斬","0","1","0","1","0","スプレッドアフェクション","0","0","1","3631002","レヴィアタンランス"
