07b790787fbc94878180b2edd2ae88504597c5d38a739dfc368014f5da6e0bc1,debdc86b5151cb50fe19d561464441a2ea174c8d8adfd093cbedf82bc12e16ab,54230f7824512273a0ac67c9e0c3f36cc6c585f85da044d6d8f10cf9c97dbc5d,67c986220b27673cc67564ac6deaeb30f7ac6182ba56982659b1e1c500669dd0,3b22da3a17bc37cd2499af6d2d3e34955e51d9ce8e29985ebf79f32f988a42c9,78db4bb2b867a29d1e74bbaa2f5b1d3339b59c3896125c25ac4ffea9e8cd34f9,dc67030e58351023bd45639ab204c098ba504f2a604d07ae29ffbbf12d5a7655,bad54be32a72a0ceac0f6a80cdf905815710e8e8ab0f368355bfe40672d4b1df
"6","500","5","4","150003","30","96006","115"
"6","650","5","4","150004","30","96006","116"
"6","750","5","4","150005","30","96006","117"
"6","900","5","4","150006","30","96006","118"
"6","1000","5","4","150007","30","96006","119"
"6","1150","5","4","150008","30","96006","120"
"6","1300","5","4","150009","30","96006","121"
"6","2500","5","2","20004","500","96006","122"
"6","1000","5","2","22003","500","96006","123"
"6","1000","0","2","20004","100","96006","124"
"6","400","0","2","22003","100","96006","125"
"7","20000","1","2","25101","1","96007","126"
"7","20000","1","2","21952","1","96007","127"
"7","10000","1","2","21905","1","96007","128"
"7","10000","2","2","41000","1","96007","129"
"7","1500","5","2","31272","5","96007","130"
"7","2000","5","2","31808","5","96007","131"
"7","1500","5","2","31275","5","96007","132"
"7","2500","5","2","90005","10","96007","133"
"7","2500","10","4","140001","50","96007","134"
"7","1000","10","2","25001","10","96007","135"
"7","500","5","4","150003","30","96007","136"
"7","650","5","4","150004","30","96007","137"
"7","750","5","4","150005","30","96007","138"
"7","900","5","4","150006","30","96007","139"
"7","1000","5","4","150007","30","96007","140"
"7","1150","5","4","150008","30","96007","141"
"7","1300","5","4","150009","30","96007","142"
"7","2500","5","2","20004","500","96007","143"
"7","1000","5","2","22003","500","96007","144"
"7","1000","0","2","20004","100","96007","145"
"7","400","0","2","22003","100","96007","146"
