66d01e40ff9ab07e9f09411746b7afef3c3deb71ba6168b2c3179b3a9815be93,ec1cc4bd4e7c8d06a1dca7e9924949aaa49d4e908c994982d251c30e9747ca70,0194546472b68102ca67e09edf39621505a13206d663d53c7bc83b45270cb377,856df073fd526c178de7e2307954b04770ce02e70334949dace6eb3bcbbf06a5,4f0e1c5b53acb857e4825cc55e6e9194a588c314466ffafe2e2a389114044d35,9c95df0e9a844f6a52989a5f06456d9ead341a7fb56fb63cf383ce9fc2866c52,dcbf0992555c794e0d33626a6337d93c1af93944d710026f61b677416cc89d06,d93d953861b0b138ec4545a1a542d396a5f1580f4619b8167692795acf01809b,055b19e9c40214a66d37e0c3b75dcaaee893da7fad657d2242879cfe63c08621,a6473fd51700aa198a7a77d0493c22543df976e3d8cbc991c15bdb725e7e214f,3e82727a2d25136859e2e79c5a1c29eed7f6ab44b559874cc63d30c2b001f551
"113511","1007001","0.2","svd_talk_wish","1","","3","","1007001040","",""
"vo_svd","1007001","","vo_svd_0121","0","","21","0","1007001041","",""
"113511","1007001","0","あなた様のため…必ずや\n忘れられない最高の夏休みを\nお贈りいたしますわ…","6","0","11","0","1007001042","1","0"
"0","1007001","","","","","91","","1007001043","",""
"113511","1007001","0.2","svd_idle_wish","1","","3","","1007001044","",""
"113411","1007001","0.2","svd_talk_joy1","1","","3","","1007001045","",""
"vo_svd","1007001","","vo_svd_0122","0","","21","0","1007001046","",""
"113411","1007001","0","夏が来たら私たちのことを\n思い出しちゃうすっごい\nプロデュースをしちゃおうね！","8","0","11","0","1007001047","1","0"
"0","1007001","","","","","91","","1007001048","",""
"113411","1007001","0.2","svd_idle_joy1","1","","3","","1007001049","",""
"113511","1007001","0.2","svd_talk_thinking","1","","3","","1007001050","",""
"vo_svd","1007001","","vo_svd_0123","0","","21","0","1007001051","",""
"113511","1007001","0","はて…？　私は来年の夏も\n一緒に過ごすので思い出して\nいただく必要はないのですが…","6","0","11","0","1007001052","1","0"
"0","1007001","","","","","91","","1007001053","",""
"113511","1007001","0.2","svd_idle_thinking","1","","3","","1007001054","",""
"113411","1007001","0.2","svd_surprise","0","0.2","3","svd_talk_anger","1007001055","","1"
"vo_svd","1007001","","vo_svd_0124","0","","21","0","1007001056","",""
"113411","1007001","0","あ！　ズルいよエリコちゃん！\nお姉ちゃんだってずっとずっと\n永遠に一緒だよ！","8","0","11","0","1007001057","1","0"
"3","1007001","","","","","93","","1007001058","",""
"113411","1007001","0.2","svd_jump","0","0.4","3","svd_talk_joy1","1007001059","","1"
"1007001057","1007001","","","","","91","","1007001060","",""
"113411","1007001","0.2","svd_idle_joy1","1","","3","","1007001061","",""
"","1007001","","","","","102","","1007001062","",""
"14","1007001","","0","","","32","","1007001063","",""
"15","1007001","","0","","","32","","1007001064","",""
"1","1007001","","","","","93","","1007001065","",""
"113511","1007001","0","7","1","0","12","","1007001066","",""
"113511","1007001","0.2","svd_talk_normal","1","","3","","1007001067","",""
"3","1007001","","","","","93","","1007001068","",""
"113511","1007001","0.2","svd_idle_normal","1","","3","","1007001069","",""
"113411","1007001","0","10","1","0","12","","1007001070","",""
"113411","1007001","0.2","svd_talk_normal","1","","3","","1007001071","","1"
"3","1007001","","","","","93","","1007001072","",""
"113411","1007001","0.2","svd_idle_normal","1","","3","","1007001073","","1"
"113511","1007001","0","7","1","0","12","","1007001074","",""
"113511","1007001","0.2","svd_talk_memory","1","","3","","1007001075","",""
"3","1007001","","","","","93","","1007001076","",""
"113511","1007001","0.2","svd_idle_memory","1","","3","","1007001077","",""
"113411","1007001","0","10","1","0","12","","1007001078","",""
"113411","1007001","0.2","svd_talk_memory","1","","3","","1007001079","","1"
"3","1007001","","","","","93","","1007001080","",""
"113411","1007001","0.2","svd_idle_memory","1","","3","","1007001081","","1"
"1007001066","1007001","","","","","101","","1007001082","",""
"333","1007001","1","1","1","0","6","1","1007001083","","0"
"113511","1007001","","1","","","4","","1007001084","",""
"113511","1007001","0.2","svd_run","1","","3","","1007001085","",""
"113511","1007001","","-750","-300","","2","0.8","1007001086","","0"
"113411","1007001","","0","","","4","","1007001087","",""
"113411","1007001","0.2","svd_run","1","","3","","1007001088","",""
"113411","1007001","","750","-300","","2","0.8","1007001089","","0"
"0.6","1007001","","","","","93","","1007001090","",""
"113511","1007001","0.2","1","1","0","6","1","1007001091","","0"
"113411","1007001","0.2","1","1","0","6","1","1007001092","","0"
"0","1007001","","","","","91","","1007001093","",""
"2","1007002","2.08","113511","100","0","5","-650","1007002001","svd_idle_normal","-300"
"1","1007002","2.08","113411","100","1","5","650","1007002002","svd_idle_normal","-300"
"3","1007002","1","333","0","0","5","0","1007002003","svd_white_loop","0"
"333","1007002","0","1","1","0","6","1","1007002004","","0"
"113511","1007002","0","1","1","0","6","1","1007002005","","0"
"113411","1007002","0","1","1","0","6","1","1007002006","","0"
"1","1007002","","","","","93","","1007002007","",""
"333","1007002","0.8","1","1","0","6","1","1007002008","","0.4"
"113511","1007002","0.2","svd_run","1","","3","","1007002009","",""
"113511","1007002","","-250","-300","","2","1.2","1007002010","","0"
"113511","1007002","0.4","1","1","0","6","1","1007002011","","1"
"1.2","1007002","","","","","93","","1007002012","",""
"0","1007002","","","","","91","","1007002013","",""
"113511","1007002","0.1","svd_idle_normal","1","","3","","1007002014","",""
"0.6","1007002","","","","","93","","1007002015","",""
"113511","1007002","0.2","svd_talk_memory","1","","3","","1007002016","",""
"vo_svd","1007002","","vo_svd_0221","0","","21","0","1007002017","",""
"113511","1007002","0","あなた様の泳ぐ姿…この目に\nしかと焼き付けさせて\n頂きました。","6","0","11","0","1007002018","1","0"
"0","1007002","","","","","91","","1007002019","",""
"113511","1007002","0.2","svd_idle_memory","1","","3","","1007002020","",""
"113411","1007002","0.2","svd_run","1","","3","","1007002021","",""
"113411","1007002","","250","-300","","2","1.2","1007002022","","0"
"113411","1007002","0.4","1","1","0","6","1","1007002023","","1"
"1.2","1007002","","","","","93","","1007002024","",""
"113411","1007002","0.1","svd_idle_joy1","1","","3","","1007002025","",""
"0.3","1007002","","","","","93","","1007002026","",""
"113411","1007002","0.2","svd_talk_memory","1","","3","","1007002027","",""
"vo_svd","1007002","","vo_svd_0222","0","","21","0","1007002028","",""
"113411","1007002","0","弟くんが一生懸命動かす手足…\nかわいかったなぁ…","6","0","11","0","1007002029","1","0"
"0","1007002","","","","","91","","1007002030","",""
"113411","1007002","0.2","svd_idle_memory","1","","3","","1007002031","",""
"113511","1007002","0.2","svd_talk_memory","1","","3","","1007002032","",""
"vo_svd","1007002","","vo_svd_0223","0","","21","0","1007002033","",""
"113511","1007002","0","あなた様が上げる水しぶきは\nどんな秘薬よりも優れた霊薬\nになりそうですわ…","6","0","11","0","1007002034","1","0"
"0","1007002","","","","","91","","1007002035","",""
"113511","1007002","0.2","svd_idle_memory","1","","3","","1007002036","",""
"113411","1007002","0.2","svd_talk_worry","1","","3","","1007002037","",""
"vo_svd","1007002","","vo_svd_0224","0","","21","0","1007002038","",""
"113411","1007002","0","エリコちゃん…\nそれはさすがにちょっと…","6","0","11","0","1007002039","1","0"
"0","1007002","","","","","91","","1007002040","",""
"113411","1007002","0.2","svd_idle_worry","1","","3","","1007002041","",""
"113511","1007002","0.2","svd_talk_thinking","1","","3","","1007002042","",""
"vo_svd","1007002","","vo_svd_0225","0","","21","0","1007002043","",""
"113511","1007002","0","シズルさんには\n必要ないのですね。\nそれならば私がすべて…","6","0","11","0","1007002044","1","0"
"0","1007002","","","","","91","","1007002045","",""
"113511","1007002","0.2","svd_idle_thinking","1","","3","","1007002046","",""
"113411","1007002","0","4","0","0","12","","1007002047","",""
"113411","1007002","0.2","svd_surprise","0","","3","","1007002048","",""
"1","1007002","","","","","93","","1007002049","",""
"113411","1007002","0.2","svd_talk_joy2","1","","3","","1007002050","",""
"vo_svd","1007002","","vo_svd_0226","0","","21","0","1007002051","",""
"113411","1007002","0","ほしい！\n奇麗な小瓶に集めちゃう！","8","0","11","0","1007002052","1","0"
"0","1007002","","","","","91","","1007002053","",""
"113411","1007002","0.2","svd_idle_joy1","1","","3","","1007002054","",""
"","1007002","","","","","102","","1007002055","",""
"1","1007002","","","","","93","","1007002056","",""
"113511","1007002","0","8","1","0","12","","1007002057","",""
"113511","1007002","0.2","svd_talk_memory","1","","3","","1007002058","",""
"3","1007002","","","","","93","","1007002059","",""
"113511","1007002","0.2","svd_idle_memory","1","","3","","1007002060","",""
"113411","1007002","0","1","1","0","12","","1007002061","",""
"113411","1007002","0.2","svd_talk_worry","1","","3","","1007002062","","1"
"3","1007002","","","","","93","","1007002063","",""
"113411","1007002","0.2","svd_idle_worry","1","","3","","1007002064","","1"
"113511","1007002","0","11","1","0","12","","1007002065","",""
"113511","1007002","0.2","svd_talk_guts2","0","0.2","3","svd_idle_guts2","1007002066","","1"
"3","1007002","","","","","93","","1007002067","",""
"113511","1007002","0.2","svd_idle_guts2","1","","3","","1007002068","",""
"113411","1007002","0","7","1","0","12","","1007002069","",""
"113411","1007002","0.2","svd_talk_joy1","1","","3","","1007002070","","1"
"3","1007002","","","","","93","","1007002071","",""
"113411","1007002","0.2","svd_idle_joy1","1","","3","","1007002072","","1"
"1007002057","1007002","","","","","101","","1007002073","",""
"333","1007002","1","1","1","0","6","1","1007002074","","0"
"113511","1007002","","1","","","4","","1007002075","",""
"113511","1007002","0.2","svd_run","1","","3","","1007002076","",""
"113511","1007002","","-750","-300","","2","0.8","1007002077","","0"
"113411","1007002","","0","","","4","","1007002078","",""
"113411","1007002","0.2","svd_run","1","","3","","1007002079","",""
"113411","1007002","","750","-300","","2","0.8","1007002080","","0"
"0.6","1007002","","","","","93","","1007002081","",""
"113511","1007002","0.2","1","1","0","6","1","1007002082","","0"
"113411","1007002","0.2","1","1","0","6","1","1007002083","","0"
"0","1007002","","","","","91","","1007002084","",""
"1","1007003","2.08","113511","100","0","5","-750","1007003001","svd_idle_normal","-300"
"2","1007003","2.08","113411","100","1","5","650","1007003002","svd_idle_normal","-300"
"3","1007003","1","333","0","0","5","0","1007003003","svd_white_loop","0"
"333","1007003","0","1","1","0","6","1","1007003004","","0"
"113511","1007003","","2","0","","7","0","1007003005","",""
"113511","1007003","","-750","-300","","2","0.5","1007003006","","0"
"113411","1007003","0","1","1","0","6","1","1007003007","","0"
"6","1007003","0","16","-140","","31","-40","1007003008","","0.8"
"16","1007003","","2","0","","34","0","1007003009","",""
"1","1007003","","","","","93","","1007003010","",""
"333","1007003","0.8","1","1","0","6","1","1007003011","","0.4"
"113511","1007003","0.2","svd_idle_see_sad_pre","0","0","3","svd_idle_see_sad","1007003012","","1"
"113511","1007003","","-600","-300","","2","1.1","1007003013","","0"
"1","1007003","","","","","93","","1007003014","",""
"16","1007003","","1","","","32","","1007003015","",""
"0","1007003","","","","","91","","1007003016","",""
"113511","1007003","","240","260","","94","0","1007003017","","80"
"16","1007003","","0","","","32","","1007003018","",""
"113511","1007003","0","17","1","0","12","","1007003019","",""
"113511","1007003","0.2","svd_walk_sad","1","","3","","1007003020","",""
"113511","1007003","","0","2","","7","0","1007003021","",""
"113511","1007003","","-250","-300","","2","2.4","1007003022","","0"
"2.4","1007003","","","","","93","","1007003023","",""
"113511","1007003","0.2","svd_idle_sad","1","","3","","1007003024","",""
"0.5","1007003","","","","","93","","1007003025","",""
"0","1007003","","","","","91","","1007003026","",""
"113511","1007003","0.2","svd_talk_sad","1","","3","","1007003027","",""
"vo_svd","1007003","","vo_svd_0321","0","","21","0","1007003028","",""
"113511","1007003","0","弟くんに大きなカブトムシを\nプレゼントして\nあげたかったな…","7","0","11","0","1007003029","1","0"
"0","1007003","","","","","91","","1007003030","",""
"113511","1007003","0.2","svd_idle_sad","1","","3","","1007003031","",""
"113411","1007003","0.2","svd_walk","1","","3","","1007003032","",""
"113411","1007003","","250","-300","","2","2","1007003033","","0"
"113411","1007003","0.4","1","1","0","6","1","1007003034","","1"
"2","1007003","","","","","93","","1007003035","",""
"113411","1007003","0.2","svd_idle_normal","1","","3","","1007003036","",""
"0.4","1007003","","","","","93","","1007003037","",""
"113411","1007003","0.2","svd_talk_thinking","1","","3","","1007003038","",""
"vo_svd","1007003","","vo_svd_0322","0","","21","0","1007003039","",""
"113411","1007003","0","確かに心残りではありますが\nそれ以上によいものを\n見られましたわ。","6","0","11","0","1007003040","1","0"
"0","1007003","","","","","91","","1007003041","",""
"113411","1007003","0.2","svd_idle_thinking","1","","3","","1007003042","",""
"113511","1007003","0.2","svd_talk_joy1","1","","3","","1007003043","",""
"vo_svd","1007003","","vo_svd_0323","0","","21","0","1007003044","",""
"113511","1007003","0","優しい弟くんも素敵だったね！\nでもカブトムシ捕りは\nまた挑戦しよう！","6","0","11","0","1007003045","1","0"
"0","1007003","","","","","91","","1007003046","",""
"113511","1007003","0.2","svd_talk_sad","1","","3","","1007003047","",""
"vo_svd","1007003","","vo_svd_0324","0","","21","0","1007003048","",""
"113511","1007003","0","それでもまたダメだったら\nそのときは…","6","0","11","0","1007003049","1","0"
"0","1007003","","","","","91","","1007003050","",""
"113511","1007003","0.2","svd_idle_sad","1","","3","","1007003051","",""
"113411","1007003","0.2","svd_talk_sad","1","","3","","1007003052","",""
"vo_svd","1007003","","vo_svd_0325","0","","21","0","1007003053","",""
"113411","1007003","0","もし次があるのなら…私たちが\nカブトムシになりましょう。\nなりきってみせましょう。","6","0","11","0","1007003054","1","0"
"5","1007003","","","","","93","","1007003055","",""
"113411","1007003","0.2","svd_talk_wish2","1","","3","","1007003056","",""
"1007003054","1007003","","","","","91","","1007003057","",""
"113411","1007003","0.2","svd_idle_wish2","1","","3","","1007003058","",""
"","1007003","","","","","102","","1007003059","",""
"1","1007003","","","","","93","","1007003060","",""
"113511","1007003","0","12","1","0","12","","1007003061","",""
"113511","1007003","0.2","svd_cmn_think","0","0.2","3","svd_idle_normal","1007003062","","1"
"3","1007003","","","","","93","","1007003063","",""
"113511","1007003","0.2","svd_idle_normal","1","","3","","1007003064","",""
"113411","1007003","0","10","1","0","12","","1007003065","",""
"113411","1007003","0.2","svd_talk_normal","1","","3","","1007003066","","1"
"3","1007003","","","","","93","","1007003067","",""
"113411","1007003","0.2","svd_idle_normal","1","","3","","1007003068","","1"
"113511","1007003","0","1","1","0","12","","1007003069","",""
"113511","1007003","0.2","svd_talk_sad","1","","3","","1007003070","",""
"3","1007003","","","","","93","","1007003071","",""
"113511","1007003","0.2","svd_idle_sad","1","","3","","1007003072","",""
"113411","1007003","0","7","1","0","12","","1007003073","",""
"113411","1007003","0.2","svd_talk_wish","1","","3","","1007003074","","1"
"3","1007003","","","","","93","","1007003075","",""
"113411","1007003","0.2","svd_idle_wish","1","","3","","1007003076","","1"
"1007003061","1007003","","","","","101","","1007003077","",""
"333","1007003","1","1","1","0","6","1","1007003078","","0"
"113511","1007003","","1","","","4","","1007003079","",""
"113511","1007003","0.2","svd_run","1","","3","","1007003080","",""
"113511","1007003","","-750","-300","","2","0.8","1007003081","","0"
"113411","1007003","","0","","","4","","1007003082","",""
"113411","1007003","0.2","svd_run","1","","3","","1007003083","",""
"113411","1007003","","750","-300","","2","0.8","1007003084","","0"
"0.6","1007003","","","","","93","","1007003085","",""
"113511","1007003","0.2","1","1","0","6","1","1007003086","","0"
"113411","1007003","0.2","1","1","0","6","1","1007003087","","0"
"0","1007003","","","","","91","","1007003088","",""
"1","1007004","2.08","113511","100","0","5","-250","1007004001","svd_idle_normal","-560"
"2","1007004","2.08","113411","100","1","5","250","1007004002","svd_idle_normal","-560"
"3","1007004","1","333","0","0","5","0","1007004003","svd_white_loop","0"
"333","1007004","0","1","1","0","6","1","1007004004","","0"
"113511","1007004","0","1","1","0","6","1","1007004005","","0"
"113411","1007004","0","1","1","0","6","1","1007004006","","0"
"1","1007004","","","","","93","","1007004007","",""
"333","1007004","0.8","1","1","0","6","1","1007004008","","0.4"
"113511","1007004","0.2","svd_jump1","0","0.2","3","svd_idle_normal","1007004009","","1"
"113411","1007004","0.2","svd_jump1","0","0.2","3","svd_idle_normal","1007004010","","1"
"0.3","1007004","","","","","93","","1007004011","",""
"113511","1007004","","-250","-300","","2","0.75","1007004012","","0"
"113411","1007004","","250","-300","","2","0.75","1007004013","","0"
"113511","1007004","0.4","1","1","0","6","1","1007004014","","1"
"113411","1007004","0.4","1","1","0","6","1","1007004015","","1"
"1.2","1007004","","","","","93","","1007004016","",""
"0","1007004","","","","","91","","1007004017","",""
"113411","1007004","0.2","svd_idle_normal","1","","3","","1007004018","",""
"113511","1007004","0.2","svd_talk_joy1","1","","3","","1007004019","",""
"vo_svd","1007004","","vo_svd_0421","0","","21","0","1007004020","",""
"113511","1007004","0","ルーセント学院のみんな\nいい子だったね！\n学校生活も楽しそうだなー","6","0","11","0","1007004021","1","0"
"0","1007004","","","","","91","","1007004022","",""
"113511","1007004","0.2","svd_idle_joy1","1","","3","","1007004023","",""
"113411","1007004","0.2","svd_talk_thinking","1","","3","","1007004024","",""
"vo_svd","1007004","","vo_svd_0422","0","","21","0","1007004025","",""
"113411","1007004","0","イオちゃんという\nすばらしい先生にも恵まれて\n少しうらやましいですわ…","6","0","11","0","1007004026","1","0"
"0","1007004","","","","","91","","1007004027","",""
"113411","1007004","0.2","svd_idle_thinking","1","","3","","1007004028","",""
"113511","1007004","0.2","svd_talk_normal","1","","3","","1007004029","",""
"vo_svd","1007004","","vo_svd_0423","0","","21","0","1007004030","",""
"113511","1007004","0","ねぇねぇ、二人で入学する…\nっていうのはどうかな？","7","0","11","0","1007004031","1","0"
"0","1007004","","","","","91","","1007004032","",""
"113511","1007004","0.2","svd_idle_joy1","1","","3","","1007004033","",""
"113411","1007004","0.2","svd_surprise","0","0.2","3","svd_talk_joy1","1007004034","","1"
"vo_svd","1007004","","vo_svd_0424","0","","21","0","1007004035","",""
"113411","1007004","0","…！　よいアイデアですわ！\nさっそく入学願書を\n取り寄せましょう！","6","0","11","0","1007004036","1","0"
"0","1007004","","","","","91","","1007004037","",""
"113411","1007004","0.2","svd_idle_joy1","1","","3","","1007004038","",""
"","1007004","","","","","102","","1007004039","",""
"1","1007004","","","","","93","","1007004040","",""
"113511","1007004","0","7","1","0","12","","1007004041","",""
"113511","1007004","0.2","svd_talk_normal","1","","3","","1007004042","",""
"3","1007004","","","","","93","","1007004043","",""
"113511","1007004","0.2","svd_idle_normal","1","","3","","1007004044","",""
"113411","1007004","0","6","1","0","12","","1007004045","",""
"113411","1007004","0.2","svd_talk_joy1","1","","3","","1007004046","","1"
"3","1007004","","","","","93","","1007004047","",""
"113411","1007004","0.2","svd_idle_joy1","1","","3","","1007004048","","1"
"113511","1007004","0","10","1","0","12","","1007004049","",""
"113511","1007004","0.2","svd_talk_joy2","1","","3","","1007004050","",""
"3","1007004","","","","","93","","1007004051","",""
"113511","1007004","0.2","svd_idle_joy2","1","","3","","1007004052","",""
"113411","1007004","0","10","1","0","12","","1007004053","",""
"113411","1007004","0.2","svd_cmn_smile3","0","0.2","3","svd_idle_joy1","1007004054","","1"
"3","1007004","","","","","93","","1007004055","",""
"113411","1007004","0.2","svd_idle_joy1","1","","3","","1007004056","","1"
"1007004041","1007004","","","","","101","","1007004057","",""
"333","1007004","1","1","1","0","6","1","1007004058","","0"
"113511","1007004","","1","","","4","","1007004059","",""
"113511","1007004","0.2","svd_run","1","","3","","1007004060","",""
"113511","1007004","","-750","-300","","2","0.8","1007004061","","0"
"113411","1007004","","0","","","4","","1007004062","",""
"113411","1007004","0.2","svd_run","1","","3","","1007004063","",""
"113411","1007004","","750","-300","","2","0.8","1007004064","","0"
"0.6","1007004","","","","","93","","1007004065","",""
"113511","1007004","0.2","1","1","0","6","1","1007004066","","0"
"113411","1007004","0.2","1","1","0","6","1","1007004067","","0"
"0","1007004","","","","","91","","1007004068","",""
"1","1007005","2.08","113511","110","0","5","-700","1007005001","svd_idle_normal","-300"
"2","1007005","2.08","113411","100","0","5","-550","1007005002","svd_idle_normal","-300"
"3","1007005","1","333","0","0","5","0","1007005003","svd_white_loop","0"
"333","1007005","0","1","1","0","6","1","1007005004","","0"
"3","1007005","0","13","-630","","31","60","1007005005","","1.3"
"113511","1007005","0","1","1","0","6","1","1007005006","","0"
"113411","1007005","0","1","1","0","6","1","1007005007","","0"
"1","1007005","","","","","93","","1007005008","",""
"333","1007005","0.8","1","1","0","6","1","1007005009","","0.4"
"113511","1007005","0.2","svd_walk_glad","1","","3","","1007005010","",""
"113511","1007005","","-250","-300","","2","2","1007005011","","0"
"113411","1007005","0.2","svd_walk_glad2","1","","3","","1007005012","",""
"113411","1007005","","-50","-300","","2","2.2","1007005013","","0"
"113511","1007005","0.4","1","1","0","6","1","1007005014","","1"
"113411","1007005","0.4","1","1","0","6","1","1007005015","","1"
"13","1007005","","1","","","32","","1007005016","",""
"13","1007005","","-180","60","","33","2","1007005017","","0"
"2","1007005","","","","","93","","1007005018","",""
"13","1007005","","0","","","32","","1007005019","",""
"113511","1007005","0.2","svd_idle_normal","1","","3","","1007005020","",""
"0.2","1007005","","","","","93","","1007005021","",""
"113411","1007005","","1","","","4","","1007005022","",""
"113411","1007005","0.2","svd_idle_normal","1","","3","","1007005023","",""
"0.5","1007005","","","","","93","","1007005024","",""
"113511","1007005","0","10","0.5","0","12","","1007005025","",""
"113411","1007005","0","10","0.5","0","12","","1007005026","",""
"113511","1007005","0.2","svd_wink","0","0.2","3","svd_idle_normal","1007005027","","1"
"113411","1007005","0.2","svd_wink","0","0.2","3","svd_idle_normal","1007005028","","1"
"1.5","1007005","","","","","93","","1007005029","",""
"113411","1007005","","0","","","4","","1007005030","",""
"113411","1007005","0.2","svd_walk","1","","3","","1007005031","",""
"113411","1007005","","250","-300","","2","1","1007005032","","0"
"1","1007005","","","","","93","","1007005033","",""
"113411","1007005","0.4","svd_idle_normal","0","0","3","svd_idle_normal","1007005034","","1"
"0","1007005","","","","","93","","1007005035","",""
"113411","1007005","","1","","","4","","1007005036","",""
"0.6","1007005","","","","","93","","1007005037","",""
"113511","1007005","0.2","svd_talk_joy1","1","","3","","1007005038","",""
"vo_svd","1007005","","vo_svd_0521","0","","21","0","1007005039","",""
"113511","1007005","0","静かな島で弟くんと暮らす…\nここは本当に天国だね。","5","0","11","0","1007005040","1","0"
"0","1007005","","","","","91","","1007005041","",""
"113511","1007005","0.2","svd_idle_memory","1","","3","","1007005042","",""
"113411","1007005","0.2","svd_talk_memory","1","","3","","1007005043","",""
"vo_svd","1007005","","vo_svd_0522","0","","21","0","1007005044","",""
"113411","1007005","0","これを幸せと呼ばずして\n何を幸せと呼べば\nよいのでしょう…","6","0","11","0","1007005045","1","0"
"0","1007005","","","","","91","","1007005046","",""
"113411","1007005","0.2","svd_idle_memory","1","","3","","1007005047","",""
"113511","1007005","0.2","svd_talk_memory","1","","3","","1007005048","",""
"vo_svd","1007005","","vo_svd_0523","0","","21","0","1007005049","",""
"113511","1007005","0","おはようからおやすみまで\nずっと弟くんと一緒に\nいられる…","6","0","11","0","1007005050","1","0"
"0","1007005","","","","","91","","1007005051","",""
"113511","1007005","0.2","svd_idle_memory","1","","3","","1007005052","",""
"113411","1007005","0.2","svd_talk_memory","1","","3","","1007005053","",""
"vo_svd","1007005","","vo_svd_0524","0","","21","0","1007005054","",""
"113411","1007005","0","寝起きのかわいらしい顔も\n穏やかな寝顔も\nすべて見放題…","4","0","11","0","1007005055","1","0"
"0","1007005","","","","","91","","1007005056","",""
"113411","1007005","0.2","svd_idle_memory","1","","3","","1007005057","",""
"113511","1007005","0.2","svd_talk_joy2","1","","3","","1007005058","",""
"vo_svd","1007005","","vo_svd_0525","0","","21","0","1007005059","",""
"113511","1007005","0","この幸せをお返しできるように\n最高のおうちを作ろうね！\nエリコちゃん！","8","0","11","0","1007005060","1","0"
"4","1007005","","","","","93","","1007005061","",""
"113511","1007005","0.2","svd_talk_guts","0","0.2","3","svd_idle_guts","1007005062","","1"
"1007005060","1007005","","","","","91","","1007005063","",""
"113511","1007005","0.2","svd_idle_guts","1","","3","","1007005064","",""
"113411","1007005","0.2","svd_talk_guts2","0","0.2","3","svd_idle_guts2","1007005065","","1"
"vo_svd","1007005","","vo_svd_0526","0","","21","0","1007005066","",""
"113411","1007005","0","もちろんですわ！","6","0","11","0","1007005067","1","0"
"0","1007005","","","","","91","","1007005068","",""
"","1007005","","","","","102","","1007005069","",""
"1","1007005","","","","","93","","1007005070","",""
"113511","1007005","0","9","1","0","12","","1007005071","",""
"113511","1007005","0.2","svd_talk_memory","1","","3","","1007005072","",""
"3","1007005","","","","","93","","1007005073","",""
"113511","1007005","0.2","svd_idle_memory","1","","3","","1007005074","",""
