311fc1c89490c718906636528f7e9dfc3f8aea8fb4bcbf6005b2b35f51ce1fe1,d71b35bb0ed8bead3c609cb65d178981559d106ecfda0b52cac22b3cdc922b80,a3010de2fa05792041b798a2edcbe4ae09ab19738e94309724ab81116a03e578,2806530c954e700cba0a5c1ebcf893a70eb4d734c2becbc74b3632895bacd4ab,92bac4f1d4b3a11fcde648df6e0242af9ac1aa458e3698cd71fcf8ff31d38301,0351ae940986f178395ff4855132a746b7970b80b831fd683ac2983f58c47453,d0c1a38139cb53734e7c6088b50a2e8cb88eae2501e943554d2bc1e7d8688b5a,71f98badf10a874f42e0a5a1ac817d908fee5b8e39dbea9a12559029d2ea9409
"33.ファスキア\n　　　　　　森林・東部","bgm_M339","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11033","33.ファスキア森林・東部","bgm_M339"
"34.デクスティア\n　　　　　岩崖・西壁","bgm_M374","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11034","34.デクスティア岩崖・西壁","bgm_M374"
"35.デクスティア\n　　　　　岩崖・東壁","bgm_M374","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11035","35.デクスティア岩崖・東壁","bgm_M374"
"36.ヴェーナ\n　　　　　湖畔道・南部","bgm_M392","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11036","36.ヴェーナ湖畔道・南部","bgm_M392"
"37.ヴェーナ\n　　　　　湖畔道・北部","bgm_M392","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11037","37.ヴェーナ湖畔道・北部","bgm_M392"
"38.ラトゥス\n　　　　　断崖・南部","bgm_M411","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11038","38.ラトゥス断崖・南部","bgm_M411"
"39.ラトゥス\n　　　　　断崖・北部","bgm_M411","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11039","39.ラトゥス断崖・北部","bgm_M411"
"40.スカプ\n　　　　　山系・西麓","bgm_M411_E40","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11040","40.スカプ山系・西麓","bgm_M411"
"41.スカプ\n　　　　　山系・東麓","bgm_M411_E40","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11041","41.スカプ山系・東麓","bgm_M411"
"42.ペクトス\n　　　　　氷峰・西壁","bgm_M411_E40","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11042","42.ペクトス氷峰・西壁","bgm_M411"
"43.ペクトス\n　　　　　氷峰・東壁","bgm_M411_E40","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11043","43.ペクトス氷峰・東壁","bgm_M411"
"44.スクァーマ\n　　　　　氷脈・西壁","bgm_M411_E40","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11044","44.スクァーマ氷脈・西壁","bgm_M411"
"45.スクァーマ\n　　　　　氷脈・東壁","bgm_M411_E40","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11045","45.スクァーマ氷脈・東壁","bgm_M411"
"46.ラテリ\n　　　　　連山・崖上","bgm_M483_E46","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11046","46.ラテリ連山・崖上","bgm_M483"
"47.ラテリ\n　　　　　連山・崖下","bgm_M483_E46","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11047","47.ラテリ連山・崖下","bgm_M483"
"48.エスタ\n　　　　　荒野・南部","bgm_M483_E46","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11048","48.エスタ荒野・南部","bgm_M483"
"49.エスタ\n　　　　　荒野・北部","bgm_M483_E46","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11049","49.エスタ荒野・北部","bgm_M483"
"50.ネロ\n　　　　　岩礁・西部","bgm_M483_E50","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11050","50.ネロ岩礁・西部","bgm_M483"
"51.ネロ\n　　　　　岩礁・東部","bgm_M483_E50","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11051","51.ネロ岩礁・東部","bgm_M483"
"52.ピニオン\n　　　　　浜堤・西岸","bgm_M483_E50","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11052","52.ピニオン浜堤・西岸","bgm_M483"
"53.ピニオン\n　　　　　浜堤・東岸","bgm_M483_E50","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11053","53.ピニオン浜堤・東岸","bgm_M483"
"54.トータティス砂岸\n　　　　　西部","bgm_M483_E50","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11054","54.トータティス砂岸・西部","bgm_M483"
"55.トータティス砂岸\n　　　　　東部","bgm_M483_E50","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11055","55.トータティス砂岸・東部","bgm_M483"
"56.オニュクス砂島\n　　　　　北部","bgm_M483_E50","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11056","56.オニュクス砂島・北部","bgm_M483"
"57.オニュクス砂島\n　　　　　南部","bgm_M571","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11057","57.オニュクス砂島・南部","bgm_M571"
"58.クルース\n　　　　　密林・東部","bgm_M599A","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11058","58.クルース密林・東部","bgm_M599A"
"59.クルース\n　　　　　密林・西部","bgm_M599A","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11059","59.クルース密林・西部","bgm_M599A"
"60.カウダ\n　　　　　砂浜・北部","bgm_M599A","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11060","60.カウダ砂浜・北部","bgm_M599A"
"61.カウダ\n　　　　　砂浜・南部","bgm_M599A","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11061","61.カウダ砂浜・南部","bgm_M599A"
"62.プロピーナ岬","bgm_M599A","102","2015/12/17 15:00:00","2030/12/17 14:59:59","11062","62.プロピーナ岬","bgm_M599A"
"63.アパレーユ\n　　　　　街道・西側","bgm_MC001","103","2015/12/17 15:00:00","2030/12/17 14:59:59","11063","63.アパレーユ街道・西側","bgm_MC001"
"64.アパレーユ\n　　　　　街道・東側","bgm_MC001","103","2015/12/17 15:00:00","2030/12/17 14:59:59","11064","64.アパレーユ街道・東側","bgm_MC001"
"65.キャッスル・オブ・パルフェ\n　　　　　　城下町","bgm_MC001","103","2015/12/17 15:00:00","2030/12/17 14:59:59","11065","65.キャッスル・オブ・パルフェ　城下町","bgm_MC001"
"66.ラモリール平原","bgm_MC001","103","2015/12/17 15:00:00","2030/12/17 14:59:59","11066","66.ラモリール平原","bgm_MC001"
"67.渦炎密林","bgm_MC079","104","2015/12/17 15:00:00","2030/12/17 14:59:59","11067","67.渦炎密林","bgm_MC079"
"68.思索樹海","bgm_MC079","104","2015/12/17 15:00:00","2030/12/17 14:59:59","11068","68.思索樹海","bgm_MC079"
"69.鬼ノ膝元","bgm_MC079","104","2015/12/17 15:00:00","2030/12/17 14:59:59","11069","69.鬼ノ膝元","bgm_MC079"
"70.炎縄河","bgm_MC079","104","2015/12/17 15:00:00","2030/12/17 14:59:59","11070","70.炎縄河","bgm_MC079"
"71.崩豹峠","bgm_MC079","104","2015/12/17 15:00:00","2030/12/17 14:59:59","11071","71.崩豹峠","bgm_MC079"
"72.怒錐ヶ岳","bgm_MC079","104","2015/12/17 15:00:00","2030/12/17 14:59:59","11072","72.怒錐ヶ岳","bgm_MC079"
"73.久遠氷河・南端","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","11073","73.久遠氷河・南端","bgm_MC201"
"74.幽魂湿原","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","11074","74.幽魂湿原","bgm_MC201"
"75.巨鯨城・近隣","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","11075","75.巨鯨城・近隣","bgm_MC201"
"76.忘却された町","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","11076","76.忘却された町","bgm_MC201"
"77.黒曜に臨む丘","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","11077","77.黒曜に臨む丘","bgm_MC201"
"78.屍蝋の眠り城","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","11078","78.屍蝋の眠り城","bgm_MC201"
"79.はぐれ鬼の集落","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","11079","79.はぐれ鬼の集落","bgm_MC201"
"80.幻葬湖のほとり","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","11080","80.幻葬湖のほとり","bgm_MC201"
"1.ジュノー平野","bgm_M61","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12001","1.ジュノー平野","bgm_M61"
"2.パラス高原","bgm_M61_02","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12002","2.パラス高原","bgm_M61"
"3.ヘーベ丘陵","bgm_M61_03","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12003","3.ヘーベ丘陵","bgm_M61"
"4.ベスタ渓谷","bgm_M61_04","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12004","4.ベスタ渓谷","bgm_M61"
"5.ケレス森林","bgm_M62_01","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12005","5.ケレス森林","bgm_M62"
"6.フローラ湖畔","bgm_M62_02","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12006","6.フローラ湖畔","bgm_M62"
"7.メティス大瀑布","bgm_M62_03","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12007","7.メティス大瀑布","bgm_M62"
"8.イリス樹海","bgm_M42_02","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12008","8.イリス樹海","bgm_M42"
"9.フリガ雪原","bgm_M58","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12009","9.フリガ雪原","bgm_M58"
"10.ロレッタ海岸","bgm_M101","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12010","10.ロレッタ海岸","bgm_M101"
"11.ゲヌア砂漠","bgm_M93","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12011","11.ゲヌア砂漠","bgm_M93"
"12.ボノニア砂丘","bgm_M94","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12012","12.ボノニア砂丘","bgm_M94"
"13.ドロテア湿地","bgm_M118","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12013","13.ドロテア湿地","bgm_M118"
"14.ウジェニア熱地","bgm_M95","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12014","14.ウジェニア熱地","bgm_M95"
"15.タリア火山","bgm_M96","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12015","15.タリア火山","bgm_M96"
"16.テミス銀嶺","bgm_M140","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12016","16.テミス銀嶺","bgm_M140"
"17.フィデス氷原","bgm_M141","101","2015/12/17 15:00:00","2030/12/17 14:59:59","12017","17.フィデス氷原","bgm_M141"
"18.ファエトン\n　　　　　原野・北部","bgm_M179","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12018","18.ファエトン原野・北部","bgm_M179"
"19.ファエトン\n　　　　　原野・南部","bgm_M179","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12019","19.ファエトン原野・南部","bgm_M179"
"20.カスタリア\n　　　　　樹林・西部","bgm_M180","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12020","20.カスタリア樹林・西部","bgm_M180"
"21.カスタリア\n　　　　　樹林・東部","bgm_M180","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12021","21.カスタリア樹林・東部","bgm_M180"
"22.マティルド\n　　　　　岩峯・南部","bgm_M232","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12022","22.マティルド岩峯・南部","bgm_M232"
"23.マティルド\n　　　　　岩峯・北部","bgm_M232","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12023","23.マティルド岩峯・北部","bgm_M232"
"24.レディウス\n　　　　　群峰・西麓","bgm_M233","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12024","24.レディウス群峰・西麓","bgm_M233"
"25.レディウス\n　　　　　群峰・東麓","bgm_M233","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12025","25.レディウス群峰・東麓","bgm_M233"
"26.ペテロ大森林・西部","bgm_M260","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12026","26.ペテロ大森林・西部","bgm_M260"
"27.ペテロ大森林・東部","bgm_M260","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12027","27.ペテロ大森林・東部","bgm_M260"
"28.ディズタル\n　　　　　河食岸・北部","bgm_M278_E28","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12028","28.ディズタル河食岸・北部","bgm_M278"
"29.ディズタル\n　　　　　河食岸・南部","bgm_M278_E29","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12029","29.ディズタル河食岸・南部","bgm_M278"
"30.フテラ断崖・北部","bgm_M293","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12030","30.フテラ断崖・北部","bgm_M293"
"31.フテラ断崖・南部","bgm_M293","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12031","31.フテラ断崖・南部","bgm_M293"
"32.ファスキア\n　　　　　　森林・南部","bgm_M339","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12032","32.ファスキア森林・南部","bgm_M339"
"33.ファスキア\n　　　　　　森林・東部","bgm_M339","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12033","33.ファスキア森林・東部","bgm_M339"
"34.デクスティア\n　　　　　岩崖・西壁","bgm_M374","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12034","34.デクスティア岩崖・西壁","bgm_M374"
"35.デクスティア\n　　　　　岩崖・東壁","bgm_M374","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12035","35.デクスティア岩崖・東壁","bgm_M374"
"36.ヴェーナ\n　　　　　湖畔道・南部","bgm_M392","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12036","36.ヴェーナ湖畔道・南部","bgm_M392"
"37.ヴェーナ\n　　　　　湖畔道・北部","bgm_M392","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12037","37.ヴェーナ湖畔道・北部","bgm_M392"
"38.ラトゥス\n　　　　　断崖・南部","bgm_M411","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12038","38.ラトゥス断崖・南部","bgm_M411"
"39.ラトゥス\n　　　　　断崖・北部","bgm_M411","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12039","39.ラトゥス断崖・北部","bgm_M411"
"40.スカプ\n　　　　　山系・西麓","bgm_M411_E40","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12040","40.スカプ山系・西麓","bgm_M411"
"41.スカプ\n　　　　　山系・東麓","bgm_M411_E40","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12041","41.スカプ山系・東麓","bgm_M411"
"42.ペクトス\n　　　　　氷峰・西壁","bgm_M411_E40","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12042","42.ペクトス氷峰・西壁","bgm_M411"
"43.ペクトス\n　　　　　氷峰・東壁","bgm_M411_E40","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12043","43.ペクトス氷峰・東壁","bgm_M411"
"44.スクァーマ\n　　　　　氷脈・西壁","bgm_M411_E40","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12044","44.スクァーマ氷脈・西壁","bgm_M411"
"45.スクァーマ\n　　　　　氷脈・東壁","bgm_M411_E40","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12045","45.スクァーマ氷脈・東壁","bgm_M411"
"46.ラテリ\n　　　　　連山・崖上","bgm_M483_E46","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12046","46.ラテリ連山・崖上","bgm_M483"
"47.ラテリ\n　　　　　連山・崖下","bgm_M483_E46","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12047","47.ラテリ連山・崖下","bgm_M483"
"48.エスタ\n　　　　　荒野・南部","bgm_M483_E46","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12048","48.エスタ荒野・南部","bgm_M483"
"49.エスタ\n　　　　　荒野・北部","bgm_M483_E46","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12049","49.エスタ荒野・北部","bgm_M483"
"50.ネロ\n　　　　　岩礁・西部","bgm_M483_E50","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12050","50.ネロ岩礁・西部","bgm_M483"
"51.ネロ\n　　　　　岩礁・東部","bgm_M483_E50","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12051","51.ネロ岩礁・東部","bgm_M483"
"52.ピニオン\n　　　　　浜堤・西岸","bgm_M483_E50","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12052","52.ピニオン浜堤・西岸","bgm_M483"
"53.ピニオン\n　　　　　浜堤・東岸","bgm_M483_E50","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12053","53.ピニオン浜堤・東岸","bgm_M483"
"54.トータティス砂岸\n　　　　　西部","bgm_M483_E50","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12054","54.トータティス砂岸・西部","bgm_M483"
"55.トータティス砂岸\n　　　　　東部","bgm_M483_E50","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12055","55.トータティス砂岸・東部","bgm_M483"
"56.オニュクス砂島\n　　　　　北部","bgm_M483_E50","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12056","56.オニュクス砂島・北部","bgm_M483"
"57.オニュクス砂島\n　　　　　南部","bgm_M571","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12057","57.オニュクス砂島・南部","bgm_M571"
"58.クルース\n　　　　　密林・東部","bgm_M599A","102","2015/12/17 15:00:00","2030/12/17 14:59:59","12058","58.クルース密林・東部","bgm_M599A"
"63.アパレーユ\n　　　　　街道・西側","bgm_MC001","103","2015/12/17 15:00:00","2030/12/17 14:59:59","12063","63.アパレーユ街道・西側","bgm_MC001"
"64.アパレーユ\n　　　　　街道・東側","bgm_MC001","103","2015/12/17 15:00:00","2030/12/17 14:59:59","12064","64.アパレーユ街道・東側","bgm_MC001"
"65.キャッスル・オブ・パルフェ\n　　　　　　城下町","bgm_MC001","103","2015/12/17 15:00:00","2030/12/17 14:59:59","12065","65.キャッスル・オブ・パルフェ　城下町","bgm_MC001"
"66.ラモリール平原","bgm_MC001","103","2015/12/17 15:00:00","2030/12/17 14:59:59","12066","66.ラモリール平原","bgm_MC001"
"67.渦炎密林","bgm_MC079","104","2015/12/17 15:00:00","2030/12/17 14:59:59","12067","67.渦炎密林","bgm_MC079"
"68.思索樹海","bgm_MC079","104","2015/12/17 15:00:00","2030/12/17 14:59:59","12068","68.思索樹海","bgm_MC079"
"69.鬼ノ膝元","bgm_MC079","104","2015/12/17 15:00:00","2030/12/17 14:59:59","12069","69.鬼ノ膝元","bgm_MC079"
"70.炎縄河","bgm_MC079","104","2015/12/17 15:00:00","2030/12/17 14:59:59","12070","70.炎縄河","bgm_MC079"
"71.崩豹峠","bgm_MC079","104","2015/12/17 15:00:00","2030/12/17 14:59:59","12071","71.崩豹峠","bgm_MC079"
"72.怒錐ヶ岳","bgm_MC079","104","2015/12/17 15:00:00","2030/12/17 14:59:59","12072","72.怒錐ヶ岳","bgm_MC079"
"73.久遠氷河・南端","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","12073","73.久遠氷河・南端","bgm_MC201"
"74.幽魂湿原","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","12074","74.幽魂湿原","bgm_MC201"
"75.巨鯨城・近隣","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","12075","75.巨鯨城・近隣","bgm_MC201"
"76.忘却された町","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","12076","76.忘却された町","bgm_MC201"
"77.黒曜に臨む丘","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","12077","77.黒曜に臨む丘","bgm_MC201"
"78.屍蝋の眠り城","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","12078","78.屍蝋の眠り城","bgm_MC201"
"79.はぐれ鬼の集落","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","12079","79.はぐれ鬼の集落","bgm_MC201"
"80.幻葬湖のほとり","bgm_MC201","105","2015/12/17 15:00:00","2030/12/17 14:59:59","12080","80.幻葬湖のほとり","bgm_MC201"
"18.ファエトン\n　　　　　原野・北部","bgm_M179","102","2015/12/17 15:00:00","2030/12/17 14:59:00","13018","18.ファエトン原野・北部","bgm_M179"
"19.ファエトン\n　　　　　原野・南部","bgm_M179","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13019","19.ファエトン原野・南部","bgm_M179"
"20.カスタリア\n　　　　　樹林・西部","bgm_M180","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13020","20.カスタリア樹林・西部","bgm_M180"
"21.カスタリア\n　　　　　樹林・東部","bgm_M180","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13021","21.カスタリア樹林・東部","bgm_M180"
"22.マティルド\n　　　　　岩峯・南部","bgm_M232","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13022","22.マティルド岩峯・南部","bgm_M232"
"23.マティルド\n　　　　　岩峯・北部","bgm_M232","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13023","23.マティルド岩峯・北部","bgm_M232"
"24.レディウス\n　　　　　群峰・西麓","bgm_M233","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13024","24.レディウス群峰・西麓","bgm_M233"
"25.レディウス\n　　　　　群峰・東麓","bgm_M233","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13025","25.レディウス群峰・東麓","bgm_M233"
"26.ペテロ大森林・西部","bgm_M260","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13026","26.ペテロ大森林・西部","bgm_M260"
"27.ペテロ大森林・東部","bgm_M260","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13027","27.ペテロ大森林・東部","bgm_M260"
"28.ディズタル\n　　　　　河食岸・北部","bgm_M278_E28","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13028","28.ディズタル河食岸・北部","bgm_M278"
"29.ディズタル\n　　　　　河食岸・南部","bgm_M278_E29","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13029","29.ディズタル河食岸・南部","bgm_M278"
"30.フテラ断崖・北部","bgm_M293","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13030","30.フテラ断崖・北部","bgm_M293"
"31.フテラ断崖・南部","bgm_M293","102","2015/12/17 15:00:00","2030/12/17 14:59:59","13031","31.フテラ断崖・南部","bgm_M293"
