0872fe8e66ec21216ff545a51dba6593ac8ff2aa664ea058e543e47d144bbd4f,5aa90016233c92224a700ec8bbee7db67d5f90e9f9f1d573ba763cb37b4445bd,197cc421259186504cf7000d233b512993a81165166f22b3d2b3165352f2b6e0,fd877cc3218b9218f94bf3025daa2e8119e89534141eb7bd466c98c98f07b617,c9a39488f044dfc81bb6d86c3046d8933c73ad5a00741f881864675b62b74826,7536c81fac2644f001dc5f7b115f79c0c1b7454153318dbdefe85fb09800e47b,9479d20b1212f4063a673a982e71fc0ad4e07cdfa31460f32fda9bab050005a9,17cc51ff88cdb03467513554e24fb07b3c7b6c2d7bbe8279efcd3955c5c11ddb,b92f65d722777a5a46b47edcfacbd17bd209b587a5b5a6aacb01e9906909804d,6ea473da97cb22c2c08331d54bdbcbd0fb72acaa99a74771f0fab7d21187249f,b33f569876cffddce8930446bbde9b86615a62235daa2a1b62fbf2218fce8ecf
"clapping_in_talk2","0","107111","3","5152062","0.2","0","62102","","1","clapping_loop_talk2"
"0","","2.1","93","5152062","","","62103","","",""
"out","","12","37","5152062","","","62104","","",""
"idol_poseF_in","0","131911","3","5152062","0.1","0","62105","","1","idol_poseF_loop"
"idol_poseF_in","0","107511","3","5152062","0.1","0","62106","","1","idol_poseF_loop"
"idol_poseF_in","0","107611","3","5152062","0.1","0","62107","","1","idol_poseF_loop"
"idol_poseF_in","0","107811","3","5152062","0.1","0","62108","","1","idol_poseF_loop"
"idol_poseB_in","0","131411","3","5152062","0.1","0","62109","","1","idol_poseB_loop"
"idol_poseB_in","0","131311","3","5152062","0.1","0","62110","","1","idol_poseB_loop"
"idol_poseB_in","0","131511","3","5152062","0.1","0","62111","","1","idol_poseB_loop"
"empty","","12","3","5152062","0.2","1","62112","","",""
"empty","","13","3","5152062","0.2","1","62113","","",""
"empty","","11","3","5152062","0.2","1","62114","","",""
"empty","","14","3","5152062","0.2","1","62115","","",""
"empty","","15","3","5152062","0.2","1","62116","","",""
"empty","","16","3","5152062","0.2","1","62117","","",""
"empty","","17","3","5152062","0.2","1","62118","","",""
"93","","107611","2","5152062","","-206","62119","","11","0.7"
"-13","","131911","2","5152062","","-235","62120","","11","0.7"
"-152","","107511","2","5152062","","-248","62121","","11","0.7"
"-277","","107811","2","5152062","","-243","62122","","11","0.7"
"8","","131411","2","5152062","","-151","62123","","11","0.7"
"-102","","131311","2","5152062","","-154","62124","","11","0.7"
"-222","","131511","2","5152062","","-167","62125","","11","0.7"
"0","","1.6","93","5152062","","","62126","","",""
"finish","","2","37","5152062","","","62127","","",""
"se_10058300_idle_finish","","se_10058300","23","5152062","","0","62128","","",""
"bgm_MC173B","1","bgm_MC173B","27","5152062","0","0.5","62129","","0","0.5"
"0","","0","93","5152062","","","62130","","",""
"clapping_end","","107111","3","5152062","0.1","0","62131","","",""
"0","","2","93","5152062","","","62132","","",""
"armcrossed_in","0","107111","3","5152062","0.2","0","62133","","1","armcrossed_talk"
"vo_rag_2007","","vo_rag","21","5152062","","0","62134","","","0"
"これでフィニッシュ！　…見事だ☆\nアイドルの道は険しいが\nオマエたちならやれるだろう","35","107111","11","5152062","0","10","62135","0","1","1"
"","","0","91","5152062","","0","62136","","","0"
"armcrossed_idle","","107111","3","5152062","0.2","1","62137","","",""
"pack_in","0","5","3","5152062","0","0","62138","","1","pack_talk"
"se_10058300_pack_appear","","se_10058300","23","5152062","","0","62139","","",""
"idol_poseF_end_emilia_in","0","131911","3","5152062","0.2","0","62140","","1","idol_poseF_end_emilia_loop"
"0","","1","93","5152062","","","62141","","",""
"vo_rag_2008","","vo_rag","21","5152062","","0","62142","","","0"
"ねえリア、\nこれってラジーオタイソーなの？","24","5","11","5152062","5","10","62143","0","1","1"
"","","0","91","5152062","","0","62144","","","0"
"0","","0","22","5152062","","","62145","","",""
"idol_poseF_end_emilia_loop_nervous","","131911","3","5152062","0.2","1","62146","","",""
"idol_poseF_end_emilia_nervous_in","0","1","3","5152062","0","0","62147","","1","idol_poseF_end_emilia_loop"
"pack_idle","","5","3","5152062","0.2","1","62148","","",""
"chris_laugh","","107111","3","5152062","0.2","1","62149","","",""
"se_10058300_emotion_idol","","se_10058300","23","5152062","","0","62150","","",""
"5","5","5","12","5152062","5","2","62151","0","0","0"
"10","0","107111","12","5152062","0","2","62152","0","0","0"
"0","","2.5","93","5152062","","","62153","","",""
"","","62155","101","5152062","","","62154","","",""
"bgm_MC173B","","bgm_MC173B","25","5152062","","","62155","","",""
"0","","0","22","5152062","","","62156","","",""
"131711","1","1","1","5152063","1.8","109","63001","ames_sit_idle","-215","124"
"132011","0","1","1","5152063","1.8","108","63002","echidna_sit_thinking_idle","-215","-119"
"1","0","1","5","5152063","1.8","109","63003","empty","-215","-119"
"209","","131711","13","5152063","","","63004","","",""
"208","","132011","13","5152063","","","63005","","",""
"1","","1","31","5152063","1","0","63006","","1.16","0"
"10","","10","31","5152063","1","0","63007","","1","0"
"5","","5","31","5152063","0","0","63008","","1","0"
"3","","3","31","5152063","1","0","63009","","1","0"
"0","","0","91","5152063","","","63010","","",""
"telop_3","","3","37","5152063","","","63011","","",""
"0","","0","102","5152063","","0","63012","","",""
"0","","1","93","5152063","","","63013","","",""
"echidna_sit_thinking_talk","","132011","3","5152063","0.2","1","63014","","",""
"vo_rag_5001","","vo_rag","21","5152063","","0","63015","","","0"
"この世界には『アイドル』という\n種族にのみ伝わる、伝統の\nタイソーとやらがあるらしいね","50","132011","11","5152063","-20","10","63016","0","1","1"
"","","0","91","5152063","","0","63017","","","0"
"echidna_sit_talk","","132011","3","5152063","0.2","1","63018","","",""
"vo_rag_5002","","vo_rag","21","5152063","","0","63019","","","0"
"君は智に長けた存在だろう？\nボクにもその動きを\n教えてもらえないかな？","50","132011","11","5152063","-20","10","63020","0","1","1"
"","","0","91","5152063","","0","63021","","","0"
"echidna_sit_idle","","132011","3","5152063","0.2","1","63022","","",""
"ames_yareyare_in","0","131711","3","5152063","0.2","0","63023","","1","ames_yareyare_talk"
"vo_rag_5003","","vo_rag","21","5152063","","0","63024","","","0"
"随分と面倒なこと言ってくれちゃって","50","131711","11","5152063","20","10","63025","0","1","1"
"","","0","91","5152063","","0","63026","","","0"
"ames_sit_talk","","131711","3","5152063","0.2","1","63027","","",""
"vo_rag_5004","","vo_rag","21","5152063","","0","63028","","","0"
"色々誤解があるみたいだけど、\nまあいいわ","50","131711","11","5152063","20","10","63029","0","1","1"
"","","0","91","5152063","","0","63030","","","0"
"vo_rag_5005","","vo_rag","21","5152063","","0","63031","","","0"
"それじゃ、\nあたしと同じ動きをやってみて","50","131711","11","5152063","20","10","63032","0","1","1"
"","","0","91","5152063","","0","63033","","","0"
"ames_sit_out","0","131711","3","5152063","0.2","0","63034","","1","idle_normal"
"0","","0.1","93","5152063","","","63035","","",""
"echidna_sit_out","0","132011","3","5152063","0.2","0","63036","","1","idle_normal"
"out","","10","37","5152063","","","63037","","",""
"0","","1","93","5152063","","","63038","","",""
"","","0","91","5152063","","0","63039","","","0"
"bgm_MC175A","","bgm_MC175A","25","5152063","","","63040","","",""
"1","","5","32","5152063","","","63041","","",""
"isekai_dance","","131711","3","5152063","0.2","1","63042","","",""
"0","","0.1","93","5152063","","","63043","","",""
"isekai_dance","","132011","3","5152063","0.2","1","63044","","",""
"vo_rag_5006","","vo_rag","21","5152063","","0","63045","","","0"
"はい、ワンツーワンツー、\nステップステップ…","0","131711","11","5152063","0","10","63046","1.7","0","1"
"0","","7","93","5152063","","","63047","","",""
"","","0","91","5152063","","0","63048","","","0"
"vo_rag_5007","","vo_rag","21","5152063","","0","63049","","","0"
"ワン、ツー…ワン、ツ…\nはぁ、はぁ…\n今日のところは、ここまで、だね…","0","132011","11","5152063","0","10","63050","0","1","1"
"0","","3.4","93","5152063","","","63051","","",""
"bgm_MC173B","1","bgm_MC173B","27","5152063","0","0.5","63052","","0","0.5"
"out","","5","37","5152063","","","63053","","",""
"tired_in","0","1","3","5152063","0","0","63054","","1","tired_talk"
"echidna_tired_in","0","132011","3","5152063","0","0","63055","","1","echidna_tired_talk"
"se_10058300_isekai_breath","","se_10058300","23","5152063","","0","63056","","",""
"0","","7.6","93","5152063","","","63057","","",""
"","","63050","91","5152063","","0","63058","","","0"
"tired_idle","","1","3","5152063","0.2","1","63059","","",""
"echidna_tired_idle","","132011","3","5152063","0.2","1","63060","","",""
"shock_in","0","131711","3","5152063","0","0","63061","","1","shock_talk"
"vo_rag_5008","","vo_rag","21","5152063","","0","63062","","","0"
"ウソでしょ！　まだちょっとしか\nやってないわよ！","0","131711","11","5152063","0","10","63063","0","1","1"
"","","0","91","5152063","","0","63064","","","0"
