9e8377b6f3753d5eeea0772a3d02185b090629b862806d3abee28303a4434207,16730fa7fa38d1c2bd3ba55a32faebf47c5b4769b96222768c926157abc9673d,84aba8c92d09d0b9cf3cfe0d14ac6e1242f5f5fd5264e02b428833eb2f4b705b,a70e3aabb3888a9d96a68bf390963df48794ca8b7e3a2ed429d14cb60c76c65f,a0abf7b82eefbcfbe7262f228bf7f628e26e3b6686adb156ab29c500c16f1716,a181bcc612786a17fc1a2e2b855aa45b3a8e591925460300b7ad963213d9e68d,6fc95c7bb96f484e5d5ad2ce45914da995ab92dd9430a3289aa6049b8570f1ad,fa6f2f3635ebd28c01fdb5feb03910781b1ab161beb578eb549bf02a0f946711,3806d0c107430a65a66579334e179341813ce570db347497e40112db2febaa6b,59e24d705a64e9fa242819bf3abaa5d5ea2f0fc25169fc813754177a5a55fb2b
"10053","2024/08/31 12:00:00","2025/02/14 23:59:59","1","0","0","1","0","0","1001"
"10054","2024/08/31 12:00:00","2025/02/14 23:59:59","2","0","0","2","2015009","0","1002"
"10055","2024/08/21 12:00:00","2024/08/31 11:59:59","3","0","1011","3","2201005","0","1003"
"10056","2024/08/31 12:00:00","2025/02/14 23:59:59","3","0","0","3","2201005","0","1003"
"10057","2025/01/31 12:00:00","2025/02/15 14:59:59","1","0","0","1","0","0","1005"
"10058","2025/01/31 12:00:00","2025/02/15 14:59:59","2","0","0","2","2015009","0","1005"
"10059","2025/01/31 12:00:00","2025/02/15 14:59:59","3","0","0","3","2201005","0","1005"
"10060","2025/02/15 15:00:00","2025/02/23 4:59:59","1","1007","1012","1","0","1007","1005"
"10061","2025/02/15 15:00:00","2025/02/23 4:59:59","2","1007","1012","2","2015009","1007","1005"
"10062","2025/02/15 15:00:00","2025/02/23 4:59:59","3","1007","1012","3","2201005","1007","1005"
"10063","2025/02/23 5:00:00","2025/02/28 11:59:59","1","1007","1012","1","0","1007","1001"
"10064","2025/02/23 5:00:00","2025/02/28 11:59:59","2","1007","1012","2","2015009","1007","1002"
"10065","2025/02/23 5:00:00","2025/02/28 11:59:59","3","1007","1012","3","2201005","1007","1003"
"10066","2025/02/28 12:00:00","2025/08/15 14:59:59","1","0","0","1","0","0","1001"
"10067","2025/02/28 12:00:00","2025/08/15 14:59:59","2","0","0","2","2015009","0","1002"
"10068","2025/02/28 12:00:00","2025/08/15 14:59:59","3","0","0","3","2201005","0","1003"
"10069","2025/08/15 15:00:00","2025/08/31 11:59:59","1","0","1013","1","0","0","1001"
"10070","2025/08/15 15:00:00","2025/08/31 11:59:59","2","0","1013","2","2015009","0","1002"
"10071","2025/08/15 15:00:00","2025/08/31 11:59:59","3","0","1013","3","2201005","0","1003"
"10072","2025/08/31 12:00:00","2026/02/15 11:59:59","1","0","0","1","0","0","1001"
"10073","2025/08/31 12:00:00","2026/02/15 11:59:59","2","0","0","2","2015009","0","1002"
"10074","2025/08/31 12:00:00","2026/02/15 11:59:59","3","0","0","3","2201005","0","1003"
"10075","2026/02/15 12:00:00","2026/03/16 4:59:59","1","1008","1014","1","0","1008","1001"
"10076","2026/02/15 12:00:00","2026/03/16 4:59:59","2","1008","1014","2","2015009","1008","1002"
"10077","2026/02/15 12:00:00","2026/03/16 4:59:59","3","1008","1014","3","2201005","1008","1003"
"10078","2026/03/16 5:00:00","2026/08/15 11:59:59","1","0","0","1","0","0","1001"
"10079","2026/03/16 5:00:00","2026/08/15 11:59:59","2","0","0","2","2015009","0","1002"
"10080","2026/03/16 5:00:00","2026/08/15 11:59:59","3","0","0","3","2201005","0","1003"
"10081","2026/08/15 12:00:00","2026/09/15 4:59:59","1","0","1015","1","0","0","1001"
"10082","2026/08/15 12:00:00","2026/09/15 4:59:59","2","0","1015","2","2015009","0","1002"
"10083","2026/08/15 12:00:00","2026/09/15 4:59:59","3","0","1015","3","2201005","0","1003"
"10084","2026/09/15 5:00:00","2027/02/15 11:59:59","1","0","0","1","0","0","1001"
"10085","2026/09/15 5:00:00","2027/02/15 11:59:59","2","0","0","2","2015009","0","1002"
"10086","2026/09/15 5:00:00","2027/02/15 11:59:59","3","0","0","3","2201005","0","1003"
