a9bd61c7b9aeddf3abbb14daf8d9daba4088558a7119cc7d11800e419c413f03,d8c49b3e77713cf4801ca1b33713a2b5a7c4d70a1617635e7b4ad9799949d6a6,6bfd3d071b50a07d939178f271c1ab2fde26a042ae5027b8300c18658da06708,ac2c28ad7de48c86a62fd54a3bc9868cb5d8b8e8c6b480212da5745a4f5cec3b,1022a7c9dadec3d8cc791a7dac7a95da44e08f868e01b6f45e0afe3347f329bb,9d05707046d29202c76fddd8af038aac85078a631b460830cc6fe378a8946daf,fc9b177356025edfce316f25899587bdc593f62e0f6a2167970b7ca80ef5ffac,af67bf347f9c4ff122eb6cc2744be31fdd8967b508df21c92a8e2cac56043783,8b9c7ea5de6f62d5955e762514e9c0070bac0de3e2988cf847d905437ee0cbd7,0da1272de8ebb14544acb5b160a67a41030fa6d2e567eacc9fb7fcd5289f742d,3e629f4a0ea46e924d17420456a7a4aa7bc8eef138db0398d863bd162f232f33,5327c46b0f7a75945dc7f328f1e5bd5f938b7fcd0a0bdf9c171e79d1beead4e5,c9373429132f266929c1765749ea0a5bf2ca19b4a8db577964ec8fa141752627,88f17440d5b722ee281317203e28370fc7e7e725ec75e0745e2110878f507fb0,2cab07a8f947645faadd4d709792cb40cc27d32f8e8f654409d1f98f563f6b08,c8abfd06a5bb52a561e130decefa1d291746128056190ba862a1adddc6154291,372153161e588e628b18f586ddcc845921dc8f3ea91405e43d219bed2e03d7c5,57ad44e6812039c715e935b0f0ef9f6f4dfb3db6c57c30e34884d3d55f0175fe,601ff272b8372d33471018225303919304e4420150f4afaebb96b5164f2edb4c,34457583371bf17cb289c604456451056537e92b943b09c7c7534047bb8f1ac6,1333160296b6b60a446833e5d9b8090fe2246b68207f876c00052956bdd9e57a,fc5751b011bb9aebf12c3e6e742c11c20583b1e4cca268cc2ecf060f01fff38f
"11","60","91002","101","202","9003","10120211","20211","601","2","0","6114","22002","1","8","2025/01/31 12:00:00","0","イベント前編クエスト H-1をクリアしよう","1","2","3","0"
"12","60","91002","101","202","9003","10120212","20212","601","2","0","6114","22002","1","8","2025/01/31 12:00:00","0","イベント前編クエスト H-2をクリアしよう","1","2","3","0"
"13","60","91002","101","202","9003","10120213","20213","601","2","0","6114","22002","1","8","2025/01/31 12:00:00","0","イベント前編クエスト H-3をクリアしよう","1","2","3","0"
"14","30","91002","101","202","9003","10120214","20214","601","2","0","6114","22002","1","8","2025/02/06 12:00:00","0","イベント後編クエスト N-1をクリアしよう","1","2","1","0"
"15","30","91002","101","202","9003","10120215","20215","601","2","0","6114","22002","1","8","2025/02/06 12:00:00","0","イベント後編クエスト N-2をクリアしよう","1","2","1","0"
"16","30","91002","101","202","9003","10120216","20216","601","2","0","6114","22002","1","8","2025/02/06 12:00:00","0","イベント後編クエスト N-3をクリアしよう","1","2","1","0"
"17","30","91002","101","202","9003","10120217","20217","601","2","0","6114","22002","1","8","2025/02/06 12:00:00","0","イベント後編クエスト N-4をクリアしよう","1","2","1","0"
"18","30","91002","101","202","9003","10120218","20218","601","2","0","6114","22002","1","8","2025/02/06 12:00:00","0","イベント後編クエスト N-5をクリアしよう","1","2","1","0"
"19","30","91002","101","202","9003","10120219","20219","601","2","0","6114","22002","1","8","2025/02/06 12:00:00","0","イベント後編クエスト N-6をクリアしよう","1","2","1","0"
"20","30","91002","101","202","9003","10120220","20220","601","2","0","6114","22002","1","8","2025/02/06 12:00:00","0","イベント後編クエスト N-7をクリアしよう","1","2","1","0"
"21","30","91002","101","202","9003","10120221","20221","601","2","0","6114","22002","1","8","2025/02/06 12:00:00","0","イベント後編クエスト N-8をクリアしよう","1","2","1","0"
"22","30","91002","101","202","9003","10120222","20222","601","2","0","6114","22002","1","8","2025/02/06 12:00:00","0","イベント後編クエスト N-9をクリアしよう","1","2","1","0"
"23","30","91002","101","202","9003","10120223","20223","601","2","0","6114","22002","1","8","2025/02/06 12:00:00","0","イベント後編クエスト N-10をクリアしよう","1","2","1","0"
"24","60","91002","101","202","9003","10120224","20224","601","2","0","6114","22002","1","8","2025/02/06 12:00:00","0","イベント後編クエスト H-1をクリアしよう","1","2","3","0"
"25","60","91002","101","202","9003","10120225","20225","601","2","0","6114","22002","1","8","2025/02/06 12:00:00","0","イベント後編クエスト H-2をクリアしよう","1","2","3","0"
"26","60","91002","101","202","9003","10120226","20226","601","2","0","6114","22002","1","8","2025/02/06 12:00:00","0","イベント後編クエスト H-3をクリアしよう","1","2","3","0"
"1","50","91002","101","203","9019","10120301","20301","601","2","750000","6115","90005","1","8","2025/01/31 12:00:00","12","前編ボスバトル（SCENARIO）をクリアしよう","1","2","10","94002"
"1","50","91002","101","204","9028","10120401","20401","601","2","750000","6115","90005","1","8","2025/02/06 12:00:00","12","後編ボスバトル（SCENARIO）をクリアしよう","1","2","10","94002"
"1","30","91002","101","301","9016","10130101","30101","601","3","0","6116","62001","1","8","2025/01/31 12:00:00","0","前編ボスバトル（SPECIAL）のMODE1をクリアしよう","1","2","200","0"
"2","30","91002","101","302","9016","10130201","30201","601","3","0","6116","62001","1","8","2025/01/31 12:00:00","0","前編ボスバトル（SPECIAL）のMODE2をクリアしよう","1","2","200","0"
"3","30","91002","101","303","9016","10130301","30301","601","3","0","6116","94002","1","8","2025/01/31 12:00:00","0","前編ボスバトル（SPECIAL）をクリアしよう","1","12","120000","0"
"5","100","91002","101","304","9015","10130401","30401","601","3","0","6116","0","1","8","2025/01/31 12:00:00","0","前編ボスバトル（SPECIAL）を挑戦回数5回以内でクリアしよう","1","0","0","0"
"1","500000","94002","101","305","9026","10130501","30501","601","3","0","6117","0","1","12","2025/01/31 12:00:00","0","前編ボスバトル（SPECIAL＋）のMODE1をクリアしよう","1","0","0","0"
"2","500000","94002","101","306","9026","10130601","30601","601","3","0","6117","0","1","12","2025/01/31 12:00:00","0","前編ボスバトル（SPECIAL＋）のMODE2をクリアしよう","1","0","0","0"
"5","20","140001","101","307","9027","10130701","30701","601","3","0","6117","94002","1","4","2025/01/31 12:00:00","0","前編ボスバトル（SPECIAL＋）を挑戦回数5回以内でクリアしよう","1","12","1000000","0"
"1","30","91002","101","308","9029","10130801","30801","601","3","0","6116","62001","1","8","2025/02/06 12:00:00","0","後編ボスバトル（SPECIAL）のMODE1をクリアしよう","1","2","200","0"
"2","30","91002","101","309","9029","10130901","30901","601","3","0","6116","62001","1","8","2025/02/06 12:00:00","0","後編ボスバトル（SPECIAL）のMODE2をクリアしよう","1","2","200","0"
"3","30","91002","101","310","9029","10131001","31001","601","3","0","6116","94002","1","8","2025/02/06 12:00:00","0","後編ボスバトル（SPECIAL）をクリアしよう","1","12","120000","0"
"5","100","91002","101","311","9030","10131101","31101","601","3","0","6116","0","1","8","2025/02/06 12:00:00","0","後編ボスバトル（SPECIAL）を挑戦回数5回以内でクリアしよう","1","0","0","0"
"1","500000","94002","101","312","9031","10131201","31201","601","3","0","6117","0","1","12","2025/02/06 12:00:00","0","後編ボスバトル（SPECIAL＋）のMODE1をクリアしよう","1","0","0","0"
"2","500000","94002","101","313","9031","10131301","31301","601","3","0","6117","0","1","12","2025/02/06 12:00:00","0","後編ボスバトル（SPECIAL＋）のMODE2をクリアしよう","1","0","0","0"
"5","20","140001","101","314","9032","10131401","31401","601","3","0","6117","94002","1","4","2025/02/06 12:00:00","0","後編ボスバトル（SPECIAL＋）を挑戦回数5回以内でクリアしよう","1","12","1000000","0"
