d30c8bfc91e4bf3340a5a9c8813c0174055a117a6ca39367412de5cc98316c42,d88575617ad77f0c9bee7c5754b2a17d59fc30b76abe36dc73deffe728465fde,4a3d82606daf94c041fb89e192bcf8691b7bea6ae17cab8113f76cad070e3f63,27e67476dced2b5aa0f3afc3da11b42753f3968135e4e81d508572526598754c,1ac054b7f9d542c4527cbf7b7fbc4ea2efb3239d5df7b1a36ffdb7ca7b5d0b24,f2f3b0bb171e992b3fa08e81d933c35397748a28abdcf0fb42af29f3b249d9c1,42f4f722318e7f2a7f7ac0fc36a343dbe085dc318c11a3c30aac300221377fa6,1feb15997b4a66974990cbb793d815204c10556a0cc8a7b5d94fc39b2f1ec186,3cc10aa9d29a65e1aab8561e590b1f208843092a288972df33417d09d3744458,564da509c75eba5446b0016808c04e11b828e925c218d43c4cc213f9ea096c3d,f1c3925ff9da44f4733d6be600c3092d68a57acaabebb896b8337b04c7523b5c
"3","91","","","","3017","","","","","0"
"3","3","drama_idle","","","3018","0.2","","1","","129811"
"3","3","drama_idle","","","3019","0.2","","1","","129911"
"4","1","129811","1","167","4001","1.65","-224","100","drama_idle","1"
"4","1","129911","0","-49","4002","1.65","-224","100","drama_idle","1"
"4","3","drama_idle","","","4003","0.2","","1","","129911"
"4","3","drama_talk_doya_in_shy","","drama_talk_doya_loop_shy","4004","0.2","1","0","","129811"
"4","21","vo_minigame_1013_top_talk_4_000","","0","4005","","","0","","vo_minigame_1013"
"4","11","あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ","0","1","4006","0","0","7","0.3","129811"
"4","91","","","","4007","","","","","0"
"4","3","drama_idle_doya_shy","","","4008","0.2","","1","","129811"
"4","3","drama_talk_wish_in","","drama_talk_wish_loop","4009","0.2","1","0","","129911"
"4","21","vo_minigame_1013_top_talk_4_001","","0","4010","","","0","","vo_minigame_1013"
"4","11","信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…","0","1","4011","0","0","5","0.5","129911"
"4","91","","","","4012","","","","","0"
"4","3","drama_idle_wish","","","4013","0.2","","1","","129911"
"4","3","drama_idle_thinking_shy","","","4014","0.2","0","1","","129811"
"4","21","vo_minigame_1013_top_talk_4_002","","0","4015","","","0","","vo_minigame_1013"
"4","11","（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）","0","1","4016","0","0","8","0","129811"
"4","91","","","","4017","","","","","0"
"4","3","drama_idle","","","4018","0.2","","1","","129911"
"4","3","drama_idle","","","4019","0.2","","1","","129811"
"5","1","129811","1","167","5001","1.65","-224","100","drama_idle","1"
"5","1","129911","0","-49","5002","1.65","-224","100","drama_idle","1"
"5","3","drama_idle","","","5003","0.2","","1","","129811"
"5","3","drama_talk_thinking","","","5004","0.2","","1","","129911"
"5","21","vo_minigame_1013_top_talk_5_000","","0","5005","","","0","","vo_minigame_1013"
"5","11","訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ","0","1","5006","0","0","6","0.8","129911"
"5","91","","","","5007","","","","","0"
"5","3","drama_idle_thinking","","","5008","0.2","","1","","129911"
"5","3","drama_talk_wonder_in","","drama_talk_wonder_loop","5009","0.2","1","0","","129811"
"5","21","vo_minigame_1013_top_talk_5_001","","0","5010","","","0","","vo_minigame_1013"
"5","11","動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ","0","1","5011","0","0","7","0.3","129811"
"5","91","","","","5012","","","","","0"
"5","3","drama_idle_wonder","","","5013","0.2","","1","","129811"
"5","3","drama_talk_memory","","","5014","0.2","","1","","129911"
"5","21","vo_minigame_1013_top_talk_5_002","","0","5015","","","0","","vo_minigame_1013"
"5","11","「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…","0","1","5016","0","0","5","0.5","129911"
"5","91","","","","5017","","","","","0"
"5","3","drama_idle","","","5018","0.2","","1","","129811"
"5","3","drama_idle","","","5019","0.2","","1","","129911"
"6","1","129811","1","167","6001","1.65","-224","100","drama_idle","1"
"6","1","129911","0","-49","6002","1.65","-224","100","drama_idle","1"
"6","3","drama_idle","","","6003","0.2","","1","","129911"
"6","3","drama_talk_thinking_shy","","","6004","0.2","","1","","129811"
"6","21","vo_minigame_1013_top_talk_6_000","","0","6005","","","0","","vo_minigame_1013"
"6","11","あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…","0","1","6006","0","0","8","0.3","129811"
"6","91","","","","6007","","","","","0"
"6","3","drama_idle_thinking_shy","","","6008","0.2","","1","","129811"
"6","3","drama_talk_doubt_in","","drama_talk_doubt_loop","6009","0.2","1","0","","129911"
"6","21","vo_minigame_1013_top_talk_6_001","","0","6010","","","0","","vo_minigame_1013"
"6","11","マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが","0","1","6011","0","0","6","0.8","129911"
"6","91","","","","6012","","","","","0"
"6","3","drama_idle_doubt","","","6013","0.2","","1","","129911"
"6","3","drama_talk_surprise_in_shy","","drama_talk_surprise_loop_shy","6014","0.2","1","0","","129811"
"6","21","vo_minigame_1013_top_talk_6_002","","0","6015","","","0","","vo_minigame_1013"
"6","11","いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！","0","1","6016","0","0","9","0.3","129811"
"6","91","","","","6017","","","","","0"
"6","3","drama_idle","","","6018","0.2","","1","","129911"
"6","3","drama_idle","","","6019","0.2","","1","","129811"
"7","1","129811","1","167","7001","1.65","-224","100","drama_idle","1"
"7","1","129911","0","-49","7002","1.65","-224","100","drama_idle","1"
"7","3","drama_idle","","","7003","0.2","","1","","129811"
"7","3","drama_talk_arm_crossed_in","","drama_talk_arm_crossed_loop","7004","0.2","1","0","","129911"
"7","21","vo_minigame_1013_top_talk_7_000","","0","7005","","","0","","vo_minigame_1013"
"7","11","私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです","0","1","7006","0","0","6","0.3","129911"
"7","91","","","","7007","","","","","0"
"7","3","drama_idle_arm_crossed","","","7008","0.2","","1","","129911"
"7","3","drama_talk_guts2_in","","drama_talk_guts2_loop","7009","0.2","1","0","","129811"
"7","21","vo_minigame_1013_top_talk_7_001","","0","7010","","","0","","vo_minigame_1013"
"7","11","エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ","0","1","7011","0","0","6","0","129811"
"7","91","","","","7012","","","","","0"
"7","3","drama_idle_guts2","","","7013","0.2","","1","","129811"
"7","3","drama_talk_thinking","","","7014","0.2","","1","","129911"
"7","21","vo_minigame_1013_top_talk_7_002","","0","7015","","","0","","vo_minigame_1013"
"7","11","彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ","0","1","7016","0","0","6","0.5","129911"
"7","91","","","","7017","","","","","0"
"7","3","drama_idle","","","7018","0.2","","1","","129811"
"7","3","drama_idle","","","7019","0.2","","1","","129911"
"8","1","129811","1","167","8001","1.65","-224","100","drama_idle","1"
"8","1","129911","0","-49","8002","1.65","-224","100","drama_idle","1"
"8","3","drama_idle","","","8003","0.2","","1","","129911"
"8","3","drama_talk_doya_in_smile","","drama_talk_doya_loop_smile","8004","0.2","1","0","","129811"
"8","21","vo_minigame_1013_top_talk_8_000","","0","8005","","","0","","vo_minigame_1013"
"8","11","マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ","0","1","8006","0","0","7","0.3","129811"
"8","91","","","","8007","","","","","0"
"8","3","drama_idle_doya_smile","","","8008","0.2","","1","","129811"
"8","3","drama_talk_arm_crossed_in","","drama_talk_arm_crossed_loop","8009","0.2","1","0","","129911"
"8","21","vo_minigame_1013_top_talk_8_001","","0","8010","","","0","","vo_minigame_1013"
"8","11","訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが","0","1","8011","0","0","5","0.8","129911"
"8","91","","","","8012","","","","","0"
"8","3","drama_idle_arm_crossed","","","8013","0.2","","1","","129911"
"8","3","drama_talk_anger","","","8014","0.2","","1","","129811"
"8","21","vo_minigame_1013_top_talk_8_002","","0","8015","","","0","","vo_minigame_1013"
"8","11","くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！","0","1","8016","0","0","7","0.3","129811"
"8","91","","","","8017","","","","","0"
"8","3","drama_idle","","","8018","0.2","","1","","129811"
"8","3","drama_idle","","","8019","0.2","","1","","129911"
"30","1","129811","1","167","30001","1.65","-224","100","drama_idle","1"
"30","1","129911","0","-49","30002","1.65","-224","100","drama_idle","1"
"30","3","drama_idle","","","30003","0.2","","1","","129811"
"30","3","drama_idle","","","30004","0.2","","1","","129911"
"30","93","0","","","30005","","","","","0.5"
"30","26","","","","30006","","","","","2"
"30","121","10","","1.2","30007","3","0.9","1.2","","-80"
"30","3","drama_joy_eriko","0.2","","30008","0.2","","0","","129911"
"30","140","1","","","30009","","","0","","1"
"31","1","129811","1","167","31001","1.65","-224","100","drama_idle","1"
"31","1","129911","0","-49","31002","1.65","-224","100","drama_idle","1"
"31","3","drama_idle","","","31003","0.2","","1","","129811"
"31","3","drama_idle","","","31004","0.2","","1","","129911"
"31","93","0","","","31005","","","","","0.5"
"31","26","","","","31006","","","","","2"
"31","121","10","","1.2","31007","3","0.9","1.2","","-80"
"31","3","drama_joy_makoto","0.2","","31008","0.2","","0","","129811"
"31","140","2","","","31009","","","0","","1"
"32","5","1","1","320","32001","0.28","28","1","drama_talk_1","0"
"32","5","2","0","228","32002","0.28","28","0","drama_talk_2","0"
"32","5","3","1","45","32003","0.26","64","90","drama_swing","0"
"32","5","4","0","-187","32004","0.3","-23","91","drama_streach","0"
"32","93","0","","","32005","","","","","1"
"32","3","drama_joy","","","32006","0.2","","0","","1"
"32","3","drama_joy","","","32007","0.2","","0","","2"
"32","3","drama_joy","","","32008","0.2","","0","","3"
"32","3","drama_joy","","","32009","0.2","","0","","4"
"32","93","0","","","32010","","","","","1.5"
"33","5","1","1","320","33001","0.28","28","1","drama_talk_1","0"
"33","5","2","0","228","33002","0.28","28","0","drama_talk_2","0"
"33","5","3","1","45","33003","0.26","64","90","drama_swing","0"
"33","5","4","0","-187","33004","0.3","-23","91","drama_streach","0"
