59a1501338a99c7e8998ca7028734d0f0b06b2d15124935ec74e3ce4c4c309bf,c373e920fe0ea0a3452361e298dcac28532dbab18fbe5a9f054d31014360c4c8,fe87c60dc38b675af9764f8e132cf54e6f26b238ab2445b26971884ca08456c3,7827d14d8d11a59ef6fa7656e159a4af969207a449f7fb62ab9f157c8d92098a,4dff51337a10474762928fcc1ff75e8c186c9de80dfca9b27a6c12fffd6834c0,8ca98d64b864b0ad0010ab6dd50969aff07e5f4a443f2e67575985964897f74d,47eb03843e036e02d0a7f0e51406103f7e129c1fbe9791cc0043fc16e25fcff4,9de6382c4bb9c2c7f0dc90a7742250016343839ac1bac9bfb6167eab447216d8,eed32837f8b0e38e64788f3c5b3385b47a04cd2ee7f56c56a6c17a9a9fd48849,e76cdf2b5a69109dbe6cb062facc831faf9a344d48526c4bae6559e6dbb28c84,2914ea74ac76a8988d9ae9f746eb3ad1d6403b99049131b5a41391eb116b10fa,8c062590ee214152a7770ab09fd5c57675712fa647d7840e83cfba17706ec9fd,594913211b75e843b1ca7a1df64f40145f82e6fe85aec090d3885d2aac7c162d
"130911","3","10001502","12","10001501","0","100015","クルル","コスト上限とHPを小アップ","コスト上限を25％アップさせ、HPを15％\nアップさせる。","0","0","0"
"129611","2","0","13","0","0","100016","アネモネ","相手の攻撃力と攻撃速度を小ダウン","敵の攻撃力と攻撃速度を10％ダウンさせる。","0","0","2211601"
"129711","3","0","14","0","0","100017","ネフィ＝ネラ","相手の移動速度を大ダウン","バトル開始から1.5秒間、敵の移動速度を\n50％ダウンさせる。","0","0","2211701"
"130011","1","0","0","0","1","101001","ヤマト","敵に斬撃を飛ばして攻撃する","残りHPが50％以下になった時に発動する。\n３秒間斬撃を飛ばして、大ダメージを与える。","0","0","3110101"
"130111","1","0","0","0","1","101002","ワカナ","スパイク・ブラザーズが敵を弾き飛ばす","残りHPが70％以下になった時に発動する。\nスパイク・ブラザーズが出現し、敵に衝突\nすると小ダメージを与え、吹き飛ばす。","0","0","3110201"
"130211","1","0","0","0","1","101003","フブキ","敵の移動と攻撃を１秒間封じる","バトル開始から３秒後に発動する。\n敵の移動と攻撃を１秒間封じる。","0","0","2110301"
"105811","2","0","0","20101001","1","201010","ペコリーヌ","最大HPをアップ","最大HPを15％アップさせる。","0","0","0"
"106011","2","0","0","0","1","201020","キャル","敵の移動速度をダウン","バトル開始から３秒間、敵の移動速度を15％\nダウンさせる。","0","0","2220201"
"105911","2","0","0","20103001","1","201030","コッコロ","コスト上限をアップ","コスト上限を50％アップさせる。","0","0","0"
"106411","3","0","0","0","1","201040","シェフィ","移動速度をアップ","移動速度を15％アップさせる。","0","0","2220401"
"131311","2","0","0","20105001","1","201050","リリ","攻撃力と移動速度をアップ","攻撃力を25％アップさせ、移動速度を10％\nアップさせる。","0","0","2220501"
"131411","2","0","0","20106001","1","201060","クリア","最大HPと移動速度をアップ","最大HPを25％アップさせ、移動速度を10％\nアップさせる。","0","0","2220601"
"131511","2","0","0","20107001","1","201070","プレシア","コスト上限と移動速度をアップ","コスト上限を25％アップさせ、移動速度を\n10％アップさせる。","0","0","2220701"
"126411","2","0","0","20108001","1","201080","クローチェ","攻撃力と攻撃速度をアップ","攻撃力を25％アップさせ、バトル開始から\n３秒間、攻撃速度を15％アップさせる。","0","0","2220801"
"126511","3","0","0","0","1","201090","ライラエル","攻撃力をアップ","バトル開始から３秒間、攻撃力を25％アップ\nさせる。","0","0","2220901"
"127711","2","0","0","0","1","201100","リンド","攻撃速度と攻撃力をアップ","バトル開始から３秒間、攻撃速度を10％アッ\nプさせ、その後、攻撃力を15％アップさせる。","0","0","2221001"
"127811","2","0","0","0","1","201110","ヴルム","自分の攻撃速度と敵の攻撃力をダウン","バトル開始から３秒間、自分の攻撃速度を10\n％ダウンさせ、その後、敵の攻撃力を15％ダ\nウンさせる。","0","0","2221101"
"130911","3","20112002","0","20112001","1","201120","クルル","コスト上限とHPをアップ","コスト上限を25％アップさせ、HPを50％\nアップさせる。","0","0","0"
"129611","2","0","0","0","1","201130","アネモネ","相手の攻撃力と攻撃速度をダウン","敵の攻撃力と攻撃速度を10％ダウンさせる。","0","0","2221301"
"129711","3","0","0","0","1","201140","ネフィ＝ネラ","相手の移動速度をダウン","バトル開始から1.5秒間、敵の移動速度を\n25％ダウンさせる。","0","0","2221401"
"105811","2","0","0","20115001","1","201150","ペコリーヌ","最大HPをアップ","最大HPを30％アップさせる。","0","0","0"
"106011","2","0","0","0","1","201160","キャル","敵の移動速度をダウン","バトル開始から３秒間、敵の移動速度を20％\nダウンさせる。","0","0","2221601"
"105911","2","0","0","20117001","1","201170","コッコロ","コスト上限をアップ","コスト上限を75％アップさせる。","0","0","0"
"106411","3","0","0","0","1","201180","シェフィ","移動速度をアップ","移動速度を20％アップさせる。","0","0","2221801"
"131311","2","0","0","20119001","1","201190","リリ","攻撃力と移動速度をアップ","攻撃力を50％アップさせ、移動速度を15％\nアップさせる。","0","0","2221901"
"131411","2","0","0","20120001","1","201200","クリア","最大HPと移動速度をアップ","最大HPを50％アップさせ、移動速度を15％\nアップさせる。","0","0","2222001"
"131511","2","0","0","20121001","1","201210","プレシア","コスト上限と移動速度をアップ","コスト上限を30％アップさせ、移動速度を\n15％アップさせる。","0","0","2222101"
"126411","2","0","0","20122001","1","201220","クローチェ","攻撃力と攻撃速度をアップ","攻撃力を50％アップさせ、バトル開始から\n３秒間、攻撃速度を20％アップさせる。","0","0","2222201"
"126511","3","0","0","0","1","201230","ライラエル","攻撃力をアップ","バトル開始から３秒間、攻撃力を30％アップ\nさせる。","0","0","2222301"
"127711","2","0","0","0","1","201240","リンド","攻撃速度と攻撃力をアップ","バトル開始から３秒間、攻撃速度を15％アッ\nプさせ、その後、攻撃力を20％アップさせる。","0","0","2222401"
"127811","2","0","0","0","1","201250","ヴルム","自分の攻撃速度と敵の攻撃力をダウン","バトル開始から３秒間、自分の攻撃速度を10\n％ダウンさせ、その後、敵の攻撃力を20％ダ\nウンさせる。","0","0","2222501"
"130911","3","20126002","0","20126001","1","201260","クルル","コスト上限とHPをアップ","コスト上限を30％アップさせ、HPを50％\nアップさせる。","0","0","0"
"129611","2","0","0","0","1","201270","アネモネ","相手の攻撃力と攻撃速度をダウン","敵の攻撃力と攻撃速度を15％ダウンさせる。","0","0","2222701"
"129711","3","0","0","0","1","201280","ネフィ＝ネラ","相手の移動速度をダウン","バトル開始から1.5秒間、敵の移動速度を\n35％ダウンさせる。","0","0","2222801"
"131311","2","0","0","20129001","1","201290","リリ","攻撃力と移動速度をアップ","攻撃力を50％アップさせ、移動速度を20％\nアップさせる。","0","0","2222901"
"127711","2","0","0","0","1","201300","リンド","攻撃速度と攻撃力をアップ","バトル開始から３秒間、攻撃速度を20％アッ\nプさせ、その後、攻撃力を50％アップさせる。","0","0","2223001"
"105811","2","0","0","20131001","1","201310","ペコリーヌ","最大HPをアップ","最大HPを50％アップさせる。","0","0","0"
"106011","2","0","0","0","1","201320","キャル","敵の移動速度をダウン","バトル開始から３秒間、敵の移動速度を25％\nダウンさせる。","0","0","2223201"
"105911","2","0","0","20133001","1","201330","コッコロ","コスト上限をアップ","コスト上限を100％アップさせる。","0","0","0"
"106411","3","0","0","0","1","201340","シェフィ","移動速度をアップ","移動速度を25％アップさせる。","0","0","2223401"
"131311","2","0","0","20135001","1","201350","リリ","攻撃力と移動速度をアップ","攻撃力を50％アップさせ、移動速度を20％\nアップさせる。","0","0","2223501"
"131411","2","0","0","20136001","1","201360","クリア","最大HPと移動速度をアップ","最大HPを50％アップさせ、移動速度を20％\nアップさせる。","0","0","2223601"
"131511","2","0","0","20137001","1","201370","プレシア","コスト上限と移動速度をアップ","コスト上限を50％アップさせ、移動速度を\n20％アップさせる。","0","0","2223701"
"126411","2","0","0","20138001","1","201380","クローチェ","攻撃力と攻撃速度をアップ","攻撃力を50％アップさせ、バトル開始から\n３秒間、攻撃速度を25％アップさせる。","0","0","2223801"
"126511","3","0","0","0","1","201390","ライラエル","攻撃力をアップ","バトル開始から３秒間、攻撃力を35％アップ\nさせる。","0","0","2223901"
"127711","2","0","0","0","1","201400","リンド","攻撃速度と攻撃力をアップ","バトル開始から３秒間、攻撃速度を20％アッ\nプさせ、その後、攻撃力を25％アップさせる。","0","0","2224001"
"127811","2","0","0","0","1","201410","ヴルム","自分の攻撃速度と敵の攻撃力をダウン","バトル開始から３秒間、自分の攻撃速度を10\n％ダウンさせ、その後、敵の攻撃力を25％ダ\nウンさせる。","0","0","2224101"
"130911","3","20142002","0","20142001","1","201420","クルル","コスト上限とHPをアップ","コスト上限を50％アップさせ、HPを50％\nアップさせる。","0","0","0"
"129611","2","0","0","0","1","201430","アネモネ","相手の攻撃力と攻撃速度をダウン","敵の攻撃力と攻撃速度を20％ダウンさせる。","0","0","2224301"
"129711","3","0","0","0","1","201440","ネフィ＝ネラ","相手の移動速度をダウン","バトル開始から1.5秒間、敵の移動速度を\n75％ダウンさせる。","0","0","2224401"
"105811","2","0","0","20145001","1","201450","ペコリーヌ","最大HPをアップ","最大HPを100％アップさせる。","0","0","0"
"105911","2","0","0","20146001","1","201460","コッコロ","コスト上限をアップ","コスト上限を100％アップさせる。","0","0","0"
"131311","2","0","0","20147001","1","201470","リリ","攻撃力と移動速度をアップ","攻撃力を75％アップさせ、移動速度を30％\nアップさせる。","0","0","2224701"
"126511","3","0","0","0","1","201480","ライラエル","攻撃力をアップ","バトル開始から３秒間、攻撃力を75％アップ\nさせる。","0","0","2224801"
"129711","3","0","0","0","1","201490","ネフィ＝ネラ","相手の移動速度をダウン","バトル開始から1.5秒間、敵の移動速度を\n90％ダウンさせる。","0","0","2224901"
"105811","2","0","0","20150001","1","201500","ペコリーヌ","最大HPをアップ","最大HPを200％アップさせる。","0","0","0"
