b81ef1afee3eb7c125f4f5d457c3a569e0844aa466543505e7cf0d7ea5d3a877,9a15ef77cf37830253e9861c5de38f7c2be24099ec7a4d857e0207857e3650ed,0cf37df91799813817d3a24d98a0ccfcc56934c60b1de7c6446bc50a300104d7,590bf60f567b95d886a8822d02b4bbbad59b25c1c0f951822f185c61388c6a9f,48c1611a613a1ef44037261b73971ae0476df95e14a1598f6e274f4359e1f23f,20a7e8088726208ccf07ac2a042ccf90b9513045bd60a833fbc7c326f0dcb3c8,abb291ff21796c847b1a4d23f514585c9ffca16e74497f05106177e9dcb7d714,f053414e123fda10f71a8be0ed20ab9b01a270cf7de692a905808a8a9278c9ce,2651805e6c44cf2e4b41101da1323112e85a59cd2cf5c5970d9af15da6df1826,404ea14c3c0e4c98a5b5ac6d2b9af72d5e9823c5339b9298335ad4d5b09c3c98,4e2f20306c55f5a5418525306f989680f6b27afddd96f57ee7dec04ea1d0fb58
"1040010","0.2","","104931","4","3","","1","","","02_uek_cmn_idol_def_N"
"1050001","1.3","02_uek_cmn_idol_def_N","1","5","1","0","100","-70","0","105031"
"1050002","1.3","02_uek_cmn_idol_def_N","1","5","1","1","100","70","1","101631"
"1050003","","","105031","5","3","","0","02_uek_05_misaki_loop","-15","02_uek_05_misaki"
"1050004","","","101631","5","3","","0","02_uek_05_suzuna_loop","0","02_uek_05_suzuna"
"1050005","","","105031","5","11","","10","0","","大人の階段を\n登るわよー！"
"1050006","","","0","5","91","","","","0",""
"1050007","","","101631","5","11","","10","0","","うちもモデルの\nてっぺん目指すし！"
"1060001","1.3","02_uek_cmn_idol_def_N","1","6","1","1","100","120","25","100531"
"1060002","1.3","02_uek_cmn_idol_def_N","1","6","1","0","100","-20","5","103731"
"1060003","","","100531","6","3","","1","","","02_uek_cmn_pose04"
"1060004","","","100531","6","11","","10","0","","これくらいの高さで\nへこたれてたら\nヒーロー失格ッス！"
"1060005","","","0","6","91","","","","",""
"1060006","0.2","","103731","6","3","","1","","","02_uek_talk_normal"
"1060007","","","103731","6","11","","10","0","","うん、いい鍛錬に\nなりそうだね\n楽しくなってきたよ"
"1060008","","","0","6","91","","","","",""
"1060009","0.2","","103731","6","3","","1","","","02_uek_cmn_idol_def_N"
"1070001","1.3","02_uek_cmn_idol_def_N","1","7","1","0","100","-60","-20","103831"
"1070002","0.2","","103831","7","3","","1","","","02_uek_07_shiori"
"1070003","","","103831","7","11","","10","","","あれ…お姉ちゃん\nどこに行ったのかな\n…お姉ちゃーん？"
"1080001","1.3","02_uek_08_kuka_loop","1","8","1","0","100","90","40","104531"
"1080002","1","","2","8","31","","90","60","1","2"
"1080003","","","104531","8","11","","10","0","0","あ、足に絡みつく\nツタの感触が\nたまりません～～！"
"1080004","","","0","8","91","","","","",""
"1090001","0.9","05_idle","2","9","1","0","100","-195","-35","105831"
"1090002","1.2","302102_idle","2","9","1","0","1000","150","-30","302102"
"1090003","1","","102","9","31","","150","50","1","15"
"1090004","1","","103","9","31","","150","400","1","16"
"1100001","1.3","01_uek_cmn_idol_def_N","1","10","1","0","100","-160","-25","112531"
"1100002","1.3","01_uek_cmn_idol_def_N","1","10","1","1","100","-40","-5","112431"
"1100003","1.3","01_uek_cmn_idol_def_N","1","10","1","1","100","125","20","112631"
"1100004","","","112631","10","3","","1","","0","01_uek_talk_surprise2"
"1100005","","","112631","10","11","","10","0","0","うっひゃ～…！\n足場が雲になるって\nどういうこと！？"
"1100006","","","0","10","91","","","","",""
"1100007","0.2","","112631","10","3","","1","","0","01_uek_cmn_idol_def_N"
"1100008","","","112431","10","3","","1","","","01_uek_talk_joy1"
"1100009","","","112431","10","11","","10","0","0","なんだか不思議な\n感触してますね～\nふわふわですよ♪"
"1100010","","","0","10","91","","","","",""
"1100011","0.2","","112431","10","3","","1","","","01_uek_cmn_idol_def_N"
"1100012","","","112531","10","3","","1","","","01_uek_talk_normal"
"1100013","","","112531","10","11","","10","0","0","落ちたりはしなそう\nだけど…足元には\n気をつけて進もう"
"1100014","","","0","10","91","","","","",""
"1100015","0.2","","112531","10","3","","1","","","01_uek_cmn_idol_def_N"
"1100016","","","0","10","91","","","","",""
"1110001","1.3","03_uek_cmn_idol_def_N","1","11","1","0","100","-135","-20","104731"
"1110002","1.3","03_uek_cmn_idol_def_N","1","11","1","1","100","100","5","107131"
"1110003","0","","104731","11","3","","0","03_uek_11_jun_loop","1","03_uek_11_jun"
"1110004","0","","107131","11","3","0.2","0","03_uek_cmn_idol_def_N","1","03_uek_11_chris"
"1110005","","","104731","11","11","","10","","0","むむ、視界が白く…\nクリスちゃん、\n気を付けるんだ！"
"1110006","","","0","11","91","","","","",""
"1110007","","","107131","11","11","","10","0","0","ははは、鎧の重さで\n沈んでいるぞ団長☆\nそぉれ一本釣りだ！"
"1110008","","","1.5","11","93","","","","",""
"1110009","","","104731","11","2","","0","1.5","1","-135"
"1110010","","","1110007","11","91","","","","",""
"1120001","1.3","03_uek_cmn_idol_def_N","1","12","1","0","100","-120","-20","101031"
"1120002","1.3","03_uek_cmn_idol_def_N","1","12","1","1","100","10","-5","101431"
"1120003","","","101031","12","3","","1","","0","03_uek_talk_joy1"
"1120004","","","101031","12","11","","10","0","0","かわいい雲さんやね\n一緒に連れて\n帰りたいわぁ♪"
"1120005","","","0","12","91","","","","",""
"1120006","0.2","","101031","12","3","","1","","0","03_uek_cmn_idol_def_N"
"1120007","","","101431","12","3","","1","","0","03_uek_talk_normal"
"1120008","","","101431","12","11","","10","0","0","いくらなんでも\nそれは難しいんじゃ\nないかな…？"
"1120009","","","0","12","91","","","","",""
"1120010","0.2","","101431","12","3","","1","","0","03_uek_cmn_idol_def_N"
"1130001","1.3","01_uek_cmn_idol_def_N","1","13","1","0","100","-165","-45","105831"
"1130002","1.3","01_uek_cmn_idol_def_N","1","13","1","0","100","-45","-20","105931"
"1130003","1.3","01_uek_cmn_idol_def_N","1","13","1","1","100","120","-5","106031"
"1130004","","","105931","13","3","","1","","1","01_uek_talk_normal"
"1130005","","","105931","13","11","","10","0","0","かなり高くまで\n登ってまいりました\nですが…"
"1130006","","","0","13","91","","","","",""
"1130007","0.2","","105931","13","3","","0","01_uek_cmn_idol_def_N","1","01_uek_13_kokkoro"
"1130008","","","106031","13","3","","0","01_uek_13_kyaru_loop","1","01_uek_13_kyaru"
"1130009","","","106031","13","11","","10","0","0","全然頂上が\n見えないじゃない！\nどんだけ高いのよ！"
"1130010","","","0","13","91","","","","",""
"1130011","","","105831","13","3","","1","","0","01_uek_13_peco_loop"
"1130012","","","105831","13","11","","10","0","0","いいじゃないですか\n運動のあとの食事は\nまた格別ですよ☆"
"1130013","","","0","13","91","","","","",""
"1140001","1.3","03_uek_cmn_idol_def_N","1","14","1","0","100","-86","-25","104031"
"1140002","1","","1","14","31","","0","250","1","1"
"1140003","","","104031","14","3","","0","03_uek_14_aoi_loop","1","03_uek_14_aoi"
"1140004","","","104031","14","11","","10","0","0","うう、ぼっちへの\n風当たりが\n強すぎませんか！？"
"1150001","1.3","03_uek_cmn_idol_def_N","1","15","1","0","100","-75","-20","100731"
"1150002","1.3","03_uek_15_father","1","15","1","1","100","65","10","103131"
"1150003","","","100731","15","3","","1","","0","03_uek_15_miyako"
"1150004","","","100731","15","11","","10","0","0","空は気持ちいいの～\nこれが天にも昇る\n気持ちってやつなの"
"1150005","","","0","15","91","","","","",""
"1150006","","","103131","15","3","","1","","0","03_uek_15_father"
"1150007","","","103131","15","11","","10","0","0","ガキんちょもか？\nオレも身体が\n軽くなってきたぞ！"
"1150008","","","0","15","91","","","","",""
"1150009","","","103131","15","3","","1","","0","03_uek_talk_normal"
"1150010","","","103131","15","11","","10","0","0","ミヤコさんは\n本当に昇天しちゃ\nだめですよ…？"
"1150011","","","0","15","91","","","","",""
"1150012","0.2","","103131","15","3","","1","","0","03_uek_cmn_idol_def_N"
"1160001","1.3","01_uek_cmn_idol_def_N","1","16","1","0","100","-110","-45","112431"
"1160002","1.3","01_uek_cmn_idol_def_N","1","16","1","1","100","40","-15","105831"
"1160003","1.3","01_uek_cmn_idol_def_N","1","16","1","1","100","140","10","105931"
"1160004","","","105931","16","3","","0","01_uek_cmn_idol_def_N","0","01_uek_01_kokkoro"
"1160005","","","112431","16","3","","0","01_uek_cmn_idol_def_N","1","01_uek_01_uduki"
"1160006","","","105831","16","3","","0","01_uek_cmn_idol_def_N","1","01_uek_01_peko"
"1160007","","","0","16","91","","","","",""
"1160008","","","105931","16","3","","1","","1","01_uek_talk_normal"
"1160009","","","105931","16","11","","10","0","0","ウヅキさま。先は長\nそうですが、休まな\nくて大丈夫ですか？"
"1160010","","","0","16","91","","","","",""
"1160011","","","105931","16","3","","1","","1","01_uek_cmn_idol_def_N"
"1160012","","","112431","16","3","","1","","","01_uek_talk_joy1"
"1160013","","","112431","16","11","","10","0","0","はい、平気です！\nとっても楽しくって\nやばいです☆"
"1160014","","","1.5","16","93","","","","",""
"1160015","0.2","","112431","16","3","","0","01_uek_16_uduki_loop","1","01_uek_16_uduki"
"1160016","","","1160013","16","91","","","","",""
"1160017","","","105831","16","3","","1","","","01_uek_talk_joy1"
"1160018","","","105831","16","11","","10","0","0","元気いっぱいですね\nウヅキさん、一緒に\n頑張りましょう～☆"
"1160019","","","2.2","16","93","","","","",""
"1160020","0.2","","105831","16","3","","0","01_uek_16_uduki_loop","1","01_uek_16_peco"
"1160021","","","1160018","16","91","","","","",""
"1170001","1.3","03_uek_cmn_idol_def_N","1","17","1","1","300","150","10","102331"
"1170002","1.3","03_uek_cmn_idol_def_N","1","17","1","0","100","-100","-15","102131"
"1170003","0","","3","17","31","","20","10","1.3","3"
"1170004","0.2","","102331","17","3","0.2","0","03_uek_17_ayane_loop","1","03_uek_17_ayane"
"1170005","0.2","","102131","17","3","","0","03_uek_cmn_idol_def_N","1","03_uek_cmn_pose05"
"1170006","","","3","17","32","","","","","1"
"1170007","","","102331","17","11","","10","0","0","見て見て！\n雲でぷうきちを\n作ったよー！"
"1170008","","","0","17","91","","","","",""
"1170009","0.2","","102131","17","3","","1","","","03_uek_talk_joy1"
"1170010","","","102131","17","11","","10","0","0","わぁ、すご～い…！\n私も何か\n作りたいなぁ…♪"
"1170011","","","0","17","91","","","","",""
"1170012","0.2","","102131","17","3","","1","","","03_uek_cmn_idol_def_N"
"1180001","1.3","01_uek_cmn_idol_def_N","1","18","1","0","100","229","45","112631"
"1180002","1.3","01_uek_cmn_idol_def_N","1","18","1","0","110","170","20","105831"
"1180003","1.3","01_uek_cmn_idol_def_N","1","18","1","0","100","-85","-10","105931"
"1180004","","","112631","18","3","","0","01_uek_18_mio_loop","1","01_uek_18_mio"
"1180005","","","112631","18","11","","10","0","0","だいぶ登ったね～\nちょっと下のほう\n見てみようよ！"
"1180006","","","0","18","91","","","","",""
"1180007","","","105831","18","3","","0","01_uek_18_mio_loop","1","01_uek_18_mio"
"1180008","","","105831","18","11","","10","0","0","そうですね！\nえーと、どれどれ…\nって、わわわわ！"
"1180009","","","3","18","93","","","","",""
"1180010","","","105831","18","2","","5","2","1","170"
"1180011","","","1180008","18","91","","","","",""
"1180012","","","105931","18","3","","0","01_uek_cmn_idol_def_N","1","01_uek_18_kokkoro"
"1180013","","","105931","18","11","","10","0","0","ふふ、お二人とも\nはしゃがれて、楽し\nそうでございますね"
"1190001","1.3","02_uek_19_hatsune","1","19","1","0","100","402","110","101231"
"1190002","1.3","02_uek_talk_surprise2","1","19","1","0","100","166","30","103831"
"1190003","0.2","","103831","19","3","","1","","0","02_uek_talk_surprise2"
"1190004","","","103831","19","11","","10","0","0","あ！　お姉ちゃん！\nこんなところで\n寝ちゃ危ないよー！"
"1190005","","","0","19","91","","","","",""
"1190006","","","101231","19","11","","10","0","0","しおりんの声が\n聞こえたような…\nすやぁ…☆"
"1200001","0.9","05_idle","2","20","1","0","100","-195","-35","105831"
"1200002","1.4","304602_idle","2","20","1","0","1000","150","30","304602"
"1200003","1","","102","20","31","","150","50","1","17"
"1200004","1","","103","20","31","","150","400","1","18"
"1210001","1.3","01_uek_21_kokkoro_loop","1","21","1","0","110","185","25","105931"
"1210002","1.3","01_uek_21_rin_loop","1","21","1","0","120","65","-5","112531"
"1210003","1.3","01_uek_cmn_idol_def_N","1","21","1","0","100","-140","-35","106031"
"1210004","","","105931","21","11","","10","0","0","風が心地よいですね\n優しく、囁きかけて\nいるように感じます"
"1210005","","","0","21","91","","","","",""
"1210006","","","112531","21","11","","10","0","0","上に向かう私たちに\n蒼い風が語りかけて\nきてるのかもね…"
"1210007","","","0","21","91","","","","",""
"1210008","","","106031","21","3","","0","01_uek_cmn_idol_def_N","1","01_uek_21_kyaru"
"1210009","","","106031","21","11","","10","0","0","…あんたたち\nなんか妙なところで\nシンクロしてるわね"
"1210010","","","0","21","91","","","","",""
"1220001","1.3","01_uek_cmn_idol_def_N","1","22","1","0","100","180","40","105831"
"1220002","1","","4","22","31","","420","250","1.3","4"
"1220003","0.2","","105831","22","3","","1","","","01_uek_cmn_pose03"
"1220004","","","105831","22","11","","10","0","0","おにぎり型の雲って\nどんな味がするんで\nしょう…じゅるり☆"
"1220005","","","0","22","91","","","","",""
"1230001","1.3","03_uek_cmn_idol_def_N","1","23","1","0","100","33","5","105231"
"1230002","1.3","03_uek_23_rin","1","23","1","0","1010","200","40","102631"
"1230003","1.3","03_uek_cmn_idol_def_N","1","23","1","0","100","-110","-25","103331"
"1230004","1","","5","23","31","","220","32","1","5"
"1230005","0.2","","102631","23","3","","1","","","03_uek_23_rin"
"1230006","","","102631","23","11","","10","0","0","この雲、ふかふかで\n気持ちいい～\nぐっすり眠れそう～"
"1230007","","","0","23","91","","","","",""
"1230008","","","102631","23","2","","40","45","0","1100"
"1230009","","","5","23","33","","32","45","0","1120"
"1230010","0.2","","105231","23","3","","1","","","03_uek_cmn_pose04"
"1230011","0.2","","103331","23","3","","1","","","03_uek_talk_surprise2"
"1230012","","","105231","23","11","","10","0","0","リンちゃんの寝てる\n雲が流されてるわ！\nど、どうしよう！"
"1230013","","","0","23","91","","","","",""
"1230014","","","103331","23","11","","10","0","0","干し草のほうが\nふかふかだべー！\n戻ってくるべさー！"
"1230015","","","0","23","91","","","","",""
"1240001","1.3","03_uek_24_ayumi","1","24","1","0","10","-240","-45","105531"
"1240002","","","105531","24","3","","1","","0","03_uek_24_ayumi"
"1240003","","","105531","24","11","","10","0","0","あっ、あそこに\n先輩がいる\nじーーーー…"
"1250001","1.3","03_uek_cmn_idol_def_N","1","25","1","1","100","175","15","103631"
"1250002","1.3","03_uek_cmn_idol_def_N","1","25","1","0","100","-36","-10","100431"
"1250003","1.3","03_uek_cmn_idol_def_N","1","25","1","0","100","-158","-45","102031"
"1250004","","","102031","25","3","","1","","0","03_uek_cmn_pose06"
"1250005","","","102031","25","11","","10","0","0","お空で遊ぶのって\nすごく気持ちいいね\nるんたった～♪"
"1250006","","","0","25","91","","","","",""
"1250007","","","100431","25","3","","0","03_uek_25_misogi_loop","1","03_uek_25_misogi"
"1250008","","","100431","25","11","","10","0","0","うん！　キョウカも\nそう思うでしょー？\n…わぁっ！"
"1250009","","","103631","25","3","","1","03_uek_25_kyouka_loop","0","03_uek_25_kyouka"
"1250010","","","0","25","91","","","","",""
"1250011","","","103631","25","11","","10","0","0","ちょっとミソギ！\n落ちたら危ないから\nおどかさないでよ！"
"1250012","","","0","25","91","","","","",""
"1270001","1.3","01_uek_cmn_idol_def_N","1","27","1","0","100","-179","-43","104831"
"1270002","1.3","01_uek_27_tamaki_loop","1","27","1","0","100","0","-14","104631"
"1270003","1.3","01_uek_cmn_idol_def_N","1","27","1","1","100","200","24","103231"
"1270004","","","104631","27","11","","10","0","0","はぁはぁ…\nも、もう限界にゃ…\n帰りたいにゃ…"
"1270005","","","0","27","91","","","","",""
"1270006","","","104831","27","3","","0","01_uek_talk_normal","1","01_uek_cmn_pose02"
"1270007","","","104831","27","11","","10","0","0","効率的な体力配分で\n登れば、これくらい\n楽勝のはずよ"
"1270008","","","0","27","91","","","","",""
"1270009","0.3","","104831","27","3","","1","","0","01_uek_cmn_idol_def_N"
"1270010","","","103231","27","3","","1","","0","01_uek_27_akino_loop"
"1270011","","","103231","27","11","","10","0","0","おーっほっほっほ！\nいい眺めですわ！\n先が楽しみですわね"
"1280001","1.3","04_uek_cmn_idol_def_N","1","28","1","0","110","0","-10","102931"
"1280002","1.3","04_uek_cmn_idol_def_N","1","28","1","0","120","-120","-30","104231"
"1280003","1.3","04_uek_cmn_idol_def_N","1","28","1","0","100","120","10","105431"
"1280004","0","","6","28","31","","35","10","1.3","6"
"1280005","0","","6","28","31","","-85","-10","1.3","9"
"1280006","0","","6","28","31","","155","30","1.3","10"
"1280007","0.2","","102931","28","3","","1","","","04_uek_28_nozomi"
"1280008","0.2","","104231","28","3","","1","","","04_uek_28_chika"
"1280009","0.2","","105431","28","3","","1","","","04_uek_28_tsumugi"
"1280010","","","6","28","32","","","","","1"
"1280011","","","9","28","32","","","","","1"
"1280012","","","10","28","32","","","","","1"
"1280013","","","102931","28","11","","10","0","0","空の上でも\nカルミナ…\nオンステージ！"
"1280014","","","0","28","91","","","","",""
"1280015","","","104231","28","11","","10","0","0","風が気持ちいい…！\n精霊たちも\n楽しそうです！"
"1280016","","","0","28","91","","","","",""
"1280017","","","105431","28","11","","10","0","0","最っ高ですね！\nアンコールまで\n駆け抜けましょう！"
"1280018","","","0","28","91","","","","",""
"1290001","1.3","03_uek_cmn_idol_def_N","1","29","1","0","100","-40","-10","101531"
"1290002","1.3","03_uek_cmn_idol_def_N","1","29","1","1","100","95","10","101831"
"1290003","","","101831","29","3","","1","","0","03_uek_talk_joy1"
"1290004","","","101831","29","11","","10","0","0","気持ちいいところね\n遠足で生徒たちも\n連れてこようかしら"
"1290005","","","0","29","91","","","","",""
"1290006","0.3","","101831","29","3","","1","","0","03_uek_cmn_idol_def_N"
"1290007","0.3","","101531","29","3","","1","","0","03_uek_talk_joy1"
"1290008","","","101531","29","11","","10","0","0","あらあら～、じゃあ\n里の子どもたちも\nご一緒したいです～"
"1290009","","","0","29","91","","","","",""
"1290010","0.3","","101531","29","3","","1","","0","03_uek_cmn_idol_def_N"
"1300001","0.9","05_idle","2","30","1","0","100","-195","-35","105831"
"1300002","1.5","307505_idle","2","30","1","0","1000","150","-50","307505"
"1300003","1","","102","30","31","","150","50","1","19"
"1300004","1","","103","30","31","","150","400","1","20"
"1300005","0","","307505","30","3","","0","307505_idle","1","307505_awake"
"1310001","1.3","01_uek_cmn_idol_def_N","1","31","1","0","110","140","10","105831"
"1310002","1.3","01_uek_cmn_idol_def_N","1","31","1","0","110","20","0","105931"
"1310003","1.3","01_uek_26_kyaru_loop","1","31","1","0","110","-200","-55","106031"
"1310004","","","1","31","93","","","","",""
"1310005","","","105831","31","4","","","","","1"
"1310006","0","","105831","31","3","","1","","","01_uek_cmn_pose04"
"1310007","","","105831","31","11","","10","","","見てください！\nお星様の世界です！\nすごい景色ですね☆"
"1310008","","","2.3","31","93","","","","",""
"1310009","0.2","","105831","31","3","","0","","0","01_uek_cmn_idol_def_N"
"1310010","","","1310007","31","91","","","","",""
"1310011","0.2","","105831","31","3","","1","","0","01_uek_cmn_idol_def_N"
"1310012","","","105931","31","3","","1","","","01_uek_talk_normal"
"1310013","","","105931","31","11","","10","","","本当に素晴らしい\n場所でございます\n堪能いたしましょう"
"1310014","","","0","31","91","","","","",""
"1310015","0.2","","105931","31","3","","1","","","01_uek_cmn_idol_def_N"
"1310016","","","106031","31","11","","10","","","何落ち着いてるのよ\nおかしいでしょ\nなんか色々と…！"
"1320001","1.3","02_uek_32_kuka_loop","1","32","1","1","100","255","91","104531"
"1320002","1.3","02_uek_cmn_idol_def_N","1","32","1","0","100","-97","-29","105331"
"1320003","1.3","02_uek_cmn_idol_def_N","1","32","1","0","100","50","0","103031"
"1320004","0.5","","104531","32","3","","0","","0","02_uek_32_kuka"
"1320005","0.5","","105331","32","3","","0","02_uek_talk_surprise2","1","02_uek_cmn_shock_def_N"
"1320006","0.5","","103031","32","3","","0","02_uek_talk_surprise2","1","02_uek_cmn_shock_def_N"
"1320007","","","0","32","91","","","","",""
"1320008","0.5","","103031","32","3","","1","","0","02_uek_talk_surprise2"
"1320009","","","103031","32","11","","10","0","0","せっかく見つけた\nクウカがまた\n飛んでマス！"
"1320010","","","0","32","91","","","","",""
"1320011","0.5","","105331","32","3","","1","","0","02_uek_talk_surprise2"
"1320012","","","105331","32","11","","10","0","0","やっぱりよろこんで\nなかったか！？"
"1330001","1.3","02_uek_cmn_idol_def_N","1","33","1","1","100","0","0","100831"
"1330002","1","","7","33","31","","-120","130","1.3","7"
"1330003","0.2","","100831","33","3","","0","02_uek_33_yuki_loop","1","02_uek_33_yuki"
"1330004","","","100831","33","11","","10","0","0","星の輝きを浴びた\nボクはまた一段と\n美しいね…"
"1330005","","","0","33","91","","","","",""
"1340001","1.3","02_uek_cmn_idol_def_N","1","34","1","1","110","10","0","100931"
"1340002","1.3","02_uek_cmn_idol_def_N","1","34","1","1","110","180","10","101331"
"1340003","","","1","34","93","","","","",""
"1340004","0.2","","101331","34","3","0.2","1","02_uek_cmn_idol_def_N","1","02_uek_cmn_pose01"
"1340005","","","101331","34","11","","10","0","0","ウチュウキター！\nテンション爆上がり\nですしおすし！"
"1340006","","","0","34","91","","","","",""
"1340007","0.2","","100931","34","3","0","0","02_uek_34_anna_loop","1","02_uek_34_anna"
"1340008","","","100931","34","11","","10","0","0","くくく…星の力を\n強く感じるぞ！\n覚醒の時は近い…！"
"1350001","1.3","01_uek_cmn_idol_def_N","1","35","1","1","100","-200","-60","100231"
"1350002","1.3","01_uek_cmn_idol_def_N","1","35","1","1","100","0","10","100331"
"1350003","1.3","01_uek_cmn_idol_def_N","1","35","1","1","100","200","20","100131"
"1350004","1","","8","35","31","","0","270","1","8"
"1350005","0.2","","100231","35","3","0.2","0","01_uek_35_yui_loop","1","01_uek_35_yui"
"1350006","0.2","","100331","35","3","0.2","0","01_uek_35_rei_loop","1","01_uek_35_rei"
"1350007","0.2","","100131","35","3","","1","","","01_uek_cmn_pose03"
"1350008","","","100231","35","11","","10","0","0","見て、流れ星…！\nみんなで願い事を\nしようよ"
"1350009","","","0","35","91","","","","",""
"1350010","","","100331","35","11","","10","0","0","ああ、そうだね\n私たちにぴったりな\nシチュエーションだ"
"1350011","","","0","35","91","","","","",""
"1350012","","","100131","35","11","","10","0","0","さんせーい！\nじゃあ、あたしは…\nうーん、うーん…！"
