e738441c408fc287f92d02c598cb547e7ed18f04390489608e7726326213b7c9,22fce6a579c86ffc64fb044eff0097a90aeaa15b12d5dbde4c03811390304c4c,225f3b27aadec9a7a81751c4e7fbaf52e9130aa9b643e612b0c373c7658ed45b,ecdad2f63c53eba1fb5614f04ba99d53d4f44f6c912cd501b376f49196f20916,f0e1ebb11f7336d5a1a1c640e1dd4eaf70111652836b834576787e6921bff113,3ede4e126346332e11c11e4c25dec83ffb24ed338483a06e945b87f8c58b416a,c411eb517ee1bb05314ee03aa0139ce0d09ce330535c64dc36c1bb1faba71e83,0f6d15b02a5c5220b6ed63a92a51492e32a370032b9f74bb45df6aeef34abd37,af9f596c0d318fcbbe51be240376aaa964429d407a990bd1d54fa1bb8e4e499d,53acc1966ac0c81fbcf8b6d4a57491ba459371f00b73fcc7866f975ae6caf4ff,e7b5f3e321d3c667e39e410fd07c1c68ea8e6da8ff19eb2843f631d82ef82d6e,36f6a9375777680bf899bce8b62d484040b8553f16f1c63c812db68b4e09703e,de43f09d06ad5c604dcf0228f5dc635ebd259ee361674f4c8e269ad92f10841a,3f436ee47d4b43df35955f6dd671c3ea1e265f607a1383dd5be0bdd35187d4a1,2faa3700d56af41605bbb24722a484cae72270dc17ee07339c49814c8cae80e4,58d71ab6e40ae6ade4778a6d1fa879e15c9de1953dc238d711364209c56d6986,e9e9d0f5781dc77f98a19ddac22e9adb006af97a05e146478d7722f8d38ae0f7
"52011","51011","莉玛的不可思议甜苹果","莉玛的\n不可思议甜苹果","莉玛用似似花给的苹果制作的秘密\n甜食。清爽的酸味和浓郁的甜味\n仿佛魔法一般相辅相成，达成了奇妙的平衡。\n能让食用的人瞬间为之着迷。","下一次投掷骰子的结果必定是“2”，再下一次投掷骰子的结果必定是“7”。","获得一张抽奖券。","500","1","7","1","2","0","3","0","10","3"
"52012","51012","妮侬的独创一二三寿司","妮侬的独创\n一二三寿司","妮侬带到吉奥·特尔哥尼亚的特别\n寿司。虽然是采用了严格挑选的新鲜海鲜制成的杰作。\n但部分食材脱离了一般寿司的理念，\n是按照妮侬自己的方式制作的。","下次投掷骰子的结果会是“1、2、3”其中的一个。并且跳过对下一个回合的计数。","获得1个平凡的未鉴定宝藏。","500","1","3","30002","1","0","2","0","10","1"
"52013","51013","克蕾琪塔的开运点心拼盘","克蕾琪塔的\n开运点心拼盘","克蕾琪塔发明的，在吉奥·特尔哥尼亚流通的\n巧克力钱币的拼盘。粗略一看\n可能会被当成吃金币的笨蛋，\n但它隐藏着吃货币这种违反道德的刺激感。","开启品级为2的里程商店。","获得800里程。","500","3","8","2","0","0","3","0","10","4"
"52014","51014","璃乃的“时间就是金时”刨冰","璃乃的\n“时间就是金时”刨冰","可爱的妹妹为哥哥精心制作的特别刨冰。\n据说只要吃一口，冰凉的\n甜味就能让人精神振奋，\n成为不会放过任何优惠的贤惠母亲。","移动时会跳过里程格子。效果持续两回合。","下次投掷骰子时，会多走一个格子。","500","1","9","1","2","0","2","0","11","1"
"52015","51015","静流的爱意满满汉堡肉","静流的\n爱意满满汉堡肉","姐姐为弟弟精心制作的\n特制汉堡肉。热腾腾的肉汁\n与满满的爱意融合在一起，美味到\n只吃一口就能令人兴奋地奔跑起来。","骰子增加至两个。按照掷出的总数前进。","下次投掷骰子时，会多走一个格子。","500","1","1","2","1","0","1","0","11","1"
"52016","51016","碧的奔跑三明治","碧的奔跑\n三明治","碧做来当便当的精灵族传统蔬菜三明治。\n因为有同行好友们的建议，\n无论多么茂密的森林，她似乎都能\n全速奔跑穿越过去。（碧自称）","下一次投掷骰子的结果必定是“6”。","无","500","1","2","20005","1","0","3","0","0","0"
"52017","51017","空花的紧缚触手生食","空花的紧缚\n触手生食","在空花众多的受虐狂幻想中，以她最近沉迷的\n触手为主题制作的生食料理。\n新鲜的章鱼触须会伴随着浓郁的鲜味缠紧，\n能带来身心都被束缚一般的体验。","[FF7C4E,D62146]【不可覆盖】[-]下一回合不能吃下“移动类的料理”，但能立即获得2000里程。","无","500","1","2","1","2","0","3","1","10","5"
"52018","51018","兰法的热心照料土豆炖肉","兰法的热心照料土豆炖肉","在可可萝的指导下提升了厨艺的兰法\n亲手制作的土豆炖肉。虽然还有改善的余地，\n但考虑到这是笨拙的兰法为了别人\n付出的努力，就会觉得非常好吃。","下一次投掷骰子的结果必定是“3”。","获得1000里程。","500","1","2","20006","1","0","1","0","10","6"
"52019","0","若菜的节俭八分饱咖喱","若菜的节俭八分饱咖喱","班迪姐妹昨天晚饭时吃的咖喱。\n因为做得太多吃不完，所以若菜分给了大家。\n经过一晚上的放置，味道已经充分融入，\n成为了非常可口的隔夜咖喱。","下一次投掷骰子的结果必定是“8”。","无","500","1","2","20007","1","0","1","0","0","0"
"52020","51014","璃乃的“时间就是金时”刨冰","璃乃的\n“时间就是金时”刨冰","可爱的妹妹为哥哥精心制作的特别刨冰。\n据说只要吃一口，冰凉的\n甜味就能让人精神振奋，\n成为不会放过任何优惠的贤惠母亲。","移动时可跳过里程格子。效果持续两回合。","下次投掷骰子时，会多走一个格子。","500","2","9","1","2","0","2","0","11","1"
"52021","51021","香澄的揭示真相的巧克力夹心糖","香澄的揭示真相的\n巧克力夹心糖","装在华丽装饰盒里的巧克力夹心糖。\n这种蕴含微苦的浓郁甜味能够激发\n灰色脑细胞的灵感，帮助名侦探用敏锐的推理\n揭开所有谜团，将案件引向完美的解决。","移动时可跳过宝藏格子。效果持续3回合。","获得2个平凡的未鉴定宝藏。","500","2","9","2","3","0","3","0","10","7"
