70019abec53a97300585c024ff11cb3535c6b660080246089873ab558fc9687a,c248443caed05f68b9fc62686343aecc2d567e37083c1f8652573530f63361ae,213fbf6dcbbb75280140709a99dcb8613d3b4a881baaf9b7b458541ea9ccccab,12e1bbdd243ec8387d9de15fcf1c5d120488db6ba51e11422434098285ae0775,72f864af46eab1fbb13f838051fbd5f3d897c7bdaab6a103d815068f9ef48eae,cef2b115c877317083ee174524b77caefa9becb4634a03bd2b78719cc2edebf2,46370b18c5cab3223235174b76256facf92219abe282d178bac604e31675f5ae,29618ee2dafa001c3b0be10abde0a28f3c361b9030db6102b03b3c968f8fe817,b7d9052f767bf4b1c29fc5f631734f1656b518a158f5a1392bf5bf0ba86d8367,7076fbb00d11d10076e84c50f22e93e8785972772446b2575ba081de389d2b82,fbbff6bd8a3c8e7cc27545b86f5f5c2547a9e1414ce07529c474bde2e8e7d49f,2c63172c36aa1ae14c82d42e1d21671467f044c37b5269c4d8df079aae1ce74b
"27","0","0","0","0","50","1007002","5","0","0","0","10006"
"28","0","0","0","0","12","94002","500000","0","0","0","10006"
"29","0","50","1002001","2","50","1002001","5","0","0","0","10006"
"30","1","2","24001","1","2","24001","1","2","22003","50","10006"
"31","0","2","90005","5","2","90005","10","0","0","0","10006"
"32","0","0","0","0","2","23001","20","0","0","0","10006"
"33","0","0","0","0","2","22003","10","0","0","0","10006"
"34","0","12","94002","200000","12","94002","500000","0","0","0","10006"
"35","1","50","1002001","5","50","1002001","10","8","91002","50","10006"
"36","0","51","93002","50","51","93002","100","0","0","0","10006"
"37","0","0","0","0","2","20004","10","0","0","0","10006"
"38","0","0","0","0","50","1007002","5","0","0","0","10006"
"39","0","2","23001","10","2","23001","20","0","0","0","10006"
"40","1","50","1002001","5","2","90005","10","2","20004","30","10006"
"41","0","2","22003","5","2","22003","10","0","0","0","10006"
"42","0","0","0","0","12","94002","500000","0","0","0","10006"
"43","0","0","0","0","50","1002001","5","0","0","0","10006"
"44","0","2","20004","5","2","20004","10","0","0","0","10006"
"45","1","50","1002001","5","2","90005","10","8","91002","50","10006"
"46","0","2","90005","5","2","90005","10","0","0","0","10006"
"47","0","0","0","0","2","23001","20","0","0","0","10006"
"48","0","0","0","0","2","22003","10","0","0","0","10006"
"49","0","50","1007002","3","50","1007002","5","0","0","0","10006"
"50","1","8","91002","30","2","24001","1","4","140001","10","10006"
"51","0","12","94002","200000","12","94002","500000","0","0","0","10006"
"52","0","0","0","0","50","1002001","5","0","0","0","10006"
"53","0","0","0","0","2","20004","10","0","0","0","10006"
"54","0","51","93002","50","51","93002","100","0","0","0","10006"
"55","1","50","1007002","5","50","1007003","1","50","1007003","1","10006"
"56","0","2","90005","5","2","90005","10","0","0","0","10006"
"57","0","0","0","0","50","1007004","5","0","0","0","10006"
"58","0","0","0","0","50","1002001","5","0","0","0","10006"
"59","0","2","23001","10","2","23001","20","0","0","0","10006"
"60","1","50","1002001","5","50","1002001","10","8","91002","50","10006"
"61","0","2","22003","10","2","22003","10","0","0","0","10006"
"62","0","0","0","0","12","94002","500000","0","0","0","10006"
"63","0","0","0","0","51","93002","100","0","0","0","10006"
"64","0","2","20004","5","2","20004","10","0","0","0","10006"
"65","1","50","1002001","5","2","90005","20","8","91002","50","10006"
"66","0","2","90005","5","2","90005","10","0","0","0","10006"
"67","0","0","0","0","2","23001","20","0","0","0","10006"
"68","0","0","0","0","2","22003","10","0","0","0","10006"
"69","0","51","93002","50","50","1007004","5","0","0","0","10006"
"70","1","2","24001","1","2","24001","1","2","22003","100","10006"
"71","0","0","0","0","2","20004","10","0","0","0","10006"
"72","0","0","0","0","2","90005","10","0","0","0","10006"
"73","0","0","0","0","12","94002","500000","0","0","0","10006"
"74","0","0","0","0","51","93002","100","0","0","0","10006"
"75","1","8","91002","30","2","90005","20","4","140001","10","10006"
"76","0","0","0","0","50","1002001","5","0","0","0","10006"
"77","0","0","0","0","50","1007004","5","0","0","0","10006"
"78","0","0","0","0","50","1007003","1","0","0","0","10006"
"79","0","0","0","0","2","90005","10","0","0","0","10006"
"80","1","50","1002001","5","50","1002001","10","8","91002","50","10006"
"81","0","0","0","0","50","1007004","5","0","0","0","10006"
"82","0","0","0","0","12","94002","500000","0","0","0","10006"
"83","0","0","0","0","2","90005","10","0","0","0","10006"
"84","0","0","0","0","51","93002","100","0","0","0","10006"
"85","1","50","1007004","5","50","1007005","1","50","1007005","1","10006"
"86","0","0","0","0","50","1002001","5","0","0","0","10006"
"87","0","0","0","0","50","1007004","5","0","0","0","10006"
"88","0","0","0","0","51","93002","100","0","0","0","10006"
"89","0","0","0","0","2","90005","10","0","0","0","10006"
"90","1","8","91002","30","8","91002","50","2","20004","60","10006"
"91","0","0","0","0","12","94002","500000","0","0","0","10006"
"92","0","0","0","0","50","1002001","5","0","0","0","10006"
"93","0","0","0","0","50","1007004","5","0","0","0","10006"
"94","0","0","0","0","51","93002","100","0","0","0","10006"
"95","1","8","91002","30","2","90005","20","4","140001","10","10006"
"96","0","0","0","0","12","94002","500000","0","0","0","10006"
"97","0","0","0","0","50","1002001","5","0","0","0","10006"
"98","0","0","0","0","50","1007004","5","0","0","0","10006"
"99","0","0","0","0","50","1007005","1","0","0","0","10006"
"100","1","2","24001","1","2","21904","2","2","24002","1","10006"
"1","1","2","90005","5","8","91002","50","4","140001","10","10007"
"2","0","2","23001","10","2","23001","20","0","0","0","10007"
"3","0","2","22003","10","2","22003","20","0","0","0","10007"
"4","0","2","20004","5","2","20004","10","0","0","0","10007"
"5","1","8","91002","30","2","24001","1","2","23001","100","10007"
"6","0","50","1007002","3","50","1007002","5","0","0","0","10007"
"7","0","12","94002","200000","12","94002","500000","0","0","0","10007"
"8","0","51","93002","50","51","93002","100","0","0","0","10007"
"9","0","50","1002001","2","50","1002001","5","0","0","0","10007"
"10","1","8","91002","30","50","1002001","10","8","91002","50","10007"
"11","0","2","90005","5","2","90005","10","0","0","0","10007"
"12","0","2","23001","10","2","23001","20","0","0","0","10007"
"13","0","0","0","0","50","1007002","5","0","0","0","10007"
"14","0","12","94002","200000","12","94002","500000","0","0","0","10007"
"15","1","2","24001","1","2","24001","1","2","22003","50","10007"
"16","0","2","22003","10","2","22003","20","0","0","0","10007"
"17","0","2","20004","5","2","20004","10","0","0","0","10007"
"18","0","0","0","0","51","93002","100","0","0","0","10007"
"19","0","50","1002001","2","50","1002001","5","0","0","0","10007"
"20","1","8","91002","30","2","24001","1","2","90005","10","10007"
"21","0","2","23001","10","2","23001","20","0","0","0","10007"
"22","0","0","0","0","12","94002","500000","0","0","0","10007"
"23","0","0","0","0","51","93002","100","0","0","0","10007"
"24","0","2","22003","10","2","22003","20","0","0","0","10007"
"25","1","8","91002","30","8","91002","50","2","20004","30","10007"
"26","0","2","20004","5","2","20004","10","0","0","0","10007"
"27","0","0","0","0","50","1007002","5","0","0","0","10007"
"28","0","0","0","0","12","94002","500000","0","0","0","10007"
"29","0","50","1002001","2","50","1002001","5","0","0","0","10007"
"30","1","2","24001","1","2","24001","1","2","22003","50","10007"
"31","0","2","90005","5","2","90005","10","0","0","0","10007"
"32","0","0","0","0","2","23001","20","0","0","0","10007"
"33","0","0","0","0","2","22003","10","0","0","0","10007"
"34","0","12","94002","200000","12","94002","500000","0","0","0","10007"
"35","1","50","1002001","5","50","1002001","10","8","91002","50","10007"
"36","0","51","93002","50","51","93002","100","0","0","0","10007"
"37","0","0","0","0","2","20004","10","0","0","0","10007"
"38","0","0","0","0","50","1007002","5","0","0","0","10007"
"39","0","2","23001","10","2","23001","20","0","0","0","10007"
"40","1","50","1002001","5","2","90005","10","2","20004","30","10007"
"41","0","2","22003","5","2","22003","10","0","0","0","10007"
"42","0","0","0","0","12","94002","500000","0","0","0","10007"
"43","0","0","0","0","50","1002001","5","0","0","0","10007"
"44","0","2","20004","5","2","20004","10","0","0","0","10007"
"45","1","50","1002001","5","2","90005","10","8","91002","50","10007"
"46","0","2","90005","5","2","90005","10","0","0","0","10007"
"47","0","0","0","0","2","23001","20","0","0","0","10007"
"48","0","0","0","0","2","22003","10","0","0","0","10007"
"49","0","50","1007002","3","50","1007002","5","0","0","0","10007"
"50","1","8","91002","30","2","24001","1","4","140001","10","10007"
"51","0","12","94002","200000","12","94002","500000","0","0","0","10007"
"52","0","0","0","0","50","1002001","5","0","0","0","10007"
"53","0","0","0","0","2","20004","10","0","0","0","10007"
"54","0","51","93002","50","51","93002","100","0","0","0","10007"
"55","1","50","1007002","5","50","1007003","1","50","1007003","1","10007"
"56","0","2","90005","5","2","90005","10","0","0","0","10007"
"57","0","0","0","0","50","1007004","5","0","0","0","10007"
"58","0","0","0","0","50","1002001","5","0","0","0","10007"
"59","0","2","23001","10","2","23001","20","0","0","0","10007"
"60","1","50","1002001","5","50","1002001","10","8","91002","50","10007"
"61","0","2","22003","10","2","22003","10","0","0","0","10007"
"62","0","0","0","0","12","94002","500000","0","0","0","10007"
"63","0","0","0","0","51","93002","100","0","0","0","10007"
"64","0","2","20004","5","2","20004","10","0","0","0","10007"
"65","1","50","1002001","5","2","90005","20","8","91002","50","10007"
"66","0","2","90005","5","2","90005","10","0","0","0","10007"
"67","0","0","0","0","2","23001","20","0","0","0","10007"
"68","0","0","0","0","2","22003","10","0","0","0","10007"
"69","0","51","93002","50","50","1007004","5","0","0","0","10007"
"70","1","2","24001","1","2","24001","1","2","22003","100","10007"
"71","0","0","0","0","2","20004","10","0","0","0","10007"
"72","0","0","0","0","2","90005","10","0","0","0","10007"
"73","0","0","0","0","12","94002","500000","0","0","0","10007"
"74","0","0","0","0","51","93002","100","0","0","0","10007"
"75","1","8","91002","30","2","90005","20","4","140001","10","10007"
"76","0","0","0","0","50","1002001","5","0","0","0","10007"
"77","0","0","0","0","50","1007004","5","0","0","0","10007"
"78","0","0","0","0","50","1007003","1","0","0","0","10007"
"79","0","0","0","0","2","90005","10","0","0","0","10007"
"80","1","50","1002001","5","50","1002001","10","8","91002","50","10007"
"81","0","0","0","0","50","1007004","5","0","0","0","10007"
"82","0","0","0","0","12","94002","500000","0","0","0","10007"
"83","0","0","0","0","2","90005","10","0","0","0","10007"
"84","0","0","0","0","51","93002","100","0","0","0","10007"
"85","1","50","1007004","5","50","1007005","1","50","1007005","1","10007"
"86","0","0","0","0","50","1002001","5","0","0","0","10007"
"87","0","0","0","0","50","1007004","5","0","0","0","10007"
"88","0","0","0","0","51","93002","100","0","0","0","10007"
"89","0","0","0","0","2","90005","10","0","0","0","10007"
"90","1","8","91002","30","8","91002","50","2","20004","60","10007"
"91","0","0","0","0","12","94002","500000","0","0","0","10007"
"92","0","0","0","0","50","1002001","5","0","0","0","10007"
"93","0","0","0","0","50","1007004","5","0","0","0","10007"
"94","0","0","0","0","51","93002","100","0","0","0","10007"
"95","1","8","91002","30","2","90005","20","4","140001","10","10007"
"96","0","0","0","0","12","94002","500000","0","0","0","10007"
"97","0","0","0","0","50","1002001","5","0","0","0","10007"
"98","0","0","0","0","50","1007004","5","0","0","0","10007"
"99","0","0","0","0","50","1007005","1","0","0","0","10007"
"100","1","2","24001","1","2","21905","2","2","24002","1","10007"
