3936af4e4b6fcc3361066eb9dc344958c68ec9245b812ec5cfc25ca168d1c590,d9e279c90c12c66a395f93290f8e35bf21414d059a7a4d9aa2ad7984597f2547,c1ac64db1aa331311914b053fc5c21567cfcd82f3425a520464e04ab5789c7b9,ea09b65adfb2b93b8abfb50c4992eda49caf32f866dfe5ea7139a8b1668a0808,3d10dd1f2a41c38a2c499195a9e01c7b5c8eca9f7d54e9d3244bf36a8d5d9c03,2aaf2237b875f45d793639bf567c6c6ddf7e88e75b37c57d5cbd69e93f589eba
"9418","购买道具装备礼包Ⅵ（特别纪念）获得的道具。","0","0","0","0"
"9419","购买道具装备礼包Ⅶ获得的道具。","0","0","0","0"
"9420","购买道具装备礼包Ⅷ获得的道具。","0","0","0","0"
"9421","购买道具装备礼包Ⅰ（特别庆典）获得的道具。","0","0","0","0"
"9422","购买道具装备礼包Ⅱ（特别庆典）获得的道具。","0","0","0","0"
"9423","购买道具装备礼包Ⅲ（特别庆典）获得的道具。","0","0","0","0"
"9424","购买道具装备礼包Ⅳ（特别庆典）获得的道具。","0","0","0","0"
"9425","购买道具装备礼包Ⅴ（特别庆典）获得的道具。","0","0","0","0"
"9426","购买道具装备礼包Ⅵ（特别庆典）获得的道具。","0","0","0","0"
"9427","购买道具装备礼包Ⅶ（特别庆典）获得的道具。","0","0","0","0"
"9428","购买道具装备礼包Ⅷ（特别庆典）获得的道具。","0","0","0","0"
"9429","购买道具装备礼包Ⅸ（特别庆典）获得的道具。","0","0","0","0"
"9430","购买道具装备礼包Ⅹ（特别庆典）获得的道具。","0","0","0","0"
"9431","购买联动礼包获得的道具。","0","0","0","0"
"9432","购买光球礼包获得的道具。","0","0","0","0"
"9501","「活动登录奖励」第{1}天获得的道具。","13","2","0","0"
"9502","初次通关活动关卡获得的道具。","13","0","0","0"
"9503","通关活动关卡{1}获得的道具。","13","14","0","0"
"9504","初次击败活动首领「{1}」获得的道具。","13","15","0","0"
"9505","在活动首领「{1}」的战斗中获得的物品。","13","15","0","0"
"9506","达成活动任务获得的道具。","13","0","0","0"
"9507","在「{1}」获得的道具。","13","12","0","0"
"9508","在「{0}」获得的道具。","13","0","0","0"
"9509","解谜获得的道具。","0","0","0","0"
"9510","在「{0}」获得的道具。","18","0","0","0"
"9511","通过3月活动内容获得的道具。","0","0","0","0"
"9512","初次通关外传冒险获得的道具。","13","0","0","0"
"9513","通关外传冒险{1}获得的道具。","13","14","0","0"
"9514","在外传首领「{1}」的战斗中获得的道具。","13","15","0","0"
"9515","达成外传任务获得的道具。","13","0","0","0"
"9516","「复刻活动登录奖励」第{1}天获得的道具。","13","2","0","0"
"9517","在「大家的训练场」中获得的道具。","0","0","0","0"
"9518","通过分解特别装备获得的道具。","0","0","0","0"
"9519","通过强化特别装备获得的道具。","0","0","0","0"
"9520","因为超出持有上限而获得的活动登录奖励的报酬。","0","0","0","0"
"9521","因为超出持有上限而获得的复刻活动登录奖励的报酬。","0","0","0","0"
"9600","小游戏获得的道具。","0","0","0","0"
"9700","「兰德索尔之战」获得的排名报酬。","0","0","0","0"
"9701","「兰德索尔之战」获得的攻击报酬。","0","0","0","0"
"9702","在「王都终末决战」中获得的道具。","0","0","0","0"
"9703","「兰德索尔之战」获得的道具。","0","0","0","0"
"9704","在「军团王都战」中获得的道具。","0","0","0","0"
"9705","通过「{0}」获得的道具。","24","0","0","0"
"9800","在「{0}」获得的道具。","21","0","0","0"
"9801","在「{0}」获得的道具。","22","0","0","0"
"88888","购买「{0}」获得的道具","88","0","0","0"
"88889","购买玛那获得的体力","0","0","0","0"
"88890","从「女神庆典」宝库中获得的道具","0","0","0","0"
"88891","「女神庆典」额外经验兑换玛那","0","0","0","0"
"99001","特别凭证扭蛋角色交换Pt换取的道具","0","0","0","0"
"99999","抽取扭蛋时获取的玛那。","0","0","0","0"
