3dbf40f03b6ff2f1c8d9c39a89e6294e956a8d676a490029af30dbd9dd04236b,2710d234cc987095a3ebe5f03b6f1e97f15e250bc8ea7f14531e4e04c4f77e95,e9b0c157c3d862b74bba6c56d8f619d4d6b81ae872f33be9b88362f39ae81421,49c8227d47b570d30c3cdf42248e25a8e32c047da54e0e34b5a2a1133a479cc8,2d6942ce614ff4083d1fd7b411ded838105de61b179754f98421769f95e143b3,b0aa9836d92856e203662ebbbbeb80467055501fe7d57f5e7e0fe3fd47b4db03,c624f8f9ebee422137e0e5759f9cb72e50ce85822b957674d286df8d240ceaf2,81f604810a45520059b868ff08663b7199d04f089dcf72cd08b1311245b669bd,56477a760dd63fa5c66abdd6ab997d5e59c0c272ad28c7e86975f05126ccebb3,836f6c5d3b740f43fc2d788102e1273f0abea5a21f63234a33dc022ac2b728bd,7bad2245517dab1c69b4e3b0f88e65898cd3a3d12c089c8fb7c40dcb22884dd4
"1002501040","1002501","11","100211","기사 군에게 생일\n축하를 받다니.\n너무 기뻐.","7","1","1","0","0",""
"1002501041","1002501","91","0","","","","","","",""
"1002501042","1002501","21","vo_adv_1002501","vo_adv_1002501_001","0","0","","","",""
"1002501043","1002501","11","100211","어? 항상 고맙다고……?","6","1","1","0","0",""
"1002501044","1002501","91","0","","","","","","",""
"1002501045","1002501","21","vo_adv_1002501","vo_adv_1002501_002","0","0","","","",""
"1002501046","1002501","11","100211","아니, 항상 도움을 받는 건\n나야!\n나야말로 항상 고마워.","6","1","1","0","0",""
"1002501047","1002501","91","0","","","","","","",""
"1002501048","1002501","21","vo_adv_1002501","vo_adv_1002501_003","0","0","","","",""
"1002501049","1002501","11","100211","기사 군이 준 선물,\n소중히 간직할게!","7","1","1","0","0",""
"1002501050","1002501","91","0","","","","","","",""
"1002501051","1002501","21","vo_adv_1002501","vo_adv_1002501_004","0","0","","","",""
"1002501052","1002501","11","100211","……아, 그렇구나!\n먹을 것이니까,\n간직해 두면 안 되겠네……","6","1","1","0","0",""
"1002501053","1002501","91","0","","","","","","",""
"1002501054","1002501","21","vo_adv_1002501","vo_adv_1002501_005","0","0","","","",""
"1002501055","1002501","11","100211","……그렇지!\n양도 많겠다, 저기, 기사 군도……\n가, 같이 먹어 주지 않을래?","4","1","1","0","0",""
"1002501056","1002501","91","0","","","","","","",""
"1002501057","1002501","21","vo_adv_1002501","vo_adv_1002501_006","0","0","","","",""
"1002501058","1002501","11","100211","어? 괘, 괜찮아?\n고마워!\n굉장히 기뻐~~!","6","1","1","0","0",""
"1002501059","1002501","91","0","","","","","","",""
"1002501060","1002501","31","9","9","0","0","1","1","",""
"1002501061","1002501","131","0","","","","","","",""
"1002501062","1002501","22","0","1","0","0","","","",""
"1002501063","1002501","111","","","","","","","",""
"1002501064","1002501","91","0","","","","","","",""
"1003501001","1003501","1","1","100311","850","400","-220","1.5","1","cmn_talk_def_N"
"1003501002","1003501","31","8","8","0","0","1","1","",""
"1003501003","1003501","31","7","7","0","0","1","1","",""
"1003501004","1003501","31","72","72","0","0","1","1","",""
"1003501005","1003501","31","3","3","0","0","1","1","",""
"1003501006","1003501","31","2","2","0","0","1","1","",""
"1003501007","1003501","31","1","1","0","0","1","1","",""
"1003501008","1003501","31","12","12","0","0","1","0","",""
"1003501009","1003501","3","100311","blb_run_01","1","","","0.3","",""
"1003501010","1003501","2","100311","90","-220","1.3","0","","",""
"1003501011","1003501","25","bgm_M321","bgm_M321_2C","0","0","","","",""
"1003501012","1003501","121","0","0","1.25","1.25","0","0","",""
"1003501013","1003501","32","12","1","0","0","1","1","",""
"1003501014","1003501","23","se_common","se_sys_login_birthday_new_01","0","0","","","",""
"1003501015","1003501","93","1.3","","","","","","",""
"1003501016","1003501","3","100311","blb_stop","0","blb_idle","0","0.05","0.3",""
"1003501017","1003501","2","100311","80","-220","0.25","0","","",""
"1003501018","1003501","93","1.4","","","","","","",""
"1003501019","1003501","121","0","0","1.4","1.4","1","3","",""
"1003501020","1003501","131","1","","","","","","",""
"1003501021","1003501","3","100311","blb_blowout_03","0","blb_idle_02","1","0.3","0.3",""
"1003501022","1003501","93","0.7","","","","","","",""
"1003501023","1003501","32","12","0","0","0","1","1","",""
"1003501024","1003501","31","13","13","0","0","1","1","",""
"1003501025","1003501","93","0.2","","","","","","",""
"1003501026","1003501","23","se_common","se_sys_login_birthday_blow_candle","0","0","","","",""
"1003501027","1003501","93","1.2","","","","","","",""
"1003501028","1003501","23","se_adv_tickle_02","se_adv_tickle_02","0","0","","","",""
"1003501029","1003501","31","4","4","0","0","1","1","",""
"1003501030","1003501","93","1","","","","","","",""
"1003501031","1003501","23","se_common","se_sys_login_birthday_02","0","0","","","",""
"1003501032","1003501","3","100311","blb_idle_02","1","","0","0.3","",""
"1003501033","1003501","93","1.05","","","","","","",""
"1003501034","1003501","23","se_common","se_sys_login_birthday_cracker","0","0","","","",""
"1003501035","1003501","31","6","6","0","0","1","1","",""
"1003501036","1003501","3","100311","blb_joy_04","0","blb_wish_04","1","0","",""
"1003501037","1003501","93","2","","","","","","",""
"1003501038","1003501","21","vo_adv_1003501","vo_adv_1003501_000","0","0","","","",""
"1003501039","1003501","13","100311","870","","","","","",""
"1003501040","1003501","11","100311","후후, 갑자기 데리고 오길래 뭔가\n했더니, 설마 이렇게 기쁜 일이\n기다리고 있었을 줄은.","6","1","1","0","0",""
"1003501041","1003501","91","0","","","","","","",""
"1003501042","1003501","21","vo_adv_1003501","vo_adv_1003501_001","0","0","","","",""
"1003501043","1003501","11","100311","내 생일을 기억해 줬을 뿐 아니라\n케이크까지 준비해 주고……\n어, 이거 네가 직접 만든 거야!?","5","1","1","0","0",""
"1003501044","1003501","91","0","","","","","","",""
"1003501045","1003501","21","vo_adv_1003501","vo_adv_1003501_002","0","0","","","",""
"1003501046","1003501","11","100311","이래 봬도 네 스승인데,\n이런 섬세한 배려에 관해서는\n네가 더 잘 갖추고 있는 것 같네……\n후후, 왠지 자랑스러움까지 느껴져.","6","1","1","0","0",""
"1003501047","1003501","91","0","","","","","","",""
"1003501048","1003501","21","vo_adv_1003501","vo_adv_1003501_003","0","0","","","",""
"1003501049","1003501","11","100311","설마 생일에 이런 기분을 맛보게 될 거라곤\n생각도 못 했네.\n그럼, 함께 축하할까?\n아아, 즐거운 하루가 될 것 같아……!","4","1","1","0","0",""
"1003501050","1003501","91","0","","","","","","",""
"1003501051","1003501","31","9","9","0","0","1","1","",""
"1003501052","1003501","131","0","","","","","","",""
"1003501053","1003501","22","0","1","0","0","","","",""
"1003501054","1003501","111","","","","","","","",""
"1003501055","1003501","91","0","","","","","","",""
"1004501001","1004501","1","1","100411","850","400","-220","1.5","1","cmn_talk_def_N"
"1004501002","1004501","31","8","8","0","0","1","1","",""
"1004501003","1004501","31","7","7","0","0","1","1","",""
"1004501004","1004501","31","41","41","0","0","1","1","",""
"1004501005","1004501","31","3","3","0","0","1","1","",""
"1004501006","1004501","31","2","2","0","0","1","1","",""
"1004501007","1004501","31","1","1","0","0","1","1","",""
"1004501008","1004501","31","12","12","0","0","1","0","",""
"1004501009","1004501","3","100411","blb_run_01","1","","","0.3","",""
"1004501010","1004501","2","100411","90","-220","1.3","0","","",""
"1004501011","1004501","25","bgm_M321","bgm_M321_2C","0","0","","","",""
"1004501012","1004501","121","0","0","1.25","1.25","0","0","",""
"1004501013","1004501","32","12","1","0","0","1","1","",""
"1004501014","1004501","23","se_common","se_sys_login_birthday_new_01","0","0","","","",""
"1004501015","1004501","93","1.3","","","","","","",""
"1004501016","1004501","3","100411","blb_stop","0","blb_idle","0","0.05","0.3",""
"1004501017","1004501","2","100411","80","-220","0.25","0","","",""
"1004501018","1004501","93","1.4","","","","","","",""
"1004501019","1004501","121","0","0","1.4","1.4","1","3","",""
"1004501020","1004501","131","1","","","","","","",""
"1004501021","1004501","3","100411","blb_blowout_02","0","blb_idle","1","0.3","0.3",""
"1004501022","1004501","93","0.7","","","","","","",""
"1004501023","1004501","32","12","0","0","0","1","1","",""
"1004501024","1004501","31","13","13","0","0","1","1","",""
"1004501025","1004501","93","0.2","","","","","","",""
"1004501026","1004501","23","se_common","se_sys_login_birthday_blow_candle","0","0","","","",""
"1004501027","1004501","93","1.2","","","","","","",""
"1004501028","1004501","23","se_adv_tickle_02","se_adv_tickle_02","0","0","","","",""
"1004501029","1004501","31","4","4","0","0","1","1","",""
"1004501030","1004501","93","1","","","","","","",""
"1004501031","1004501","23","se_common","se_sys_login_birthday_02","0","0","","","",""
"1004501032","1004501","3","100411","blb_idle","1","","0","0.3","",""
"1004501033","1004501","93","1.05","","","","","","",""
"1004501034","1004501","23","se_common","se_sys_login_birthday_cracker","0","0","","","",""
"1004501035","1004501","31","6","6","0","0","1","1","",""
"1004501036","1004501","3","100411","blb_joy_02","0","blb_wish_02","1","0","",""
"1004501037","1004501","93","2","","","","","","",""
"1004501038","1004501","21","vo_adv_1004501","vo_adv_1004501_000","0","0","","","",""
"1004501039","1004501","13","100411","870","","","","","",""
"1004501040","1004501","11","100411","커다란 케이크 고마워!\n오빠가 만들어준 거지?\n좀 하네, 오빠!","7","1","1","0","0",""
"1004501041","1004501","91","0","","","","","","",""
"1004501042","1004501","21","vo_adv_1004501","vo_adv_1004501_001","0","0","","","",""
"1004501043","1004501","11","100411","미소기라면 자안뜩\n장난을 쳤겠지만……\n평범하게 맛있는 케이크지?","7","1","1","0","0",""
"1004501044","1004501","91","0","","","","","","",""
"1004501045","1004501","21","vo_adv_1004501","vo_adv_1004501_002","0","0","","","",""
"1004501046","1004501","11","100411","오빠는 착하네~\n그래도 그런 오빠라서\n같이 있으면 즐거워!\n앞으로도 잘 부탁해!","6","1","1","0","0",""
"1004501047","1004501","91","0","","","","","","",""
"1004501048","1004501","21","vo_adv_1004501","vo_adv_1004501_003","0","0","","","",""
"1004501049","1004501","11","100411","오빠의 생일엔\n재밌는 케이크로 보답해 줄 테니까\n기대해 줘! 에헤헤!","7","1","1","0","0",""
"1004501050","1004501","91","0","","","","","","",""
"1004501051","1004501","31","9","9","0","0","1","1","",""
"1004501052","1004501","131","0","","","","","","",""
"1004501053","1004501","22","0","1","0","0","","","",""
"1004501054","1004501","111","","","","","","","",""
"1004501055","1004501","91","0","","","","","","",""
"1005501001","1005501","1","1","100511","850","400","-220","1.5","1","cmn_talk_def_N"
"1005501002","1005501","31","8","8","0","0","1","1","",""
"1005501003","1005501","31","7","7","0","0","1","1","",""
"1005501004","1005501","31","65","65","0","0","1","1","",""
"1005501005","1005501","31","3","3","0","0","1","1","",""
"1005501006","1005501","31","2","2","0","0","1","1","",""
"1005501007","1005501","31","1","1","0","0","1","1","",""
"1005501008","1005501","31","12","12","0","0","1","0","",""
"1005501009","1005501","3","100511","blb_run_01","1","","","0.3","",""
"1005501010","1005501","2","100511","90","-220","1.3","0","","",""
"1005501011","1005501","25","bgm_M321","bgm_M321_2C","","","","","",""
"1005501012","1005501","121","0","0","1.25","1.25","0","0","",""
"1005501013","1005501","32","12","1","","","","","",""
"1005501014","1005501","23","se_common","se_sys_login_birthday_new_01","0","","","","",""
"1005501015","1005501","93","1.3","","","","","","",""
"1005501016","1005501","3","100511","blb_stop","0","blb_idle","0","0.05","0.3",""
"1005501017","1005501","2","100511","80","-220","0.25","0","","",""
"1005501018","1005501","93","1.4","","","","","","",""
"1005501019","1005501","121","0","0","1.4","1.4","1","3","",""
"1005501020","1005501","131","1","","","","","","",""
"1005501021","1005501","3","100511","blb_blowout_02","0","blb_idle","1","0.3","0.3",""
"1005501022","1005501","93","0.7","","","","","","",""
"1005501023","1005501","32","12","0","","","","","",""
"1005501024","1005501","31","13","13","0","0","1","1","",""
"1005501025","1005501","93","0.2","","","","","","",""
"1005501026","1005501","23","se_common","se_sys_login_birthday_blow_candle","0","0","","","",""
"1005501027","1005501","93","1.2","","","","","","",""
"1005501028","1005501","23","se_adv_tickle_02","se_adv_tickle_02","0","0","","","",""
"1005501029","1005501","31","4","4","0","0","1","1","",""
"1005501030","1005501","93","1","","","","","","",""
"1005501031","1005501","23","se_common","se_sys_login_birthday_02","0","0","","","",""
"1005501032","1005501","3","100511","blb_idle","1","","0","0.3","",""
"1005501033","1005501","93","1.05","","","","","","",""
"1005501034","1005501","23","se_common","se_sys_login_birthday_cracker","0","0","","","",""
"1005501035","1005501","31","6","6","0","0","1","1","",""
"1005501036","1005501","3","100511","blb_joy_02","0","blb_wish_02","1","0","",""
"1005501037","1005501","93","2","","","","","","",""
"1005501038","1005501","21","vo_adv_1005501","vo_adv_1005501_000","0","0","","","",""
"1005501039","1005501","13","100511","870","","","","","",""
"1005501040","1005501","11","100511","커다란 케이크임다!\n당신이 만들어 준 거죠?\n케이크까지 만들다니 대단함다!","6","1","1","0","0",""
"1005501041","1005501","91","0","","","","","","",""
"1005501042","1005501","21","vo_adv_1005501","vo_adv_1005501_001","0","0","","","",""
"1005501043","1005501","11","100511","생일을 이렇게\n축하받게 되다니 기쁨다.","6","1","1","0","0",""
"1005501044","1005501","91","0","","","","","","",""
"1005501045","1005501","21","vo_adv_1005501","vo_adv_1005501_002","0","0","","","",""
"1005501046","1005501","11","100511","저는 케이크 만들기 같은 건\n정말 안 어울리지만,\n혹시 만든다면……\n기뻐해 줄 검까?","4","1","1","0","0",""
"1005501047","1005501","91","0","","","","","","",""
"1005501048","1005501","21","vo_adv_1005501","vo_adv_1005501_003","0","0","","","",""
"1005501049","1005501","11","100511","당신이 기뻐해 준다면\n열심히 해보겠슴다!\n생일, 기대해 줬음 좋겠슴다!","6","1","1","0","0",""
"1005501050","1005501","91","0","","","","","","",""
"1005501051","1005501","31","9","9","0","0","1","1","",""
"1005501052","1005501","131","0","","","","","","",""
"1005501053","1005501","22","0","1","0","0","","","",""
"1005501054","1005501","111","","","","","","","",""
"1005501055","1005501","91","0","","","","","","",""
"1006501001","1006501","1","1","102211","850","400","-220","1.5","1","cmn_talk_def_N"
"1006501002","1006501","1","1","100611","860","520","-220","1.5","1","cmn_talk_def_N"
"1006501003","1006501","31","8","8","0","0","1","1","",""
"1006501004","1006501","31","7","7","0","0","1","1","",""
"1006501005","1006501","31","64","64","0","0","1","1","",""
"1006501006","1006501","31","3","3","0","0","1","1","",""
"1006501007","1006501","31","2","2","0","0","1","1","",""
"1006501008","1006501","31","1","1","0","0","1","1","",""
"1006501009","1006501","31","12","12","0","0","1","0","",""
"1006501010","1006501","3","102211","blb_run_01","1","","","0.3","",""
"1006501011","1006501","3","100611","blb_run_01","1","","","0.3","",""
"1006501012","1006501","2","102211","80","-220","1.3","0","","",""
"1006501013","1006501","2","100611","200","-220","1.3","0","","",""
"1006501014","1006501","25","bgm_M321","bgm_M321_2C","0","0","","","",""
"1006501015","1006501","121","0","0","1.25","1.25","0","0","",""
"1006501016","1006501","32","12","1","","","","","",""
"1006501017","1006501","23","se_common","se_sys_login_birthday_new_01","","","","","",""
"1006501018","1006501","93","1.3","","","","","","",""
"1006501019","1006501","3","102211","blb_stop","0","blb_idle","0","0.05","0.3",""
"1006501020","1006501","3","100611","blb_stop_yori","0","blb_idle_yori","0","0.05","0.3",""
"1006501021","1006501","2","102211","70","-220","0.25","0","","",""
"1006501022","1006501","2","100611","190","-220","0.25","0","","",""
"1006501023","1006501","93","1.4","","","","","","",""
"1006501024","1006501","121","0","0","1.4","1.4","1","3","",""
"1006501025","1006501","131","1","","","","","","",""
"1006501026","1006501","3","102211","blb_blowout_01","0","blb_idle","1","0.3","0.3",""
"1006501027","1006501","3","100611","blb_blowout_yori","0","blb_idle_yori_02","1","0.3","0.3",""
"1006501028","1006501","93","0.7","","","","","","",""
"1006501029","1006501","32","12","0","","","","","",""
"1006501030","1006501","31","13","13","0","0","1","1","",""
"1006501031","1006501","31","15","15","0","0","1","1","",""
"1006501032","1006501","93","0.2","","","","","","",""
"1006501033","1006501","23","se_common","se_sys_login_birthday_blow_candle","0","0","","","",""
"1006501034","1006501","93","1.2","","","","","","",""
"1006501035","1006501","23","se_adv_tickle_02","se_adv_tickle_02","0","0","","","",""
"1006501036","1006501","31","5","5","0","0","1","1","",""
"1006501037","1006501","93","1","","","","","","",""
"1006501038","1006501","23","se_common","se_sys_login_birthday_02","0","0","","","",""
"1006501039","1006501","3","102211","blb_idle","1","","0","0.3","",""
"1006501040","1006501","3","100611","blb_idle_yori_02","1","","0","0.3","",""
"1006501041","1006501","93","1.05","","","","","","",""
"1006501042","1006501","23","se_common","se_sys_login_birthday_cracker","0","0","","","",""
"1006501043","1006501","31","6","6","0","0","1","1","",""
"1006501044","1006501","3","102211","blb_joy_akari","0","blb_wish_akari","1","0","",""
"1006501045","1006501","3","100611","blb_joy_yori","0","blb_wish_yori","1","0","",""
"1006501046","1006501","93","2","","","","","","",""
"1006501047","1006501","21","vo_adv_1006501","vo_adv_1006501_000","0","0","","","",""
"1006501048","1006501","13","102211","870","","","","","",""
"1006501049","1006501","13","100611","870","","","","","",""
"1006501050","1006501","11","100611","에헤헤♪\n생일 축하해 줘서\n고마워요, 오빠♪","6","1","1","0","0",""
"1006501051","1006501","91","0","","","","","","",""
"1006501052","1006501","21","vo_adv_1006501","vo_adv_1006501_001","0","0","","","",""
"1006501053","1006501","11","102211","정말, 이런 건\n미리 말해두라고.\n그…… 나도\n마음의 준비 같은 게 필요하니까.","5","1","1","0","0",""
"1006501054","1006501","91","0","","","","","","",""
"1006501055","1006501","21","vo_adv_1006501","vo_adv_1006501_002","0","0","","","",""
"1006501056","1006501","11","100611","우후후, 언니도 참\n부끄러워하는 거 귀엽네♪\n그런데 어엄청 커다란 케이크……\n음…… 와아, 엄청 찐해♪","4","1","1","0","0",""
"1006501057","1006501","91","0","","","","","","",""
"1006501058","1006501","21","vo_adv_1006501","vo_adv_1006501_003","0","0","","","",""
"1006501059","1006501","11","102211","냐암…… 앗, 진짜네.\n완전 뿅 가버리겠어!\n아니, 그, 그게 아니고……","4","1","1","0","0",""
"1006501060","1006501","91","0","","","","","","",""
"1006501061","1006501","21","vo_adv_1006501","vo_adv_1006501_004","0","0","","","",""
"1006501062","1006501","11","102211","으음, 그……\n케이크 만들어줘서\n고, 고마…… 어라, 아카리?\n잠깐, 왜 웃는 거야?","3","1","1","0","0",""
"1006501063","1006501","91","0","","","","","","",""
"1006501064","1006501","21","vo_adv_1006501","vo_adv_1006501_005","0","0","","","",""
"1006501065","1006501","11","100611","후훗, 그야 제일 좋아하는 언니랑\n오빠가 있으니까.\n셋이서 오늘은 멋진\n하루를 드~음뿍 보내자♪","4","1","1","0","0",""
"1006501066","1006501","91","0","","","","","","",""
"1006501067","1006501","31","9","9","0","0","1","1","",""
"1006501068","1006501","131","0","","","","","","",""
"1006501069","1006501","22","0","1","0","0","","","",""
"1006501070","1006501","111","","","","","","","",""
"1006501071","1006501","91","0","","","","","","",""
"1007501001","1007501","1","1","100711","850","400","-220","1.5","1","blb_run_miyako"
"1007501002","1007501","31","8","8","0","0","1","1","",""
"1007501003","1007501","31","7","7","0","0","1","1","",""
"1007501004","1007501","31","73","73","0","0","1","1","",""
"1007501005","1007501","31","3","3","0","0","1","1","",""
"1007501006","1007501","31","2","2","0","0","1","1","",""
"1007501007","1007501","31","1","1","0","0","1","1","",""
"1007501008","1007501","31","12","12","0","0","1","0","",""
"1007501009","1007501","3","100711","blb_run_miyako","1","","","0.3","",""
"1007501010","1007501","2","100711","90","-220","1.3","0","","",""
"1007501011","1007501","25","bgm_M321","bgm_M321_2C","0","0","","","",""
"1007501012","1007501","121","0","0","1.25","1.25","0","0","",""
"1007501013","1007501","32","12","1","0","0","1","1","",""
"1007501014","1007501","23","se_common","se_sys_login_birthday_new_01","0","0","","","",""
"1007501015","1007501","93","1.3","","","","","","",""
"1007501016","1007501","3","100711","blb_stop_miyako","0","blb_idle_miyako","0","0.05","0.3",""
"1007501017","1007501","2","100711","80","-220","0.25","0","","",""
"1007501018","1007501","93","1.4","","","","","","",""
"1007501019","1007501","121","0","0","1.4","1.4","1","3","",""
"1007501020","1007501","131","1","","","","","","",""
"1007501021","1007501","3","100711","blb_blowout_miyako","0","blb_idle_miyako","1","0.3","0.3",""
"1007501022","1007501","93","0.7","","","","","","",""
"1007501023","1007501","32","12","0","0","0","1","1","",""
"1007501024","1007501","31","13","13","0","0","1","1","",""
"1007501025","1007501","93","0.2","","","","","","",""
"1007501026","1007501","23","se_common","se_sys_login_birthday_blow_candle","0","0","","","",""
"1007501027","1007501","93","1.2","","","","","","",""
"1007501028","1007501","23","se_adv_tickle_02","se_adv_tickle_02","0","0","","","",""
