f6e2b9d1d8b2b93349720bd57a705a4bc625829fe9d66bd778050af0e407213e,35c403e5faed10a04173f496048d8311dbef2fed1c32b9a24e2232f038cf6cac,a718fa6930fb77a42740e7d86e62a38e48f0d3fca7c624302b1ad7127c5f81d0,92ada59657f9ce1861214497f9b4ac7625a07aa15cc674fdda81cefd66484482,24070b4bdd21116e677e9e102dbdd594bc46e049e6ff468d634a6ce872be4270,64a97eddc10807f32a401d94374dfab8b29ba539f1225f2d9713513106cefea1,a1366a4805a1a26ad2ef065c23cf0734a81ebabfc9215e25251be0bc35b67ec5,bd5314405a6d7807020eac8279402c7f305993ba2312d72c113b9b932cff2fca,21105dddefab5d0785a043d939ae5b553aebe27f8b4e154cf3cb6383f5bde0b9,750c27513b78481e72fd0ec64d4d7b6dd9c42d5f4a6447b1be378470ca1caf31,bf361b8701f7c34becc8057ea90d900687ae8ca63f580f13514c00f4a68d8f9f,9742e176ad69f0f1c7fffa6dc91ba300856248d78370bd997873c47bc8a4b2a2,48bb805e4d959949a2038d0ba72b79f83dd5c098a3b8721d76878ffa4ed8474e,eba4a06db123b3fc5f361d570f86db1b52720769efd2c5daf4819b1524253b0f,e61c2207e51597308eac3942a40deef6898923ad0104d3105eae2815a4705a37,ff4b26dc224b2505e6b6cb7bae3ee51bd415126d27294ede5780a758bd3316eb,956a21f5da78afd0dfc458da3f7a02444f4fb66411a1c98b122d4c1736a7ce0e,f9a7083ef45bed111d1351d0322b357928f957c05e7fe13edb891465fec8edcf,68001e1a61af7cd5450f9f54157d238cd09aacf92a89bc7a7ca1b380ed00901a,ed528367fd0ccca9ff961dc1e7179be10d75a331a83ae9620f59f947db6ad1b9,b0435a36178a6426de2bbfc69c899eb4ba914aeba778f3d6104ce4c2a0356976,16703d4822889c108cb883a24e88c1a8b6bb169fa1d09cce7513e0605920850a,d5fb9fc744ddfe1e4de3aa9e05bd89262e6c160c5be0840b89e26df915d8b251,8d59a249ebeab8406a347c0d60b020e34f5f1c06617f8d11b09109473210a7a4,aab16d6d475ab51c9579a5f311446b279182a1831f3f0549b41247df6d417172,f16ef1353cd6d59597d4784d630af3bc8707e7371b19521a71a59652bd383e5f,30e9029fe7891eaca4358472f9194e0d0b38bd7d46d50618460d30f7134e19ff,712ffe0c0867336aaad3a7a83a9b4409f4d1cc38997367259c06df988d2feda0,3a3988bb84f56c8b2380974f2805fdd962460e2c4b5cbdbfdd967756e43bef3c,1d9cdf7784e275568bb94cf3daf4b9830759771a86c573b81a1c079847026675,c0a66bc6cb508eaa50f5f57ab569e4c12962159f2538b0ce2215d2a1d4a9e306,a8281faf3ff61c8d56fb3e31785dcaa335773fa53ba482caee0fa700cc4ed365,2c9a89bf989df14063161fff999882bef5b07ff7838ae72010bf16ee6ab965e5,05e2a5e58e9aa6a301d291371b819b7a1b0e6cd132b908287b198c31e006527f
"11","목장(엘리자베스 파크)","산 위에 있는 목장 길드 활동 내용은 목장에서 소나 말 등을 사육한다. 수인족들이 휴가를 보내는 피크닉 장소이기도 하고, 환자들의 요양지이기도 하다.","1033","1033","1052","1038","1026","1123","1128","1254","1127","1158","1807","1192","1235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","메르쿠리우스 재단","막대한 자금을 밑천으로 각종 사업의 융자와 매수를 하는 길드. 악덕한 방법으로 돈을 버는 상인들에게 본때를 보여주는 것이 이면의 활동 목적.","1032","1032","1048","1034","1046","1267","1080","1268","1079","1144","1146","1168","1169","1222","1809","1251","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","트와일라이트 캐러밴","위험한 의뢰도 맡는 해결사 길드로 어떠한 목적을 위해 결성되었다. 멤버 대부분이 또 다른 이름을 가지고 있다. 랜드솔에서 가장 위험한 길드라는 소문도.","1056","1056","1051","1027","1013","1009","1090","1131","1170","1133","1132","1175","1208","1247","1219","1237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","루센트 학원","랜드솔에 있는 학교 중 하나. 길드 관리 협회가 운영하는 공립 교육기관. 공학이며, 통학하는 학생의 연령, 종족, 학력도 다양하다.","1018","1018","1050","1016","1083","1179","1100","1101","1190","1214","1273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","바이스플뤼겔 랜드솔 지부","모니카를 길드 마스터로 결성된 길드. 언제나 멍청한 행동을 하기에 위기에 처하지만 스스로 화려하게 해결한다.","1053","1053","1008","1030","1045","1055","1176","1096","1095","1130","1142","1178","1191","1215","1252","1263","1270","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","성 테레사 여학원(단짝부)","장학금 심사 통과를 목적으로, 그 달성 조건인 「친화성 높은 공동체」라는 사실을 어필하기 위해 분위기상 결성된 새로운 감각의 동아리 스타일 길드.","1110","1110","1108","1109","1164","1162","1163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","드래곤즈 네스트","희소한 종족, 드래곤족의 발견과 보호를 목적으로 결성. 각지를 탐색하는 일을 하고 있지만, 이면으로는 갱단과 연결돼 있다는 안 좋은 소문이 끊이지 않는 길드.","1067","1067","1065","1066","1166","1165","1216","1245","1249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","리치몬드 상공회","","1180","1180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","레이지ㆍ레기온","","1923","1181","1233","1269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","얼터 메이든","","1258","1258","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","뉴 제네레이션즈","","1124","1124","1125","1126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"500","포레스티에, 목장(엘리자베스 파크)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"501","메르쿠리우스 재단, 사렌디아 구호원","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
