ae824303450318d66f3529ceb9e66f85de23abdb37a425b9aeb79c0332299a43,30a431fea16e4c6af08511155872fd046028d5255927f5b4ddc8220c175af594,6938c601f0eed1d18d6d641e88fc78f24ea4b6f4d42a1dfc3322e91ec9d4d2fb,13e4663a3d2f5d6823033faa0018ab6159976dab682354b2943e2202e43a24bf,216d1defec1085004326956dacf71840755a2b2cd2b1fd7b07cef6d6cd4764c0
"76","81001013","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"77","81001013","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"78","81001013","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"79","81001013","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"80","81001013","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"81","81001014","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"82","81001014","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"83","81001014","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"84","81001014","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"85","81001014","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"86","81001014","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"87","81001015","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"88","81001015","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"89","81001015","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"90","81001015","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"91","81001015","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"92","81001015","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"93","81001016","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"94","81001016","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"95","81001016","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"96","81001016","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"97","81001016","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"98","81001016","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"99","81001017","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"100","81001017","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"101","81001017","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"102","81001017","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"103","81001017","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"104","81001017","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"105","81001018","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"106","81001018","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"107","81001018","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"108","81001018","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"109","81001018","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"110","81001018","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"111","81001019","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"112","81001019","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"113","81001019","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"114","81001019","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"115","81001019","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"116","81001019","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"117","81001020","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"118","81001020","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"119","81001020","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"120","81001020","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"121","81001020","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"122","81001020","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"123","81001020","boss_tp_down_cut","TP 감소 컷","전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다."
"124","81001020","7","물리 방어력 감소","전투 시작 시 모든 캐릭터의 물리 방어력이 (대) 감소한다."
"125","81001021","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"126","81001021","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"127","81001021","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"128","81001021","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"129","81001021","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"130","81001021","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"131","81001022","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"132","81001022","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"133","81001022","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"134","81001022","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"135","81001022","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"136","81001022","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"137","81001023","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"138","81001023","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"139","81001023","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"140","81001023","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"141","81001023","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"142","81001023","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"143","81001024","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"144","81001024","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"145","81001024","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"146","81001024","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"147","81001024","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"148","81001024","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"149","81001025","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"150","81001025","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"151","81001025","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"152","81001025","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"153","81001025","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"154","81001025","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"155","81001026","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"156","81001026","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"157","81001026","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"158","81001026","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"159","81001026","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"160","81001026","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"161","81001027","12","불 속성 보너스 (특대) 증가","불 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 불 속성 이외의 속성 보너스는 무효화된다."
"162","81001027","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"163","81001027","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"164","81001027","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"165","81001027","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"166","81001027","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
