c4b348edeae2d8395adcdd017e0ded417041021f26c458c9c107a571bcf0e434,ca79328d97b773dce04fbe3b9bd3863e1f4ee91470da55d1830d6d70db794a5d,d0857a1d421f5db37a5d7a2b0446352cc37fbbdced21de735d28ecd8fef3f203,d673a56043a88cc8a5f1a0403a3d99a78ca9f12821812882c96d53208904fd09,2c3362655cbe4c506245145963a858e8cd7fe05c2c1f4068afb37163b2a799fc,531adccbbf7b93ea6fa0c9bd9fd816495a7a71c3f02e15aa0e91b30fffea593d,9c7f0123b782146bfe4c6efce70276dd72c5d977538122b5274cfc7eb2b4acfc,39b12a0f28021cd746c65ba330ca6e0adcd376697f2dd086e79ef532535b8a92,6dd85a61e2e56ddc1a1cbcaf7d67a9ae49e1dd73a5b8e072f57bac2d8506ebb2,a2ae02f3a1b5156533f9d3510a6f16631c95670f5dfab96b5e2301208f107397,af20f914f74ad262fe25069c7dbdba4e3713b96be39ba05a579bf2e17225d1d6
"1007501","10075","2022/10/24 15:00:00","2022/10/30 14:59:59","이벤트 스페셜 에피소드","이벤트 「해피 체인지 엔젤즈」\n엔딩을 보면 특별한 에피소드가 오픈됩니다.","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.","0","스토리로","2","5048"
"1007502","10075","2022/10/24 15:00:00","2022/10/30 14:59:59","이벤트 스페셜 에피소드","이벤트 「해피 체인지 엔젤즈」에서\n라피가 보낸 편지가 도착했습니다!","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.","0","스토리로","3","5048"
"1008201","10082","2023/02/13 15:00:00","2023/02/17 14:59:59","단체 사진 추가","「다 함께 설음식 파티」에\n단체 사진이 추가되었습니다.","","5082601","이벤트로","5","1004"
"1008301","10083","2023/02/24 15:00:00","2023/03/02 14:59:59","이벤트 스페셜 에피소드","이벤트 「신춘 미식가 프린세스! 한 방에 건 소녀들」 스페셜 에피소드가 오픈되었습니다.","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.","5056601","스토리로","4","5056"
"1008901","10089","2023/04/14 15:00:00","2023/04/23 14:59:59","이벤트 스페셜 에피소드","이벤트 「신데렐라 레슨 화려한 나날은 사과 맛」\n스페셜 에피소드가 오픈되었습니다.","엑스트라 스토리에서\n특별한 스토리를 보실 수 있습니다.","5061601","스토리로","3","5061"
"1008902","10089","2023/04/21 15:00:00","2023/04/23 14:59:59","이벤트 스페셜 에피소드","이벤트 「신데렐라 레슨 화려한 나날은 사과 맛」\n스페셜 에피소드가 오픈되었습니다.","","5061602","스토리로","5","10089"
"1008903","10089","2023/04/23 15:00:00","2023/04/29 14:59:59","이벤트 스페셜 에피소드","이벤트 「신데렐라 레슨 화려한 나날은 사과 맛」\n스페셜 에피소드가 오픈되었습니다.","엑스트라 스토리에서\n특별한 스토리를 보실 수 있습니다.","5061601","스토리로","3","5061"
"1009201","10092","2023/06/13 15:00:00","2023/06/17 14:59:59","이벤트 스페셜 에피소드","이벤트 「에피소드 오브 파이러츠 해적섬의 저주받은 보물」\n스페셜 에피소드가 오픈되었습니다.","","5092601","스토리로","5","10092"
"1010001","10100","2023/10/09 15:00:00","2023/10/13 14:59:59","이벤트 스페셜 에피소드","이벤트 「마호마호 미라클 저니! 여행하는 소녀와\n땅끝의 커다란 나무」 스페셜 에피소드가 오픈되었습니다.","","5100601","스토리로","5","10100"
"1010901","10109","2024/02/23 15:00:00","2024/02/25 14:59:59","단체 사진 추가","「다 함께 설음식 파티」에\n단체 사진이 추가되었습니다.","","5082601","이벤트로","5","1004"
"1011901","10119","2024/06/21 15:00:00","2024/06/23 14:59:59","이벤트 스페셜 에피소드","이벤트 「에피소드 오브 파이러츠 해적섬의 저주받은 보물」\n스페셜 에피소드가 오픈되었습니다.","","5092601","스토리로","5","10119"
"1012701","10127","2024/10/23 15:00:00","2024/10/25 14:59:59","이벤트 스페셜 에피소드","이벤트 「마호마호 미라클 저니! 여행하는 소녀와\n땅끝의 커다란 나무」 스페셜 에피소드가 오픈되었습니다.","","5100601","스토리로","5","10127"
"2003201","20032","2023/02/24 15:00:00","2023/03/02 14:59:59","이벤트 스페셜 에피소드","이벤트 「신춘 미식가 프린세스! 한 방에 건 소녀들」\n스페셜 에피소드가 오픈되었습니다.","엑스트라 스토리에서도\n특별한 스토리를 보실 수 있습니다.","5056601","스토리로","4","5056"
